ED,Reported As,Reporting,Stephen A. Labate,Scattered,Grant M. Lally,Total Votes,p_Stephen A. Labate,p_Scattered,p_Grant M. Lally,winner,winner_p
26017,26017,100,5,0,2,7,0.7142857142857143,0.0,0.2857142857142857,Stephen A. Labate,0.7142857142857143
26018,26018,100,12,0,8,20,0.6,0.0,0.4,Stephen A. Labate,0.6
26019,26019,100,7,0,9,16,0.4375,0.0,0.5625,Grant M. Lally,0.5625
26020,26020,100,5,0,7,12,0.4166666666666667,0.0,0.5833333333333334,Grant M. Lally,0.5833333333333334
26021,26021,100,5,0,3,8,0.625,0.0,0.375,Stephen A. Labate,0.625
26022,26022,100,5,0,2,7,0.7142857142857143,0.0,0.2857142857142857,Stephen A. Labate,0.7142857142857143
26023,26023,100,6,0,1,7,0.8571428571428571,0.0,0.14285714285714285,Stephen A. Labate,0.8571428571428571
26024,26024,100,2,0,2,4,0.5,0.0,0.5,Tie,0.5
26025,26025,100,6,0,3,9,0.6666666666666666,0.0,0.3333333333333333,Stephen A. Labate,0.6666666666666666
26026,26019,100,0,0,0,0,0,0,0,n/a,0
26027,26027,100,0,0,3,3,0.0,0.0,1.0,Grant M. Lally,1.0
26028,26028,100,3,0,13,16,0.1875,0.0,0.8125,Grant M. Lally,0.8125
26029,26029,100,8,0,9,17,0.47058823529411764,0.0,0.5294117647058824,Grant M. Lally,0.5294117647058824
26030,26030,100,7,0,14,21,0.3333333333333333,0.0,0.6666666666666666,Grant M. Lally,0.6666666666666666
26031,26031,100,7,0,11,18,0.3888888888888889,0.0,0.6111111111111112,Grant M. Lally,0.6111111111111112
26032,26032,100,4,0,4,8,0.5,0.0,0.5,Tie,0.5
26033,26033,100,4,0,5,9,0.4444444444444444,0.0,0.5555555555555556,Grant M. Lally,0.5555555555555556
26034,26034,100,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,Grant M. Lally,0.6666666666666666
26035,26035,100,8,0,9,17,0.47058823529411764,0.0,0.5294117647058824,Grant M. Lally,0.5294117647058824
26045,26045,100,1,0,3,4,0.25,0.0,0.75,Grant M. Lally,0.75
26046,26046,100,7,0,5,12,0.5833333333333334,0.0,0.4166666666666667,Stephen A. Labate,0.5833333333333334
26047,26047,100,4,0,9,13,0.3076923076923077,0.0,0.6923076923076923,Grant M. Lally,0.6923076923076923
26048,26048,100,2,0,3,5,0.4,0.0,0.6,Grant M. Lally,0.6
26049,26049,100,1,0,4,5,0.2,0.0,0.8,Grant M. Lally,0.8
26073,26073,100,12,0,24,36,0.3333333333333333,0.0,0.6666666666666666,Grant M. Lally,0.6666666666666666
26071,26073,100,0,0,0,0,0,0,0,n/a,0
26072,26072,100,2,0,7,9,0.2222222222222222,0.0,0.7777777777777778,Grant M. Lally,0.7777777777777778
26075,26075,100,9,0,7,16,0.5625,0.0,0.4375,Stephen A. Labate,0.5625
26074,26075,100,0,0,0,0,0,0,0,n/a,0
26076,26076,100,6,0,0,6,1.0,0.0,0.0,Stephen A. Labate,1.0
26077,26015,100,0,0,0,0,0,0,0,n/a,0
26078,26003,100,0,0,0,0,0,0,0,n/a,0
27023,27023,100,2,0,7,9,0.2222222222222222,0.0,0.7777777777777778,Grant M. Lally,0.7777777777777778
27051,27051,100,11,0,10,21,0.5238095238095238,0.0,0.47619047619047616,Stephen A. Labate,0.5238095238095238
27076,27023,100,0,0,0,0,0,0,0,n/a,0
33001,33001,100,5,0,4,9,0.5555555555555556,0.0,0.4444444444444444,Stephen A. Labate,0.5555555555555556
33002,33002,100,4,0,4,8,0.5,0.0,0.5,Tie,0.5
33003,33003,100,0,0,4,4,0.0,0.0,1.0,Grant M. Lally,1.0
33004,33004,100,6,0,8,14,0.42857142857142855,0.0,0.5714285714285714,Grant M. Lally,0.5714285714285714
33005,33005,100,6,0,8,14,0.42857142857142855,0.0,0.5714285714285714,Grant M. Lally,0.5714285714285714
33006,33006,100,2,0,8,10,0.2,0.0,0.8,Grant M. Lally,0.8
33007,33007,100,1,0,10,11,0.09090909090909091,0.0,0.9090909090909091,Grant M. Lally,0.9090909090909091
33008,33008,100,0,0,4,4,0.0,0.0,1.0,Grant M. Lally,1.0
33009,33009,100,4,0,9,13,0.3076923076923077,0.0,0.6923076923076923,Grant M. Lally,0.6923076923076923
33010,33010,100,4,0,1,5,0.8,0.0,0.2,Stephen A. Labate,0.8
33011,33011,100,1,0,3,4,0.25,0.0,0.75,Grant M. Lally,0.75
33012,33012,100,4,0,5,9,0.4444444444444444,0.0,0.5555555555555556,Grant M. Lally,0.5555555555555556
40001,40001,100,8,0,6,14,0.5714285714285714,0.0,0.42857142857142855,Stephen A. Labate,0.5714285714285714
40002,40002,100,6,0,3,9,0.6666666666666666,0.0,0.3333333333333333,Stephen A. Labate,0.6666666666666666
40010,40001,100,0,0,0,0,0,0,0,n/a,0
