ED,Reported As,Reporting,Guillermo E. Philpotts,Rubain J. Dorancy,Scattered,Jesse E. Hamilton,Total Votes,p_Guillermo E. Philpotts,p_Rubain J. Dorancy,p_Scattered,p_Jesse E. Hamilton,winner,winner_p
43038,43038,100,6,89,0,146,241,0.024896265560165973,0.36929460580912865,0.0,0.6058091286307054,Jesse E. Hamilton,0.6058091286307054
43039,43039,100,7,65,0,70,142,0.04929577464788732,0.45774647887323944,0.0,0.49295774647887325,Jesse E. Hamilton,0.49295774647887325
43040,43040,100,1,25,0,47,73,0.0136986301369863,0.3424657534246575,0.0,0.6438356164383562,Jesse E. Hamilton,0.6438356164383562
43041,43041,100,5,26,0,46,77,0.06493506493506493,0.33766233766233766,0.0,0.5974025974025974,Jesse E. Hamilton,0.5974025974025974
43042,43042,100,4,23,0,101,128,0.03125,0.1796875,0.0,0.7890625,Jesse E. Hamilton,0.7890625
43043,43043,100,1,13,0,40,54,0.018518518518518517,0.24074074074074073,0.0,0.7407407407407407,Jesse E. Hamilton,0.7407407407407407
43044,43044,100,3,13,0,46,62,0.04838709677419355,0.20967741935483872,0.0,0.7419354838709677,Jesse E. Hamilton,0.7419354838709677
43052,43052,100,5,35,0,70,110,0.045454545454545456,0.3181818181818182,0.0,0.6363636363636364,Jesse E. Hamilton,0.6363636363636364
43053,43053,100,13,26,0,76,115,0.11304347826086956,0.22608695652173913,0.0,0.6608695652173913,Jesse E. Hamilton,0.6608695652173913
43054,43054,100,2,33,1,73,109,0.01834862385321101,0.30275229357798167,0.009174311926605505,0.6697247706422018,Jesse E. Hamilton,0.6697247706422018
43055,43055,100,3,31,0,41,75,0.04,0.41333333333333333,0.0,0.5466666666666666,Jesse E. Hamilton,0.5466666666666666
43056,43056,100,9,25,0,54,88,0.10227272727272728,0.2840909090909091,0.0,0.6136363636363636,Jesse E. Hamilton,0.6136363636363636
43057,43057,100,1,14,0,44,59,0.01694915254237288,0.23728813559322035,0.0,0.7457627118644068,Jesse E. Hamilton,0.7457627118644068
43058,43058,100,0,11,0,42,53,0.0,0.20754716981132076,0.0,0.7924528301886793,Jesse E. Hamilton,0.7924528301886793
43059,43059,100,2,13,0,41,56,0.03571428571428571,0.23214285714285715,0.0,0.7321428571428571,Jesse E. Hamilton,0.7321428571428571
43060,43060,100,5,18,0,72,95,0.05263157894736842,0.18947368421052632,0.0,0.7578947368421053,Jesse E. Hamilton,0.7578947368421053
43061,43061,100,9,23,0,66,98,0.09183673469387756,0.23469387755102042,0.0,0.673469387755102,Jesse E. Hamilton,0.673469387755102
43062,43062,100,0,13,0,39,52,0.0,0.25,0.0,0.75,Jesse E. Hamilton,0.75
43063,43063,100,1,11,0,33,45,0.022222222222222223,0.24444444444444444,0.0,0.7333333333333333,Jesse E. Hamilton,0.7333333333333333
43064,43064,100,1,8,0,34,43,0.023255813953488372,0.18604651162790697,0.0,0.7906976744186046,Jesse E. Hamilton,0.7906976744186046
43065,43065,100,1,12,0,38,51,0.0196078431372549,0.23529411764705882,0.0,0.7450980392156863,Jesse E. Hamilton,0.7450980392156863
43066,43066,100,2,17,0,88,107,0.018691588785046728,0.1588785046728972,0.0,0.822429906542056,Jesse E. Hamilton,0.822429906542056
43067,43067,100,7,17,0,119,143,0.04895104895104895,0.11888111888111888,0.0,0.8321678321678322,Jesse E. Hamilton,0.8321678321678322
43068,43068,100,11,37,0,104,152,0.07236842105263158,0.24342105263157895,0.0,0.6842105263157895,Jesse E. Hamilton,0.6842105263157895
43069,43069,100,2,34,0,77,113,0.017699115044247787,0.3008849557522124,0.0,0.6814159292035398,Jesse E. Hamilton,0.6814159292035398
43070,43070,100,3,19,1,37,60,0.05,0.31666666666666665,0.016666666666666666,0.6166666666666667,Jesse E. Hamilton,0.6166666666666667
43071,43071,100,3,14,0,74,91,0.03296703296703297,0.15384615384615385,0.0,0.8131868131868132,Jesse E. Hamilton,0.8131868131868132
43073,43073,100,2,55,0,85,142,0.014084507042253521,0.3873239436619718,0.0,0.5985915492957746,Jesse E. Hamilton,0.5985915492957746
49001,49001,100,6,6,2,27,41,0.14634146341463414,0.14634146341463414,0.04878048780487805,0.6585365853658537,Jesse E. Hamilton,0.6585365853658537
49002,49002,100,4,6,2,29,41,0.0975609756097561,0.14634146341463414,0.04878048780487805,0.7073170731707317,Jesse E. Hamilton,0.7073170731707317
49003,49003,100,6,8,7,13,34,0.17647058823529413,0.23529411764705882,0.20588235294117646,0.38235294117647056,Jesse E. Hamilton,0.38235294117647056
49004,49004,100,7,6,13,11,37,0.1891891891891892,0.16216216216216217,0.35135135135135137,0.2972972972972973,Scattered,0.35135135135135137
49005,49005,100,2,4,0,12,18,0.1111111111111111,0.2222222222222222,0.0,0.6666666666666666,Jesse E. Hamilton,0.6666666666666666
49062,49062,100,2,9,0,11,22,0.09090909090909091,0.4090909090909091,0.0,0.5,Jesse E. Hamilton,0.5
49014,49062,100,0,0,0,0,0,0,0,0,0,n/a,0
51020,51020,100,4,16,0,19,39,0.10256410256410256,0.41025641025641024,0.0,0.48717948717948717,Jesse E. Hamilton,0.48717948717948717
51023,51023,100,10,4,0,6,20,0.5,0.2,0.0,0.3,Guillermo E. Philpotts,0.5
51028,51028,100,0,2,0,5,7,0.0,0.2857142857142857,0.0,0.7142857142857143,Jesse E. Hamilton,0.7142857142857143
51029,51029,100,9,26,0,26,61,0.14754098360655737,0.4262295081967213,0.0,0.4262295081967213,Tie,0.4262295081967213
51030,51030,100,7,16,0,31,54,0.12962962962962962,0.2962962962962963,0.0,0.5740740740740741,Jesse E. Hamilton,0.5740740740740741
51031,51031,100,8,16,1,36,61,0.13114754098360656,0.26229508196721313,0.01639344262295082,0.5901639344262295,Jesse E. Hamilton,0.5901639344262295
51032,51032,100,9,29,0,30,68,0.1323529411764706,0.4264705882352941,0.0,0.4411764705882353,Jesse E. Hamilton,0.4411764705882353
51033,51033,100,8,20,1,17,46,0.17391304347826086,0.43478260869565216,0.021739130434782608,0.3695652173913043,Rubain J. Dorancy,0.43478260869565216
51034,51034,100,6,16,0,17,39,0.15384615384615385,0.41025641025641024,0.0,0.4358974358974359,Jesse E. Hamilton,0.4358974358974359
51035,51035,100,11,37,0,26,74,0.14864864864864866,0.5,0.0,0.35135135135135137,Rubain J. Dorancy,0.5
51036,51036,100,5,31,2,25,63,0.07936507936507936,0.49206349206349204,0.031746031746031744,0.3968253968253968,Rubain J. Dorancy,0.49206349206349204
51037,51037,100,9,25,0,25,59,0.15254237288135594,0.423728813559322,0.0,0.423728813559322,Tie,0.423728813559322
51038,51038,100,11,60,0,52,123,0.08943089430894309,0.4878048780487805,0.0,0.42276422764227645,Rubain J. Dorancy,0.4878048780487805
51039,51039,100,13,39,1,39,92,0.14130434782608695,0.42391304347826086,0.010869565217391304,0.42391304347826086,Tie,0.42391304347826086
51040,51040,100,7,34,1,49,91,0.07692307692307693,0.37362637362637363,0.01098901098901099,0.5384615384615384,Jesse E. Hamilton,0.5384615384615384
51041,51041,100,8,18,0,49,75,0.10666666666666667,0.24,0.0,0.6533333333333333,Jesse E. Hamilton,0.6533333333333333
51042,51042,100,5,19,1,24,49,0.10204081632653061,0.3877551020408163,0.02040816326530612,0.4897959183673469,Jesse E. Hamilton,0.4897959183673469
51043,51043,100,3,7,0,12,22,0.13636363636363635,0.3181818181818182,0.0,0.5454545454545454,Jesse E. Hamilton,0.5454545454545454
51063,51063,100,14,13,0,27,54,0.25925925925925924,0.24074074074074073,0.0,0.5,Jesse E. Hamilton,0.5
51064,51064,100,9,13,1,47,70,0.12857142857142856,0.18571428571428572,0.014285714285714285,0.6714285714285714,Jesse E. Hamilton,0.6714285714285714
51065,51065,100,8,11,0,49,68,0.11764705882352941,0.16176470588235295,0.0,0.7205882352941176,Jesse E. Hamilton,0.7205882352941176
51066,51066,100,4,18,1,27,50,0.08,0.36,0.02,0.54,Jesse E. Hamilton,0.54
51067,51067,100,5,6,0,35,46,0.10869565217391304,0.13043478260869565,0.0,0.7608695652173914,Jesse E. Hamilton,0.7608695652173914
52021,52021,100,0,6,1,8,15,0.0,0.4,0.06666666666666667,0.5333333333333333,Jesse E. Hamilton,0.5333333333333333
52026,52026,100,7,21,0,54,82,0.08536585365853659,0.25609756097560976,0.0,0.6585365853658537,Jesse E. Hamilton,0.6585365853658537
52064,52064,100,2,38,0,53,93,0.021505376344086023,0.40860215053763443,0.0,0.5698924731182796,Jesse E. Hamilton,0.5698924731182796
52065,52065,100,9,30,4,56,99,0.09090909090909091,0.30303030303030304,0.04040404040404041,0.5656565656565656,Jesse E. Hamilton,0.5656565656565656
52066,52066,100,14,24,0,75,113,0.12389380530973451,0.21238938053097345,0.0,0.6637168141592921,Jesse E. Hamilton,0.6637168141592921
52067,52067,100,2,28,2,49,81,0.024691358024691357,0.345679012345679,0.024691358024691357,0.6049382716049383,Jesse E. Hamilton,0.6049382716049383
52072,52072,100,5,31,0,44,80,0.0625,0.3875,0.0,0.55,Jesse E. Hamilton,0.55
52073,52073,100,5,74,0,135,214,0.02336448598130841,0.34579439252336447,0.0,0.6308411214953271,Jesse E. Hamilton,0.6308411214953271
52074,52074,100,3,54,0,120,177,0.01694915254237288,0.3050847457627119,0.0,0.6779661016949152,Jesse E. Hamilton,0.6779661016949152
52075,52075,100,5,46,0,109,160,0.03125,0.2875,0.0,0.68125,Jesse E. Hamilton,0.68125
52079,52079,100,3,3,0,5,11,0.2727272727272727,0.2727272727272727,0.0,0.45454545454545453,Jesse E. Hamilton,0.45454545454545453
52087,52087,100,13,48,1,83,145,0.0896551724137931,0.3310344827586207,0.006896551724137931,0.5724137931034483,Jesse E. Hamilton,0.5724137931034483
52088,52088,100,14,44,1,78,137,0.10218978102189781,0.32116788321167883,0.0072992700729927005,0.5693430656934306,Jesse E. Hamilton,0.5693430656934306
52093,52093,100,10,20,0,32,62,0.16129032258064516,0.3225806451612903,0.0,0.5161290322580645,Jesse E. Hamilton,0.5161290322580645
52094,52094,100,2,21,0,27,50,0.04,0.42,0.0,0.54,Jesse E. Hamilton,0.54
55035,55035,100,6,14,0,61,81,0.07407407407407407,0.1728395061728395,0.0,0.7530864197530864,Jesse E. Hamilton,0.7530864197530864
55057,55057,100,7,8,0,42,57,0.12280701754385964,0.14035087719298245,0.0,0.7368421052631579,Jesse E. Hamilton,0.7368421052631579
55058,55058,100,3,8,0,32,43,0.06976744186046512,0.18604651162790697,0.0,0.7441860465116279,Jesse E. Hamilton,0.7441860465116279
55059,55059,100,7,13,0,48,68,0.10294117647058823,0.19117647058823528,0.0,0.7058823529411765,Jesse E. Hamilton,0.7058823529411765
55061,55061,100,0,0,0,0,0,0,0,0,0,n/a,0
55065,55065,100,2,4,0,39,45,0.044444444444444446,0.08888888888888889,0.0,0.8666666666666667,Jesse E. Hamilton,0.8666666666666667
55066,55066,100,7,8,0,55,70,0.1,0.11428571428571428,0.0,0.7857142857142857,Jesse E. Hamilton,0.7857142857142857
55067,55067,100,5,17,0,50,72,0.06944444444444445,0.2361111111111111,0.0,0.6944444444444444,Jesse E. Hamilton,0.6944444444444444
55068,55068,100,4,9,0,51,64,0.0625,0.140625,0.0,0.796875,Jesse E. Hamilton,0.796875
55069,55069,100,10,19,0,54,83,0.12048192771084337,0.2289156626506024,0.0,0.6506024096385542,Jesse E. Hamilton,0.6506024096385542
55070,55070,100,1,8,0,24,33,0.030303030303030304,0.24242424242424243,0.0,0.7272727272727273,Jesse E. Hamilton,0.7272727272727273
55071,55071,100,2,10,0,24,36,0.05555555555555555,0.2777777777777778,0.0,0.6666666666666666,Jesse E. Hamilton,0.6666666666666666
55072,55072,100,3,21,1,60,85,0.03529411764705882,0.24705882352941178,0.011764705882352941,0.7058823529411765,Jesse E. Hamilton,0.7058823529411765
55073,55073,100,0,0,0,0,0,0,0,0,0,n/a,0
55076,55076,100,1,18,0,41,60,0.016666666666666666,0.3,0.0,0.6833333333333333,Jesse E. Hamilton,0.6833333333333333
55078,55078,100,2,29,0,70,101,0.019801980198019802,0.2871287128712871,0.0,0.693069306930693,Jesse E. Hamilton,0.693069306930693
55079,55079,100,3,11,2,34,50,0.06,0.22,0.04,0.68,Jesse E. Hamilton,0.68
55080,55080,100,3,13,0,31,47,0.06382978723404255,0.2765957446808511,0.0,0.6595744680851063,Jesse E. Hamilton,0.6595744680851063
55081,55081,100,6,10,0,25,41,0.14634146341463414,0.24390243902439024,0.0,0.6097560975609756,Jesse E. Hamilton,0.6097560975609756
55082,55082,100,3,10,1,23,37,0.08108108108108109,0.2702702702702703,0.02702702702702703,0.6216216216216216,Jesse E. Hamilton,0.6216216216216216
55083,55083,100,3,7,0,16,26,0.11538461538461539,0.2692307692307692,0.0,0.6153846153846154,Jesse E. Hamilton,0.6153846153846154
55084,55084,100,4,24,0,55,83,0.04819277108433735,0.2891566265060241,0.0,0.6626506024096386,Jesse E. Hamilton,0.6626506024096386
55085,55085,100,5,18,0,56,79,0.06329113924050633,0.22784810126582278,0.0,0.7088607594936709,Jesse E. Hamilton,0.7088607594936709
55086,55086,100,1,4,0,19,24,0.041666666666666664,0.16666666666666666,0.0,0.7916666666666666,Jesse E. Hamilton,0.7916666666666666
55087,55087,100,4,25,0,48,77,0.05194805194805195,0.3246753246753247,0.0,0.6233766233766234,Jesse E. Hamilton,0.6233766233766234
55088,55088,100,4,14,0,62,80,0.05,0.175,0.0,0.775,Jesse E. Hamilton,0.775
55089,55089,100,7,27,0,50,84,0.08333333333333333,0.32142857142857145,0.0,0.5952380952380952,Jesse E. Hamilton,0.5952380952380952
55090,55090,100,0,10,1,32,43,0.0,0.23255813953488372,0.023255813953488372,0.7441860465116279,Jesse E. Hamilton,0.7441860465116279
55091,55091,100,12,23,1,64,100,0.12,0.23,0.01,0.64,Jesse E. Hamilton,0.64
55092,55092,100,4,18,1,56,79,0.05063291139240506,0.22784810126582278,0.012658227848101266,0.7088607594936709,Jesse E. Hamilton,0.7088607594936709
55093,55093,100,3,11,1,45,60,0.05,0.18333333333333332,0.016666666666666666,0.75,Jesse E. Hamilton,0.75
55094,55094,100,4,15,0,47,66,0.06060606060606061,0.22727272727272727,0.0,0.7121212121212122,Jesse E. Hamilton,0.7121212121212122
55095,55095,100,0,7,0,11,18,0.0,0.3888888888888889,0.0,0.6111111111111112,Jesse E. Hamilton,0.6111111111111112
55096,55096,100,3,4,0,19,26,0.11538461538461539,0.15384615384615385,0.0,0.7307692307692307,Jesse E. Hamilton,0.7307692307692307
55097,55097,100,2,15,2,51,70,0.02857142857142857,0.21428571428571427,0.02857142857142857,0.7285714285714285,Jesse E. Hamilton,0.7285714285714285
55098,55098,100,0,4,0,6,10,0.0,0.4,0.0,0.6,Jesse E. Hamilton,0.6
55100,55100,100,2,3,0,23,28,0.07142857142857142,0.10714285714285714,0.0,0.8214285714285714,Jesse E. Hamilton,0.8214285714285714
56073,56073,100,2,8,1,18,29,0.06896551724137931,0.27586206896551724,0.034482758620689655,0.6206896551724138,Jesse E. Hamilton,0.6206896551724138
56075,56075,100,0,12,0,24,36,0.0,0.3333333333333333,0.0,0.6666666666666666,Jesse E. Hamilton,0.6666666666666666
56076,56076,100,0,4,2,38,44,0.0,0.09090909090909091,0.045454545454545456,0.8636363636363636,Jesse E. Hamilton,0.8636363636363636
56077,56077,100,6,14,0,61,81,0.07407407407407407,0.1728395061728395,0.0,0.7530864197530864,Jesse E. Hamilton,0.7530864197530864
56078,56078,100,3,17,0,47,67,0.04477611940298507,0.2537313432835821,0.0,0.7014925373134329,Jesse E. Hamilton,0.7014925373134329
57067,57067,100,3,20,0,52,75,0.04,0.26666666666666666,0.0,0.6933333333333334,Jesse E. Hamilton,0.6933333333333334
57068,57068,100,4,52,0,88,144,0.027777777777777776,0.3611111111111111,0.0,0.6111111111111112,Jesse E. Hamilton,0.6111111111111112
57069,57069,100,9,26,0,59,94,0.09574468085106383,0.2765957446808511,0.0,0.6276595744680851,Jesse E. Hamilton,0.6276595744680851
57070,57070,100,4,35,0,66,105,0.0380952380952381,0.3333333333333333,0.0,0.6285714285714286,Jesse E. Hamilton,0.6285714285714286
57071,57071,100,1,22,0,48,71,0.014084507042253521,0.30985915492957744,0.0,0.676056338028169,Jesse E. Hamilton,0.676056338028169
57072,57072,100,9,41,0,87,137,0.06569343065693431,0.29927007299270075,0.0,0.635036496350365,Jesse E. Hamilton,0.635036496350365
57073,57073,100,0,20,0,46,66,0.0,0.30303030303030304,0.0,0.696969696969697,Jesse E. Hamilton,0.696969696969697
57074,57074,100,4,34,0,80,118,0.03389830508474576,0.288135593220339,0.0,0.6779661016949152,Jesse E. Hamilton,0.6779661016949152
57075,57075,100,4,47,0,82,133,0.03007518796992481,0.3533834586466165,0.0,0.6165413533834586,Jesse E. Hamilton,0.6165413533834586
57076,57076,100,2,54,1,84,141,0.014184397163120567,0.3829787234042553,0.0070921985815602835,0.5957446808510638,Jesse E. Hamilton,0.5957446808510638
57077,57077,100,0,23,0,26,49,0.0,0.46938775510204084,0.0,0.5306122448979592,Jesse E. Hamilton,0.5306122448979592
57078,57078,100,3,64,2,79,148,0.02027027027027027,0.43243243243243246,0.013513513513513514,0.5337837837837838,Jesse E. Hamilton,0.5337837837837838
57079,57079,100,6,46,0,67,119,0.05042016806722689,0.3865546218487395,0.0,0.5630252100840336,Jesse E. Hamilton,0.5630252100840336
57080,57080,100,3,43,0,76,122,0.02459016393442623,0.3524590163934426,0.0,0.6229508196721312,Jesse E. Hamilton,0.6229508196721312
57081,57081,100,5,37,0,61,103,0.04854368932038835,0.3592233009708738,0.0,0.5922330097087378,Jesse E. Hamilton,0.5922330097087378
57082,57082,100,0,9,0,32,41,0.0,0.21951219512195122,0.0,0.7804878048780488,Jesse E. Hamilton,0.7804878048780488
57083,57083,100,5,31,0,45,81,0.06172839506172839,0.38271604938271603,0.0,0.5555555555555556,Jesse E. Hamilton,0.5555555555555556
57084,57084,100,3,16,0,24,43,0.06976744186046512,0.37209302325581395,0.0,0.5581395348837209,Jesse E. Hamilton,0.5581395348837209
57085,57085,100,6,49,0,65,120,0.05,0.4083333333333333,0.0,0.5416666666666666,Jesse E. Hamilton,0.5416666666666666
57088,57088,100,4,23,0,63,90,0.044444444444444446,0.25555555555555554,0.0,0.7,Jesse E. Hamilton,0.7
57089,57089,100,3,34,1,50,88,0.03409090909090909,0.38636363636363635,0.011363636363636364,0.5681818181818182,Jesse E. Hamilton,0.5681818181818182
57090,57090,100,4,57,0,154,215,0.018604651162790697,0.2651162790697674,0.0,0.7162790697674418,Jesse E. Hamilton,0.7162790697674418
57091,57091,100,2,45,0,147,194,0.010309278350515464,0.23195876288659795,0.0,0.7577319587628866,Jesse E. Hamilton,0.7577319587628866
57092,57092,100,0,18,0,62,80,0.0,0.225,0.0,0.775,Jesse E. Hamilton,0.775
57093,57093,100,0,28,0,63,91,0.0,0.3076923076923077,0.0,0.6923076923076923,Jesse E. Hamilton,0.6923076923076923
58001,58001,100,3,19,0,62,84,0.03571428571428571,0.2261904761904762,0.0,0.7380952380952381,Jesse E. Hamilton,0.7380952380952381
58002,58002,100,8,26,3,77,114,0.07017543859649122,0.22807017543859648,0.02631578947368421,0.6754385964912281,Jesse E. Hamilton,0.6754385964912281
58003,58003,100,4,35,0,31,70,0.05714285714285714,0.5,0.0,0.44285714285714284,Rubain J. Dorancy,0.5
58004,58004,100,1,34,0,64,99,0.010101010101010102,0.3434343434343434,0.0,0.6464646464646465,Jesse E. Hamilton,0.6464646464646465
58005,58005,100,8,21,0,88,117,0.06837606837606838,0.1794871794871795,0.0,0.7521367521367521,Jesse E. Hamilton,0.7521367521367521
58006,58006,100,3,17,0,50,70,0.04285714285714286,0.24285714285714285,0.0,0.7142857142857143,Jesse E. Hamilton,0.7142857142857143
58007,58007,100,1,20,0,45,66,0.015151515151515152,0.30303030303030304,0.0,0.6818181818181818,Jesse E. Hamilton,0.6818181818181818
58008,58008,100,1,39,0,58,98,0.01020408163265306,0.3979591836734694,0.0,0.5918367346938775,Jesse E. Hamilton,0.5918367346938775
58009,58009,100,7,24,0,52,83,0.08433734939759036,0.2891566265060241,0.0,0.6265060240963856,Jesse E. Hamilton,0.6265060240963856
58010,58010,100,3,27,0,42,72,0.041666666666666664,0.375,0.0,0.5833333333333334,Jesse E. Hamilton,0.5833333333333334
58011,58011,100,4,20,0,42,66,0.06060606060606061,0.30303030303030304,0.0,0.6363636363636364,Jesse E. Hamilton,0.6363636363636364
58012,58012,100,3,33,0,67,103,0.02912621359223301,0.32038834951456313,0.0,0.6504854368932039,Jesse E. Hamilton,0.6504854368932039
58013,58013,100,3,17,0,48,68,0.04411764705882353,0.25,0.0,0.7058823529411765,Jesse E. Hamilton,0.7058823529411765
58014,58014,100,1,9,0,33,43,0.023255813953488372,0.20930232558139536,0.0,0.7674418604651163,Jesse E. Hamilton,0.7674418604651163
58015,58015,100,5,24,1,33,63,0.07936507936507936,0.38095238095238093,0.015873015873015872,0.5238095238095238,Jesse E. Hamilton,0.5238095238095238
58045,58045,100,6,23,0,52,81,0.07407407407407407,0.2839506172839506,0.0,0.6419753086419753,Jesse E. Hamilton,0.6419753086419753
58046,58046,100,5,18,0,58,81,0.06172839506172839,0.2222222222222222,0.0,0.7160493827160493,Jesse E. Hamilton,0.7160493827160493
58047,58047,100,5,12,0,26,43,0.11627906976744186,0.27906976744186046,0.0,0.6046511627906976,Jesse E. Hamilton,0.6046511627906976
58048,58048,100,2,14,0,28,44,0.045454545454545456,0.3181818181818182,0.0,0.6363636363636364,Jesse E. Hamilton,0.6363636363636364
58052,58052,100,0,17,1,41,59,0.0,0.288135593220339,0.01694915254237288,0.6949152542372882,Jesse E. Hamilton,0.6949152542372882
58053,58053,100,0,7,0,8,15,0.0,0.4666666666666667,0.0,0.5333333333333333,Jesse E. Hamilton,0.5333333333333333
58054,58054,100,2,14,0,32,48,0.041666666666666664,0.2916666666666667,0.0,0.6666666666666666,Jesse E. Hamilton,0.6666666666666666
