ED,Reported As,Reporting,Jackson R. Halebian,Jessica Tomlinson,Lorance Hockert,Joy Zagoren,David Bamberger,Marilyn Diamond,Lee Wiggins,Patricia Carlin,Amber Ravenel,Elana Schwartz,Miriam Stern,Samantha W. Halebian,Teresa Malyshev,Chloe Pashman,David A. Stampley,Scattered,Lisa K. Pass,Deborah Mallow,Frederick W. Gerkens III,Courtney Booth,Abraham H. Salcedo,Lynne C. Feibelmann,Joan M. Roberts,Alfred R. Fuente,Total Votes,p_Jackson R. Halebian,p_Jessica Tomlinson,p_Lorance Hockert,p_Joy Zagoren,p_David Bamberger,p_Marilyn Diamond,p_Lee Wiggins,p_Patricia Carlin,p_Amber Ravenel,p_Elana Schwartz,p_Miriam Stern,p_Samantha W. Halebian,p_Teresa Malyshev,p_Chloe Pashman,p_David A. Stampley,p_Scattered,p_Lisa K. Pass,p_Deborah Mallow,p_Frederick W. Gerkens III,p_Courtney Booth,p_Abraham H. Salcedo,p_Lynne C. Feibelmann,p_Joan M. Roberts,p_Alfred R. Fuente,winner,winner_p
76022,76022,100,8,10,3,5,11,12,4,13,12,6,9,11,3,5,6,0,13,13,8,10,2,5,5,5,179,0.0446927374301676,0.055865921787709494,0.01675977653631285,0.027932960893854747,0.061452513966480445,0.0670391061452514,0.0223463687150838,0.07262569832402235,0.0670391061452514,0.0335195530726257,0.05027932960893855,0.061452513966480445,0.01675977653631285,0.027932960893854747,0.0335195530726257,0.0,0.07262569832402235,0.07262569832402235,0.0446927374301676,0.055865921787709494,0.0111731843575419,0.027932960893854747,0.027932960893854747,0.027932960893854747,Tie,0.07262569832402235
76023,76023,100,6,12,1,5,9,12,3,10,8,6,7,9,3,8,7,0,11,10,7,10,3,3,7,3,160,0.0375,0.075,0.00625,0.03125,0.05625,0.075,0.01875,0.0625,0.05,0.0375,0.04375,0.05625,0.01875,0.05,0.04375,0.0,0.06875,0.0625,0.04375,0.0625,0.01875,0.01875,0.04375,0.01875,Tie,0.075
76024,76024,100,8,8,6,10,8,10,10,9,13,12,11,11,10,11,6,0,11,11,8,8,8,12,13,9,223,0.03587443946188341,0.03587443946188341,0.026905829596412557,0.04484304932735426,0.03587443946188341,0.04484304932735426,0.04484304932735426,0.04035874439461883,0.05829596412556054,0.053811659192825115,0.04932735426008968,0.04932735426008968,0.04484304932735426,0.04932735426008968,0.026905829596412557,0.0,0.04932735426008968,0.04932735426008968,0.03587443946188341,0.03587443946188341,0.03587443946188341,0.053811659192825115,0.05829596412556054,0.04035874439461883,Tie,0.05829596412556054
76025,76025,100,15,20,11,16,20,19,10,21,20,18,16,20,13,12,9,0,22,21,15,21,8,17,15,10,369,0.04065040650406504,0.05420054200542006,0.02981029810298103,0.04336043360433604,0.05420054200542006,0.051490514905149054,0.02710027100271003,0.056910569105691054,0.05420054200542006,0.04878048780487805,0.04336043360433604,0.05420054200542006,0.03523035230352303,0.032520325203252036,0.024390243902439025,0.0,0.05962059620596206,0.056910569105691054,0.04065040650406504,0.056910569105691054,0.02168021680216802,0.04607046070460705,0.04065040650406504,0.02710027100271003,Lisa K. Pass,0.05962059620596206
76026,76026,100,16,19,7,12,14,16,6,17,20,15,15,17,10,12,13,0,20,18,10,16,9,12,10,8,312,0.05128205128205128,0.060897435897435896,0.022435897435897436,0.038461538461538464,0.04487179487179487,0.05128205128205128,0.019230769230769232,0.05448717948717949,0.0641025641025641,0.04807692307692308,0.04807692307692308,0.05448717948717949,0.03205128205128205,0.038461538461538464,0.041666666666666664,0.0,0.0641025641025641,0.057692307692307696,0.03205128205128205,0.05128205128205128,0.028846153846153848,0.038461538461538464,0.03205128205128205,0.02564102564102564,Tie,0.0641025641025641
76027,76027,100,11,18,9,10,14,18,10,16,15,17,14,15,11,17,9,0,19,17,10,17,10,5,12,11,305,0.036065573770491806,0.05901639344262295,0.029508196721311476,0.03278688524590164,0.04590163934426229,0.05901639344262295,0.03278688524590164,0.05245901639344262,0.04918032786885246,0.05573770491803279,0.04590163934426229,0.04918032786885246,0.036065573770491806,0.05573770491803279,0.029508196721311476,0.0,0.06229508196721312,0.05573770491803279,0.03278688524590164,0.05573770491803279,0.03278688524590164,0.01639344262295082,0.03934426229508197,0.036065573770491806,Lisa K. Pass,0.06229508196721312
76028,76028,100,11,18,3,9,20,24,7,17,17,14,16,16,11,11,8,0,17,16,10,14,6,10,11,6,292,0.03767123287671233,0.06164383561643835,0.010273972602739725,0.030821917808219176,0.0684931506849315,0.0821917808219178,0.023972602739726026,0.05821917808219178,0.05821917808219178,0.04794520547945205,0.0547945205479452,0.0547945205479452,0.03767123287671233,0.03767123287671233,0.0273972602739726,0.0,0.05821917808219178,0.0547945205479452,0.03424657534246575,0.04794520547945205,0.02054794520547945,0.03424657534246575,0.03767123287671233,0.02054794520547945,Marilyn Diamond,0.0821917808219178
76029,76029,100,7,13,7,6,13,16,8,12,9,10,14,10,5,8,5,0,8,8,5,7,5,10,8,7,201,0.03482587064676617,0.06467661691542288,0.03482587064676617,0.029850746268656716,0.06467661691542288,0.07960199004975124,0.03980099502487562,0.05970149253731343,0.04477611940298507,0.04975124378109453,0.06965174129353234,0.04975124378109453,0.024875621890547265,0.03980099502487562,0.024875621890547265,0.0,0.03980099502487562,0.03980099502487562,0.024875621890547265,0.03482587064676617,0.024875621890547265,0.04975124378109453,0.03980099502487562,0.03482587064676617,Marilyn Diamond,0.07960199004975124
76030,76030,100,10,10,2,6,10,10,5,12,9,6,6,11,4,6,7,0,9,9,8,8,5,5,7,4,169,0.05917159763313609,0.05917159763313609,0.011834319526627219,0.03550295857988166,0.05917159763313609,0.05917159763313609,0.029585798816568046,0.07100591715976332,0.05325443786982249,0.03550295857988166,0.03550295857988166,0.0650887573964497,0.023668639053254437,0.03550295857988166,0.04142011834319527,0.0,0.05325443786982249,0.05325443786982249,0.047337278106508875,0.047337278106508875,0.029585798816568046,0.029585798816568046,0.04142011834319527,0.023668639053254437,Patricia Carlin,0.07100591715976332
76031,76031,100,6,11,9,10,10,14,9,9,12,15,16,12,13,11,7,0,12,8,6,7,12,10,13,11,243,0.024691358024691357,0.04526748971193416,0.037037037037037035,0.0411522633744856,0.0411522633744856,0.05761316872427984,0.037037037037037035,0.037037037037037035,0.04938271604938271,0.06172839506172839,0.06584362139917696,0.04938271604938271,0.053497942386831275,0.04526748971193416,0.02880658436213992,0.0,0.04938271604938271,0.03292181069958848,0.024691358024691357,0.02880658436213992,0.04938271604938271,0.0411522633744856,0.053497942386831275,0.04526748971193416,Miriam Stern,0.06584362139917696
76032,76032,100,11,25,15,20,18,28,16,18,21,28,32,16,18,16,15,0,22,23,11,20,16,22,19,15,445,0.024719101123595506,0.056179775280898875,0.033707865168539325,0.0449438202247191,0.04044943820224719,0.06292134831460675,0.035955056179775284,0.04044943820224719,0.04719101123595506,0.06292134831460675,0.07191011235955057,0.035955056179775284,0.04044943820224719,0.035955056179775284,0.033707865168539325,0.0,0.04943820224719101,0.051685393258426963,0.024719101123595506,0.0449438202247191,0.035955056179775284,0.04943820224719101,0.04269662921348315,0.033707865168539325,Miriam Stern,0.07191011235955057
76033,76033,100,8,18,10,10,12,17,7,14,17,16,16,12,12,14,9,0,13,15,7,14,13,16,17,9,296,0.02702702702702703,0.060810810810810814,0.033783783783783786,0.033783783783783786,0.04054054054054054,0.057432432432432436,0.02364864864864865,0.0472972972972973,0.057432432432432436,0.05405405405405406,0.05405405405405406,0.04054054054054054,0.04054054054054054,0.0472972972972973,0.030405405405405407,0.0,0.04391891891891892,0.05067567567567568,0.02364864864864865,0.0472972972972973,0.04391891891891892,0.05405405405405406,0.057432432432432436,0.030405405405405407,Jessica Tomlinson,0.060810810810810814
76034,76034,100,12,25,11,17,21,28,12,23,23,18,21,19,18,15,16,0,24,21,16,23,11,13,14,15,416,0.028846153846153848,0.06009615384615385,0.026442307692307692,0.040865384615384616,0.05048076923076923,0.0673076923076923,0.028846153846153848,0.055288461538461536,0.055288461538461536,0.04326923076923077,0.05048076923076923,0.04567307692307692,0.04326923076923077,0.036057692307692304,0.038461538461538464,0.0,0.057692307692307696,0.05048076923076923,0.038461538461538464,0.055288461538461536,0.026442307692307692,0.03125,0.03365384615384615,0.036057692307692304,Marilyn Diamond,0.0673076923076923
76035,76035,100,22,43,16,20,31,40,12,33,30,25,30,31,17,21,17,0,31,36,20,32,11,21,29,9,577,0.038128249566724434,0.07452339688041594,0.02772963604852686,0.03466204506065858,0.053726169844020795,0.06932409012131716,0.02079722703639515,0.05719237435008666,0.05199306759098787,0.043327556325823226,0.05199306759098787,0.053726169844020795,0.029462738301559793,0.036395147313691506,0.029462738301559793,0.0,0.053726169844020795,0.06239168110918544,0.03466204506065858,0.05545927209705372,0.019064124783362217,0.036395147313691506,0.05025996533795494,0.01559792027729636,Jessica Tomlinson,0.07452339688041594
76036,76036,100,10,14,4,8,13,9,4,8,9,8,11,11,6,8,4,0,12,11,8,10,6,6,6,4,190,0.05263157894736842,0.07368421052631578,0.021052631578947368,0.042105263157894736,0.06842105263157895,0.04736842105263158,0.021052631578947368,0.042105263157894736,0.04736842105263158,0.042105263157894736,0.05789473684210526,0.05789473684210526,0.031578947368421054,0.042105263157894736,0.021052631578947368,0.0,0.06315789473684211,0.05789473684210526,0.042105263157894736,0.05263157894736842,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.021052631578947368,Jessica Tomlinson,0.07368421052631578
76037,76037,100,7,22,7,12,12,12,7,16,13,15,14,10,8,10,8,0,17,14,8,12,7,13,9,4,257,0.027237354085603113,0.08560311284046693,0.027237354085603113,0.04669260700389105,0.04669260700389105,0.04669260700389105,0.027237354085603113,0.0622568093385214,0.05058365758754864,0.058365758754863814,0.054474708171206226,0.038910505836575876,0.0311284046692607,0.038910505836575876,0.0311284046692607,0.0,0.06614785992217899,0.054474708171206226,0.0311284046692607,0.04669260700389105,0.027237354085603113,0.05058365758754864,0.03501945525291829,0.01556420233463035,Jessica Tomlinson,0.08560311284046693
76038,76038,100,5,10,6,13,14,13,12,14,12,16,21,10,12,18,6,0,14,10,5,11,9,17,14,8,270,0.018518518518518517,0.037037037037037035,0.022222222222222223,0.04814814814814815,0.05185185185185185,0.04814814814814815,0.044444444444444446,0.05185185185185185,0.044444444444444446,0.05925925925925926,0.07777777777777778,0.037037037037037035,0.044444444444444446,0.06666666666666667,0.022222222222222223,0.0,0.05185185185185185,0.037037037037037035,0.018518518518518517,0.040740740740740744,0.03333333333333333,0.06296296296296296,0.05185185185185185,0.02962962962962963,Miriam Stern,0.07777777777777778
76039,76039,100,10,18,10,11,14,17,10,16,16,13,13,13,13,15,13,0,15,13,13,15,12,13,13,12,308,0.032467532467532464,0.05844155844155844,0.032467532467532464,0.03571428571428571,0.045454545454545456,0.05519480519480519,0.032467532467532464,0.05194805194805195,0.05194805194805195,0.04220779220779221,0.04220779220779221,0.04220779220779221,0.04220779220779221,0.048701298701298704,0.04220779220779221,0.0,0.048701298701298704,0.04220779220779221,0.04220779220779221,0.048701298701298704,0.03896103896103896,0.04220779220779221,0.04220779220779221,0.03896103896103896,Jessica Tomlinson,0.05844155844155844
76040,76040,100,10,23,17,18,23,31,14,29,24,25,29,22,18,20,11,0,22,22,20,25,18,22,20,15,478,0.02092050209205021,0.04811715481171548,0.03556485355648536,0.03765690376569038,0.04811715481171548,0.06485355648535565,0.029288702928870293,0.060669456066945605,0.0502092050209205,0.05230125523012552,0.060669456066945605,0.04602510460251046,0.03765690376569038,0.04184100418410042,0.02301255230125523,0.0,0.04602510460251046,0.04602510460251046,0.04184100418410042,0.05230125523012552,0.03765690376569038,0.04602510460251046,0.04184100418410042,0.03138075313807531,Marilyn Diamond,0.06485355648535565
76041,76041,100,12,19,10,11,15,23,11,20,13,13,15,18,10,10,6,0,17,16,9,16,7,15,12,8,306,0.0392156862745098,0.06209150326797386,0.032679738562091505,0.03594771241830065,0.049019607843137254,0.07516339869281045,0.03594771241830065,0.06535947712418301,0.042483660130718956,0.042483660130718956,0.049019607843137254,0.058823529411764705,0.032679738562091505,0.032679738562091505,0.0196078431372549,0.0,0.05555555555555555,0.05228758169934641,0.029411764705882353,0.05228758169934641,0.02287581699346405,0.049019607843137254,0.0392156862745098,0.026143790849673203,Marilyn Diamond,0.07516339869281045
76042,76042,100,29,21,10,25,40,43,9,34,33,29,31,32,13,20,11,0,34,35,23,36,13,25,16,14,576,0.050347222222222224,0.036458333333333336,0.017361111111111112,0.043402777777777776,0.06944444444444445,0.07465277777777778,0.015625,0.059027777777777776,0.057291666666666664,0.050347222222222224,0.05381944444444445,0.05555555555555555,0.022569444444444444,0.034722222222222224,0.019097222222222224,0.0,0.059027777777777776,0.06076388888888889,0.03993055555555555,0.0625,0.022569444444444444,0.043402777777777776,0.027777777777777776,0.024305555555555556,Marilyn Diamond,0.07465277777777778
76043,76043,100,17,10,3,3,18,14,2,20,17,6,8,18,5,8,8,0,18,14,11,16,2,7,6,4,235,0.07234042553191489,0.0425531914893617,0.01276595744680851,0.01276595744680851,0.07659574468085106,0.059574468085106386,0.00851063829787234,0.0851063829787234,0.07234042553191489,0.02553191489361702,0.03404255319148936,0.07659574468085106,0.02127659574468085,0.03404255319148936,0.03404255319148936,0.0,0.07659574468085106,0.059574468085106386,0.04680851063829787,0.06808510638297872,0.00851063829787234,0.029787234042553193,0.02553191489361702,0.01702127659574468,Patricia Carlin,0.0851063829787234
76044,76044,100,17,22,6,11,19,18,9,20,21,14,18,19,11,10,8,0,20,18,14,19,12,13,11,12,342,0.049707602339181284,0.06432748538011696,0.017543859649122806,0.03216374269005848,0.05555555555555555,0.05263157894736842,0.02631578947368421,0.05847953216374269,0.06140350877192982,0.04093567251461988,0.05263157894736842,0.05555555555555555,0.03216374269005848,0.029239766081871343,0.023391812865497075,0.0,0.05847953216374269,0.05263157894736842,0.04093567251461988,0.05555555555555555,0.03508771929824561,0.038011695906432746,0.03216374269005848,0.03508771929824561,Jessica Tomlinson,0.06432748538011696
76045,76045,100,15,12,6,7,22,17,5,17,14,8,11,13,4,8,7,1,15,16,13,16,10,7,10,8,262,0.05725190839694656,0.04580152671755725,0.022900763358778626,0.026717557251908396,0.08396946564885496,0.0648854961832061,0.019083969465648856,0.0648854961832061,0.05343511450381679,0.030534351145038167,0.04198473282442748,0.04961832061068702,0.015267175572519083,0.030534351145038167,0.026717557251908396,0.003816793893129771,0.05725190839694656,0.061068702290076333,0.04961832061068702,0.061068702290076333,0.03816793893129771,0.026717557251908396,0.03816793893129771,0.030534351145038167,David Bamberger,0.08396946564885496
