ED,Reported As,Reporting,Everly D. Brown,Gian A. Jones,James Sanders Jr.,Scattered,Total Votes,p_Everly D. Brown,p_Gian A. Jones,p_James Sanders Jr.,p_Scattered,winner,winner_p
23078,23077,100,0,0,0,0,0,0,0,0,0,n/a,0
23079,23077,100,0,0,0,0,0,0,0,0,0,n/a,0
24026,24026,100,5,1,7,0,13,0.38461538461538464,0.07692307692307693,0.5384615384615384,0.0,James Sanders Jr.,0.5384615384615384
24063,24063,100,3,0,15,1,19,0.15789473684210525,0.0,0.7894736842105263,0.05263157894736842,James Sanders Jr.,0.7894736842105263
24064,24064,100,3,3,8,0,14,0.21428571428571427,0.21428571428571427,0.5714285714285714,0.0,James Sanders Jr.,0.5714285714285714
24068,24068,100,4,2,14,0,20,0.2,0.1,0.7,0.0,James Sanders Jr.,0.7
24069,24069,100,5,2,5,2,14,0.35714285714285715,0.14285714285714285,0.35714285714285715,0.14285714285714285,Tie,0.35714285714285715
24070,24070,100,5,2,11,0,18,0.2777777777777778,0.1111111111111111,0.6111111111111112,0.0,James Sanders Jr.,0.6111111111111112
24071,24071,100,5,3,11,0,19,0.2631578947368421,0.15789473684210525,0.5789473684210527,0.0,James Sanders Jr.,0.5789473684210527
24072,24072,100,3,3,10,0,16,0.1875,0.1875,0.625,0.0,James Sanders Jr.,0.625
24073,24073,100,8,3,17,0,28,0.2857142857142857,0.10714285714285714,0.6071428571428571,0.0,James Sanders Jr.,0.6071428571428571
24074,24074,100,4,4,8,0,16,0.25,0.25,0.5,0.0,James Sanders Jr.,0.5
24075,24075,100,0,1,10,0,11,0.0,0.09090909090909091,0.9090909090909091,0.0,James Sanders Jr.,0.9090909090909091
24076,24076,100,3,2,14,0,19,0.15789473684210525,0.10526315789473684,0.7368421052631579,0.0,James Sanders Jr.,0.7368421052631579
24077,24077,100,9,1,16,0,26,0.34615384615384615,0.038461538461538464,0.6153846153846154,0.0,James Sanders Jr.,0.6153846153846154
24079,24079,100,4,2,17,0,23,0.17391304347826086,0.08695652173913043,0.7391304347826086,0.0,James Sanders Jr.,0.7391304347826086
24082,24079,100,0,0,0,0,0,0,0,0,0,n/a,0
27069,27069,100,0,0,0,0,0,0,0,0,0,n/a,0
28001,28001,100,7,4,12,0,23,0.30434782608695654,0.17391304347826086,0.5217391304347826,0.0,James Sanders Jr.,0.5217391304347826
28002,28002,100,4,2,14,0,20,0.2,0.1,0.7,0.0,James Sanders Jr.,0.7
28004,28004,100,5,1,9,0,15,0.3333333333333333,0.06666666666666667,0.6,0.0,James Sanders Jr.,0.6
28005,28005,100,1,1,2,0,4,0.25,0.25,0.5,0.0,James Sanders Jr.,0.5
28008,28008,100,0,1,9,0,10,0.0,0.1,0.9,0.0,James Sanders Jr.,0.9
28013,28002,100,0,0,0,0,0,0,0,0,0,n/a,0
29035,29035,100,21,1,46,0,68,0.3088235294117647,0.014705882352941176,0.6764705882352942,0.0,James Sanders Jr.,0.6764705882352942
29040,29040,100,9,0,29,0,38,0.23684210526315788,0.0,0.7631578947368421,0.0,James Sanders Jr.,0.7631578947368421
29041,29041,100,11,2,49,1,63,0.1746031746031746,0.031746031746031744,0.7777777777777778,0.015873015873015872,James Sanders Jr.,0.7777777777777778
29042,29042,100,14,0,45,1,60,0.23333333333333334,0.0,0.75,0.016666666666666666,James Sanders Jr.,0.75
29043,29043,100,14,3,43,0,60,0.23333333333333334,0.05,0.7166666666666667,0.0,James Sanders Jr.,0.7166666666666667
29044,29044,100,7,1,37,1,46,0.15217391304347827,0.021739130434782608,0.8043478260869565,0.021739130434782608,James Sanders Jr.,0.8043478260869565
29045,29045,100,19,0,42,0,61,0.3114754098360656,0.0,0.6885245901639344,0.0,James Sanders Jr.,0.6885245901639344
29046,29046,100,7,0,32,0,39,0.1794871794871795,0.0,0.8205128205128205,0.0,James Sanders Jr.,0.8205128205128205
29047,29047,100,16,1,29,0,46,0.34782608695652173,0.021739130434782608,0.6304347826086957,0.0,James Sanders Jr.,0.6304347826086957
29048,29048,100,9,2,27,0,38,0.23684210526315788,0.05263157894736842,0.7105263157894737,0.0,James Sanders Jr.,0.7105263157894737
29049,29049,100,5,1,29,1,36,0.1388888888888889,0.027777777777777776,0.8055555555555556,0.027777777777777776,James Sanders Jr.,0.8055555555555556
29071,29071,100,17,2,46,0,65,0.26153846153846155,0.03076923076923077,0.7076923076923077,0.0,James Sanders Jr.,0.7076923076923077
31001,31001,100,1,1,22,0,24,0.041666666666666664,0.041666666666666664,0.9166666666666666,0.0,James Sanders Jr.,0.9166666666666666
31002,31002,100,4,2,16,0,22,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.0,James Sanders Jr.,0.7272727272727273
31003,31003,100,9,1,12,0,22,0.4090909090909091,0.045454545454545456,0.5454545454545454,0.0,James Sanders Jr.,0.5454545454545454
31004,31004,100,7,1,24,2,34,0.20588235294117646,0.029411764705882353,0.7058823529411765,0.058823529411764705,James Sanders Jr.,0.7058823529411765
31005,31005,100,2,0,7,0,9,0.2222222222222222,0.0,0.7777777777777778,0.0,James Sanders Jr.,0.7777777777777778
31007,31007,100,2,0,13,0,15,0.13333333333333333,0.0,0.8666666666666667,0.0,James Sanders Jr.,0.8666666666666667
31008,31008,100,5,2,15,0,22,0.22727272727272727,0.09090909090909091,0.6818181818181818,0.0,James Sanders Jr.,0.6818181818181818
31009,31009,100,3,3,29,0,35,0.08571428571428572,0.08571428571428572,0.8285714285714286,0.0,James Sanders Jr.,0.8285714285714286
31010,31010,100,9,3,31,0,43,0.20930232558139536,0.06976744186046512,0.7209302325581395,0.0,James Sanders Jr.,0.7209302325581395
31011,31011,100,17,1,28,0,46,0.3695652173913043,0.021739130434782608,0.6086956521739131,0.0,James Sanders Jr.,0.6086956521739131
31012,31012,100,6,0,22,0,28,0.21428571428571427,0.0,0.7857142857142857,0.0,James Sanders Jr.,0.7857142857142857
31013,31013,100,7,1,31,0,39,0.1794871794871795,0.02564102564102564,0.7948717948717948,0.0,James Sanders Jr.,0.7948717948717948
31014,31014,100,18,1,36,0,55,0.32727272727272727,0.01818181818181818,0.6545454545454545,0.0,James Sanders Jr.,0.6545454545454545
31015,31015,100,9,1,23,0,33,0.2727272727272727,0.030303030303030304,0.696969696969697,0.0,James Sanders Jr.,0.696969696969697
31016,31016,100,5,0,14,0,19,0.2631578947368421,0.0,0.7368421052631579,0.0,James Sanders Jr.,0.7368421052631579
31017,31017,100,2,4,30,0,36,0.05555555555555555,0.1111111111111111,0.8333333333333334,0.0,James Sanders Jr.,0.8333333333333334
31018,31018,100,11,2,39,0,52,0.21153846153846154,0.038461538461538464,0.75,0.0,James Sanders Jr.,0.75
31019,31019,100,11,1,39,0,51,0.21568627450980393,0.0196078431372549,0.7647058823529411,0.0,James Sanders Jr.,0.7647058823529411
31020,31020,100,1,0,5,0,6,0.16666666666666666,0.0,0.8333333333333334,0.0,James Sanders Jr.,0.8333333333333334
31022,31022,100,3,1,18,0,22,0.13636363636363635,0.045454545454545456,0.8181818181818182,0.0,James Sanders Jr.,0.8181818181818182
31023,31023,100,5,1,8,0,14,0.35714285714285715,0.07142857142857142,0.5714285714285714,0.0,James Sanders Jr.,0.5714285714285714
31024,31024,100,8,2,36,0,46,0.17391304347826086,0.043478260869565216,0.782608695652174,0.0,James Sanders Jr.,0.782608695652174
31025,31025,100,5,1,15,1,22,0.22727272727272727,0.045454545454545456,0.6818181818181818,0.045454545454545456,James Sanders Jr.,0.6818181818181818
31026,31026,100,1,2,12,0,15,0.06666666666666667,0.13333333333333333,0.8,0.0,James Sanders Jr.,0.8
31029,31029,100,6,0,35,4,45,0.13333333333333333,0.0,0.7777777777777778,0.08888888888888889,James Sanders Jr.,0.7777777777777778
31031,31031,100,1,0,0,0,1,1.0,0.0,0.0,0.0,Everly D. Brown,1.0
31030,31031,100,0,0,0,0,0,0,0,0,0,n/a,0
31032,31032,100,13,4,63,0,80,0.1625,0.05,0.7875,0.0,James Sanders Jr.,0.7875
31033,31033,100,3,0,39,0,42,0.07142857142857142,0.0,0.9285714285714286,0.0,James Sanders Jr.,0.9285714285714286
31034,31034,100,14,1,67,1,83,0.1686746987951807,0.012048192771084338,0.8072289156626506,0.012048192771084338,James Sanders Jr.,0.8072289156626506
31035,31035,100,14,1,37,1,53,0.2641509433962264,0.018867924528301886,0.6981132075471698,0.018867924528301886,James Sanders Jr.,0.6981132075471698
31036,31036,100,14,1,42,0,57,0.24561403508771928,0.017543859649122806,0.7368421052631579,0.0,James Sanders Jr.,0.7368421052631579
31037,31037,100,12,0,38,0,50,0.24,0.0,0.76,0.0,James Sanders Jr.,0.76
31038,31038,100,11,1,63,1,76,0.14473684210526316,0.013157894736842105,0.8289473684210527,0.013157894736842105,James Sanders Jr.,0.8289473684210527
31039,31039,100,5,4,32,0,41,0.12195121951219512,0.0975609756097561,0.7804878048780488,0.0,James Sanders Jr.,0.7804878048780488
31040,31040,100,10,1,59,0,70,0.14285714285714285,0.014285714285714285,0.8428571428571429,0.0,James Sanders Jr.,0.8428571428571429
31041,31041,100,11,0,46,0,57,0.19298245614035087,0.0,0.8070175438596491,0.0,James Sanders Jr.,0.8070175438596491
31042,31042,100,16,0,66,0,82,0.1951219512195122,0.0,0.8048780487804879,0.0,James Sanders Jr.,0.8048780487804879
31043,31043,100,11,2,88,0,101,0.10891089108910891,0.019801980198019802,0.8712871287128713,0.0,James Sanders Jr.,0.8712871287128713
31044,31044,100,17,1,55,0,73,0.2328767123287671,0.0136986301369863,0.7534246575342466,0.0,James Sanders Jr.,0.7534246575342466
31045,31045,100,3,1,12,0,16,0.1875,0.0625,0.75,0.0,James Sanders Jr.,0.75
31046,31046,100,6,1,47,0,54,0.1111111111111111,0.018518518518518517,0.8703703703703703,0.0,James Sanders Jr.,0.8703703703703703
31047,31047,100,7,1,41,0,49,0.14285714285714285,0.02040816326530612,0.8367346938775511,0.0,James Sanders Jr.,0.8367346938775511
31048,31048,100,5,4,44,0,53,0.09433962264150944,0.07547169811320754,0.8301886792452831,0.0,James Sanders Jr.,0.8301886792452831
31049,31049,100,8,2,61,0,71,0.11267605633802817,0.028169014084507043,0.8591549295774648,0.0,James Sanders Jr.,0.8591549295774648
31050,31050,100,9,1,80,0,90,0.1,0.011111111111111112,0.8888888888888888,0.0,James Sanders Jr.,0.8888888888888888
31051,31051,100,13,5,66,1,85,0.15294117647058825,0.058823529411764705,0.7764705882352941,0.011764705882352941,James Sanders Jr.,0.7764705882352941
31052,31052,100,14,3,70,0,87,0.16091954022988506,0.034482758620689655,0.8045977011494253,0.0,James Sanders Jr.,0.8045977011494253
31053,31053,100,6,2,35,0,43,0.13953488372093023,0.046511627906976744,0.813953488372093,0.0,James Sanders Jr.,0.813953488372093
31054,31054,100,5,4,58,1,68,0.07352941176470588,0.058823529411764705,0.8529411764705882,0.014705882352941176,James Sanders Jr.,0.8529411764705882
31055,31055,100,1,0,37,0,38,0.02631578947368421,0.0,0.9736842105263158,0.0,James Sanders Jr.,0.9736842105263158
31056,31056,100,1,0,12,0,13,0.07692307692307693,0.0,0.9230769230769231,0.0,James Sanders Jr.,0.9230769230769231
31057,31057,100,21,8,55,0,84,0.25,0.09523809523809523,0.6547619047619048,0.0,James Sanders Jr.,0.6547619047619048
31058,31058,100,16,5,66,0,87,0.1839080459770115,0.05747126436781609,0.7586206896551724,0.0,James Sanders Jr.,0.7586206896551724
31059,31059,100,15,1,37,0,53,0.2830188679245283,0.018867924528301886,0.6981132075471698,0.0,James Sanders Jr.,0.6981132075471698
31061,31061,100,21,3,39,0,63,0.3333333333333333,0.047619047619047616,0.6190476190476191,0.0,James Sanders Jr.,0.6190476190476191
31062,31062,100,15,0,32,0,47,0.3191489361702128,0.0,0.6808510638297872,0.0,James Sanders Jr.,0.6808510638297872
31063,31063,100,16,1,90,0,107,0.14953271028037382,0.009345794392523364,0.8411214953271028,0.0,James Sanders Jr.,0.8411214953271028
31064,31064,100,18,7,69,2,96,0.1875,0.07291666666666667,0.71875,0.020833333333333332,James Sanders Jr.,0.71875
31065,31020,100,0,0,0,0,0,0,0,0,0,n/a,0
31066,31020,100,0,0,0,0,0,0,0,0,0,n/a,0
31067,31020,100,0,0,0,0,0,0,0,0,0,n/a,0
31068,31020,100,0,0,0,0,0,0,0,0,0,n/a,0
31069,31020,100,0,0,0,0,0,0,0,0,0,n/a,0
31070,31020,100,0,0,0,0,0,0,0,0,0,n/a,0
31075,31020,100,0,0,0,0,0,0,0,0,0,n/a,0
31076,31020,100,0,0,0,0,0,0,0,0,0,n/a,0
32013,32013,100,0,0,0,0,0,0,0,0,0,n/a,0
32012,32013,100,0,0,0,0,0,0,0,0,0,n/a,0
32017,32017,100,15,2,33,0,50,0.3,0.04,0.66,0.0,James Sanders Jr.,0.66
32018,32018,100,7,0,18,0,25,0.28,0.0,0.72,0.0,James Sanders Jr.,0.72
32019,32019,100,8,1,21,0,30,0.26666666666666666,0.03333333333333333,0.7,0.0,James Sanders Jr.,0.7
32020,32020,100,3,2,22,0,27,0.1111111111111111,0.07407407407407407,0.8148148148148148,0.0,James Sanders Jr.,0.8148148148148148
32021,32021,100,19,0,36,10,65,0.2923076923076923,0.0,0.5538461538461539,0.15384615384615385,James Sanders Jr.,0.5538461538461539
32022,32022,100,13,2,34,0,49,0.2653061224489796,0.04081632653061224,0.6938775510204082,0.0,James Sanders Jr.,0.6938775510204082
32025,32025,100,10,0,25,0,35,0.2857142857142857,0.0,0.7142857142857143,0.0,James Sanders Jr.,0.7142857142857143
32026,32026,100,16,3,28,0,47,0.3404255319148936,0.06382978723404255,0.5957446808510638,0.0,James Sanders Jr.,0.5957446808510638
32027,32027,100,14,3,43,1,61,0.22950819672131148,0.04918032786885246,0.7049180327868853,0.01639344262295082,James Sanders Jr.,0.7049180327868853
32028,32028,100,15,2,34,0,51,0.29411764705882354,0.0392156862745098,0.6666666666666666,0.0,James Sanders Jr.,0.6666666666666666
32029,32029,100,20,1,52,0,73,0.273972602739726,0.0136986301369863,0.7123287671232876,0.0,James Sanders Jr.,0.7123287671232876
32030,32030,100,9,0,44,0,53,0.16981132075471697,0.0,0.8301886792452831,0.0,James Sanders Jr.,0.8301886792452831
32031,32031,100,25,0,33,0,58,0.43103448275862066,0.0,0.5689655172413793,0.0,James Sanders Jr.,0.5689655172413793
32032,32032,100,12,1,19,0,32,0.375,0.03125,0.59375,0.0,James Sanders Jr.,0.59375
32033,32033,100,27,4,70,1,102,0.2647058823529412,0.0392156862745098,0.6862745098039216,0.00980392156862745,James Sanders Jr.,0.6862745098039216
32034,32034,100,14,2,56,0,72,0.19444444444444445,0.027777777777777776,0.7777777777777778,0.0,James Sanders Jr.,0.7777777777777778
32035,32035,100,18,1,36,0,55,0.32727272727272727,0.01818181818181818,0.6545454545454545,0.0,James Sanders Jr.,0.6545454545454545
32036,32036,100,8,3,49,2,62,0.12903225806451613,0.04838709677419355,0.7903225806451613,0.03225806451612903,James Sanders Jr.,0.7903225806451613
32037,32037,100,2,0,29,0,31,0.06451612903225806,0.0,0.9354838709677419,0.0,James Sanders Jr.,0.9354838709677419
32038,32038,100,23,3,60,1,87,0.26436781609195403,0.034482758620689655,0.6896551724137931,0.011494252873563218,James Sanders Jr.,0.6896551724137931
32039,32039,100,14,1,44,1,60,0.23333333333333334,0.016666666666666666,0.7333333333333333,0.016666666666666666,James Sanders Jr.,0.7333333333333333
32046,32046,100,16,0,36,0,52,0.3076923076923077,0.0,0.6923076923076923,0.0,James Sanders Jr.,0.6923076923076923
32047,32047,100,14,3,32,0,49,0.2857142857142857,0.061224489795918366,0.6530612244897959,0.0,James Sanders Jr.,0.6530612244897959
32048,32048,100,10,0,25,2,37,0.2702702702702703,0.0,0.6756756756756757,0.05405405405405406,James Sanders Jr.,0.6756756756756757
32049,32049,100,12,6,46,2,66,0.18181818181818182,0.09090909090909091,0.696969696969697,0.030303030303030304,James Sanders Jr.,0.696969696969697
32050,32050,100,19,1,43,0,63,0.30158730158730157,0.015873015873015872,0.6825396825396826,0.0,James Sanders Jr.,0.6825396825396826
32051,32051,100,16,3,58,1,78,0.20512820512820512,0.038461538461538464,0.7435897435897436,0.01282051282051282,James Sanders Jr.,0.7435897435897436
32052,32052,100,5,0,31,0,36,0.1388888888888889,0.0,0.8611111111111112,0.0,James Sanders Jr.,0.8611111111111112
32053,32053,100,10,0,52,1,63,0.15873015873015872,0.0,0.8253968253968254,0.015873015873015872,James Sanders Jr.,0.8253968253968254
32054,32054,100,9,1,40,1,51,0.17647058823529413,0.0196078431372549,0.7843137254901961,0.0196078431372549,James Sanders Jr.,0.7843137254901961
32055,32055,100,10,4,46,0,60,0.16666666666666666,0.06666666666666667,0.7666666666666667,0.0,James Sanders Jr.,0.7666666666666667
32056,32056,100,3,0,18,0,21,0.14285714285714285,0.0,0.8571428571428571,0.0,James Sanders Jr.,0.8571428571428571
32057,32057,100,19,3,80,1,103,0.18446601941747573,0.02912621359223301,0.7766990291262136,0.009708737864077669,James Sanders Jr.,0.7766990291262136
32058,32058,100,20,3,71,0,94,0.2127659574468085,0.031914893617021274,0.7553191489361702,0.0,James Sanders Jr.,0.7553191489361702
32059,32059,100,21,2,64,3,90,0.23333333333333334,0.022222222222222223,0.7111111111111111,0.03333333333333333,James Sanders Jr.,0.7111111111111111
32060,32060,100,32,2,83,1,118,0.2711864406779661,0.01694915254237288,0.7033898305084746,0.00847457627118644,James Sanders Jr.,0.7033898305084746
32061,32061,100,22,0,46,2,70,0.3142857142857143,0.0,0.6571428571428571,0.02857142857142857,James Sanders Jr.,0.6571428571428571
32062,32062,100,44,2,104,2,152,0.2894736842105263,0.013157894736842105,0.6842105263157895,0.013157894736842105,James Sanders Jr.,0.6842105263157895
32063,32063,100,45,1,86,2,134,0.3358208955223881,0.007462686567164179,0.6417910447761194,0.014925373134328358,James Sanders Jr.,0.6417910447761194
32064,32064,100,31,1,89,0,121,0.256198347107438,0.008264462809917356,0.7355371900826446,0.0,James Sanders Jr.,0.7355371900826446
32065,32065,100,33,5,98,4,140,0.2357142857142857,0.03571428571428571,0.7,0.02857142857142857,James Sanders Jr.,0.7
32066,32066,100,43,5,91,2,141,0.3049645390070922,0.03546099290780142,0.6453900709219859,0.014184397163120567,James Sanders Jr.,0.6453900709219859
32067,32067,100,21,8,89,2,120,0.175,0.06666666666666667,0.7416666666666667,0.016666666666666666,James Sanders Jr.,0.7416666666666667
32068,32068,100,31,1,78,1,111,0.27927927927927926,0.009009009009009009,0.7027027027027027,0.009009009009009009,James Sanders Jr.,0.7027027027027027
32069,32069,100,42,3,102,2,149,0.28187919463087246,0.020134228187919462,0.6845637583892618,0.013422818791946308,James Sanders Jr.,0.6845637583892618
32070,32070,100,32,1,98,3,134,0.23880597014925373,0.007462686567164179,0.7313432835820896,0.022388059701492536,James Sanders Jr.,0.7313432835820896
32071,32071,100,18,3,88,1,110,0.16363636363636364,0.02727272727272727,0.8,0.00909090909090909,James Sanders Jr.,0.8
32072,32072,100,18,1,65,0,84,0.21428571428571427,0.011904761904761904,0.7738095238095238,0.0,James Sanders Jr.,0.7738095238095238
32073,32073,100,12,0,41,3,56,0.21428571428571427,0.0,0.7321428571428571,0.05357142857142857,James Sanders Jr.,0.7321428571428571
32074,32074,100,24,0,36,0,60,0.4,0.0,0.6,0.0,James Sanders Jr.,0.6
32075,32075,100,8,1,37,0,46,0.17391304347826086,0.021739130434782608,0.8043478260869565,0.0,James Sanders Jr.,0.8043478260869565
32076,32056,100,0,0,0,0,0,0,0,0,0,n/a,0
32077,32077,100,25,0,37,0,62,0.4032258064516129,0.0,0.5967741935483871,0.0,James Sanders Jr.,0.5967741935483871
32078,32078,100,13,4,40,0,57,0.22807017543859648,0.07017543859649122,0.7017543859649122,0.0,James Sanders Jr.,0.7017543859649122
38034,38034,100,1,1,5,0,7,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,James Sanders Jr.,0.7142857142857143
38036,38036,100,0,1,2,1,4,0.0,0.25,0.5,0.25,James Sanders Jr.,0.5
38038,38038,100,4,5,10,0,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,0.0,James Sanders Jr.,0.5263157894736842
38039,38039,100,8,2,16,0,26,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.0,James Sanders Jr.,0.6153846153846154
38040,38040,100,1,1,12,0,14,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.0,James Sanders Jr.,0.8571428571428571
38041,38041,100,7,4,15,1,27,0.25925925925925924,0.14814814814814814,0.5555555555555556,0.037037037037037035,James Sanders Jr.,0.5555555555555556
38042,38042,100,8,1,14,0,23,0.34782608695652173,0.043478260869565216,0.6086956521739131,0.0,James Sanders Jr.,0.6086956521739131
38043,38043,100,2,4,6,0,12,0.16666666666666666,0.3333333333333333,0.5,0.0,James Sanders Jr.,0.5
38044,38044,100,6,1,21,0,28,0.21428571428571427,0.03571428571428571,0.75,0.0,James Sanders Jr.,0.75
38046,38046,100,7,1,6,0,14,0.5,0.07142857142857142,0.42857142857142855,0.0,Everly D. Brown,0.5
38047,38047,100,9,3,14,0,26,0.34615384615384615,0.11538461538461539,0.5384615384615384,0.0,James Sanders Jr.,0.5384615384615384
38048,38048,100,10,4,18,1,33,0.30303030303030304,0.12121212121212122,0.5454545454545454,0.030303030303030304,James Sanders Jr.,0.5454545454545454
38049,38049,100,7,3,22,0,32,0.21875,0.09375,0.6875,0.0,James Sanders Jr.,0.6875
