ED,Reported As,Reporting,Rodneyse Bichotte,Victor A. Jordan,Scattered,Michele N. Adolphe,L Rickie Tulloch,Total Votes,p_Rodneyse Bichotte,p_Victor A. Jordan,p_Scattered,p_Michele N. Adolphe,p_L Rickie Tulloch,winner,winner_p
42027,42027,100,39,2,0,22,11,74,0.527027027027027,0.02702702702702703,0.0,0.2972972972972973,0.14864864864864866,Rodneyse Bichotte,0.527027027027027
42028,42028,100,51,10,0,29,27,117,0.4358974358974359,0.08547008547008547,0.0,0.24786324786324787,0.23076923076923078,Rodneyse Bichotte,0.4358974358974359
42029,42029,100,46,2,0,20,19,87,0.5287356321839081,0.022988505747126436,0.0,0.22988505747126436,0.21839080459770116,Rodneyse Bichotte,0.5287356321839081
42030,42030,100,64,2,2,17,17,102,0.6274509803921569,0.0196078431372549,0.0196078431372549,0.16666666666666666,0.16666666666666666,Rodneyse Bichotte,0.6274509803921569
42031,42031,100,33,1,0,13,11,58,0.5689655172413793,0.017241379310344827,0.0,0.22413793103448276,0.1896551724137931,Rodneyse Bichotte,0.5689655172413793
42032,42032,100,9,1,0,5,4,19,0.47368421052631576,0.05263157894736842,0.0,0.2631578947368421,0.21052631578947367,Rodneyse Bichotte,0.47368421052631576
42033,42001,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
42034,42034,100,65,2,1,4,17,89,0.7303370786516854,0.02247191011235955,0.011235955056179775,0.0449438202247191,0.19101123595505617,Rodneyse Bichotte,0.7303370786516854
42035,42035,100,32,3,0,8,18,61,0.5245901639344263,0.04918032786885246,0.0,0.13114754098360656,0.29508196721311475,Rodneyse Bichotte,0.5245901639344263
42036,42036,100,56,5,1,15,65,142,0.39436619718309857,0.035211267605633804,0.007042253521126761,0.1056338028169014,0.45774647887323944,L Rickie Tulloch,0.45774647887323944
42037,42037,100,32,3,2,5,21,63,0.5079365079365079,0.047619047619047616,0.031746031746031744,0.07936507936507936,0.3333333333333333,Rodneyse Bichotte,0.5079365079365079
42038,42038,100,22,2,0,3,50,77,0.2857142857142857,0.025974025974025976,0.0,0.03896103896103896,0.6493506493506493,L Rickie Tulloch,0.6493506493506493
42039,42039,100,40,14,0,17,49,120,0.3333333333333333,0.11666666666666667,0.0,0.14166666666666666,0.4083333333333333,L Rickie Tulloch,0.4083333333333333
42040,42040,100,48,3,0,13,36,100,0.48,0.03,0.0,0.13,0.36,Rodneyse Bichotte,0.48
42041,42041,100,68,23,0,21,54,166,0.40963855421686746,0.13855421686746988,0.0,0.12650602409638553,0.3253012048192771,Rodneyse Bichotte,0.40963855421686746
42042,42042,100,54,8,0,21,26,109,0.4954128440366973,0.07339449541284404,0.0,0.1926605504587156,0.23853211009174313,Rodneyse Bichotte,0.4954128440366973
42043,42043,100,51,6,0,17,22,96,0.53125,0.0625,0.0,0.17708333333333334,0.22916666666666666,Rodneyse Bichotte,0.53125
42044,42044,100,64,6,0,14,18,102,0.6274509803921569,0.058823529411764705,0.0,0.13725490196078433,0.17647058823529413,Rodneyse Bichotte,0.6274509803921569
42045,42045,100,46,4,0,14,12,76,0.6052631578947368,0.05263157894736842,0.0,0.18421052631578946,0.15789473684210525,Rodneyse Bichotte,0.6052631578947368
42046,42046,100,53,8,0,11,19,91,0.5824175824175825,0.08791208791208792,0.0,0.12087912087912088,0.2087912087912088,Rodneyse Bichotte,0.5824175824175825
42047,42047,100,61,5,0,17,21,104,0.5865384615384616,0.04807692307692308,0.0,0.16346153846153846,0.20192307692307693,Rodneyse Bichotte,0.5865384615384616
42048,42048,100,41,2,0,12,20,75,0.5466666666666666,0.02666666666666667,0.0,0.16,0.26666666666666666,Rodneyse Bichotte,0.5466666666666666
42049,42049,100,100,5,0,8,50,163,0.6134969325153374,0.03067484662576687,0.0,0.049079754601226995,0.3067484662576687,Rodneyse Bichotte,0.6134969325153374
42050,42050,100,51,4,0,16,25,96,0.53125,0.041666666666666664,0.0,0.16666666666666666,0.2604166666666667,Rodneyse Bichotte,0.53125
42051,42051,100,29,9,0,8,37,83,0.3493975903614458,0.10843373493975904,0.0,0.0963855421686747,0.4457831325301205,L Rickie Tulloch,0.4457831325301205
42052,42052,100,29,8,0,12,18,67,0.43283582089552236,0.11940298507462686,0.0,0.1791044776119403,0.26865671641791045,Rodneyse Bichotte,0.43283582089552236
42053,42053,100,27,1,0,13,13,54,0.5,0.018518518518518517,0.0,0.24074074074074073,0.24074074074074073,Rodneyse Bichotte,0.5
42054,42054,100,90,8,0,18,45,161,0.5590062111801242,0.049689440993788817,0.0,0.11180124223602485,0.2795031055900621,Rodneyse Bichotte,0.5590062111801242
42055,42055,100,66,5,0,11,34,116,0.5689655172413793,0.04310344827586207,0.0,0.09482758620689655,0.29310344827586204,Rodneyse Bichotte,0.5689655172413793
42056,42056,100,43,10,0,20,30,103,0.4174757281553398,0.0970873786407767,0.0,0.1941747572815534,0.2912621359223301,Rodneyse Bichotte,0.4174757281553398
42057,42057,100,62,12,2,22,26,124,0.5,0.0967741935483871,0.016129032258064516,0.1774193548387097,0.20967741935483872,Rodneyse Bichotte,0.5
42058,42058,100,34,8,0,15,19,76,0.4473684210526316,0.10526315789473684,0.0,0.19736842105263158,0.25,Rodneyse Bichotte,0.4473684210526316
42059,42059,100,13,0,1,3,12,29,0.4482758620689655,0.0,0.034482758620689655,0.10344827586206896,0.41379310344827586,Rodneyse Bichotte,0.4482758620689655
42066,42066,100,16,2,0,1,14,33,0.48484848484848486,0.06060606060606061,0.0,0.030303030303030304,0.42424242424242425,Rodneyse Bichotte,0.48484848484848486
42060,42066,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
42061,42061,100,9,3,0,5,24,41,0.21951219512195122,0.07317073170731707,0.0,0.12195121951219512,0.5853658536585366,L Rickie Tulloch,0.5853658536585366
42062,42062,100,13,0,0,2,21,36,0.3611111111111111,0.0,0.0,0.05555555555555555,0.5833333333333334,L Rickie Tulloch,0.5833333333333334
42063,42063,100,12,4,0,5,47,68,0.17647058823529413,0.058823529411764705,0.0,0.07352941176470588,0.6911764705882353,L Rickie Tulloch,0.6911764705882353
42064,42064,100,18,2,0,6,46,72,0.25,0.027777777777777776,0.0,0.08333333333333333,0.6388888888888888,L Rickie Tulloch,0.6388888888888888
42065,42065,100,18,0,0,3,36,57,0.3157894736842105,0.0,0.0,0.05263157894736842,0.631578947368421,L Rickie Tulloch,0.631578947368421
42067,42067,100,10,2,0,6,8,26,0.38461538461538464,0.07692307692307693,0.0,0.23076923076923078,0.3076923076923077,Rodneyse Bichotte,0.38461538461538464
42068,42068,100,23,3,0,8,12,46,0.5,0.06521739130434782,0.0,0.17391304347826086,0.2608695652173913,Rodneyse Bichotte,0.5
42069,42069,100,5,1,1,2,4,13,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.3076923076923077,Rodneyse Bichotte,0.38461538461538464
42070,42070,100,20,3,0,7,18,48,0.4166666666666667,0.0625,0.0,0.14583333333333334,0.375,Rodneyse Bichotte,0.4166666666666667
42071,42071,100,37,4,0,9,11,61,0.6065573770491803,0.06557377049180328,0.0,0.14754098360655737,0.18032786885245902,Rodneyse Bichotte,0.6065573770491803
42072,42072,100,31,5,0,10,16,62,0.5,0.08064516129032258,0.0,0.16129032258064516,0.25806451612903225,Rodneyse Bichotte,0.5
42073,42073,100,84,1,1,20,19,125,0.672,0.008,0.008,0.16,0.152,Rodneyse Bichotte,0.672
