aded,reporting,FARAH_N_LOUIS___A Unified 45,MONIQUE_CHANDLER-WATERMAN___A Vital Voice,JOVIA_A_RADIX___Justice for All,XAMAYLA_ROSE___Rose For Progress,L_RICKIE_TULLOCH___Peoples Movement,ADINA_SASH___Community First,ANTHONY_ALEXIS___Unite to Uplift,VICTOR_JORDAN___Last Chance,WRITE-IN,total,ADINA_SASH_(),VICTOR_JORDAN_(),MONIQUE_CHANDLER-WATERMAN_(),JOVIA_A_RADIX_(),FARAH_N_LOUIS_(),ANTHONY_ALEXIS_(),XAMAYLA_ROSE_(),L_RICKIE_TULLOCH_(),p_FARAH_N_LOUIS___A Unified 45,p_MONIQUE_CHANDLER-WATERMAN___A Vital Voice,p_JOVIA_A_RADIX___Justice for All,p_XAMAYLA_ROSE___Rose For Progress,p_L_RICKIE_TULLOCH___Peoples Movement,p_ADINA_SASH___Community First,p_ANTHONY_ALEXIS___Unite to Uplift,p_VICTOR_JORDAN___Last Chance,p_WRITE-IN,p_ADINA_SASH_(),p_VICTOR_JORDAN_(),p_MONIQUE_CHANDLER-WATERMAN_(),p_JOVIA_A_RADIX_(),p_FARAH_N_LOUIS_(),p_ANTHONY_ALEXIS_(),p_XAMAYLA_ROSE_(),p_L_RICKIE_TULLOCH_(),winner,winner_p
41025,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41026,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41027,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41028,99.00,43,25,7,7,7,0,4,0,1,94,0,0,25,7,43,4,7,7,0.4574468085106383,0.26595744680851063,0.07446808510638298,0.07446808510638298,0.07446808510638298,0.0,0.0425531914893617,0.0,0.010638297872340425,0.0,0.0,0.26595744680851063,0.07446808510638298,0.4574468085106383,0.0425531914893617,0.07446808510638298,0.07446808510638298,FARAH_N_LOUIS_(),0.4574468085106383
41029,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41030,99.00,45,48,19,6,9,2,0,0,0,129,2,0,48,19,45,0,6,9,0.3488372093023256,0.37209302325581395,0.14728682170542637,0.046511627906976744,0.06976744186046512,0.015503875968992248,0.0,0.0,0.0,0.015503875968992248,0.0,0.37209302325581395,0.14728682170542637,0.3488372093023256,0.0,0.046511627906976744,0.06976744186046512,MONIQUE_CHANDLER-WATERMAN_(),0.37209302325581395
41031,99.00,51,39,7,17,5,6,0,1,0,126,6,1,39,7,51,0,17,5,0.40476190476190477,0.30952380952380953,0.05555555555555555,0.1349206349206349,0.03968253968253968,0.047619047619047616,0.0,0.007936507936507936,0.0,0.047619047619047616,0.007936507936507936,0.30952380952380953,0.05555555555555555,0.40476190476190477,0.0,0.1349206349206349,0.03968253968253968,FARAH_N_LOUIS_(),0.40476190476190477
41032,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41033,99.00,54,51,17,9,13,2,0,0,0,146,2,0,51,17,54,0,9,13,0.3698630136986301,0.3493150684931507,0.11643835616438356,0.06164383561643835,0.08904109589041095,0.0136986301369863,0.0,0.0,0.0,0.0136986301369863,0.0,0.3493150684931507,0.11643835616438356,0.3698630136986301,0.0,0.06164383561643835,0.08904109589041095,FARAH_N_LOUIS_(),0.3698630136986301
41034,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41039,99.00,22,31,53,8,5,3,0,0,0,122,3,0,31,53,22,0,8,5,0.18032786885245902,0.2540983606557377,0.4344262295081967,0.06557377049180328,0.040983606557377046,0.02459016393442623,0.0,0.0,0.0,0.02459016393442623,0.0,0.2540983606557377,0.4344262295081967,0.18032786885245902,0.0,0.06557377049180328,0.040983606557377046,JOVIA_A_RADIX_(),0.4344262295081967
41040,99.00,25,25,17,9,10,0,0,0,0,86,0,0,25,17,25,0,9,10,0.29069767441860467,0.29069767441860467,0.19767441860465115,0.10465116279069768,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.29069767441860467,0.19767441860465115,0.29069767441860467,0.0,0.10465116279069768,0.11627906976744186,Tie,0.29069767441860467
41041,99.00,35,31,12,1,9,0,0,0,0,88,0,0,31,12,35,0,1,9,0.3977272727272727,0.3522727272727273,0.13636363636363635,0.011363636363636364,0.10227272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.3522727272727273,0.13636363636363635,0.3977272727272727,0.0,0.011363636363636364,0.10227272727272728,FARAH_N_LOUIS_(),0.3977272727272727
41043,99.00,39,18,12,0,5,3,2,0,1,80,3,0,18,12,39,2,0,5,0.4875,0.225,0.15,0.0,0.0625,0.0375,0.025,0.0,0.0125,0.0375,0.0,0.225,0.15,0.4875,0.025,0.0,0.0625,FARAH_N_LOUIS_(),0.4875
41045,66.67,49,51,22,14,11,1,1,0,0,149,1,0,51,22,49,1,14,11,0.3288590604026846,0.3422818791946309,0.1476510067114094,0.09395973154362416,0.0738255033557047,0.006711409395973154,0.006711409395973154,0.0,0.0,0.006711409395973154,0.0,0.3422818791946309,0.1476510067114094,0.3288590604026846,0.006711409395973154,0.09395973154362416,0.0738255033557047,MONIQUE_CHANDLER-WATERMAN_(),0.3422818791946309
41047,66.67,29,36,12,10,11,0,0,0,0,98,0,0,36,12,29,0,10,11,0.29591836734693877,0.3673469387755102,0.12244897959183673,0.10204081632653061,0.11224489795918367,0.0,0.0,0.0,0.0,0.0,0.0,0.3673469387755102,0.12244897959183673,0.29591836734693877,0.0,0.10204081632653061,0.11224489795918367,MONIQUE_CHANDLER-WATERMAN_(),0.3673469387755102
41048,99.00,16,22,5,1,3,0,0,0,0,47,0,0,22,5,16,0,1,3,0.3404255319148936,0.46808510638297873,0.10638297872340426,0.02127659574468085,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.46808510638297873,0.10638297872340426,0.3404255319148936,0.0,0.02127659574468085,0.06382978723404255,MONIQUE_CHANDLER-WATERMAN_(),0.46808510638297873
41050,99.00,154,0,2,0,3,25,1,0,0,185,25,0,0,2,154,1,0,3,0.8324324324324325,0.0,0.010810810810810811,0.0,0.016216216216216217,0.13513513513513514,0.005405405405405406,0.0,0.0,0.13513513513513514,0.0,0.0,0.010810810810810811,0.8324324324324325,0.005405405405405406,0.0,0.016216216216216217,FARAH_N_LOUIS_(),0.8324324324324325
41051,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41052,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41053,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41054,99.00,75,12,10,8,2,10,0,0,1,118,10,0,12,10,75,0,8,2,0.635593220338983,0.1016949152542373,0.0847457627118644,0.06779661016949153,0.01694915254237288,0.0847457627118644,0.0,0.0,0.00847457627118644,0.0847457627118644,0.0,0.1016949152542373,0.0847457627118644,0.635593220338983,0.0,0.06779661016949153,0.01694915254237288,FARAH_N_LOUIS_(),0.635593220338983
41055,99.00,100,46,4,4,1,0,0,0,0,155,0,0,46,4,100,0,4,1,0.6451612903225806,0.2967741935483871,0.025806451612903226,0.025806451612903226,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.2967741935483871,0.025806451612903226,0.6451612903225806,0.0,0.025806451612903226,0.0064516129032258064,FARAH_N_LOUIS_(),0.6451612903225806
41091,99.00,51,12,2,5,1,7,1,1,0,80,7,1,12,2,51,1,5,1,0.6375,0.15,0.025,0.0625,0.0125,0.0875,0.0125,0.0125,0.0,0.0875,0.0125,0.15,0.025,0.6375,0.0125,0.0625,0.0125,FARAH_N_LOUIS_(),0.6375
41095,99.00,47,6,2,0,1,18,0,0,0,74,18,0,6,2,47,0,0,1,0.6351351351351351,0.08108108108108109,0.02702702702702703,0.0,0.013513513513513514,0.24324324324324326,0.0,0.0,0.0,0.24324324324324326,0.0,0.08108108108108109,0.02702702702702703,0.6351351351351351,0.0,0.0,0.013513513513513514,FARAH_N_LOUIS_(),0.6351351351351351
41096,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41097,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41098,99.00,30,11,4,2,3,2,0,0,0,52,2,0,11,4,30,0,2,3,0.5769230769230769,0.21153846153846154,0.07692307692307693,0.038461538461538464,0.057692307692307696,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.21153846153846154,0.07692307692307693,0.5769230769230769,0.0,0.038461538461538464,0.057692307692307696,FARAH_N_LOUIS_(),0.5769230769230769
41099,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42036,99.00,70,27,6,3,6,21,2,1,0,136,21,1,27,6,70,2,3,6,0.5147058823529411,0.19852941176470587,0.04411764705882353,0.022058823529411766,0.04411764705882353,0.15441176470588236,0.014705882352941176,0.007352941176470588,0.0,0.15441176470588236,0.007352941176470588,0.19852941176470587,0.04411764705882353,0.5147058823529411,0.014705882352941176,0.022058823529411766,0.04411764705882353,FARAH_N_LOUIS_(),0.5147058823529411
42037,99.00,23,15,3,5,4,2,0,0,0,52,2,0,15,3,23,0,5,4,0.4423076923076923,0.28846153846153844,0.057692307692307696,0.09615384615384616,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.28846153846153844,0.057692307692307696,0.4423076923076923,0.0,0.09615384615384616,0.07692307692307693,FARAH_N_LOUIS_(),0.4423076923076923
42038,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42039,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42040,99.00,27,43,15,9,19,2,0,4,0,119,2,4,43,15,27,0,9,19,0.226890756302521,0.36134453781512604,0.12605042016806722,0.07563025210084033,0.15966386554621848,0.01680672268907563,0.0,0.03361344537815126,0.0,0.01680672268907563,0.03361344537815126,0.36134453781512604,0.12605042016806722,0.226890756302521,0.0,0.07563025210084033,0.15966386554621848,MONIQUE_CHANDLER-WATERMAN_(),0.36134453781512604
42041,99.00,26,33,14,5,35,2,4,0,1,120,2,0,33,14,26,4,5,35,0.21666666666666667,0.275,0.11666666666666667,0.041666666666666664,0.2916666666666667,0.016666666666666666,0.03333333333333333,0.0,0.008333333333333333,0.016666666666666666,0.0,0.275,0.11666666666666667,0.21666666666666667,0.03333333333333333,0.041666666666666664,0.2916666666666667,L_RICKIE_TULLOCH_(),0.2916666666666667
42042,99.00,33,26,7,16,8,3,32,0,1,126,3,0,26,7,33,32,16,8,0.2619047619047619,0.20634920634920634,0.05555555555555555,0.12698412698412698,0.06349206349206349,0.023809523809523808,0.25396825396825395,0.0,0.007936507936507936,0.023809523809523808,0.0,0.20634920634920634,0.05555555555555555,0.2619047619047619,0.25396825396825395,0.12698412698412698,0.06349206349206349,FARAH_N_LOUIS_(),0.2619047619047619
42043,99.00,28,43,5,10,5,2,0,2,0,95,2,2,43,5,28,0,10,5,0.29473684210526313,0.45263157894736844,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.021052631578947368,0.0,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.45263157894736844,0.05263157894736842,0.29473684210526313,0.0,0.10526315789473684,0.05263157894736842,MONIQUE_CHANDLER-WATERMAN_(),0.45263157894736844
42044,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42045,99.00,34,36,9,4,5,1,0,0,0,89,1,0,36,9,34,0,4,5,0.38202247191011235,0.4044943820224719,0.10112359550561797,0.0449438202247191,0.056179775280898875,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775,0.0,0.4044943820224719,0.10112359550561797,0.38202247191011235,0.0,0.0449438202247191,0.056179775280898875,MONIQUE_CHANDLER-WATERMAN_(),0.4044943820224719
42046,99.00,25,54,11,7,8,2,0,1,0,108,2,1,54,11,25,0,7,8,0.23148148148148148,0.5,0.10185185185185185,0.06481481481481481,0.07407407407407407,0.018518518518518517,0.0,0.009259259259259259,0.0,0.018518518518518517,0.009259259259259259,0.5,0.10185185185185185,0.23148148148148148,0.0,0.06481481481481481,0.07407407407407407,MONIQUE_CHANDLER-WATERMAN_(),0.5
42047,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42048,99.00,40,38,6,4,15,1,1,0,0,105,1,0,38,6,40,1,4,15,0.38095238095238093,0.3619047619047619,0.05714285714285714,0.0380952380952381,0.14285714285714285,0.009523809523809525,0.009523809523809525,0.0,0.0,0.009523809523809525,0.0,0.3619047619047619,0.05714285714285714,0.38095238095238093,0.009523809523809525,0.0380952380952381,0.14285714285714285,FARAH_N_LOUIS_(),0.38095238095238093
42049,99.00,84,68,5,10,19,4,1,0,0,191,4,0,68,5,84,1,10,19,0.4397905759162304,0.35602094240837695,0.02617801047120419,0.05235602094240838,0.09947643979057591,0.020942408376963352,0.005235602094240838,0.0,0.0,0.020942408376963352,0.0,0.35602094240837695,0.02617801047120419,0.4397905759162304,0.005235602094240838,0.05235602094240838,0.09947643979057591,FARAH_N_LOUIS_(),0.4397905759162304
42050,99.00,80,62,17,7,11,6,0,1,0,184,6,1,62,17,80,0,7,11,0.43478260869565216,0.33695652173913043,0.09239130434782608,0.03804347826086957,0.059782608695652176,0.03260869565217391,0.0,0.005434782608695652,0.0,0.03260869565217391,0.005434782608695652,0.33695652173913043,0.09239130434782608,0.43478260869565216,0.0,0.03804347826086957,0.059782608695652176,FARAH_N_LOUIS_(),0.43478260869565216
42051,99.00,165,11,3,0,6,26,0,0,0,211,26,0,11,3,165,0,0,6,0.7819905213270142,0.052132701421800945,0.014218009478672985,0.0,0.02843601895734597,0.12322274881516587,0.0,0.0,0.0,0.12322274881516587,0.0,0.052132701421800945,0.014218009478672985,0.7819905213270142,0.0,0.0,0.02843601895734597,FARAH_N_LOUIS_(),0.7819905213270142
42052,99.00,38,20,5,3,2,1,0,4,0,73,1,4,20,5,38,0,3,2,0.5205479452054794,0.273972602739726,0.0684931506849315,0.0410958904109589,0.0273972602739726,0.0136986301369863,0.0,0.0547945205479452,0.0,0.0136986301369863,0.0547945205479452,0.273972602739726,0.0684931506849315,0.5205479452054794,0.0,0.0410958904109589,0.0273972602739726,FARAH_N_LOUIS_(),0.5205479452054794
42053,99.00,42,18,5,5,2,4,0,0,1,77,4,0,18,5,42,0,5,2,0.5454545454545454,0.23376623376623376,0.06493506493506493,0.06493506493506493,0.025974025974025976,0.05194805194805195,0.0,0.0,0.012987012987012988,0.05194805194805195,0.0,0.23376623376623376,0.06493506493506493,0.5454545454545454,0.0,0.06493506493506493,0.025974025974025976,FARAH_N_LOUIS_(),0.5454545454545454
42054,99.00,53,36,6,10,6,0,1,1,0,113,0,1,36,6,53,1,10,6,0.4690265486725664,0.3185840707964602,0.05309734513274336,0.08849557522123894,0.05309734513274336,0.0,0.008849557522123894,0.008849557522123894,0.0,0.0,0.008849557522123894,0.3185840707964602,0.05309734513274336,0.4690265486725664,0.008849557522123894,0.08849557522123894,0.05309734513274336,FARAH_N_LOUIS_(),0.4690265486725664
42055,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42056,99.00,19,43,10,7,9,1,0,1,1,91,1,1,43,10,19,0,7,9,0.2087912087912088,0.4725274725274725,0.10989010989010989,0.07692307692307693,0.0989010989010989,0.01098901098901099,0.0,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.4725274725274725,0.10989010989010989,0.2087912087912088,0.0,0.07692307692307693,0.0989010989010989,MONIQUE_CHANDLER-WATERMAN_(),0.4725274725274725
42057,99.00,35,38,13,8,13,1,2,0,0,110,1,0,38,13,35,2,8,13,0.3181818181818182,0.34545454545454546,0.11818181818181818,0.07272727272727272,0.11818181818181818,0.00909090909090909,0.01818181818181818,0.0,0.0,0.00909090909090909,0.0,0.34545454545454546,0.11818181818181818,0.3181818181818182,0.01818181818181818,0.07272727272727272,0.11818181818181818,MONIQUE_CHANDLER-WATERMAN_(),0.34545454545454546
42058,99.00,45,52,14,9,45,1,3,0,0,169,1,0,52,14,45,3,9,45,0.26627218934911245,0.3076923076923077,0.08284023668639054,0.05325443786982249,0.26627218934911245,0.005917159763313609,0.01775147928994083,0.0,0.0,0.005917159763313609,0.0,0.3076923076923077,0.08284023668639054,0.26627218934911245,0.01775147928994083,0.05325443786982249,0.26627218934911245,MONIQUE_CHANDLER-WATERMAN_(),0.3076923076923077
42060,99.00,23,0,0,0,1,0,0,0,0,24,0,0,0,0,23,0,0,1,0.9583333333333334,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.041666666666666664,FARAH_N_LOUIS_(),0.9583333333333334
42061,99.00,43,4,3,1,3,11,2,0,0,67,11,0,4,3,43,2,1,3,0.6417910447761194,0.05970149253731343,0.04477611940298507,0.014925373134328358,0.04477611940298507,0.16417910447761194,0.029850746268656716,0.0,0.0,0.16417910447761194,0.0,0.05970149253731343,0.04477611940298507,0.6417910447761194,0.029850746268656716,0.014925373134328358,0.04477611940298507,FARAH_N_LOUIS_(),0.6417910447761194
42062,99.00,125,21,1,6,6,15,0,0,1,175,15,0,21,1,125,0,6,6,0.7142857142857143,0.12,0.005714285714285714,0.03428571428571429,0.03428571428571429,0.08571428571428572,0.0,0.0,0.005714285714285714,0.08571428571428572,0.0,0.12,0.005714285714285714,0.7142857142857143,0.0,0.03428571428571429,0.03428571428571429,FARAH_N_LOUIS_(),0.7142857142857143
42063,99.00,144,20,2,3,6,40,0,0,0,215,40,0,20,2,144,0,3,6,0.6697674418604651,0.09302325581395349,0.009302325581395349,0.013953488372093023,0.027906976744186046,0.18604651162790697,0.0,0.0,0.0,0.18604651162790697,0.0,0.09302325581395349,0.009302325581395349,0.6697674418604651,0.0,0.013953488372093023,0.027906976744186046,FARAH_N_LOUIS_(),0.6697674418604651
42064,99.00,382,4,3,0,1,50,1,1,2,444,50,1,4,3,382,1,0,1,0.8603603603603603,0.009009009009009009,0.006756756756756757,0.0,0.0022522522522522522,0.11261261261261261,0.0022522522522522522,0.0022522522522522522,0.0045045045045045045,0.11261261261261261,0.0022522522522522522,0.009009009009009009,0.006756756756756757,0.8603603603603603,0.0022522522522522522,0.0,0.0022522522522522522,FARAH_N_LOUIS_(),0.8603603603603603
42065,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42069,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42071,99.00,62,84,8,10,6,2,1,2,1,176,2,2,84,8,62,1,10,6,0.3522727272727273,0.4772727272727273,0.045454545454545456,0.056818181818181816,0.03409090909090909,0.011363636363636364,0.005681818181818182,0.011363636363636364,0.005681818181818182,0.011363636363636364,0.011363636363636364,0.4772727272727273,0.045454545454545456,0.3522727272727273,0.005681818181818182,0.056818181818181816,0.03409090909090909,MONIQUE_CHANDLER-WATERMAN_(),0.4772727272727273
42073,99.00,58,37,11,7,6,0,1,0,0,120,0,0,37,11,58,1,7,6,0.48333333333333334,0.30833333333333335,0.09166666666666666,0.058333333333333334,0.05,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.30833333333333335,0.09166666666666666,0.48333333333333334,0.008333333333333333,0.058333333333333334,0.05,FARAH_N_LOUIS_(),0.48333333333333334
42074,99.00,34,27,6,4,5,0,6,0,0,82,0,0,27,6,34,6,4,5,0.4146341463414634,0.32926829268292684,0.07317073170731707,0.04878048780487805,0.06097560975609756,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.32926829268292684,0.07317073170731707,0.4146341463414634,0.07317073170731707,0.04878048780487805,0.06097560975609756,FARAH_N_LOUIS_(),0.4146341463414634
42080,99.00,29,39,8,7,12,0,0,0,0,95,0,0,39,8,29,0,7,12,0.30526315789473685,0.4105263157894737,0.08421052631578947,0.07368421052631578,0.12631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.4105263157894737,0.08421052631578947,0.30526315789473685,0.0,0.07368421052631578,0.12631578947368421,MONIQUE_CHANDLER-WATERMAN_(),0.4105263157894737
42081,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
42082,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
44026,99.00,49,18,7,6,0,28,1,0,0,109,28,0,18,7,49,1,6,0,0.44954128440366975,0.1651376146788991,0.06422018348623854,0.05504587155963303,0.0,0.25688073394495414,0.009174311926605505,0.0,0.0,0.25688073394495414,0.0,0.1651376146788991,0.06422018348623854,0.44954128440366975,0.009174311926605505,0.05504587155963303,0.0,FARAH_N_LOUIS_(),0.44954128440366975
44027,99.00,62,11,4,0,0,21,0,0,0,98,21,0,11,4,62,0,0,0,0.6326530612244898,0.11224489795918367,0.04081632653061224,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.0,0.11224489795918367,0.04081632653061224,0.6326530612244898,0.0,0.0,0.0,FARAH_N_LOUIS_(),0.6326530612244898
44031,99.00,34,42,18,7,1,4,1,1,0,108,4,1,42,18,34,1,7,1,0.3148148148148148,0.3888888888888889,0.16666666666666666,0.06481481481481481,0.009259259259259259,0.037037037037037035,0.009259259259259259,0.009259259259259259,0.0,0.037037037037037035,0.009259259259259259,0.3888888888888889,0.16666666666666666,0.3148148148148148,0.009259259259259259,0.06481481481481481,0.009259259259259259,MONIQUE_CHANDLER-WATERMAN_(),0.3888888888888889
44032,99.00,18,6,2,2,2,0,0,0,0,30,0,0,6,2,18,0,2,2,0.6,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.6,0.0,0.06666666666666667,0.06666666666666667,FARAH_N_LOUIS_(),0.6
