ED,Reported As,Reporting,Michael J. Dennis (Conservative),Michael J. Dennis (Republican),Luis R. Sepulveda (Working Families),Luis R. Sepulveda (Democratic),Scattered,Total Votes,Michael J. Dennis RECAP,Luis R. Sepulveda RECAP,Scattered RECAP,p_Michael J. Dennis (Conservative),p_Michael J. Dennis (Republican),p_Luis R. Sepulveda (Working Families),p_Luis R. Sepulveda (Democratic),p_Scattered,p_Michael J. Dennis RECAP,p_Luis R. Sepulveda RECAP,p_Scattered RECAP,winner,winner_p
87027,87027,100,3,3,7,85,0,98,6,92,0,0.030612244897959183,0.030612244897959183,0.07142857142857142,0.8673469387755102,0.0,0.061224489795918366,0.9387755102040817,0.0,Luis R. Sepulveda RECAP,0.9387755102040817
87028,87028,100,0,6,10,138,0,154,6,148,0,0.0,0.03896103896103896,0.06493506493506493,0.8961038961038961,0.0,0.03896103896103896,0.961038961038961,0.0,Luis R. Sepulveda RECAP,0.961038961038961
87029,87029,100,5,7,7,94,0,113,12,101,0,0.04424778761061947,0.061946902654867256,0.061946902654867256,0.831858407079646,0.0,0.10619469026548672,0.8938053097345132,0.0,Luis R. Sepulveda RECAP,0.8938053097345132
87030,87030,100,1,1,3,52,0,57,2,55,0,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.9122807017543859,0.0,0.03508771929824561,0.9649122807017544,0.0,Luis R. Sepulveda RECAP,0.9649122807017544
87031,87031,100,0,4,3,81,0,88,4,84,0,0.0,0.045454545454545456,0.03409090909090909,0.9204545454545454,0.0,0.045454545454545456,0.9545454545454546,0.0,Luis R. Sepulveda RECAP,0.9545454545454546
87032,87032,100,3,6,3,146,2,160,9,149,2,0.01875,0.0375,0.01875,0.9125,0.0125,0.05625,0.93125,0.0125,Luis R. Sepulveda RECAP,0.93125
87033,87033,100,8,4,9,158,0,179,12,167,0,0.0446927374301676,0.0223463687150838,0.05027932960893855,0.88268156424581,0.0,0.0670391061452514,0.9329608938547486,0.0,Luis R. Sepulveda RECAP,0.9329608938547486
87034,87034,100,3,5,3,144,0,155,8,147,0,0.01935483870967742,0.03225806451612903,0.01935483870967742,0.9290322580645162,0.0,0.05161290322580645,0.9483870967741935,0.0,Luis R. Sepulveda RECAP,0.9483870967741935
87035,87035,100,4,6,4,107,0,121,10,111,0,0.03305785123966942,0.049586776859504134,0.03305785123966942,0.8842975206611571,0.0,0.08264462809917356,0.9173553719008265,0.0,Luis R. Sepulveda RECAP,0.9173553719008265
87036,87036,100,1,14,4,119,0,138,15,123,0,0.007246376811594203,0.10144927536231885,0.028985507246376812,0.8623188405797102,0.0,0.10869565217391304,0.8913043478260869,0.0,Luis R. Sepulveda RECAP,0.8913043478260869
87037,87037,100,3,11,5,139,0,158,14,144,0,0.0189873417721519,0.06962025316455696,0.03164556962025317,0.879746835443038,0.0,0.08860759493670886,0.9113924050632911,0.0,Luis R. Sepulveda RECAP,0.9113924050632911
87038,87038,100,1,9,6,153,0,169,10,159,0,0.005917159763313609,0.05325443786982249,0.03550295857988166,0.9053254437869822,0.0,0.05917159763313609,0.9408284023668639,0.0,Luis R. Sepulveda RECAP,0.9408284023668639
87039,87039,100,6,12,16,155,0,189,18,171,0,0.031746031746031744,0.06349206349206349,0.08465608465608465,0.8201058201058201,0.0,0.09523809523809523,0.9047619047619048,0.0,Luis R. Sepulveda RECAP,0.9047619047619048
87040,87040,100,4,18,3,191,0,216,22,194,0,0.018518518518518517,0.08333333333333333,0.013888888888888888,0.8842592592592593,0.0,0.10185185185185185,0.8981481481481481,0.0,Luis R. Sepulveda RECAP,0.8981481481481481
87041,87041,100,2,3,5,79,0,89,5,84,0,0.02247191011235955,0.033707865168539325,0.056179775280898875,0.8876404494382022,0.0,0.056179775280898875,0.9438202247191011,0.0,Luis R. Sepulveda RECAP,0.9438202247191011
87042,87042,100,1,7,10,158,0,176,8,168,0,0.005681818181818182,0.03977272727272727,0.056818181818181816,0.8977272727272727,0.0,0.045454545454545456,0.9545454545454546,0.0,Luis R. Sepulveda RECAP,0.9545454545454546
87043,87043,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
87044,87044,100,2,5,2,27,0,36,7,29,0,0.05555555555555555,0.1388888888888889,0.05555555555555555,0.75,0.0,0.19444444444444445,0.8055555555555556,0.0,Luis R. Sepulveda RECAP,0.8055555555555556
87045,87045,100,1,2,0,10,0,13,3,10,0,0.07692307692307693,0.15384615384615385,0.0,0.7692307692307693,0.0,0.23076923076923078,0.7692307692307693,0.0,Luis R. Sepulveda RECAP,0.7692307692307693
87046,87046,100,3,12,7,94,0,116,15,101,0,0.02586206896551724,0.10344827586206896,0.0603448275862069,0.8103448275862069,0.0,0.12931034482758622,0.8706896551724138,0.0,Luis R. Sepulveda RECAP,0.8706896551724138
87047,87047,100,3,12,13,270,0,298,15,283,0,0.010067114093959731,0.040268456375838924,0.0436241610738255,0.9060402684563759,0.0,0.050335570469798654,0.9496644295302014,0.0,Luis R. Sepulveda RECAP,0.9496644295302014
87048,87048,100,6,12,11,256,0,285,18,267,0,0.021052631578947368,0.042105263157894736,0.03859649122807018,0.8982456140350877,0.0,0.06315789473684211,0.9368421052631579,0.0,Luis R. Sepulveda RECAP,0.9368421052631579
87049,87049,100,5,16,11,199,1,232,21,210,1,0.021551724137931036,0.06896551724137931,0.04741379310344827,0.8577586206896551,0.004310344827586207,0.09051724137931035,0.9051724137931034,0.004310344827586207,Luis R. Sepulveda RECAP,0.9051724137931034
87050,87050,100,5,6,5,236,1,253,11,241,1,0.019762845849802372,0.023715415019762844,0.019762845849802372,0.932806324110672,0.003952569169960474,0.043478260869565216,0.9525691699604744,0.003952569169960474,Luis R. Sepulveda RECAP,0.9525691699604744
87051,87051,100,4,19,18,252,0,293,23,270,0,0.013651877133105802,0.06484641638225255,0.06143344709897611,0.8600682593856656,0.0,0.07849829351535836,0.9215017064846417,0.0,Luis R. Sepulveda RECAP,0.9215017064846417
87052,87052,100,4,9,11,235,0,259,13,246,0,0.015444015444015444,0.03474903474903475,0.04247104247104247,0.9073359073359073,0.0,0.05019305019305019,0.9498069498069498,0.0,Luis R. Sepulveda RECAP,0.9498069498069498
87053,87053,100,3,11,10,253,1,278,14,263,1,0.01079136690647482,0.039568345323741004,0.03597122302158273,0.9100719424460432,0.0035971223021582736,0.050359712230215826,0.9460431654676259,0.0035971223021582736,Luis R. Sepulveda RECAP,0.9460431654676259
87054,87054,100,2,15,9,205,1,232,17,214,1,0.008620689655172414,0.06465517241379311,0.03879310344827586,0.8836206896551724,0.004310344827586207,0.07327586206896551,0.9224137931034483,0.004310344827586207,Luis R. Sepulveda RECAP,0.9224137931034483
87055,87055,100,1,7,9,170,0,187,8,179,0,0.0053475935828877,0.0374331550802139,0.0481283422459893,0.9090909090909091,0.0,0.0427807486631016,0.9572192513368984,0.0,Luis R. Sepulveda RECAP,0.9572192513368984
87056,87056,100,2,8,16,199,0,225,10,215,0,0.008888888888888889,0.035555555555555556,0.07111111111111111,0.8844444444444445,0.0,0.044444444444444446,0.9555555555555556,0.0,Luis R. Sepulveda RECAP,0.9555555555555556
87057,87057,100,2,17,9,266,0,294,19,275,0,0.006802721088435374,0.05782312925170068,0.030612244897959183,0.9047619047619048,0.0,0.06462585034013606,0.935374149659864,0.0,Luis R. Sepulveda RECAP,0.935374149659864
87058,87058,100,2,3,8,112,0,125,5,120,0,0.016,0.024,0.064,0.896,0.0,0.04,0.96,0.0,Luis R. Sepulveda RECAP,0.96
87059,87059,100,4,13,12,266,0,295,17,278,0,0.013559322033898305,0.04406779661016949,0.04067796610169491,0.9016949152542373,0.0,0.0576271186440678,0.9423728813559322,0.0,Luis R. Sepulveda RECAP,0.9423728813559322
87060,87060,100,2,7,7,168,0,184,9,175,0,0.010869565217391304,0.03804347826086957,0.03804347826086957,0.9130434782608695,0.0,0.04891304347826087,0.9510869565217391,0.0,Luis R. Sepulveda RECAP,0.9510869565217391
87061,87061,100,5,6,8,189,1,209,11,197,1,0.023923444976076555,0.028708133971291867,0.03827751196172249,0.9043062200956937,0.004784688995215311,0.05263157894736842,0.9425837320574163,0.004784688995215311,Luis R. Sepulveda RECAP,0.9425837320574163
87062,87062,100,6,14,17,224,0,261,20,241,0,0.022988505747126436,0.05363984674329502,0.06513409961685823,0.8582375478927203,0.0,0.07662835249042145,0.9233716475095786,0.0,Luis R. Sepulveda RECAP,0.9233716475095786
87063,87063,100,0,2,1,9,0,12,2,10,0,0.0,0.16666666666666666,0.08333333333333333,0.75,0.0,0.16666666666666666,0.8333333333333334,0.0,Luis R. Sepulveda RECAP,0.8333333333333334
87064,87064,100,0,0,0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Luis R. Sepulveda RECAP,1.0
87065,87065,100,3,11,3,77,0,94,14,80,0,0.031914893617021274,0.11702127659574468,0.031914893617021274,0.8191489361702128,0.0,0.14893617021276595,0.851063829787234,0.0,Luis R. Sepulveda RECAP,0.851063829787234
87066,87066,100,3,4,1,99,0,107,7,100,0,0.028037383177570093,0.037383177570093455,0.009345794392523364,0.9252336448598131,0.0,0.06542056074766354,0.9345794392523364,0.0,Luis R. Sepulveda RECAP,0.9345794392523364
87067,87067,100,1,8,6,75,0,90,9,81,0,0.011111111111111112,0.08888888888888889,0.06666666666666667,0.8333333333333334,0.0,0.1,0.9,0.0,Luis R. Sepulveda RECAP,0.9
87068,87068,100,4,22,9,132,0,167,26,141,0,0.023952095808383235,0.1317365269461078,0.05389221556886228,0.7904191616766467,0.0,0.15568862275449102,0.844311377245509,0.0,Luis R. Sepulveda RECAP,0.844311377245509
87069,87069,100,2,7,2,151,0,162,9,153,0,0.012345679012345678,0.043209876543209874,0.012345679012345678,0.9320987654320988,0.0,0.05555555555555555,0.9444444444444444,0.0,Luis R. Sepulveda RECAP,0.9444444444444444
87070,87070,100,1,0,3,115,0,119,1,118,0,0.008403361344537815,0.0,0.025210084033613446,0.9663865546218487,0.0,0.008403361344537815,0.9915966386554622,0.0,Luis R. Sepulveda RECAP,0.9915966386554622
87071,87071,100,0,1,3,71,0,75,1,74,0,0.0,0.013333333333333334,0.04,0.9466666666666667,0.0,0.013333333333333334,0.9866666666666667,0.0,Luis R. Sepulveda RECAP,0.9866666666666667
87072,87072,100,0,17,4,70,0,91,17,74,0,0.0,0.18681318681318682,0.04395604395604396,0.7692307692307693,0.0,0.18681318681318682,0.8131868131868132,0.0,Luis R. Sepulveda RECAP,0.8131868131868132
87073,87073,100,2,4,2,23,0,31,6,25,0,0.06451612903225806,0.12903225806451613,0.06451612903225806,0.7419354838709677,0.0,0.1935483870967742,0.8064516129032258,0.0,Luis R. Sepulveda RECAP,0.8064516129032258
87074,87074,100,3,18,8,154,0,183,21,162,0,0.01639344262295082,0.09836065573770492,0.04371584699453552,0.8415300546448088,0.0,0.11475409836065574,0.8852459016393442,0.0,Luis R. Sepulveda RECAP,0.8852459016393442
87075,87075,100,2,14,5,136,0,157,16,141,0,0.012738853503184714,0.08917197452229299,0.03184713375796178,0.8662420382165605,0.0,0.10191082802547771,0.8980891719745223,0.0,Luis R. Sepulveda RECAP,0.8980891719745223
87076,87076,100,5,9,7,122,0,143,14,129,0,0.03496503496503497,0.06293706293706294,0.04895104895104895,0.8531468531468531,0.0,0.0979020979020979,0.9020979020979021,0.0,Luis R. Sepulveda RECAP,0.9020979020979021
87077,87077,100,1,10,7,125,0,143,11,132,0,0.006993006993006993,0.06993006993006994,0.04895104895104895,0.8741258741258742,0.0,0.07692307692307693,0.9230769230769231,0.0,Luis R. Sepulveda RECAP,0.9230769230769231
87078,87078,100,3,15,5,181,0,204,18,186,0,0.014705882352941176,0.07352941176470588,0.024509803921568627,0.8872549019607843,0.0,0.08823529411764706,0.9117647058823529,0.0,Luis R. Sepulveda RECAP,0.9117647058823529
87079,87079,100,1,1,0,27,0,29,2,27,0,0.034482758620689655,0.034482758620689655,0.0,0.9310344827586207,0.0,0.06896551724137931,0.9310344827586207,0.0,Luis R. Sepulveda RECAP,0.9310344827586207
87080,87080,100,0,6,3,115,1,125,6,118,1,0.0,0.048,0.024,0.92,0.008,0.048,0.944,0.008,Luis R. Sepulveda RECAP,0.944
87081,87081,100,4,8,6,125,0,143,12,131,0,0.027972027972027972,0.055944055944055944,0.04195804195804196,0.8741258741258742,0.0,0.08391608391608392,0.916083916083916,0.0,Luis R. Sepulveda RECAP,0.916083916083916
87082,87082,100,1,4,3,89,0,97,5,92,0,0.010309278350515464,0.041237113402061855,0.030927835051546393,0.9175257731958762,0.0,0.05154639175257732,0.9484536082474226,0.0,Luis R. Sepulveda RECAP,0.9484536082474226
87083,87083,100,1,6,0,7,0,14,7,7,0,0.07142857142857142,0.42857142857142855,0.0,0.5,0.0,0.5,0.5,0.0,Tie,0.5
87084,87084,100,0,7,8,174,0,189,7,182,0,0.0,0.037037037037037035,0.042328042328042326,0.9206349206349206,0.0,0.037037037037037035,0.9629629629629629,0.0,Luis R. Sepulveda RECAP,0.9629629629629629
87085,87085,100,1,10,10,202,0,223,11,212,0,0.004484304932735426,0.04484304932735426,0.04484304932735426,0.905829596412556,0.0,0.04932735426008968,0.9506726457399103,0.0,Luis R. Sepulveda RECAP,0.9506726457399103
87086,87086,100,0,1,2,47,0,50,1,49,0,0.0,0.02,0.04,0.94,0.0,0.02,0.98,0.0,Luis R. Sepulveda RECAP,0.98
87087,87087,100,4,9,14,316,0,343,13,330,0,0.011661807580174927,0.026239067055393587,0.04081632653061224,0.9212827988338192,0.0,0.037900874635568516,0.9620991253644315,0.0,Luis R. Sepulveda RECAP,0.9620991253644315
87088,87088,100,1,4,4,135,0,144,5,139,0,0.006944444444444444,0.027777777777777776,0.027777777777777776,0.9375,0.0,0.034722222222222224,0.9652777777777778,0.0,Luis R. Sepulveda RECAP,0.9652777777777778
87089,87089,100,1,3,2,133,2,141,4,135,2,0.0070921985815602835,0.02127659574468085,0.014184397163120567,0.9432624113475178,0.014184397163120567,0.028368794326241134,0.9574468085106383,0.014184397163120567,Luis R. Sepulveda RECAP,0.9574468085106383
87090,87090,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
87091,87091,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
87092,87092,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
87093,87093,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
87094,87094,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
87095,87095,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
