ED,Reported As,Reporting,Mojgan Cohanim Lancman (Democratic),Mojgan Cohanim Lancman (Republican),Scattered,Total Votes,Mojgan Cohanim Lancman RECAP,Scattered RECAP,p_Mojgan Cohanim Lancman (Democratic),p_Mojgan Cohanim Lancman (Republican),p_Scattered,p_Mojgan Cohanim Lancman RECAP,p_Scattered RECAP,winner,winner_p
23011,23011,100,106,122,0,228,228,0,0.4649122807017544,0.5350877192982456,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23012,23012,100,132,50,0,182,182,0,0.7252747252747253,0.27472527472527475,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23013,23013,100,112,85,1,198,197,1,0.5656565656565656,0.4292929292929293,0.005050505050505051,0.9949494949494949,0.005050505050505051,Mojgan Cohanim Lancman RECAP,0.9949494949494949
23014,23014,100,141,130,2,273,271,2,0.5164835164835165,0.47619047619047616,0.007326007326007326,0.9926739926739927,0.007326007326007326,Mojgan Cohanim Lancman RECAP,0.9926739926739927
23015,23015,100,187,68,1,256,255,1,0.73046875,0.265625,0.00390625,0.99609375,0.00390625,Mojgan Cohanim Lancman RECAP,0.99609375
23016,23016,100,193,67,1,261,260,1,0.7394636015325671,0.2567049808429119,0.0038314176245210726,0.9961685823754789,0.0038314176245210726,Mojgan Cohanim Lancman RECAP,0.9961685823754789
23017,23017,100,127,25,1,153,152,1,0.8300653594771242,0.16339869281045752,0.006535947712418301,0.9934640522875817,0.006535947712418301,Mojgan Cohanim Lancman RECAP,0.9934640522875817
23018,23018,100,99,11,0,110,110,0,0.9,0.1,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23019,23019,100,185,43,1,229,228,1,0.8078602620087336,0.18777292576419213,0.004366812227074236,0.9956331877729258,0.004366812227074236,Mojgan Cohanim Lancman RECAP,0.9956331877729258
23020,23020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23021,23021,100,78,29,1,108,107,1,0.7222222222222222,0.26851851851851855,0.009259259259259259,0.9907407407407407,0.009259259259259259,Mojgan Cohanim Lancman RECAP,0.9907407407407407
23022,23022,100,1,0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23023,23023,100,96,103,0,199,199,0,0.4824120603015075,0.5175879396984925,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23024,23024,100,184,30,0,214,214,0,0.8598130841121495,0.14018691588785046,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23025,23025,100,118,62,1,181,180,1,0.6519337016574586,0.3425414364640884,0.0055248618784530384,0.994475138121547,0.0055248618784530384,Mojgan Cohanim Lancman RECAP,0.994475138121547
23026,23026,100,198,60,1,259,258,1,0.7644787644787645,0.23166023166023167,0.003861003861003861,0.9961389961389961,0.003861003861003861,Mojgan Cohanim Lancman RECAP,0.9961389961389961
23027,23027,100,44,159,2,205,203,2,0.2146341463414634,0.775609756097561,0.00975609756097561,0.9902439024390244,0.00975609756097561,Mojgan Cohanim Lancman RECAP,0.9902439024390244
23028,23028,100,98,148,1,247,246,1,0.3967611336032389,0.5991902834008097,0.004048582995951417,0.9959514170040485,0.004048582995951417,Mojgan Cohanim Lancman RECAP,0.9959514170040485
23029,23029,100,175,46,2,223,221,2,0.7847533632286996,0.2062780269058296,0.008968609865470852,0.9910313901345291,0.008968609865470852,Mojgan Cohanim Lancman RECAP,0.9910313901345291
23030,23030,100,193,37,0,230,230,0,0.8391304347826087,0.1608695652173913,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23031,23031,100,182,27,1,210,209,1,0.8666666666666667,0.12857142857142856,0.004761904761904762,0.9952380952380953,0.004761904761904762,Mojgan Cohanim Lancman RECAP,0.9952380952380953
23032,23032,100,123,6,0,129,129,0,0.9534883720930233,0.046511627906976744,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23033,23033,100,145,5,0,150,150,0,0.9666666666666667,0.03333333333333333,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23034,23034,100,97,10,0,107,107,0,0.9065420560747663,0.09345794392523364,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23035,23035,100,175,56,1,232,231,1,0.7543103448275862,0.2413793103448276,0.004310344827586207,0.9956896551724138,0.004310344827586207,Mojgan Cohanim Lancman RECAP,0.9956896551724138
23036,23036,100,126,65,0,191,191,0,0.6596858638743456,0.3403141361256545,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23037,23037,100,132,34,1,167,166,1,0.7904191616766467,0.20359281437125748,0.005988023952095809,0.9940119760479041,0.005988023952095809,Mojgan Cohanim Lancman RECAP,0.9940119760479041
23038,23038,100,20,9,0,29,29,0,0.6896551724137931,0.3103448275862069,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23039,23039,100,70,120,1,191,190,1,0.36649214659685864,0.6282722513089005,0.005235602094240838,0.9947643979057592,0.005235602094240838,Mojgan Cohanim Lancman RECAP,0.9947643979057592
23040,23040,100,73,130,0,203,203,0,0.35960591133004927,0.6403940886699507,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23041,23041,100,60,95,2,157,155,2,0.3821656050955414,0.6050955414012739,0.012738853503184714,0.9872611464968153,0.012738853503184714,Mojgan Cohanim Lancman RECAP,0.9872611464968153
23042,23042,100,201,17,0,218,218,0,0.9220183486238532,0.0779816513761468,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23043,23043,100,62,12,0,74,74,0,0.8378378378378378,0.16216216216216217,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23044,23044,100,83,141,0,224,224,0,0.3705357142857143,0.6294642857142857,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23045,23045,100,97,144,0,241,241,0,0.4024896265560166,0.5975103734439834,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23046,23046,100,86,159,0,245,245,0,0.3510204081632653,0.6489795918367347,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23047,23047,100,57,89,2,148,146,2,0.38513513513513514,0.6013513513513513,0.013513513513513514,0.9864864864864865,0.013513513513513514,Mojgan Cohanim Lancman RECAP,0.9864864864864865
23048,23048,100,67,73,0,140,140,0,0.4785714285714286,0.5214285714285715,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23049,23049,100,101,168,1,270,269,1,0.37407407407407406,0.6222222222222222,0.003703703703703704,0.9962962962962963,0.003703703703703704,Mojgan Cohanim Lancman RECAP,0.9962962962962963
23050,23050,100,103,117,0,220,220,0,0.4681818181818182,0.5318181818181819,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23051,23051,100,79,142,1,222,221,1,0.35585585585585583,0.6396396396396397,0.0045045045045045045,0.9954954954954955,0.0045045045045045045,Mojgan Cohanim Lancman RECAP,0.9954954954954955
23052,23052,100,57,73,1,131,130,1,0.4351145038167939,0.5572519083969466,0.007633587786259542,0.9923664122137404,0.007633587786259542,Mojgan Cohanim Lancman RECAP,0.9923664122137404
23053,23053,100,118,66,0,184,184,0,0.6413043478260869,0.358695652173913,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23054,23054,100,110,86,0,196,196,0,0.5612244897959183,0.4387755102040816,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23055,23055,100,35,12,0,47,47,0,0.7446808510638298,0.2553191489361702,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23056,23056,100,119,48,0,167,167,0,0.7125748502994012,0.2874251497005988,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23057,23057,100,137,62,0,199,199,0,0.6884422110552764,0.31155778894472363,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23058,23058,100,136,53,1,190,189,1,0.7157894736842105,0.2789473684210526,0.005263157894736842,0.9947368421052631,0.005263157894736842,Mojgan Cohanim Lancman RECAP,0.9947368421052631
23059,23059,100,120,29,0,149,149,0,0.8053691275167785,0.19463087248322147,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23060,23060,100,77,32,0,109,109,0,0.7064220183486238,0.29357798165137616,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23061,23061,100,155,97,0,252,252,0,0.6150793650793651,0.38492063492063494,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23062,23062,100,196,112,0,308,308,0,0.6363636363636364,0.36363636363636365,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23063,23063,100,198,95,0,293,293,0,0.6757679180887372,0.3242320819112628,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23064,23064,100,191,129,0,320,320,0,0.596875,0.403125,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23065,23065,100,129,69,0,198,198,0,0.6515151515151515,0.3484848484848485,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23066,23066,100,78,11,0,89,89,0,0.8764044943820225,0.12359550561797752,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23067,23067,100,63,11,0,74,74,0,0.8513513513513513,0.14864864864864866,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23068,23068,100,84,15,0,99,99,0,0.8484848484848485,0.15151515151515152,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23069,23069,100,73,23,0,96,96,0,0.7604166666666666,0.23958333333333334,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23070,23070,100,78,30,0,108,108,0,0.7222222222222222,0.2777777777777778,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23071,23038,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23072,23072,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23073,23073,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23074,23073,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23075,23075,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23076,23076,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23077,23077,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23078,23077,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23079,23077,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23080,23072,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23081,23072,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23082,23072,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23083,23022,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24001,24001,100,106,52,0,158,158,0,0.6708860759493671,0.3291139240506329,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24002,24002,100,192,69,0,261,261,0,0.735632183908046,0.26436781609195403,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24003,24003,100,143,48,1,192,191,1,0.7447916666666666,0.25,0.005208333333333333,0.9947916666666666,0.005208333333333333,Mojgan Cohanim Lancman RECAP,0.9947916666666666
24004,24004,100,90,23,0,113,113,0,0.7964601769911505,0.20353982300884957,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24005,24005,100,157,66,2,225,223,2,0.6977777777777778,0.29333333333333333,0.008888888888888889,0.9911111111111112,0.008888888888888889,Mojgan Cohanim Lancman RECAP,0.9911111111111112
24006,24006,100,124,68,0,192,192,0,0.6458333333333334,0.3541666666666667,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24007,24007,100,98,24,0,122,122,0,0.8032786885245902,0.19672131147540983,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24008,24008,100,42,8,0,50,50,0,0.84,0.16,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24009,24009,100,5,1,0,6,6,0,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24010,24010,100,55,34,0,89,89,0,0.6179775280898876,0.38202247191011235,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24011,24011,100,81,29,2,112,110,2,0.7232142857142857,0.25892857142857145,0.017857142857142856,0.9821428571428571,0.017857142857142856,Mojgan Cohanim Lancman RECAP,0.9821428571428571
24012,24012,100,13,4,0,17,17,0,0.7647058823529411,0.23529411764705882,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24013,24013,100,149,27,0,176,176,0,0.8465909090909091,0.1534090909090909,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24014,24014,100,114,28,0,142,142,0,0.8028169014084507,0.19718309859154928,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24015,24015,100,104,40,0,144,144,0,0.7222222222222222,0.2777777777777778,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24016,24016,100,75,24,0,99,99,0,0.7575757575757576,0.24242424242424243,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24017,24017,100,175,58,1,234,233,1,0.7478632478632479,0.24786324786324787,0.004273504273504274,0.9957264957264957,0.004273504273504274,Mojgan Cohanim Lancman RECAP,0.9957264957264957
24018,24018,100,198,77,0,275,275,0,0.72,0.28,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24019,24019,100,175,103,0,278,278,0,0.6294964028776978,0.37050359712230213,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24020,24020,100,213,78,2,293,291,2,0.726962457337884,0.26621160409556316,0.006825938566552901,0.9931740614334471,0.006825938566552901,Mojgan Cohanim Lancman RECAP,0.9931740614334471
24021,24021,100,248,86,4,338,334,4,0.7337278106508875,0.25443786982248523,0.011834319526627219,0.9881656804733728,0.011834319526627219,Mojgan Cohanim Lancman RECAP,0.9881656804733728
24022,24022,100,93,43,2,138,136,2,0.6739130434782609,0.3115942028985507,0.014492753623188406,0.9855072463768116,0.014492753623188406,Mojgan Cohanim Lancman RECAP,0.9855072463768116
24023,24023,100,11,5,0,16,16,0,0.6875,0.3125,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24024,24024,100,198,88,1,287,286,1,0.6898954703832753,0.30662020905923343,0.003484320557491289,0.9965156794425087,0.003484320557491289,Mojgan Cohanim Lancman RECAP,0.9965156794425087
24025,24025,100,197,104,2,303,301,2,0.6501650165016502,0.3432343234323432,0.006600660066006601,0.9933993399339934,0.006600660066006601,Mojgan Cohanim Lancman RECAP,0.9933993399339934
24026,24026,100,80,12,0,92,92,0,0.8695652173913043,0.13043478260869565,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24027,24027,100,203,10,0,213,213,0,0.9530516431924883,0.046948356807511735,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24028,24028,100,115,76,1,192,191,1,0.5989583333333334,0.3958333333333333,0.005208333333333333,0.9947916666666666,0.005208333333333333,Mojgan Cohanim Lancman RECAP,0.9947916666666666
24029,24029,100,262,42,1,305,304,1,0.8590163934426229,0.1377049180327869,0.003278688524590164,0.9967213114754099,0.003278688524590164,Mojgan Cohanim Lancman RECAP,0.9967213114754099
24030,24030,100,251,25,0,276,276,0,0.9094202898550725,0.09057971014492754,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24031,24031,100,100,14,0,114,114,0,0.8771929824561403,0.12280701754385964,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24032,24032,100,86,40,1,127,126,1,0.6771653543307087,0.31496062992125984,0.007874015748031496,0.9921259842519685,0.007874015748031496,Mojgan Cohanim Lancman RECAP,0.9921259842519685
24033,24033,100,139,100,3,242,239,3,0.5743801652892562,0.4132231404958678,0.012396694214876033,0.987603305785124,0.012396694214876033,Mojgan Cohanim Lancman RECAP,0.987603305785124
24034,24034,100,74,69,0,143,143,0,0.5174825174825175,0.4825174825174825,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24035,24035,100,135,57,0,192,192,0,0.703125,0.296875,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24036,24036,100,63,6,0,69,69,0,0.9130434782608695,0.08695652173913043,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24037,24037,100,148,37,1,186,185,1,0.7956989247311828,0.1989247311827957,0.005376344086021506,0.9946236559139785,0.005376344086021506,Mojgan Cohanim Lancman RECAP,0.9946236559139785
24038,24038,100,0,2,0,2,2,0,0.0,1.0,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24039,24039,100,19,3,0,22,22,0,0.8636363636363636,0.13636363636363635,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24040,24040,100,183,30,0,213,213,0,0.8591549295774648,0.14084507042253522,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24041,24041,100,26,10,0,36,36,0,0.7222222222222222,0.2777777777777778,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24042,24042,100,70,14,0,84,84,0,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24043,24043,100,196,20,1,217,216,1,0.9032258064516129,0.09216589861751152,0.004608294930875576,0.9953917050691244,0.004608294930875576,Mojgan Cohanim Lancman RECAP,0.9953917050691244
24044,24044,100,87,16,0,103,103,0,0.8446601941747572,0.1553398058252427,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24045,24045,100,90,27,2,119,117,2,0.7563025210084033,0.226890756302521,0.01680672268907563,0.9831932773109243,0.01680672268907563,Mojgan Cohanim Lancman RECAP,0.9831932773109243
24046,24046,100,98,25,0,123,123,0,0.7967479674796748,0.2032520325203252,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24047,24047,100,106,26,0,132,132,0,0.803030303030303,0.19696969696969696,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24048,24048,100,39,3,0,42,42,0,0.9285714285714286,0.07142857142857142,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24049,24049,100,224,39,1,264,263,1,0.8484848484848485,0.14772727272727273,0.003787878787878788,0.9962121212121212,0.003787878787878788,Mojgan Cohanim Lancman RECAP,0.9962121212121212
24050,24050,100,124,34,0,158,158,0,0.7848101265822784,0.21518987341772153,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24051,24051,100,141,38,0,179,179,0,0.7877094972067039,0.2122905027932961,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24052,24052,100,111,33,0,144,144,0,0.7708333333333334,0.22916666666666666,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24053,24053,100,168,45,2,215,213,2,0.7813953488372093,0.20930232558139536,0.009302325581395349,0.9906976744186047,0.009302325581395349,Mojgan Cohanim Lancman RECAP,0.9906976744186047
24054,24054,100,135,17,2,154,152,2,0.8766233766233766,0.11038961038961038,0.012987012987012988,0.987012987012987,0.012987012987012988,Mojgan Cohanim Lancman RECAP,0.987012987012987
24055,24055,100,99,9,1,109,108,1,0.908256880733945,0.08256880733944955,0.009174311926605505,0.9908256880733946,0.009174311926605505,Mojgan Cohanim Lancman RECAP,0.9908256880733946
24056,24056,100,12,2,0,14,14,0,0.8571428571428571,0.14285714285714285,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24057,24057,100,62,11,0,73,73,0,0.8493150684931506,0.1506849315068493,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24058,24058,100,1,0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24059,24059,100,108,15,1,124,123,1,0.8709677419354839,0.12096774193548387,0.008064516129032258,0.9919354838709677,0.008064516129032258,Mojgan Cohanim Lancman RECAP,0.9919354838709677
24060,24060,100,26,5,0,31,31,0,0.8387096774193549,0.16129032258064516,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24061,24061,100,104,51,0,155,155,0,0.6709677419354839,0.32903225806451614,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24062,24062,100,114,22,1,137,136,1,0.8321167883211679,0.16058394160583941,0.0072992700729927005,0.9927007299270073,0.0072992700729927005,Mojgan Cohanim Lancman RECAP,0.9927007299270073
24063,24063,100,83,6,0,89,89,0,0.9325842696629213,0.06741573033707865,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24064,24064,100,59,4,0,63,63,0,0.9365079365079365,0.06349206349206349,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24065,24065,100,124,22,0,146,146,0,0.8493150684931506,0.1506849315068493,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24066,24066,100,136,20,0,156,156,0,0.8717948717948718,0.1282051282051282,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24067,24067,100,90,16,0,106,106,0,0.8490566037735849,0.1509433962264151,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24068,24068,100,71,29,0,100,100,0,0.71,0.29,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24069,24069,100,53,13,0,66,66,0,0.803030303030303,0.19696969696969696,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24070,24070,100,78,25,0,103,103,0,0.7572815533980582,0.24271844660194175,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24071,24071,100,83,12,0,95,95,0,0.8736842105263158,0.12631578947368421,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24072,24072,100,81,18,0,99,99,0,0.8181818181818182,0.18181818181818182,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24073,24073,100,98,12,0,110,110,0,0.8909090909090909,0.10909090909090909,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24074,24074,100,89,15,0,104,104,0,0.8557692307692307,0.14423076923076922,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24075,24075,100,66,10,0,76,76,0,0.868421052631579,0.13157894736842105,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24076,24076,100,95,22,0,117,117,0,0.811965811965812,0.18803418803418803,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24077,24077,100,74,19,0,93,93,0,0.7956989247311828,0.20430107526881722,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24078,24078,100,139,20,0,159,159,0,0.8742138364779874,0.12578616352201258,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24079,24079,100,56,13,0,69,69,0,0.8115942028985508,0.18840579710144928,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
24080,24080,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24081,24060,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24082,24082,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24083,24080,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
25001,25001,100,127,65,0,192,192,0,0.6614583333333334,0.3385416666666667,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
25002,25002,100,16,3,1,20,19,1,0.8,0.15,0.05,0.95,0.05,Mojgan Cohanim Lancman RECAP,0.95
25003,25003,100,136,58,0,194,194,0,0.7010309278350515,0.29896907216494845,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
25004,25004,100,118,72,1,191,190,1,0.6178010471204188,0.3769633507853403,0.005235602094240838,0.9947643979057592,0.005235602094240838,Mojgan Cohanim Lancman RECAP,0.9947643979057592
25005,25005,100,21,8,0,29,29,0,0.7241379310344828,0.27586206896551724,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
25006,25006,100,96,24,0,120,120,0,0.8,0.2,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
25007,25007,100,182,35,1,218,217,1,0.8348623853211009,0.16055045871559634,0.0045871559633027525,0.9954128440366973,0.0045871559633027525,Mojgan Cohanim Lancman RECAP,0.9954128440366973
25008,25008,100,93,48,1,142,141,1,0.6549295774647887,0.3380281690140845,0.007042253521126761,0.9929577464788732,0.007042253521126761,Mojgan Cohanim Lancman RECAP,0.9929577464788732
25009,25009,100,26,21,1,48,47,1,0.5416666666666666,0.4375,0.020833333333333332,0.9791666666666666,0.020833333333333332,Mojgan Cohanim Lancman RECAP,0.9791666666666666
25010,25010,100,133,95,1,229,228,1,0.5807860262008734,0.4148471615720524,0.004366812227074236,0.9956331877729258,0.004366812227074236,Mojgan Cohanim Lancman RECAP,0.9956331877729258
25011,25011,100,107,72,1,180,179,1,0.5944444444444444,0.4,0.005555555555555556,0.9944444444444445,0.005555555555555556,Mojgan Cohanim Lancman RECAP,0.9944444444444445
25012,25012,100,119,99,1,219,218,1,0.54337899543379,0.4520547945205479,0.0045662100456621,0.9954337899543378,0.0045662100456621,Mojgan Cohanim Lancman RECAP,0.9954337899543378
25013,25013,100,104,48,0,152,152,0,0.6842105263157895,0.3157894736842105,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
25014,25014,100,89,59,1,149,148,1,0.5973154362416108,0.3959731543624161,0.006711409395973154,0.9932885906040269,0.006711409395973154,Mojgan Cohanim Lancman RECAP,0.9932885906040269
25015,25015,100,95,34,0,129,129,0,0.7364341085271318,0.26356589147286824,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
25016,25016,100,147,81,0,228,228,0,0.6447368421052632,0.35526315789473684,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
