ED,Reported As,Reporting,Erik Martin Dilan (Democratic),Khorshed A. Chowdhury (Republican),Scattered,Kimberly Council (Working Families),Khorshed A. Chowdhury (Conservative),Total Votes,Erik Martin Dilan RECAP,Khorshed A. Chowdhury RECAP,Scattered RECAP,Kimberly Council RECAP,p_Erik Martin Dilan (Democratic),p_Khorshed A. Chowdhury (Republican),p_Scattered,p_Kimberly Council (Working Families),p_Khorshed A. Chowdhury (Conservative),p_Erik Martin Dilan RECAP,p_Khorshed A. Chowdhury RECAP,p_Scattered RECAP,p_Kimberly Council RECAP,winner,winner_p
54011,54011,100,111,4,0,17,1,133,111,5,0,17,0.8345864661654135,0.03007518796992481,0.0,0.12781954887218044,0.007518796992481203,0.8345864661654135,0.03759398496240601,0.0,0.12781954887218044,Erik Martin Dilan RECAP,0.8345864661654135
54012,54012,100,72,3,0,11,0,86,72,3,0,11,0.8372093023255814,0.03488372093023256,0.0,0.12790697674418605,0.0,0.8372093023255814,0.03488372093023256,0.0,0.12790697674418605,Erik Martin Dilan RECAP,0.8372093023255814
54013,54013,100,107,2,0,21,2,132,107,4,0,21,0.8106060606060606,0.015151515151515152,0.0,0.1590909090909091,0.015151515151515152,0.8106060606060606,0.030303030303030304,0.0,0.1590909090909091,Erik Martin Dilan RECAP,0.8106060606060606
54014,54014,100,5,0,0,3,0,8,5,0,0,3,0.625,0.0,0.0,0.375,0.0,0.625,0.0,0.0,0.375,Erik Martin Dilan RECAP,0.625
54015,54015,100,62,1,0,17,0,80,62,1,0,17,0.775,0.0125,0.0,0.2125,0.0,0.775,0.0125,0.0,0.2125,Erik Martin Dilan RECAP,0.775
54016,54016,100,4,1,0,1,0,6,4,1,0,1,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,Erik Martin Dilan RECAP,0.6666666666666666
54017,54017,100,23,0,0,3,0,26,23,0,0,3,0.8846153846153846,0.0,0.0,0.11538461538461539,0.0,0.8846153846153846,0.0,0.0,0.11538461538461539,Erik Martin Dilan RECAP,0.8846153846153846
54018,54018,100,3,0,0,0,0,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Erik Martin Dilan RECAP,1.0
54019,54019,100,95,5,0,8,0,108,95,5,0,8,0.8796296296296297,0.046296296296296294,0.0,0.07407407407407407,0.0,0.8796296296296297,0.046296296296296294,0.0,0.07407407407407407,Erik Martin Dilan RECAP,0.8796296296296297
54020,54020,100,144,4,0,20,0,168,144,4,0,20,0.8571428571428571,0.023809523809523808,0.0,0.11904761904761904,0.0,0.8571428571428571,0.023809523809523808,0.0,0.11904761904761904,Erik Martin Dilan RECAP,0.8571428571428571
54021,54021,100,119,3,0,18,1,141,119,4,0,18,0.8439716312056738,0.02127659574468085,0.0,0.1276595744680851,0.0070921985815602835,0.8439716312056738,0.028368794326241134,0.0,0.1276595744680851,Erik Martin Dilan RECAP,0.8439716312056738
54022,54022,100,81,1,1,11,1,95,81,2,1,11,0.8526315789473684,0.010526315789473684,0.010526315789473684,0.11578947368421053,0.010526315789473684,0.8526315789473684,0.021052631578947368,0.010526315789473684,0.11578947368421053,Erik Martin Dilan RECAP,0.8526315789473684
54023,54023,100,97,7,0,18,1,123,97,8,0,18,0.7886178861788617,0.056910569105691054,0.0,0.14634146341463414,0.008130081300813009,0.7886178861788617,0.06504065040650407,0.0,0.14634146341463414,Erik Martin Dilan RECAP,0.7886178861788617
54024,54024,100,71,7,0,9,2,89,71,9,0,9,0.797752808988764,0.07865168539325842,0.0,0.10112359550561797,0.02247191011235955,0.797752808988764,0.10112359550561797,0.0,0.10112359550561797,Erik Martin Dilan RECAP,0.797752808988764
54025,54025,100,51,4,0,10,1,66,51,5,0,10,0.7727272727272727,0.06060606060606061,0.0,0.15151515151515152,0.015151515151515152,0.7727272727272727,0.07575757575757576,0.0,0.15151515151515152,Erik Martin Dilan RECAP,0.7727272727272727
54026,54026,100,9,0,0,2,0,11,9,0,0,2,0.8181818181818182,0.0,0.0,0.18181818181818182,0.0,0.8181818181818182,0.0,0.0,0.18181818181818182,Erik Martin Dilan RECAP,0.8181818181818182
54027,54027,100,86,0,0,14,0,100,86,0,0,14,0.86,0.0,0.0,0.14,0.0,0.86,0.0,0.0,0.14,Erik Martin Dilan RECAP,0.86
54028,54028,100,141,5,0,20,0,166,141,5,0,20,0.8493975903614458,0.030120481927710843,0.0,0.12048192771084337,0.0,0.8493975903614458,0.030120481927710843,0.0,0.12048192771084337,Erik Martin Dilan RECAP,0.8493975903614458
54029,54029,100,79,4,0,9,0,92,79,4,0,9,0.8586956521739131,0.043478260869565216,0.0,0.09782608695652174,0.0,0.8586956521739131,0.043478260869565216,0.0,0.09782608695652174,Erik Martin Dilan RECAP,0.8586956521739131
54030,54030,100,122,3,0,21,1,147,122,4,0,21,0.8299319727891157,0.02040816326530612,0.0,0.14285714285714285,0.006802721088435374,0.8299319727891157,0.027210884353741496,0.0,0.14285714285714285,Erik Martin Dilan RECAP,0.8299319727891157
54031,54031,100,23,1,0,2,0,26,23,1,0,2,0.8846153846153846,0.038461538461538464,0.0,0.07692307692307693,0.0,0.8846153846153846,0.038461538461538464,0.0,0.07692307692307693,Erik Martin Dilan RECAP,0.8846153846153846
54032,54032,100,112,2,0,11,3,128,112,5,0,11,0.875,0.015625,0.0,0.0859375,0.0234375,0.875,0.0390625,0.0,0.0859375,Erik Martin Dilan RECAP,0.875
54033,54033,100,125,3,0,19,1,148,125,4,0,19,0.8445945945945946,0.02027027027027027,0.0,0.12837837837837837,0.006756756756756757,0.8445945945945946,0.02702702702702703,0.0,0.12837837837837837,Erik Martin Dilan RECAP,0.8445945945945946
54034,54034,100,152,5,0,19,0,176,152,5,0,19,0.8636363636363636,0.028409090909090908,0.0,0.10795454545454546,0.0,0.8636363636363636,0.028409090909090908,0.0,0.10795454545454546,Erik Martin Dilan RECAP,0.8636363636363636
54035,54035,100,112,2,0,20,0,134,112,2,0,20,0.835820895522388,0.014925373134328358,0.0,0.14925373134328357,0.0,0.835820895522388,0.014925373134328358,0.0,0.14925373134328357,Erik Martin Dilan RECAP,0.835820895522388
54036,54036,100,138,3,0,25,1,167,138,4,0,25,0.8263473053892215,0.017964071856287425,0.0,0.1497005988023952,0.005988023952095809,0.8263473053892215,0.023952095808383235,0.0,0.1497005988023952,Erik Martin Dilan RECAP,0.8263473053892215
54037,54037,100,138,1,0,19,0,158,138,1,0,19,0.8734177215189873,0.006329113924050633,0.0,0.12025316455696203,0.0,0.8734177215189873,0.006329113924050633,0.0,0.12025316455696203,Erik Martin Dilan RECAP,0.8734177215189873
54038,54038,100,137,5,0,12,0,154,137,5,0,12,0.8896103896103896,0.032467532467532464,0.0,0.07792207792207792,0.0,0.8896103896103896,0.032467532467532464,0.0,0.07792207792207792,Erik Martin Dilan RECAP,0.8896103896103896
54039,54039,100,155,6,0,15,2,178,155,8,0,15,0.8707865168539326,0.033707865168539325,0.0,0.08426966292134831,0.011235955056179775,0.8707865168539326,0.0449438202247191,0.0,0.08426966292134831,Erik Martin Dilan RECAP,0.8707865168539326
54040,54040,100,26,2,0,3,3,34,26,5,0,3,0.7647058823529411,0.058823529411764705,0.0,0.08823529411764706,0.08823529411764706,0.7647058823529411,0.14705882352941177,0.0,0.08823529411764706,Erik Martin Dilan RECAP,0.7647058823529411
54041,54041,100,137,4,0,23,1,165,137,5,0,23,0.8303030303030303,0.024242424242424242,0.0,0.1393939393939394,0.006060606060606061,0.8303030303030303,0.030303030303030304,0.0,0.1393939393939394,Erik Martin Dilan RECAP,0.8303030303030303
54042,54042,100,176,2,0,9,3,190,176,5,0,9,0.9263157894736842,0.010526315789473684,0.0,0.04736842105263158,0.015789473684210527,0.9263157894736842,0.02631578947368421,0.0,0.04736842105263158,Erik Martin Dilan RECAP,0.9263157894736842
54043,54043,100,139,8,0,28,0,175,139,8,0,28,0.7942857142857143,0.045714285714285714,0.0,0.16,0.0,0.7942857142857143,0.045714285714285714,0.0,0.16,Erik Martin Dilan RECAP,0.7942857142857143
54044,54044,100,71,4,0,5,0,80,71,4,0,5,0.8875,0.05,0.0,0.0625,0.0,0.8875,0.05,0.0,0.0625,Erik Martin Dilan RECAP,0.8875
54045,54045,100,139,9,1,13,4,166,139,13,1,13,0.8373493975903614,0.05421686746987952,0.006024096385542169,0.0783132530120482,0.024096385542168676,0.8373493975903614,0.0783132530120482,0.006024096385542169,0.0783132530120482,Erik Martin Dilan RECAP,0.8373493975903614
54046,54046,100,169,3,0,15,4,191,169,7,0,15,0.8848167539267016,0.015706806282722512,0.0,0.07853403141361257,0.020942408376963352,0.8848167539267016,0.03664921465968586,0.0,0.07853403141361257,Erik Martin Dilan RECAP,0.8848167539267016
54047,54047,100,97,6,0,3,3,109,97,9,0,3,0.8899082568807339,0.05504587155963303,0.0,0.027522935779816515,0.027522935779816515,0.8899082568807339,0.08256880733944955,0.0,0.027522935779816515,Erik Martin Dilan RECAP,0.8899082568807339
54048,54048,100,116,1,0,7,5,129,116,6,0,7,0.8992248062015504,0.007751937984496124,0.0,0.05426356589147287,0.03875968992248062,0.8992248062015504,0.046511627906976744,0.0,0.05426356589147287,Erik Martin Dilan RECAP,0.8992248062015504
54049,54049,100,124,4,0,7,2,137,124,6,0,7,0.9051094890510949,0.029197080291970802,0.0,0.051094890510948905,0.014598540145985401,0.9051094890510949,0.043795620437956206,0.0,0.051094890510948905,Erik Martin Dilan RECAP,0.9051094890510949
54050,54050,100,134,7,0,16,2,159,134,9,0,16,0.8427672955974843,0.0440251572327044,0.0,0.10062893081761007,0.012578616352201259,0.8427672955974843,0.05660377358490566,0.0,0.10062893081761007,Erik Martin Dilan RECAP,0.8427672955974843
54051,54051,100,143,7,0,14,4,168,143,11,0,14,0.8511904761904762,0.041666666666666664,0.0,0.08333333333333333,0.023809523809523808,0.8511904761904762,0.06547619047619048,0.0,0.08333333333333333,Erik Martin Dilan RECAP,0.8511904761904762
54052,54052,100,99,3,1,8,2,113,99,5,1,8,0.8761061946902655,0.02654867256637168,0.008849557522123894,0.07079646017699115,0.017699115044247787,0.8761061946902655,0.04424778761061947,0.008849557522123894,0.07079646017699115,Erik Martin Dilan RECAP,0.8761061946902655
54053,54053,100,72,5,0,5,0,82,72,5,0,5,0.8780487804878049,0.06097560975609756,0.0,0.06097560975609756,0.0,0.8780487804878049,0.06097560975609756,0.0,0.06097560975609756,Erik Martin Dilan RECAP,0.8780487804878049
54054,54054,100,145,10,0,11,3,169,145,13,0,11,0.8579881656804734,0.05917159763313609,0.0,0.0650887573964497,0.01775147928994083,0.8579881656804734,0.07692307692307693,0.0,0.0650887573964497,Erik Martin Dilan RECAP,0.8579881656804734
54055,54055,100,103,6,0,11,0,120,103,6,0,11,0.8583333333333333,0.05,0.0,0.09166666666666666,0.0,0.8583333333333333,0.05,0.0,0.09166666666666666,Erik Martin Dilan RECAP,0.8583333333333333
54056,54056,100,127,11,0,3,0,141,127,11,0,3,0.900709219858156,0.07801418439716312,0.0,0.02127659574468085,0.0,0.900709219858156,0.07801418439716312,0.0,0.02127659574468085,Erik Martin Dilan RECAP,0.900709219858156
54057,54057,100,116,17,0,18,1,152,116,18,0,18,0.7631578947368421,0.1118421052631579,0.0,0.11842105263157894,0.006578947368421052,0.7631578947368421,0.11842105263157894,0.0,0.11842105263157894,Erik Martin Dilan RECAP,0.7631578947368421
54058,54058,100,119,6,0,3,5,133,119,11,0,3,0.8947368421052632,0.045112781954887216,0.0,0.022556390977443608,0.03759398496240601,0.8947368421052632,0.08270676691729323,0.0,0.022556390977443608,Erik Martin Dilan RECAP,0.8947368421052632
54059,54059,100,140,8,0,7,2,157,140,10,0,7,0.89171974522293,0.050955414012738856,0.0,0.044585987261146494,0.012738853503184714,0.89171974522293,0.06369426751592357,0.0,0.044585987261146494,Erik Martin Dilan RECAP,0.89171974522293
54060,54060,100,236,3,0,28,1,268,236,4,0,28,0.8805970149253731,0.011194029850746268,0.0,0.1044776119402985,0.0037313432835820895,0.8805970149253731,0.014925373134328358,0.0,0.1044776119402985,Erik Martin Dilan RECAP,0.8805970149253731
54061,54061,100,140,2,0,13,2,157,140,4,0,13,0.89171974522293,0.012738853503184714,0.0,0.08280254777070063,0.012738853503184714,0.89171974522293,0.025477707006369428,0.0,0.08280254777070063,Erik Martin Dilan RECAP,0.89171974522293
54062,54062,100,106,1,0,21,1,129,106,2,0,21,0.8217054263565892,0.007751937984496124,0.0,0.16279069767441862,0.007751937984496124,0.8217054263565892,0.015503875968992248,0.0,0.16279069767441862,Erik Martin Dilan RECAP,0.8217054263565892
54063,54063,100,135,5,0,23,1,164,135,6,0,23,0.823170731707317,0.03048780487804878,0.0,0.1402439024390244,0.006097560975609756,0.823170731707317,0.036585365853658534,0.0,0.1402439024390244,Erik Martin Dilan RECAP,0.823170731707317
54064,54064,100,86,2,0,16,0,104,86,2,0,16,0.8269230769230769,0.019230769230769232,0.0,0.15384615384615385,0.0,0.8269230769230769,0.019230769230769232,0.0,0.15384615384615385,Erik Martin Dilan RECAP,0.8269230769230769
54065,54065,100,115,17,0,9,5,146,115,22,0,9,0.7876712328767124,0.11643835616438356,0.0,0.06164383561643835,0.03424657534246575,0.7876712328767124,0.1506849315068493,0.0,0.06164383561643835,Erik Martin Dilan RECAP,0.7876712328767124
54066,54066,100,39,1,0,3,0,43,39,1,0,3,0.9069767441860465,0.023255813953488372,0.0,0.06976744186046512,0.0,0.9069767441860465,0.023255813953488372,0.0,0.06976744186046512,Erik Martin Dilan RECAP,0.9069767441860465
54067,54067,100,137,2,0,12,1,152,137,3,0,12,0.9013157894736842,0.013157894736842105,0.0,0.07894736842105263,0.006578947368421052,0.9013157894736842,0.019736842105263157,0.0,0.07894736842105263,Erik Martin Dilan RECAP,0.9013157894736842
54068,54068,100,93,1,0,7,1,102,93,2,0,7,0.9117647058823529,0.00980392156862745,0.0,0.06862745098039216,0.00980392156862745,0.9117647058823529,0.0196078431372549,0.0,0.06862745098039216,Erik Martin Dilan RECAP,0.9117647058823529
54069,54069,100,98,0,0,14,0,112,98,0,0,14,0.875,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.125,Erik Martin Dilan RECAP,0.875
54070,54070,100,80,1,0,7,0,88,80,1,0,7,0.9090909090909091,0.011363636363636364,0.0,0.07954545454545454,0.0,0.9090909090909091,0.011363636363636364,0.0,0.07954545454545454,Erik Martin Dilan RECAP,0.9090909090909091
54071,54071,100,78,0,1,10,0,89,78,0,1,10,0.8764044943820225,0.0,0.011235955056179775,0.11235955056179775,0.0,0.8764044943820225,0.0,0.011235955056179775,0.11235955056179775,Erik Martin Dilan RECAP,0.8764044943820225
54072,54072,100,6,1,0,0,0,7,6,1,0,0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,Erik Martin Dilan RECAP,0.8571428571428571
54073,54073,100,123,3,1,10,0,137,123,3,1,10,0.8978102189781022,0.021897810218978103,0.0072992700729927005,0.072992700729927,0.0,0.8978102189781022,0.021897810218978103,0.0072992700729927005,0.072992700729927,Erik Martin Dilan RECAP,0.8978102189781022
54074,54074,100,104,4,0,13,2,123,104,6,0,13,0.8455284552845529,0.032520325203252036,0.0,0.10569105691056911,0.016260162601626018,0.8455284552845529,0.04878048780487805,0.0,0.10569105691056911,Erik Martin Dilan RECAP,0.8455284552845529
54075,54075,100,23,0,0,3,1,27,23,1,0,3,0.8518518518518519,0.0,0.0,0.1111111111111111,0.037037037037037035,0.8518518518518519,0.037037037037037035,0.0,0.1111111111111111,Erik Martin Dilan RECAP,0.8518518518518519
54076,54076,100,109,2,0,8,1,120,109,3,0,8,0.9083333333333333,0.016666666666666666,0.0,0.06666666666666667,0.008333333333333333,0.9083333333333333,0.025,0.0,0.06666666666666667,Erik Martin Dilan RECAP,0.9083333333333333
54077,54077,100,50,3,0,13,1,67,50,4,0,13,0.746268656716418,0.04477611940298507,0.0,0.19402985074626866,0.014925373134328358,0.746268656716418,0.05970149253731343,0.0,0.19402985074626866,Erik Martin Dilan RECAP,0.746268656716418
54078,54078,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
54079,54079,100,42,1,0,4,2,49,42,3,0,4,0.8571428571428571,0.02040816326530612,0.0,0.08163265306122448,0.04081632653061224,0.8571428571428571,0.061224489795918366,0.0,0.08163265306122448,Erik Martin Dilan RECAP,0.8571428571428571
