ED,Reported As,Reporting,Jeffrey J. Ferretti (Republican),Jeffrey J. Ferretti (Conservative),Scattered,Roxanne J. Persaud (Democratic),Total Votes,Jeffrey J. Ferretti RECAP,Scattered RECAP,Roxanne J. Persaud RECAP,p_Jeffrey J. Ferretti (Republican),p_Jeffrey J. Ferretti (Conservative),p_Scattered,p_Roxanne J. Persaud (Democratic),p_Jeffrey J. Ferretti RECAP,p_Scattered RECAP,p_Roxanne J. Persaud RECAP,winner,winner_p
59013,59013,100,7,2,0,185,194,9,0,185,0.03608247422680412,0.010309278350515464,0.0,0.9536082474226805,0.04639175257731959,0.0,0.9536082474226805,Roxanne J. Persaud RECAP,0.9536082474226805
59014,59014,100,4,7,0,225,236,11,0,225,0.01694915254237288,0.029661016949152543,0.0,0.9533898305084746,0.046610169491525424,0.0,0.9533898305084746,Roxanne J. Persaud RECAP,0.9533898305084746
59015,59015,100,9,3,0,250,262,12,0,250,0.03435114503816794,0.011450381679389313,0.0,0.9541984732824428,0.04580152671755725,0.0,0.9541984732824428,Roxanne J. Persaud RECAP,0.9541984732824428
59016,59016,100,8,1,0,283,292,9,0,283,0.0273972602739726,0.003424657534246575,0.0,0.9691780821917808,0.030821917808219176,0.0,0.9691780821917808,Roxanne J. Persaud RECAP,0.9691780821917808
59017,59017,100,4,2,0,241,247,6,0,241,0.016194331983805668,0.008097165991902834,0.0,0.9757085020242915,0.024291497975708502,0.0,0.9757085020242915,Roxanne J. Persaud RECAP,0.9757085020242915
59018,59018,100,3,2,0,197,202,5,0,197,0.01485148514851485,0.009900990099009901,0.0,0.9752475247524752,0.024752475247524754,0.0,0.9752475247524752,Roxanne J. Persaud RECAP,0.9752475247524752
59019,59019,100,6,3,0,57,66,9,0,57,0.09090909090909091,0.045454545454545456,0.0,0.8636363636363636,0.13636363636363635,0.0,0.8636363636363636,Roxanne J. Persaud RECAP,0.8636363636363636
59020,59020,100,7,2,0,157,166,9,0,157,0.04216867469879518,0.012048192771084338,0.0,0.9457831325301205,0.05421686746987952,0.0,0.9457831325301205,Roxanne J. Persaud RECAP,0.9457831325301205
59021,59021,100,7,8,0,182,197,15,0,182,0.03553299492385787,0.04060913705583756,0.0,0.9238578680203046,0.07614213197969544,0.0,0.9238578680203046,Roxanne J. Persaud RECAP,0.9238578680203046
59022,59022,100,24,8,0,182,214,32,0,182,0.11214953271028037,0.037383177570093455,0.0,0.8504672897196262,0.14953271028037382,0.0,0.8504672897196262,Roxanne J. Persaud RECAP,0.8504672897196262
59023,59023,100,8,10,0,98,116,18,0,98,0.06896551724137931,0.08620689655172414,0.0,0.8448275862068966,0.15517241379310345,0.0,0.8448275862068966,Roxanne J. Persaud RECAP,0.8448275862068966
59024,59024,100,10,8,0,185,203,18,0,185,0.04926108374384237,0.03940886699507389,0.0,0.9113300492610837,0.08866995073891626,0.0,0.9113300492610837,Roxanne J. Persaud RECAP,0.9113300492610837
59025,59025,100,3,2,0,173,178,5,0,173,0.016853932584269662,0.011235955056179775,0.0,0.9719101123595506,0.028089887640449437,0.0,0.9719101123595506,Roxanne J. Persaud RECAP,0.9719101123595506
59026,59026,100,39,21,0,256,316,60,0,256,0.12341772151898735,0.06645569620253164,0.0,0.810126582278481,0.189873417721519,0.0,0.810126582278481,Roxanne J. Persaud RECAP,0.810126582278481
59027,59027,100,19,22,0,200,241,41,0,200,0.07883817427385892,0.0912863070539419,0.0,0.8298755186721992,0.17012448132780084,0.0,0.8298755186721992,Roxanne J. Persaud RECAP,0.8298755186721992
59028,59028,100,25,22,0,154,201,47,0,154,0.12437810945273632,0.10945273631840796,0.0,0.7661691542288557,0.23383084577114427,0.0,0.7661691542288557,Roxanne J. Persaud RECAP,0.7661691542288557
59029,59029,100,24,22,1,134,181,46,1,134,0.13259668508287292,0.12154696132596685,0.0055248618784530384,0.7403314917127072,0.2541436464088398,0.0055248618784530384,0.7403314917127072,Roxanne J. Persaud RECAP,0.7403314917127072
59030,59030,100,28,12,0,157,197,40,0,157,0.14213197969543148,0.06091370558375635,0.0,0.7969543147208121,0.20304568527918782,0.0,0.7969543147208121,Roxanne J. Persaud RECAP,0.7969543147208121
59031,59031,100,45,32,0,226,303,77,0,226,0.1485148514851485,0.10561056105610561,0.0,0.7458745874587459,0.25412541254125415,0.0,0.7458745874587459,Roxanne J. Persaud RECAP,0.7458745874587459
59032,59032,100,18,12,0,184,214,30,0,184,0.08411214953271028,0.056074766355140186,0.0,0.8598130841121495,0.14018691588785046,0.0,0.8598130841121495,Roxanne J. Persaud RECAP,0.8598130841121495
59033,59033,100,105,37,0,75,217,142,0,75,0.4838709677419355,0.17050691244239632,0.0,0.3456221198156682,0.6543778801843319,0.0,0.3456221198156682,Jeffrey J. Ferretti RECAP,0.6543778801843319
59034,59034,100,85,31,0,72,188,116,0,72,0.4521276595744681,0.16489361702127658,0.0,0.3829787234042553,0.6170212765957447,0.0,0.3829787234042553,Jeffrey J. Ferretti RECAP,0.6170212765957447
59035,59035,100,112,59,0,90,261,171,0,90,0.42911877394636017,0.2260536398467433,0.0,0.3448275862068966,0.6551724137931034,0.0,0.3448275862068966,Jeffrey J. Ferretti RECAP,0.6551724137931034
59036,59036,100,115,47,0,73,235,162,0,73,0.48936170212765956,0.2,0.0,0.31063829787234043,0.6893617021276596,0.0,0.31063829787234043,Jeffrey J. Ferretti RECAP,0.6893617021276596
59037,59037,100,119,45,0,77,241,164,0,77,0.49377593360995853,0.18672199170124482,0.0,0.31950207468879666,0.6804979253112033,0.0,0.31950207468879666,Jeffrey J. Ferretti RECAP,0.6804979253112033
59038,59038,100,160,60,1,118,339,220,1,118,0.471976401179941,0.17699115044247787,0.0029498525073746312,0.3480825958702065,0.6489675516224189,0.0029498525073746312,0.3480825958702065,Jeffrey J. Ferretti RECAP,0.6489675516224189
59039,59039,100,74,43,0,77,194,117,0,77,0.38144329896907214,0.22164948453608246,0.0,0.39690721649484534,0.6030927835051546,0.0,0.39690721649484534,Jeffrey J. Ferretti RECAP,0.6030927835051546
59040,59040,100,137,69,2,106,314,206,2,106,0.43630573248407645,0.2197452229299363,0.006369426751592357,0.3375796178343949,0.6560509554140127,0.006369426751592357,0.3375796178343949,Jeffrey J. Ferretti RECAP,0.6560509554140127
59041,59041,100,3,2,0,115,120,5,0,115,0.025,0.016666666666666666,0.0,0.9583333333333334,0.041666666666666664,0.0,0.9583333333333334,Roxanne J. Persaud RECAP,0.9583333333333334
59042,59042,100,102,70,0,74,246,172,0,74,0.4146341463414634,0.2845528455284553,0.0,0.3008130081300813,0.6991869918699187,0.0,0.3008130081300813,Jeffrey J. Ferretti RECAP,0.6991869918699187
59043,59043,100,54,32,1,58,145,86,1,58,0.3724137931034483,0.2206896551724138,0.006896551724137931,0.4,0.593103448275862,0.006896551724137931,0.4,Jeffrey J. Ferretti RECAP,0.593103448275862
59044,59044,100,132,48,0,85,265,180,0,85,0.4981132075471698,0.1811320754716981,0.0,0.32075471698113206,0.6792452830188679,0.0,0.32075471698113206,Jeffrey J. Ferretti RECAP,0.6792452830188679
59045,59045,100,83,25,0,50,158,108,0,50,0.5253164556962026,0.15822784810126583,0.0,0.31645569620253167,0.6835443037974683,0.0,0.31645569620253167,Jeffrey J. Ferretti RECAP,0.6835443037974683
59046,59046,100,1,0,0,2,3,1,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,Roxanne J. Persaud RECAP,0.6666666666666666
59047,59047,100,4,2,0,173,179,6,0,173,0.0223463687150838,0.0111731843575419,0.0,0.9664804469273743,0.0335195530726257,0.0,0.9664804469273743,Roxanne J. Persaud RECAP,0.9664804469273743
59048,59048,100,2,1,0,14,17,3,0,14,0.11764705882352941,0.058823529411764705,0.0,0.8235294117647058,0.17647058823529413,0.0,0.8235294117647058,Roxanne J. Persaud RECAP,0.8235294117647058
59049,59049,100,3,0,0,200,203,3,0,200,0.014778325123152709,0.0,0.0,0.9852216748768473,0.014778325123152709,0.0,0.9852216748768473,Roxanne J. Persaud RECAP,0.9852216748768473
59050,59050,100,55,15,0,148,218,70,0,148,0.25229357798165136,0.06880733944954129,0.0,0.6788990825688074,0.3211009174311927,0.0,0.6788990825688074,Roxanne J. Persaud RECAP,0.6788990825688074
59051,59051,100,119,56,1,85,261,175,1,85,0.4559386973180077,0.21455938697318008,0.0038314176245210726,0.32567049808429116,0.6704980842911877,0.0038314176245210726,0.32567049808429116,Jeffrey J. Ferretti RECAP,0.6704980842911877
59052,59052,100,103,58,1,84,246,161,1,84,0.4186991869918699,0.23577235772357724,0.0040650406504065045,0.34146341463414637,0.6544715447154471,0.0040650406504065045,0.34146341463414637,Jeffrey J. Ferretti RECAP,0.6544715447154471
59053,59053,100,90,50,1,76,217,140,1,76,0.4147465437788018,0.2304147465437788,0.004608294930875576,0.35023041474654376,0.6451612903225806,0.004608294930875576,0.35023041474654376,Jeffrey J. Ferretti RECAP,0.6451612903225806
59054,59054,100,54,17,0,66,137,71,0,66,0.39416058394160586,0.12408759124087591,0.0,0.48175182481751827,0.5182481751824818,0.0,0.48175182481751827,Jeffrey J. Ferretti RECAP,0.5182481751824818
59055,59055,100,92,35,0,76,203,127,0,76,0.45320197044334976,0.1724137931034483,0.0,0.37438423645320196,0.625615763546798,0.0,0.37438423645320196,Jeffrey J. Ferretti RECAP,0.625615763546798
59056,59056,100,26,25,0,190,241,51,0,190,0.1078838174273859,0.1037344398340249,0.0,0.7883817427385892,0.21161825726141079,0.0,0.7883817427385892,Roxanne J. Persaud RECAP,0.7883817427385892
59057,59057,100,61,24,0,151,236,85,0,151,0.2584745762711864,0.1016949152542373,0.0,0.6398305084745762,0.3601694915254237,0.0,0.6398305084745762,Roxanne J. Persaud RECAP,0.6398305084745762
59058,59058,100,73,19,0,100,192,92,0,100,0.3802083333333333,0.09895833333333333,0.0,0.5208333333333334,0.4791666666666667,0.0,0.5208333333333334,Roxanne J. Persaud RECAP,0.5208333333333334
59059,59059,100,106,44,0,103,253,150,0,103,0.4189723320158103,0.17391304347826086,0.0,0.40711462450592883,0.5928853754940712,0.0,0.40711462450592883,Jeffrey J. Ferretti RECAP,0.5928853754940712
59060,59060,100,83,42,0,59,184,125,0,59,0.45108695652173914,0.22826086956521738,0.0,0.32065217391304346,0.6793478260869565,0.0,0.32065217391304346,Jeffrey J. Ferretti RECAP,0.6793478260869565
59061,59061,100,103,36,1,59,199,139,1,59,0.5175879396984925,0.18090452261306533,0.005025125628140704,0.2964824120603015,0.6984924623115578,0.005025125628140704,0.2964824120603015,Jeffrey J. Ferretti RECAP,0.6984924623115578
59062,59062,100,74,23,0,30,127,97,0,30,0.5826771653543307,0.18110236220472442,0.0,0.23622047244094488,0.7637795275590551,0.0,0.23622047244094488,Jeffrey J. Ferretti RECAP,0.7637795275590551
59063,59063,100,7,2,0,98,107,9,0,98,0.06542056074766354,0.018691588785046728,0.0,0.9158878504672897,0.08411214953271028,0.0,0.9158878504672897,Roxanne J. Persaud RECAP,0.9158878504672897
59064,59064,100,12,3,0,273,288,15,0,273,0.041666666666666664,0.010416666666666666,0.0,0.9479166666666666,0.052083333333333336,0.0,0.9479166666666666,Roxanne J. Persaud RECAP,0.9479166666666666
59065,59065,100,5,4,0,249,258,9,0,249,0.01937984496124031,0.015503875968992248,0.0,0.9651162790697675,0.03488372093023256,0.0,0.9651162790697675,Roxanne J. Persaud RECAP,0.9651162790697675
59066,59066,100,6,1,0,206,213,7,0,206,0.028169014084507043,0.004694835680751174,0.0,0.9671361502347418,0.03286384976525822,0.0,0.9671361502347418,Roxanne J. Persaud RECAP,0.9671361502347418
59067,59067,100,13,7,0,234,254,20,0,234,0.051181102362204724,0.027559055118110236,0.0,0.9212598425196851,0.07874015748031496,0.0,0.9212598425196851,Roxanne J. Persaud RECAP,0.9212598425196851
59068,59068,100,3,7,0,207,217,10,0,207,0.013824884792626729,0.03225806451612903,0.0,0.9539170506912442,0.04608294930875576,0.0,0.9539170506912442,Roxanne J. Persaud RECAP,0.9539170506912442
59069,59069,100,14,6,0,254,274,20,0,254,0.051094890510948905,0.021897810218978103,0.0,0.927007299270073,0.072992700729927,0.0,0.927007299270073,Roxanne J. Persaud RECAP,0.927007299270073
59070,59070,100,10,7,0,232,249,17,0,232,0.040160642570281124,0.028112449799196786,0.0,0.9317269076305221,0.06827309236947791,0.0,0.9317269076305221,Roxanne J. Persaud RECAP,0.9317269076305221
59071,59071,100,3,1,0,249,253,4,0,249,0.011857707509881422,0.003952569169960474,0.0,0.9841897233201581,0.015810276679841896,0.0,0.9841897233201581,Roxanne J. Persaud RECAP,0.9841897233201581
59072,59072,100,3,1,0,197,201,4,0,197,0.014925373134328358,0.004975124378109453,0.0,0.9800995024875622,0.01990049751243781,0.0,0.9800995024875622,Roxanne J. Persaud RECAP,0.9800995024875622
59073,59073,100,9,1,0,250,260,10,0,250,0.03461538461538462,0.0038461538461538464,0.0,0.9615384615384616,0.038461538461538464,0.0,0.9615384615384616,Roxanne J. Persaud RECAP,0.9615384615384616
59074,59074,100,9,2,0,208,219,11,0,208,0.0410958904109589,0.0091324200913242,0.0,0.9497716894977168,0.0502283105022831,0.0,0.9497716894977168,Roxanne J. Persaud RECAP,0.9497716894977168
59075,59075,100,10,4,0,205,219,14,0,205,0.045662100456621,0.0182648401826484,0.0,0.9360730593607306,0.0639269406392694,0.0,0.9360730593607306,Roxanne J. Persaud RECAP,0.9360730593607306
59076,59076,100,6,3,0,250,259,9,0,250,0.023166023166023165,0.011583011583011582,0.0,0.9652509652509652,0.03474903474903475,0.0,0.9652509652509652,Roxanne J. Persaud RECAP,0.9652509652509652
59077,59077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
59078,59078,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
59079,59079,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
59080,59080,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
59081,59081,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
