ED,Reported As,Reporting,Jerrold L. Nadler (Working Families),Ross Brady (Conservative),Jerrold L. Nadler (Democratic),Scattered,Michael J. Dilger (Flourish),Total Votes,Jerrold L. Nadler RECAP,Ross Brady RECAP,Scattered RECAP,Michael J. Dilger RECAP,p_Jerrold L. Nadler (Working Families),p_Ross Brady (Conservative),p_Jerrold L. Nadler (Democratic),p_Scattered,p_Michael J. Dilger (Flourish),p_Jerrold L. Nadler RECAP,p_Ross Brady RECAP,p_Scattered RECAP,p_Michael J. Dilger RECAP,winner,winner_p
65015,65015,100,17,25,100,1,0,143,117,25,1,0,0.11888111888111888,0.17482517482517482,0.6993006993006993,0.006993006993006993,0.0,0.8181818181818182,0.17482517482517482,0.006993006993006993,0.0,Jerrold L. Nadler RECAP,0.8181818181818182
65016,65016,100,21,39,180,0,0,240,201,39,0,0,0.0875,0.1625,0.75,0.0,0.0,0.8375,0.1625,0.0,0.0,Jerrold L. Nadler RECAP,0.8375
65017,65017,100,2,0,1,0,0,3,3,0,0,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,Jerrold L. Nadler RECAP,1.0
65066,65066,100,13,6,50,0,2,71,63,6,0,2,0.18309859154929578,0.08450704225352113,0.704225352112676,0.0,0.028169014084507043,0.8873239436619719,0.08450704225352113,0.0,0.028169014084507043,Jerrold L. Nadler RECAP,0.8873239436619719
65067,65067,100,10,3,20,0,1,34,30,3,0,1,0.29411764705882354,0.08823529411764706,0.5882352941176471,0.0,0.029411764705882353,0.8823529411764706,0.08823529411764706,0.0,0.029411764705882353,Jerrold L. Nadler RECAP,0.8823529411764706
65082,65082,100,0,0,1,0,0,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Jerrold L. Nadler RECAP,1.0
65084,65082,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65085,65085,100,9,25,57,0,0,91,66,25,0,0,0.0989010989010989,0.27472527472527475,0.6263736263736264,0.0,0.0,0.7252747252747253,0.27472527472527475,0.0,0.0,Jerrold L. Nadler RECAP,0.7252747252747253
65086,65086,100,15,11,56,0,0,82,71,11,0,0,0.18292682926829268,0.13414634146341464,0.6829268292682927,0.0,0.0,0.8658536585365854,0.13414634146341464,0.0,0.0,Jerrold L. Nadler RECAP,0.8658536585365854
65087,65087,100,8,17,74,0,0,99,82,17,0,0,0.08080808080808081,0.1717171717171717,0.7474747474747475,0.0,0.0,0.8282828282828283,0.1717171717171717,0.0,0.0,Jerrold L. Nadler RECAP,0.8282828282828283
65088,65088,100,23,24,135,1,2,185,158,24,1,2,0.12432432432432433,0.12972972972972974,0.7297297297297297,0.005405405405405406,0.010810810810810811,0.8540540540540541,0.12972972972972974,0.005405405405405406,0.010810810810810811,Jerrold L. Nadler RECAP,0.8540540540540541
65089,65089,100,10,16,59,1,1,87,69,16,1,1,0.11494252873563218,0.1839080459770115,0.6781609195402298,0.011494252873563218,0.011494252873563218,0.7931034482758621,0.1839080459770115,0.011494252873563218,0.011494252873563218,Jerrold L. Nadler RECAP,0.7931034482758621
65090,65090,100,20,33,120,1,0,174,140,33,1,0,0.11494252873563218,0.1896551724137931,0.6896551724137931,0.005747126436781609,0.0,0.8045977011494253,0.1896551724137931,0.005747126436781609,0.0,Jerrold L. Nadler RECAP,0.8045977011494253
65091,65091,100,11,5,49,0,2,67,60,5,0,2,0.16417910447761194,0.07462686567164178,0.7313432835820896,0.0,0.029850746268656716,0.8955223880597015,0.07462686567164178,0.0,0.029850746268656716,Jerrold L. Nadler RECAP,0.8955223880597015
65092,65092,100,10,18,52,0,0,80,62,18,0,0,0.125,0.225,0.65,0.0,0.0,0.775,0.225,0.0,0.0,Jerrold L. Nadler RECAP,0.775
65093,65093,100,10,12,81,1,0,104,91,12,1,0,0.09615384615384616,0.11538461538461539,0.7788461538461539,0.009615384615384616,0.0,0.875,0.11538461538461539,0.009615384615384616,0.0,Jerrold L. Nadler RECAP,0.875
65201,65201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65202,65202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
66001,66001,100,14,38,118,0,1,171,132,38,0,1,0.08187134502923976,0.2222222222222222,0.6900584795321637,0.0,0.005847953216374269,0.7719298245614035,0.2222222222222222,0.0,0.005847953216374269,Jerrold L. Nadler RECAP,0.7719298245614035
66002,66002,100,20,38,188,1,3,250,208,38,1,3,0.08,0.152,0.752,0.004,0.012,0.832,0.152,0.004,0.012,Jerrold L. Nadler RECAP,0.832
66003,66003,100,27,35,194,0,2,258,221,35,0,2,0.10465116279069768,0.13565891472868216,0.751937984496124,0.0,0.007751937984496124,0.8565891472868217,0.13565891472868216,0.0,0.007751937984496124,Jerrold L. Nadler RECAP,0.8565891472868217
66004,66004,100,19,30,120,1,1,171,139,30,1,1,0.1111111111111111,0.17543859649122806,0.7017543859649122,0.005847953216374269,0.005847953216374269,0.8128654970760234,0.17543859649122806,0.005847953216374269,0.005847953216374269,Jerrold L. Nadler RECAP,0.8128654970760234
66005,66005,100,25,30,94,0,1,150,119,30,0,1,0.16666666666666666,0.2,0.6266666666666667,0.0,0.006666666666666667,0.7933333333333333,0.2,0.0,0.006666666666666667,Jerrold L. Nadler RECAP,0.7933333333333333
66006,66006,100,46,53,238,0,2,339,284,53,0,2,0.13569321533923304,0.15634218289085547,0.7020648967551623,0.0,0.0058997050147492625,0.8377581120943953,0.15634218289085547,0.0,0.0058997050147492625,Jerrold L. Nadler RECAP,0.8377581120943953
66007,66007,100,24,40,119,1,0,184,143,40,1,0,0.13043478260869565,0.21739130434782608,0.6467391304347826,0.005434782608695652,0.0,0.7771739130434783,0.21739130434782608,0.005434782608695652,0.0,Jerrold L. Nadler RECAP,0.7771739130434783
66008,66008,100,98,31,236,1,1,367,334,31,1,1,0.2670299727520436,0.08446866485013624,0.6430517711171662,0.0027247956403269754,0.0027247956403269754,0.9100817438692098,0.08446866485013624,0.0027247956403269754,0.0027247956403269754,Jerrold L. Nadler RECAP,0.9100817438692098
66009,66009,100,54,43,192,1,0,290,246,43,1,0,0.18620689655172415,0.1482758620689655,0.6620689655172414,0.0034482758620689655,0.0,0.8482758620689655,0.1482758620689655,0.0034482758620689655,0.0,Jerrold L. Nadler RECAP,0.8482758620689655
66010,66010,100,46,22,206,0,2,276,252,22,0,2,0.16666666666666666,0.07971014492753623,0.7463768115942029,0.0,0.007246376811594203,0.9130434782608695,0.07971014492753623,0.0,0.007246376811594203,Jerrold L. Nadler RECAP,0.9130434782608695
66011,66011,100,82,11,209,0,3,305,291,11,0,3,0.26885245901639343,0.036065573770491806,0.6852459016393443,0.0,0.009836065573770493,0.9540983606557377,0.036065573770491806,0.0,0.009836065573770493,Jerrold L. Nadler RECAP,0.9540983606557377
66012,66012,100,39,48,154,2,0,243,193,48,2,0,0.16049382716049382,0.19753086419753085,0.6337448559670782,0.00823045267489712,0.0,0.7942386831275721,0.19753086419753085,0.00823045267489712,0.0,Jerrold L. Nadler RECAP,0.7942386831275721
66013,66013,100,16,15,77,0,2,110,93,15,0,2,0.14545454545454545,0.13636363636363635,0.7,0.0,0.01818181818181818,0.8454545454545455,0.13636363636363635,0.0,0.01818181818181818,Jerrold L. Nadler RECAP,0.8454545454545455
66014,66014,100,25,6,94,0,0,125,119,6,0,0,0.2,0.048,0.752,0.0,0.0,0.952,0.048,0.0,0.0,Jerrold L. Nadler RECAP,0.952
66015,66015,100,32,13,80,1,1,127,112,13,1,1,0.25196850393700787,0.10236220472440945,0.6299212598425197,0.007874015748031496,0.007874015748031496,0.8818897637795275,0.10236220472440945,0.007874015748031496,0.007874015748031496,Jerrold L. Nadler RECAP,0.8818897637795275
66016,66016,100,1,1,7,0,0,9,8,1,0,0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,Jerrold L. Nadler RECAP,0.8888888888888888
66018,66018,100,55,16,219,0,0,290,274,16,0,0,0.1896551724137931,0.05517241379310345,0.7551724137931034,0.0,0.0,0.9448275862068966,0.05517241379310345,0.0,0.0,Jerrold L. Nadler RECAP,0.9448275862068966
66019,66019,100,55,17,187,0,2,261,242,17,0,2,0.210727969348659,0.06513409961685823,0.7164750957854407,0.0,0.007662835249042145,0.9272030651340997,0.06513409961685823,0.0,0.007662835249042145,Jerrold L. Nadler RECAP,0.9272030651340997
66021,66021,100,41,13,178,0,3,235,219,13,0,3,0.17446808510638298,0.05531914893617021,0.7574468085106383,0.0,0.01276595744680851,0.9319148936170213,0.05531914893617021,0.0,0.01276595744680851,Jerrold L. Nadler RECAP,0.9319148936170213
66022,66022,100,74,27,299,0,2,402,373,27,0,2,0.18407960199004975,0.06716417910447761,0.7437810945273632,0.0,0.004975124378109453,0.927860696517413,0.06716417910447761,0.0,0.004975124378109453,Jerrold L. Nadler RECAP,0.927860696517413
66023,66023,100,53,14,171,1,0,239,224,14,1,0,0.2217573221757322,0.058577405857740586,0.7154811715481172,0.0041841004184100415,0.0,0.9372384937238494,0.058577405857740586,0.0041841004184100415,0.0,Jerrold L. Nadler RECAP,0.9372384937238494
66040,66040,100,6,2,20,0,0,28,26,2,0,0,0.21428571428571427,0.07142857142857142,0.7142857142857143,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0,0.0,Jerrold L. Nadler RECAP,0.9285714285714286
66041,66041,100,41,26,164,0,2,233,205,26,0,2,0.1759656652360515,0.11158798283261803,0.703862660944206,0.0,0.008583690987124463,0.8798283261802575,0.11158798283261803,0.0,0.008583690987124463,Jerrold L. Nadler RECAP,0.8798283261802575
66042,66042,100,16,4,35,0,1,56,51,4,0,1,0.2857142857142857,0.07142857142857142,0.625,0.0,0.017857142857142856,0.9107142857142857,0.07142857142857142,0.0,0.017857142857142856,Jerrold L. Nadler RECAP,0.9107142857142857
66043,66043,100,25,18,101,0,2,146,126,18,0,2,0.17123287671232876,0.1232876712328767,0.6917808219178082,0.0,0.0136986301369863,0.863013698630137,0.1232876712328767,0.0,0.0136986301369863,Jerrold L. Nadler RECAP,0.863013698630137
66044,66044,100,39,15,134,0,1,189,173,15,0,1,0.20634920634920634,0.07936507936507936,0.708994708994709,0.0,0.005291005291005291,0.9153439153439153,0.07936507936507936,0.0,0.005291005291005291,Jerrold L. Nadler RECAP,0.9153439153439153
66045,66045,100,80,20,322,1,3,426,402,20,1,3,0.18779342723004694,0.046948356807511735,0.755868544600939,0.002347417840375587,0.007042253521126761,0.9436619718309859,0.046948356807511735,0.002347417840375587,0.007042253521126761,Jerrold L. Nadler RECAP,0.9436619718309859
66046,66046,100,51,13,137,1,3,205,188,13,1,3,0.24878048780487805,0.06341463414634146,0.6682926829268293,0.004878048780487805,0.014634146341463415,0.9170731707317074,0.06341463414634146,0.004878048780487805,0.014634146341463415,Jerrold L. Nadler RECAP,0.9170731707317074
66047,66047,100,46,14,178,1,0,239,224,14,1,0,0.19246861924686193,0.058577405857740586,0.7447698744769874,0.0041841004184100415,0.0,0.9372384937238494,0.058577405857740586,0.0041841004184100415,0.0,Jerrold L. Nadler RECAP,0.9372384937238494
66058,66058,100,19,14,70,1,0,104,89,14,1,0,0.18269230769230768,0.1346153846153846,0.6730769230769231,0.009615384615384616,0.0,0.8557692307692307,0.1346153846153846,0.009615384615384616,0.0,Jerrold L. Nadler RECAP,0.8557692307692307
66059,66059,100,76,20,210,1,1,308,286,20,1,1,0.24675324675324675,0.06493506493506493,0.6818181818181818,0.003246753246753247,0.003246753246753247,0.9285714285714286,0.06493506493506493,0.003246753246753247,0.003246753246753247,Jerrold L. Nadler RECAP,0.9285714285714286
66060,66060,100,76,21,184,1,2,284,260,21,1,2,0.2676056338028169,0.07394366197183098,0.647887323943662,0.0035211267605633804,0.007042253521126761,0.9154929577464789,0.07394366197183098,0.0035211267605633804,0.007042253521126761,Jerrold L. Nadler RECAP,0.9154929577464789
66061,66061,100,73,35,215,0,5,328,288,35,0,5,0.2225609756097561,0.10670731707317073,0.6554878048780488,0.0,0.01524390243902439,0.8780487804878049,0.10670731707317073,0.0,0.01524390243902439,Jerrold L. Nadler RECAP,0.8780487804878049
66062,66062,100,24,14,130,0,1,169,154,14,0,1,0.14201183431952663,0.08284023668639054,0.7692307692307693,0.0,0.005917159763313609,0.9112426035502958,0.08284023668639054,0.0,0.005917159763313609,Jerrold L. Nadler RECAP,0.9112426035502958
66063,66063,100,54,19,161,0,0,234,215,19,0,0,0.23076923076923078,0.0811965811965812,0.688034188034188,0.0,0.0,0.9188034188034188,0.0811965811965812,0.0,0.0,Jerrold L. Nadler RECAP,0.9188034188034188
66064,66064,100,36,10,106,0,0,152,142,10,0,0,0.23684210526315788,0.06578947368421052,0.6973684210526315,0.0,0.0,0.9342105263157895,0.06578947368421052,0.0,0.0,Jerrold L. Nadler RECAP,0.9342105263157895
66065,66065,100,22,10,66,0,0,98,88,10,0,0,0.22448979591836735,0.10204081632653061,0.673469387755102,0.0,0.0,0.8979591836734694,0.10204081632653061,0.0,0.0,Jerrold L. Nadler RECAP,0.8979591836734694
66066,66066,100,31,18,172,0,1,222,203,18,0,1,0.13963963963963963,0.08108108108108109,0.7747747747747747,0.0,0.0045045045045045045,0.9144144144144144,0.08108108108108109,0.0,0.0045045045045045045,Jerrold L. Nadler RECAP,0.9144144144144144
66067,66067,100,49,40,174,1,4,268,223,40,1,4,0.1828358208955224,0.14925373134328357,0.6492537313432836,0.0037313432835820895,0.014925373134328358,0.832089552238806,0.14925373134328357,0.0037313432835820895,0.014925373134328358,Jerrold L. Nadler RECAP,0.832089552238806
66068,66068,100,41,24,145,0,3,213,186,24,0,3,0.19248826291079812,0.11267605633802817,0.6807511737089202,0.0,0.014084507042253521,0.8732394366197183,0.11267605633802817,0.0,0.014084507042253521,Jerrold L. Nadler RECAP,0.8732394366197183
66069,66069,100,44,25,218,0,3,290,262,25,0,3,0.15172413793103448,0.08620689655172414,0.7517241379310344,0.0,0.010344827586206896,0.903448275862069,0.08620689655172414,0.0,0.010344827586206896,Jerrold L. Nadler RECAP,0.903448275862069
66070,66070,100,2,13,31,0,0,46,33,13,0,0,0.043478260869565216,0.2826086956521739,0.6739130434782609,0.0,0.0,0.717391304347826,0.2826086956521739,0.0,0.0,Jerrold L. Nadler RECAP,0.717391304347826
66071,66071,100,29,13,96,1,0,139,125,13,1,0,0.20863309352517986,0.09352517985611511,0.6906474820143885,0.007194244604316547,0.0,0.8992805755395683,0.09352517985611511,0.007194244604316547,0.0,Jerrold L. Nadler RECAP,0.8992805755395683
66072,66072,100,54,13,182,2,1,252,236,13,2,1,0.21428571428571427,0.051587301587301584,0.7222222222222222,0.007936507936507936,0.003968253968253968,0.9365079365079365,0.051587301587301584,0.007936507936507936,0.003968253968253968,Jerrold L. Nadler RECAP,0.9365079365079365
66073,66073,100,55,27,198,0,2,282,253,27,0,2,0.1950354609929078,0.09574468085106383,0.7021276595744681,0.0,0.0070921985815602835,0.8971631205673759,0.09574468085106383,0.0,0.0070921985815602835,Jerrold L. Nadler RECAP,0.8971631205673759
66074,66074,100,51,12,199,0,3,265,250,12,0,3,0.19245283018867926,0.045283018867924525,0.7509433962264151,0.0,0.011320754716981131,0.9433962264150944,0.045283018867924525,0.0,0.011320754716981131,Jerrold L. Nadler RECAP,0.9433962264150944
66075,66075,100,43,23,185,0,2,253,228,23,0,2,0.16996047430830039,0.09090909090909091,0.7312252964426877,0.0,0.007905138339920948,0.9011857707509882,0.09090909090909091,0.0,0.007905138339920948,Jerrold L. Nadler RECAP,0.9011857707509882
66076,66076,100,61,18,225,2,1,307,286,18,2,1,0.1986970684039088,0.05863192182410423,0.7328990228013029,0.006514657980456026,0.003257328990228013,0.9315960912052117,0.05863192182410423,0.006514657980456026,0.003257328990228013,Jerrold L. Nadler RECAP,0.9315960912052117
66077,66077,100,67,19,221,0,3,310,288,19,0,3,0.2161290322580645,0.06129032258064516,0.7129032258064516,0.0,0.00967741935483871,0.9290322580645162,0.06129032258064516,0.0,0.00967741935483871,Jerrold L. Nadler RECAP,0.9290322580645162
66078,66078,100,69,26,220,0,3,318,289,26,0,3,0.2169811320754717,0.08176100628930817,0.6918238993710691,0.0,0.009433962264150943,0.9088050314465409,0.08176100628930817,0.0,0.009433962264150943,Jerrold L. Nadler RECAP,0.9088050314465409
66079,66079,100,93,22,271,0,2,388,364,22,0,2,0.23969072164948454,0.05670103092783505,0.6984536082474226,0.0,0.005154639175257732,0.9381443298969072,0.05670103092783505,0.0,0.005154639175257732,Jerrold L. Nadler RECAP,0.9381443298969072
66080,66080,100,104,15,264,2,5,390,368,15,2,5,0.26666666666666666,0.038461538461538464,0.676923076923077,0.005128205128205128,0.01282051282051282,0.9435897435897436,0.038461538461538464,0.005128205128205128,0.01282051282051282,Jerrold L. Nadler RECAP,0.9435897435897436
66081,66081,100,83,14,225,0,4,326,308,14,0,4,0.254601226993865,0.04294478527607362,0.6901840490797546,0.0,0.012269938650306749,0.9447852760736196,0.04294478527607362,0.0,0.012269938650306749,Jerrold L. Nadler RECAP,0.9447852760736196
66082,66082,100,51,12,149,0,1,213,200,12,0,1,0.23943661971830985,0.056338028169014086,0.6995305164319249,0.0,0.004694835680751174,0.9389671361502347,0.056338028169014086,0.0,0.004694835680751174,Jerrold L. Nadler RECAP,0.9389671361502347
66083,66083,100,43,19,162,1,2,227,205,19,1,2,0.1894273127753304,0.08370044052863436,0.7136563876651982,0.004405286343612335,0.00881057268722467,0.9030837004405287,0.08370044052863436,0.004405286343612335,0.00881057268722467,Jerrold L. Nadler RECAP,0.9030837004405287
66084,66084,100,70,17,306,1,1,395,376,17,1,1,0.17721518987341772,0.043037974683544304,0.7746835443037975,0.002531645569620253,0.002531645569620253,0.9518987341772152,0.043037974683544304,0.002531645569620253,0.002531645569620253,Jerrold L. Nadler RECAP,0.9518987341772152
66085,66085,100,79,22,226,0,3,330,305,22,0,3,0.23939393939393938,0.06666666666666667,0.6848484848484848,0.0,0.00909090909090909,0.9242424242424242,0.06666666666666667,0.0,0.00909090909090909,Jerrold L. Nadler RECAP,0.9242424242424242
66086,66086,100,74,27,199,0,3,303,273,27,0,3,0.24422442244224424,0.0891089108910891,0.6567656765676567,0.0,0.009900990099009901,0.900990099009901,0.0891089108910891,0.0,0.009900990099009901,Jerrold L. Nadler RECAP,0.900990099009901
66087,66087,100,57,16,253,0,2,328,310,16,0,2,0.17378048780487804,0.04878048780487805,0.7713414634146342,0.0,0.006097560975609756,0.9451219512195121,0.04878048780487805,0.0,0.006097560975609756,Jerrold L. Nadler RECAP,0.9451219512195121
66088,66088,100,45,28,154,0,0,227,199,28,0,0,0.19823788546255505,0.12334801762114538,0.6784140969162996,0.0,0.0,0.8766519823788547,0.12334801762114538,0.0,0.0,Jerrold L. Nadler RECAP,0.8766519823788547
66089,66089,100,41,19,175,0,3,238,216,19,0,3,0.1722689075630252,0.07983193277310924,0.7352941176470589,0.0,0.012605042016806723,0.907563025210084,0.07983193277310924,0.0,0.012605042016806723,Jerrold L. Nadler RECAP,0.907563025210084
66090,66090,100,18,19,93,1,0,131,111,19,1,0,0.13740458015267176,0.1450381679389313,0.7099236641221374,0.007633587786259542,0.0,0.8473282442748091,0.1450381679389313,0.007633587786259542,0.0,Jerrold L. Nadler RECAP,0.8473282442748091
66091,66091,100,35,16,94,0,0,145,129,16,0,0,0.2413793103448276,0.1103448275862069,0.6482758620689655,0.0,0.0,0.8896551724137931,0.1103448275862069,0.0,0.0,Jerrold L. Nadler RECAP,0.8896551724137931
66092,66092,100,5,34,45,0,0,84,50,34,0,0,0.05952380952380952,0.40476190476190477,0.5357142857142857,0.0,0.0,0.5952380952380952,0.40476190476190477,0.0,0.0,Jerrold L. Nadler RECAP,0.5952380952380952
66093,66093,100,25,24,131,0,0,180,156,24,0,0,0.1388888888888889,0.13333333333333333,0.7277777777777777,0.0,0.0,0.8666666666666667,0.13333333333333333,0.0,0.0,Jerrold L. Nadler RECAP,0.8666666666666667
66094,66094,100,4,14,46,0,0,64,50,14,0,0,0.0625,0.21875,0.71875,0.0,0.0,0.78125,0.21875,0.0,0.0,Jerrold L. Nadler RECAP,0.78125
66201,66201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
66202,66202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
67001,67001,100,16,8,128,0,6,158,144,8,0,6,0.10126582278481013,0.05063291139240506,0.810126582278481,0.0,0.0379746835443038,0.9113924050632911,0.05063291139240506,0.0,0.0379746835443038,Jerrold L. Nadler RECAP,0.9113924050632911
67002,67002,100,42,10,192,2,2,248,234,10,2,2,0.1693548387096774,0.04032258064516129,0.7741935483870968,0.008064516129032258,0.008064516129032258,0.9435483870967742,0.04032258064516129,0.008064516129032258,0.008064516129032258,Jerrold L. Nadler RECAP,0.9435483870967742
67003,67003,100,19,30,207,0,3,259,226,30,0,3,0.07335907335907337,0.11583011583011583,0.7992277992277992,0.0,0.011583011583011582,0.8725868725868726,0.11583011583011583,0.0,0.011583011583011582,Jerrold L. Nadler RECAP,0.8725868725868726
67004,67004,100,25,6,113,0,2,146,138,6,0,2,0.17123287671232876,0.0410958904109589,0.773972602739726,0.0,0.0136986301369863,0.9452054794520548,0.0410958904109589,0.0,0.0136986301369863,Jerrold L. Nadler RECAP,0.9452054794520548
67005,67005,100,16,14,163,0,2,195,179,14,0,2,0.08205128205128205,0.07179487179487179,0.8358974358974359,0.0,0.010256410256410256,0.9179487179487179,0.07179487179487179,0.0,0.010256410256410256,Jerrold L. Nadler RECAP,0.9179487179487179
67006,67006,100,40,19,202,1,6,268,242,19,1,6,0.14925373134328357,0.0708955223880597,0.753731343283582,0.0037313432835820895,0.022388059701492536,0.9029850746268657,0.0708955223880597,0.0037313432835820895,0.022388059701492536,Jerrold L. Nadler RECAP,0.9029850746268657
67007,67007,100,21,15,150,0,0,186,171,15,0,0,0.11290322580645161,0.08064516129032258,0.8064516129032258,0.0,0.0,0.9193548387096774,0.08064516129032258,0.0,0.0,Jerrold L. Nadler RECAP,0.9193548387096774
67008,67008,100,27,13,149,0,3,192,176,13,0,3,0.140625,0.06770833333333333,0.7760416666666666,0.0,0.015625,0.9166666666666666,0.06770833333333333,0.0,0.015625,Jerrold L. Nadler RECAP,0.9166666666666666
67010,67010,100,39,28,238,2,2,309,277,28,2,2,0.1262135922330097,0.09061488673139159,0.7702265372168284,0.006472491909385114,0.006472491909385114,0.8964401294498382,0.09061488673139159,0.006472491909385114,0.006472491909385114,Jerrold L. Nadler RECAP,0.8964401294498382
67013,67013,100,29,30,238,1,0,298,267,30,1,0,0.09731543624161074,0.10067114093959731,0.7986577181208053,0.003355704697986577,0.0,0.8959731543624161,0.10067114093959731,0.003355704697986577,0.0,Jerrold L. Nadler RECAP,0.8959731543624161
67014,67014,100,33,29,214,1,2,279,247,29,1,2,0.11827956989247312,0.1039426523297491,0.7670250896057348,0.0035842293906810036,0.007168458781362007,0.8853046594982079,0.1039426523297491,0.0035842293906810036,0.007168458781362007,Jerrold L. Nadler RECAP,0.8853046594982079
67015,67015,100,45,24,194,1,0,264,239,24,1,0,0.17045454545454544,0.09090909090909091,0.7348484848484849,0.003787878787878788,0.0,0.9053030303030303,0.09090909090909091,0.003787878787878788,0.0,Jerrold L. Nadler RECAP,0.9053030303030303
67016,67016,100,21,23,151,1,0,196,172,23,1,0,0.10714285714285714,0.11734693877551021,0.7704081632653061,0.00510204081632653,0.0,0.8775510204081632,0.11734693877551021,0.00510204081632653,0.0,Jerrold L. Nadler RECAP,0.8775510204081632
67017,67017,100,20,21,177,1,0,219,197,21,1,0,0.091324200913242,0.0958904109589041,0.8082191780821918,0.0045662100456621,0.0,0.8995433789954338,0.0958904109589041,0.0045662100456621,0.0,Jerrold L. Nadler RECAP,0.8995433789954338
