ED,Reported As,Reporting,Noni Moore (Republican),Keith L. T. Wright (Working Families),Scattered,Keith L. T. Wright (Democratic),Total Votes,Noni Moore RECAP,Keith L. T. Wright RECAP,Scattered RECAP,p_Noni Moore (Republican),p_Keith L. T. Wright (Working Families),p_Scattered,p_Keith L. T. Wright (Democratic),p_Noni Moore RECAP,p_Keith L. T. Wright RECAP,p_Scattered RECAP,winner,winner_p
70012,70012,100,13,31,0,177,221,13,208,0,0.058823529411764705,0.14027149321266968,0.0,0.8009049773755657,0.058823529411764705,0.9411764705882353,0.0,Keith L. T. Wright RECAP,0.9411764705882353
70013,70013,100,8,12,0,132,152,8,144,0,0.05263157894736842,0.07894736842105263,0.0,0.868421052631579,0.05263157894736842,0.9473684210526315,0.0,Keith L. T. Wright RECAP,0.9473684210526315
70014,70014,100,8,24,0,163,195,8,187,0,0.041025641025641026,0.12307692307692308,0.0,0.8358974358974359,0.041025641025641026,0.958974358974359,0.0,Keith L. T. Wright RECAP,0.958974358974359
70015,70015,100,8,14,0,179,201,8,193,0,0.03980099502487562,0.06965174129353234,0.0,0.8905472636815921,0.03980099502487562,0.9601990049751243,0.0,Keith L. T. Wright RECAP,0.9601990049751243
70016,70016,100,9,22,0,244,275,9,266,0,0.03272727272727273,0.08,0.0,0.8872727272727273,0.03272727272727273,0.9672727272727273,0.0,Keith L. T. Wright RECAP,0.9672727272727273
70017,70017,100,11,18,0,173,202,11,191,0,0.054455445544554455,0.0891089108910891,0.0,0.8564356435643564,0.054455445544554455,0.9455445544554455,0.0,Keith L. T. Wright RECAP,0.9455445544554455
70018,70018,100,4,24,0,92,120,4,116,0,0.03333333333333333,0.2,0.0,0.7666666666666667,0.03333333333333333,0.9666666666666667,0.0,Keith L. T. Wright RECAP,0.9666666666666667
70019,70019,100,24,46,0,263,333,24,309,0,0.07207207207207207,0.13813813813813813,0.0,0.7897897897897898,0.07207207207207207,0.9279279279279279,0.0,Keith L. T. Wright RECAP,0.9279279279279279
70020,70020,100,11,32,0,252,295,11,284,0,0.03728813559322034,0.10847457627118644,0.0,0.8542372881355932,0.03728813559322034,0.9627118644067797,0.0,Keith L. T. Wright RECAP,0.9627118644067797
70021,70021,100,13,41,1,193,248,13,234,1,0.05241935483870968,0.16532258064516128,0.004032258064516129,0.7782258064516129,0.05241935483870968,0.9435483870967742,0.004032258064516129,Keith L. T. Wright RECAP,0.9435483870967742
70022,70022,100,7,29,3,203,242,7,232,3,0.028925619834710745,0.11983471074380166,0.012396694214876033,0.8388429752066116,0.028925619834710745,0.9586776859504132,0.012396694214876033,Keith L. T. Wright RECAP,0.9586776859504132
70023,70023,100,9,24,0,203,236,9,227,0,0.038135593220338986,0.1016949152542373,0.0,0.8601694915254238,0.038135593220338986,0.961864406779661,0.0,Keith L. T. Wright RECAP,0.961864406779661
70024,70024,100,11,29,0,226,266,11,255,0,0.041353383458646614,0.10902255639097744,0.0,0.849624060150376,0.041353383458646614,0.9586466165413534,0.0,Keith L. T. Wright RECAP,0.9586466165413534
70025,70025,100,14,12,0,210,236,14,222,0,0.059322033898305086,0.05084745762711865,0.0,0.8898305084745762,0.059322033898305086,0.940677966101695,0.0,Keith L. T. Wright RECAP,0.940677966101695
70026,70026,100,17,28,0,245,290,17,273,0,0.05862068965517241,0.09655172413793103,0.0,0.8448275862068966,0.05862068965517241,0.9413793103448276,0.0,Keith L. T. Wright RECAP,0.9413793103448276
70027,70027,100,18,32,0,196,246,18,228,0,0.07317073170731707,0.13008130081300814,0.0,0.7967479674796748,0.07317073170731707,0.926829268292683,0.0,Keith L. T. Wright RECAP,0.926829268292683
70028,70028,100,13,20,0,183,216,13,203,0,0.06018518518518518,0.09259259259259259,0.0,0.8472222222222222,0.06018518518518518,0.9398148148148148,0.0,Keith L. T. Wright RECAP,0.9398148148148148
70029,70029,100,5,24,1,209,239,5,233,1,0.02092050209205021,0.100418410041841,0.0041841004184100415,0.8744769874476988,0.02092050209205021,0.9748953974895398,0.0041841004184100415,Keith L. T. Wright RECAP,0.9748953974895398
70030,70030,100,8,25,0,220,253,8,245,0,0.03162055335968379,0.09881422924901186,0.0,0.8695652173913043,0.03162055335968379,0.9683794466403162,0.0,Keith L. T. Wright RECAP,0.9683794466403162
70031,70031,100,4,7,0,161,172,4,168,0,0.023255813953488372,0.040697674418604654,0.0,0.936046511627907,0.023255813953488372,0.9767441860465116,0.0,Keith L. T. Wright RECAP,0.9767441860465116
70032,70032,100,3,12,0,124,139,3,136,0,0.02158273381294964,0.08633093525179857,0.0,0.8920863309352518,0.02158273381294964,0.9784172661870504,0.0,Keith L. T. Wright RECAP,0.9784172661870504
70033,70033,100,1,10,0,143,154,1,153,0,0.006493506493506494,0.06493506493506493,0.0,0.9285714285714286,0.006493506493506494,0.9935064935064936,0.0,Keith L. T. Wright RECAP,0.9935064935064936
70034,70034,100,6,17,1,204,228,6,221,1,0.02631578947368421,0.07456140350877193,0.0043859649122807015,0.8947368421052632,0.02631578947368421,0.9692982456140351,0.0043859649122807015,Keith L. T. Wright RECAP,0.9692982456140351
70035,70035,100,4,34,2,168,208,4,202,2,0.019230769230769232,0.16346153846153846,0.009615384615384616,0.8076923076923077,0.019230769230769232,0.9711538461538461,0.009615384615384616,Keith L. T. Wright RECAP,0.9711538461538461
70036,70036,100,6,15,0,230,251,6,245,0,0.02390438247011952,0.05976095617529881,0.0,0.9163346613545816,0.02390438247011952,0.9760956175298805,0.0,Keith L. T. Wright RECAP,0.9760956175298805
70037,70037,100,4,11,1,171,187,4,182,1,0.0213903743315508,0.058823529411764705,0.0053475935828877,0.9144385026737968,0.0213903743315508,0.9732620320855615,0.0053475935828877,Keith L. T. Wright RECAP,0.9732620320855615
70038,70038,100,2,6,0,140,148,2,146,0,0.013513513513513514,0.04054054054054054,0.0,0.9459459459459459,0.013513513513513514,0.9864864864864865,0.0,Keith L. T. Wright RECAP,0.9864864864864865
70039,70039,100,5,6,0,136,147,5,142,0,0.034013605442176874,0.04081632653061224,0.0,0.9251700680272109,0.034013605442176874,0.9659863945578231,0.0,Keith L. T. Wright RECAP,0.9659863945578231
70040,70040,100,3,24,0,334,361,3,358,0,0.008310249307479225,0.0664819944598338,0.0,0.925207756232687,0.008310249307479225,0.9916897506925207,0.0,Keith L. T. Wright RECAP,0.9916897506925207
70041,70041,100,8,32,0,320,360,8,352,0,0.022222222222222223,0.08888888888888889,0.0,0.8888888888888888,0.022222222222222223,0.9777777777777777,0.0,Keith L. T. Wright RECAP,0.9777777777777777
70042,70042,100,3,21,0,195,219,3,216,0,0.0136986301369863,0.0958904109589041,0.0,0.8904109589041096,0.0136986301369863,0.9863013698630136,0.0,Keith L. T. Wright RECAP,0.9863013698630136
70043,70043,100,12,32,0,232,276,12,264,0,0.043478260869565216,0.11594202898550725,0.0,0.8405797101449275,0.043478260869565216,0.9565217391304348,0.0,Keith L. T. Wright RECAP,0.9565217391304348
70044,70044,100,12,24,1,231,268,12,255,1,0.04477611940298507,0.08955223880597014,0.0037313432835820895,0.8619402985074627,0.04477611940298507,0.9514925373134329,0.0037313432835820895,Keith L. T. Wright RECAP,0.9514925373134329
70045,70045,100,7,15,0,181,203,7,196,0,0.034482758620689655,0.07389162561576355,0.0,0.8916256157635468,0.034482758620689655,0.9655172413793104,0.0,Keith L. T. Wright RECAP,0.9655172413793104
70046,70046,100,10,19,1,346,376,10,365,1,0.026595744680851064,0.05053191489361702,0.0026595744680851063,0.9202127659574468,0.026595744680851064,0.9707446808510638,0.0026595744680851063,Keith L. T. Wright RECAP,0.9707446808510638
70047,70047,100,8,18,1,217,244,8,235,1,0.03278688524590164,0.07377049180327869,0.004098360655737705,0.889344262295082,0.03278688524590164,0.9631147540983607,0.004098360655737705,Keith L. T. Wright RECAP,0.9631147540983607
70048,70048,100,9,14,0,245,268,9,259,0,0.033582089552238806,0.05223880597014925,0.0,0.914179104477612,0.033582089552238806,0.9664179104477612,0.0,Keith L. T. Wright RECAP,0.9664179104477612
70049,70049,100,2,22,0,198,222,2,220,0,0.009009009009009009,0.0990990990990991,0.0,0.8918918918918919,0.009009009009009009,0.990990990990991,0.0,Keith L. T. Wright RECAP,0.990990990990991
70050,70050,100,12,24,0,259,295,12,283,0,0.04067796610169491,0.08135593220338982,0.0,0.8779661016949153,0.04067796610169491,0.9593220338983051,0.0,Keith L. T. Wright RECAP,0.9593220338983051
70051,70051,100,8,7,1,108,124,8,115,1,0.06451612903225806,0.056451612903225805,0.008064516129032258,0.8709677419354839,0.06451612903225806,0.9274193548387096,0.008064516129032258,Keith L. T. Wright RECAP,0.9274193548387096
70052,70052,100,6,15,1,191,213,6,206,1,0.028169014084507043,0.07042253521126761,0.004694835680751174,0.8967136150234741,0.028169014084507043,0.9671361502347418,0.004694835680751174,Keith L. T. Wright RECAP,0.9671361502347418
70053,70053,100,14,21,0,330,365,14,351,0,0.038356164383561646,0.057534246575342465,0.0,0.9041095890410958,0.038356164383561646,0.9616438356164384,0.0,Keith L. T. Wright RECAP,0.9616438356164384
70054,70054,100,8,25,0,366,399,8,391,0,0.020050125313283207,0.06265664160401002,0.0,0.9172932330827067,0.020050125313283207,0.9799498746867168,0.0,Keith L. T. Wright RECAP,0.9799498746867168
70055,70055,100,4,9,0,139,152,4,148,0,0.02631578947368421,0.05921052631578947,0.0,0.9144736842105263,0.02631578947368421,0.9736842105263158,0.0,Keith L. T. Wright RECAP,0.9736842105263158
70056,70056,100,4,14,0,265,283,4,279,0,0.014134275618374558,0.04946996466431095,0.0,0.9363957597173145,0.014134275618374558,0.9858657243816255,0.0,Keith L. T. Wright RECAP,0.9858657243816255
70057,70057,100,2,13,0,144,159,2,157,0,0.012578616352201259,0.08176100628930817,0.0,0.9056603773584906,0.012578616352201259,0.9874213836477987,0.0,Keith L. T. Wright RECAP,0.9874213836477987
70058,70058,100,5,17,1,179,202,5,196,1,0.024752475247524754,0.08415841584158416,0.0049504950495049506,0.8861386138613861,0.024752475247524754,0.9702970297029703,0.0049504950495049506,Keith L. T. Wright RECAP,0.9702970297029703
70059,70059,100,0,3,1,133,137,0,136,1,0.0,0.021897810218978103,0.0072992700729927005,0.9708029197080292,0.0,0.9927007299270073,0.0072992700729927005,Keith L. T. Wright RECAP,0.9927007299270073
70060,70060,100,7,10,2,153,172,7,163,2,0.040697674418604654,0.05813953488372093,0.011627906976744186,0.8895348837209303,0.040697674418604654,0.9476744186046512,0.011627906976744186,Keith L. T. Wright RECAP,0.9476744186046512
70061,70061,100,5,6,0,216,227,5,222,0,0.022026431718061675,0.02643171806167401,0.0,0.9515418502202643,0.022026431718061675,0.9779735682819384,0.0,Keith L. T. Wright RECAP,0.9779735682819384
70062,70062,100,8,27,0,220,255,8,247,0,0.03137254901960784,0.10588235294117647,0.0,0.8627450980392157,0.03137254901960784,0.9686274509803922,0.0,Keith L. T. Wright RECAP,0.9686274509803922
70063,70063,100,1,15,0,155,171,1,170,0,0.005847953216374269,0.08771929824561403,0.0,0.9064327485380117,0.005847953216374269,0.9941520467836257,0.0,Keith L. T. Wright RECAP,0.9941520467836257
70064,70064,100,0,6,0,6,12,0,12,0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,Keith L. T. Wright RECAP,1.0
70065,70065,100,20,65,1,168,254,20,233,1,0.07874015748031496,0.2559055118110236,0.003937007874015748,0.6614173228346457,0.07874015748031496,0.9173228346456693,0.003937007874015748,Keith L. T. Wright RECAP,0.9173228346456693
70066,70066,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
70067,70067,100,15,55,0,168,238,15,223,0,0.06302521008403361,0.23109243697478993,0.0,0.7058823529411765,0.06302521008403361,0.9369747899159664,0.0,Keith L. T. Wright RECAP,0.9369747899159664
70068,70068,100,18,53,4,151,226,18,204,4,0.07964601769911504,0.2345132743362832,0.017699115044247787,0.668141592920354,0.07964601769911504,0.9026548672566371,0.017699115044247787,Keith L. T. Wright RECAP,0.9026548672566371
70069,70069,100,0,8,0,48,56,0,56,0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,1.0,0.0,Keith L. T. Wright RECAP,1.0
70070,70070,100,4,6,0,80,90,4,86,0,0.044444444444444446,0.06666666666666667,0.0,0.8888888888888888,0.044444444444444446,0.9555555555555556,0.0,Keith L. T. Wright RECAP,0.9555555555555556
70071,70071,100,7,11,0,209,227,7,220,0,0.030837004405286344,0.048458149779735685,0.0,0.920704845814978,0.030837004405286344,0.9691629955947136,0.0,Keith L. T. Wright RECAP,0.9691629955947136
70072,70072,100,10,23,1,242,276,10,265,1,0.036231884057971016,0.08333333333333333,0.0036231884057971015,0.8768115942028986,0.036231884057971016,0.9601449275362319,0.0036231884057971015,Keith L. T. Wright RECAP,0.9601449275362319
70073,70073,100,4,12,0,82,98,4,94,0,0.04081632653061224,0.12244897959183673,0.0,0.8367346938775511,0.04081632653061224,0.9591836734693877,0.0,Keith L. T. Wright RECAP,0.9591836734693877
70074,70074,100,7,27,1,247,282,7,274,1,0.024822695035460994,0.09574468085106383,0.0035460992907801418,0.875886524822695,0.024822695035460994,0.9716312056737588,0.0035460992907801418,Keith L. T. Wright RECAP,0.9716312056737588
70075,70075,100,4,24,0,190,218,4,214,0,0.01834862385321101,0.11009174311926606,0.0,0.8715596330275229,0.01834862385321101,0.981651376146789,0.0,Keith L. T. Wright RECAP,0.981651376146789
70076,70076,100,3,9,1,168,181,3,177,1,0.016574585635359115,0.049723756906077346,0.0055248618784530384,0.9281767955801105,0.016574585635359115,0.9779005524861878,0.0055248618784530384,Keith L. T. Wright RECAP,0.9779005524861878
70077,70077,100,4,3,0,107,114,4,110,0,0.03508771929824561,0.02631578947368421,0.0,0.9385964912280702,0.03508771929824561,0.9649122807017544,0.0,Keith L. T. Wright RECAP,0.9649122807017544
70078,70078,100,5,2,1,72,80,5,74,1,0.0625,0.025,0.0125,0.9,0.0625,0.925,0.0125,Keith L. T. Wright RECAP,0.925
70079,70079,100,1,2,1,83,87,1,85,1,0.011494252873563218,0.022988505747126436,0.011494252873563218,0.9540229885057471,0.011494252873563218,0.9770114942528736,0.011494252873563218,Keith L. T. Wright RECAP,0.9770114942528736
70080,70080,100,4,7,1,113,125,4,120,1,0.032,0.056,0.008,0.904,0.032,0.96,0.008,Keith L. T. Wright RECAP,0.96
70081,70081,100,8,9,0,97,114,8,106,0,0.07017543859649122,0.07894736842105263,0.0,0.8508771929824561,0.07017543859649122,0.9298245614035088,0.0,Keith L. T. Wright RECAP,0.9298245614035088
70082,70082,100,8,9,0,89,106,8,98,0,0.07547169811320754,0.08490566037735849,0.0,0.839622641509434,0.07547169811320754,0.9245283018867925,0.0,Keith L. T. Wright RECAP,0.9245283018867925
70083,70083,100,5,14,0,78,97,5,92,0,0.05154639175257732,0.14432989690721648,0.0,0.8041237113402062,0.05154639175257732,0.9484536082474226,0.0,Keith L. T. Wright RECAP,0.9484536082474226
70084,70084,100,4,11,3,128,146,4,139,3,0.0273972602739726,0.07534246575342465,0.02054794520547945,0.8767123287671232,0.0273972602739726,0.952054794520548,0.02054794520547945,Keith L. T. Wright RECAP,0.952054794520548
70085,70085,100,11,27,1,244,283,11,271,1,0.038869257950530034,0.09540636042402827,0.0035335689045936395,0.8621908127208481,0.038869257950530034,0.9575971731448764,0.0035335689045936395,Keith L. T. Wright RECAP,0.9575971731448764
70086,70086,100,4,18,0,152,174,4,170,0,0.022988505747126436,0.10344827586206896,0.0,0.8735632183908046,0.022988505747126436,0.9770114942528736,0.0,Keith L. T. Wright RECAP,0.9770114942528736
70087,70087,100,3,21,0,164,188,3,185,0,0.015957446808510637,0.11170212765957446,0.0,0.8723404255319149,0.015957446808510637,0.9840425531914894,0.0,Keith L. T. Wright RECAP,0.9840425531914894
70088,70088,100,2,12,0,92,106,2,104,0,0.018867924528301886,0.11320754716981132,0.0,0.8679245283018868,0.018867924528301886,0.9811320754716981,0.0,Keith L. T. Wright RECAP,0.9811320754716981
70089,70089,100,7,29,0,119,155,7,148,0,0.04516129032258064,0.1870967741935484,0.0,0.7677419354838709,0.04516129032258064,0.9548387096774194,0.0,Keith L. T. Wright RECAP,0.9548387096774194
70090,70090,100,1,12,0,61,74,1,73,0,0.013513513513513514,0.16216216216216217,0.0,0.8243243243243243,0.013513513513513514,0.9864864864864865,0.0,Keith L. T. Wright RECAP,0.9864864864864865
70091,70091,100,3,17,2,95,117,3,112,2,0.02564102564102564,0.1452991452991453,0.017094017094017096,0.811965811965812,0.02564102564102564,0.9572649572649573,0.017094017094017096,Keith L. T. Wright RECAP,0.9572649572649573
70200,70200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
70201,70201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
70202,70202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
