ED,Reported As,Reporting,Michael A. Simanowitz (Conservative),Michael A. Simanowitz (Democratic),Michael A. Simanowitz (Independence),Scattered,Total Votes,Michael A. Simanowitz RECAP,Scattered RECAP,p_Michael A. Simanowitz (Conservative),p_Michael A. Simanowitz (Democratic),p_Michael A. Simanowitz (Independence),p_Scattered,p_Michael A. Simanowitz RECAP,p_Scattered RECAP,winner,winner_p
27065,27065,100,30,110,13,0,153,153,0,0.19607843137254902,0.7189542483660131,0.08496732026143791,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27066,27066,100,36,136,10,0,182,182,0,0.1978021978021978,0.7472527472527473,0.054945054945054944,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27067,27067,100,36,113,6,0,155,155,0,0.23225806451612904,0.7290322580645161,0.03870967741935484,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27068,27068,100,40,119,11,1,171,170,1,0.23391812865497075,0.695906432748538,0.06432748538011696,0.005847953216374269,0.9941520467836257,0.005847953216374269,Michael A. Simanowitz RECAP,0.9941520467836257
27069,27069,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27070,27070,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27071,27071,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27072,27072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27073,27073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27074,27074,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27075,27074,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27076,27076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27077,27077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27078,27077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
