ED,Reported As,Reporting,Scattered,Michael G. Miller (Democratic),Total Votes,Scattered RECAP,Michael G. Miller RECAP,p_Scattered,p_Michael G. Miller (Democratic),p_Scattered RECAP,p_Michael G. Miller RECAP,winner,winner_p
38032,38032,100,0,143,143,0,143,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38033,38033,100,0,52,52,0,52,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38034,38034,100,0,40,40,0,40,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38035,38035,100,1,20,21,1,20,0.047619047619047616,0.9523809523809523,0.047619047619047616,0.9523809523809523,Michael G. Miller RECAP,0.9523809523809523
38036,38036,100,0,23,23,0,23,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38037,38037,100,0,37,37,0,37,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38038,38038,100,1,106,107,1,106,0.009345794392523364,0.9906542056074766,0.009345794392523364,0.9906542056074766,Michael G. Miller RECAP,0.9906542056074766
38039,38039,100,1,115,116,1,115,0.008620689655172414,0.9913793103448276,0.008620689655172414,0.9913793103448276,Michael G. Miller RECAP,0.9913793103448276
38040,38040,100,0,106,106,0,106,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38041,38041,100,2,136,138,2,136,0.014492753623188406,0.9855072463768116,0.014492753623188406,0.9855072463768116,Michael G. Miller RECAP,0.9855072463768116
38042,38042,100,0,100,100,0,100,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38043,38043,100,1,88,89,1,88,0.011235955056179775,0.9887640449438202,0.011235955056179775,0.9887640449438202,Michael G. Miller RECAP,0.9887640449438202
38044,38044,100,0,111,111,0,111,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38045,38045,100,0,51,51,0,51,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38046,38046,100,0,74,74,0,74,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38047,38047,100,2,92,94,2,92,0.02127659574468085,0.9787234042553191,0.02127659574468085,0.9787234042553191,Michael G. Miller RECAP,0.9787234042553191
38048,38048,100,2,177,179,2,177,0.0111731843575419,0.9888268156424581,0.0111731843575419,0.9888268156424581,Michael G. Miller RECAP,0.9888268156424581
38049,38049,100,1,136,137,1,136,0.0072992700729927005,0.9927007299270073,0.0072992700729927005,0.9927007299270073,Michael G. Miller RECAP,0.9927007299270073
38050,38050,100,0,114,114,0,114,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38051,38051,100,2,204,206,2,204,0.009708737864077669,0.9902912621359223,0.009708737864077669,0.9902912621359223,Michael G. Miller RECAP,0.9902912621359223
38052,38052,100,0,191,191,0,191,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38053,38053,100,0,46,46,0,46,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38054,38054,100,0,86,86,0,86,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38055,38055,100,0,152,152,0,152,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38056,38056,100,3,169,172,3,169,0.01744186046511628,0.9825581395348837,0.01744186046511628,0.9825581395348837,Michael G. Miller RECAP,0.9825581395348837
38057,38057,100,3,182,185,3,182,0.016216216216216217,0.9837837837837838,0.016216216216216217,0.9837837837837838,Michael G. Miller RECAP,0.9837837837837838
38058,38058,100,0,202,202,0,202,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38059,38059,100,0,98,98,0,98,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38060,38060,100,0,0,0,0,0,0,0,0,0,n/a,0
38061,38061,100,0,0,0,0,0,0,0,0,0,n/a,0
