ED,Reported As,Reporting,Linda B. Rosenthal (Democratic),Scattered,Linda B. Rosenthal (Working Families),Total Votes,Linda B. Rosenthal RECAP,Scattered RECAP,p_Linda B. Rosenthal (Democratic),p_Scattered,p_Linda B. Rosenthal (Working Families),p_Linda B. Rosenthal RECAP,p_Scattered RECAP,winner,winner_p
67019,67019,100,171,0,17,188,188,0,0.9095744680851063,0.0,0.09042553191489362,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67020,67020,100,66,1,8,75,74,1,0.88,0.013333333333333334,0.10666666666666667,0.9866666666666667,0.013333333333333334,Linda B. Rosenthal RECAP,0.9866666666666667
67021,67021,100,157,4,13,174,170,4,0.9022988505747126,0.022988505747126436,0.07471264367816093,0.9770114942528736,0.022988505747126436,Linda B. Rosenthal RECAP,0.9770114942528736
67022,67022,100,146,0,19,165,165,0,0.8848484848484849,0.0,0.11515151515151516,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67023,67023,100,266,0,34,300,300,0,0.8866666666666667,0.0,0.11333333333333333,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67024,67024,100,111,0,20,131,131,0,0.8473282442748091,0.0,0.15267175572519084,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67025,67025,100,102,0,12,114,114,0,0.8947368421052632,0.0,0.10526315789473684,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67026,67026,100,137,0,9,146,146,0,0.9383561643835616,0.0,0.06164383561643835,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67027,67027,100,209,0,22,231,231,0,0.9047619047619048,0.0,0.09523809523809523,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67028,67028,100,233,2,27,262,260,2,0.8893129770992366,0.007633587786259542,0.10305343511450382,0.9923664122137404,0.007633587786259542,Linda B. Rosenthal RECAP,0.9923664122137404
67029,67029,100,33,0,3,36,36,0,0.9166666666666666,0.0,0.08333333333333333,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67030,67030,100,88,0,10,98,98,0,0.8979591836734694,0.0,0.10204081632653061,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67031,67031,100,317,0,54,371,371,0,0.8544474393530997,0.0,0.14555256064690028,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67032,67032,100,236,1,36,273,272,1,0.8644688644688645,0.003663003663003663,0.13186813186813187,0.9963369963369964,0.003663003663003663,Linda B. Rosenthal RECAP,0.9963369963369964
67033,67033,100,156,0,32,188,188,0,0.8297872340425532,0.0,0.1702127659574468,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67034,67034,100,84,0,5,89,89,0,0.9438202247191011,0.0,0.056179775280898875,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67035,67035,100,198,0,32,230,230,0,0.8608695652173913,0.0,0.1391304347826087,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67036,67036,100,116,0,17,133,133,0,0.8721804511278195,0.0,0.12781954887218044,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67037,67037,100,214,1,40,255,254,1,0.8392156862745098,0.00392156862745098,0.1568627450980392,0.996078431372549,0.00392156862745098,Linda B. Rosenthal RECAP,0.996078431372549
67038,67038,100,145,0,20,165,165,0,0.8787878787878788,0.0,0.12121212121212122,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67039,67039,100,169,1,25,195,194,1,0.8666666666666667,0.005128205128205128,0.1282051282051282,0.9948717948717949,0.005128205128205128,Linda B. Rosenthal RECAP,0.9948717948717949
67040,67040,100,137,0,28,165,165,0,0.8303030303030303,0.0,0.1696969696969697,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67041,67041,100,215,1,58,274,273,1,0.7846715328467153,0.0036496350364963502,0.2116788321167883,0.9963503649635036,0.0036496350364963502,Linda B. Rosenthal RECAP,0.9963503649635036
67042,67042,100,447,0,78,525,525,0,0.8514285714285714,0.0,0.14857142857142858,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67043,67043,100,450,1,72,523,522,1,0.8604206500956023,0.0019120458891013384,0.13766730401529637,0.9980879541108987,0.0019120458891013384,Linda B. Rosenthal RECAP,0.9980879541108987
67044,67044,100,209,2,42,253,251,2,0.8260869565217391,0.007905138339920948,0.16600790513833993,0.9920948616600791,0.007905138339920948,Linda B. Rosenthal RECAP,0.9920948616600791
67045,67045,100,210,1,23,234,233,1,0.8974358974358975,0.004273504273504274,0.09829059829059829,0.9957264957264957,0.004273504273504274,Linda B. Rosenthal RECAP,0.9957264957264957
67046,67046,100,371,1,79,451,450,1,0.8226164079822617,0.0022172949002217295,0.17516629711751663,0.9977827050997783,0.0022172949002217295,Linda B. Rosenthal RECAP,0.9977827050997783
67047,67047,100,159,1,15,175,174,1,0.9085714285714286,0.005714285714285714,0.08571428571428572,0.9942857142857143,0.005714285714285714,Linda B. Rosenthal RECAP,0.9942857142857143
67048,67048,100,385,0,77,462,462,0,0.8333333333333334,0.0,0.16666666666666666,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67049,67049,100,173,0,59,232,232,0,0.7456896551724138,0.0,0.2543103448275862,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67050,67050,100,304,0,49,353,353,0,0.8611898016997167,0.0,0.1388101983002833,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67051,67051,100,23,0,2,25,25,0,0.92,0.0,0.08,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67052,67052,100,236,2,38,276,274,2,0.855072463768116,0.007246376811594203,0.13768115942028986,0.9927536231884058,0.007246376811594203,Linda B. Rosenthal RECAP,0.9927536231884058
67053,67053,100,197,0,33,230,230,0,0.8565217391304348,0.0,0.14347826086956522,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67054,67054,100,199,3,25,227,224,3,0.8766519823788547,0.013215859030837005,0.11013215859030837,0.986784140969163,0.013215859030837005,Linda B. Rosenthal RECAP,0.986784140969163
67055,67055,100,121,1,23,145,144,1,0.8344827586206897,0.006896551724137931,0.15862068965517243,0.993103448275862,0.006896551724137931,Linda B. Rosenthal RECAP,0.993103448275862
67056,67056,100,170,1,53,224,223,1,0.7589285714285714,0.004464285714285714,0.23660714285714285,0.9955357142857143,0.004464285714285714,Linda B. Rosenthal RECAP,0.9955357142857143
67057,67057,100,219,1,38,258,257,1,0.8488372093023255,0.003875968992248062,0.14728682170542637,0.9961240310077519,0.003875968992248062,Linda B. Rosenthal RECAP,0.9961240310077519
67058,67058,100,158,2,29,189,187,2,0.8359788359788359,0.010582010582010581,0.15343915343915343,0.9894179894179894,0.010582010582010581,Linda B. Rosenthal RECAP,0.9894179894179894
67059,67059,100,300,0,58,358,358,0,0.8379888268156425,0.0,0.16201117318435754,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67060,67060,100,204,3,42,249,246,3,0.8192771084337349,0.012048192771084338,0.1686746987951807,0.9879518072289156,0.012048192771084338,Linda B. Rosenthal RECAP,0.9879518072289156
67061,67061,100,211,0,44,255,255,0,0.8274509803921568,0.0,0.17254901960784313,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67062,67062,100,183,0,17,200,200,0,0.915,0.0,0.085,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67063,67063,100,156,1,20,177,176,1,0.8813559322033898,0.005649717514124294,0.11299435028248588,0.9943502824858758,0.005649717514124294,Linda B. Rosenthal RECAP,0.9943502824858758
67064,67064,100,166,0,44,210,210,0,0.7904761904761904,0.0,0.20952380952380953,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67065,67065,100,221,3,52,276,273,3,0.8007246376811594,0.010869565217391304,0.18840579710144928,0.9891304347826086,0.010869565217391304,Linda B. Rosenthal RECAP,0.9891304347826086
67066,67066,100,192,1,43,236,235,1,0.8135593220338984,0.00423728813559322,0.18220338983050846,0.9957627118644068,0.00423728813559322,Linda B. Rosenthal RECAP,0.9957627118644068
67067,67067,100,246,1,68,315,314,1,0.780952380952381,0.0031746031746031746,0.21587301587301588,0.9968253968253968,0.0031746031746031746,Linda B. Rosenthal RECAP,0.9968253968253968
67068,67068,100,256,1,59,316,315,1,0.810126582278481,0.0031645569620253164,0.18670886075949367,0.9968354430379747,0.0031645569620253164,Linda B. Rosenthal RECAP,0.9968354430379747
67069,67069,100,289,1,82,372,371,1,0.7768817204301075,0.002688172043010753,0.22043010752688172,0.9973118279569892,0.002688172043010753,Linda B. Rosenthal RECAP,0.9973118279569892
67070,67070,100,165,2,37,204,202,2,0.8088235294117647,0.00980392156862745,0.18137254901960784,0.9901960784313726,0.00980392156862745,Linda B. Rosenthal RECAP,0.9901960784313726
67071,67071,100,168,1,29,198,197,1,0.8484848484848485,0.005050505050505051,0.14646464646464646,0.9949494949494949,0.005050505050505051,Linda B. Rosenthal RECAP,0.9949494949494949
67072,67072,100,271,2,49,322,320,2,0.8416149068322981,0.006211180124223602,0.15217391304347827,0.9937888198757764,0.006211180124223602,Linda B. Rosenthal RECAP,0.9937888198757764
67073,67073,100,171,2,43,216,214,2,0.7916666666666666,0.009259259259259259,0.19907407407407407,0.9907407407407407,0.009259259259259259,Linda B. Rosenthal RECAP,0.9907407407407407
67074,67074,100,243,1,76,320,319,1,0.759375,0.003125,0.2375,0.996875,0.003125,Linda B. Rosenthal RECAP,0.996875
67075,67075,100,181,2,46,229,227,2,0.7903930131004366,0.008733624454148471,0.20087336244541484,0.9912663755458515,0.008733624454148471,Linda B. Rosenthal RECAP,0.9912663755458515
67076,67076,100,275,0,77,352,352,0,0.78125,0.0,0.21875,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67077,67077,100,169,1,29,199,198,1,0.8492462311557789,0.005025125628140704,0.1457286432160804,0.9949748743718593,0.005025125628140704,Linda B. Rosenthal RECAP,0.9949748743718593
67078,67078,100,235,0,55,290,290,0,0.8103448275862069,0.0,0.1896551724137931,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67079,67079,100,184,3,34,221,218,3,0.832579185520362,0.013574660633484163,0.15384615384615385,0.9864253393665159,0.013574660633484163,Linda B. Rosenthal RECAP,0.9864253393665159
67080,67080,100,295,5,48,348,343,5,0.8477011494252874,0.014367816091954023,0.13793103448275862,0.985632183908046,0.014367816091954023,Linda B. Rosenthal RECAP,0.985632183908046
67081,67081,100,214,5,41,260,255,5,0.823076923076923,0.019230769230769232,0.1576923076923077,0.9807692307692307,0.019230769230769232,Linda B. Rosenthal RECAP,0.9807692307692307
67082,67082,100,193,1,32,226,225,1,0.8539823008849557,0.004424778761061947,0.1415929203539823,0.995575221238938,0.004424778761061947,Linda B. Rosenthal RECAP,0.995575221238938
67083,67083,100,259,2,64,325,323,2,0.796923076923077,0.006153846153846154,0.19692307692307692,0.9938461538461538,0.006153846153846154,Linda B. Rosenthal RECAP,0.9938461538461538
67084,67084,100,145,1,43,189,188,1,0.7671957671957672,0.005291005291005291,0.2275132275132275,0.9947089947089947,0.005291005291005291,Linda B. Rosenthal RECAP,0.9947089947089947
67085,67085,100,243,0,67,310,310,0,0.7838709677419354,0.0,0.2161290322580645,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67086,67086,100,287,3,78,368,365,3,0.779891304347826,0.008152173913043478,0.21195652173913043,0.9918478260869565,0.008152173913043478,Linda B. Rosenthal RECAP,0.9918478260869565
67087,67087,100,209,3,64,276,273,3,0.7572463768115942,0.010869565217391304,0.2318840579710145,0.9891304347826086,0.010869565217391304,Linda B. Rosenthal RECAP,0.9891304347826086
67088,67088,100,252,2,52,306,304,2,0.8235294117647058,0.006535947712418301,0.16993464052287582,0.9934640522875817,0.006535947712418301,Linda B. Rosenthal RECAP,0.9934640522875817
67089,67089,100,280,3,44,327,324,3,0.8562691131498471,0.009174311926605505,0.1345565749235474,0.9908256880733946,0.009174311926605505,Linda B. Rosenthal RECAP,0.9908256880733946
67090,67090,100,253,0,47,300,300,0,0.8433333333333334,0.0,0.15666666666666668,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67091,67091,100,238,7,57,302,295,7,0.7880794701986755,0.023178807947019868,0.18874172185430463,0.9768211920529801,0.023178807947019868,Linda B. Rosenthal RECAP,0.9768211920529801
67092,67092,100,248,4,60,312,308,4,0.7948717948717948,0.01282051282051282,0.19230769230769232,0.9871794871794872,0.01282051282051282,Linda B. Rosenthal RECAP,0.9871794871794872
67093,67093,100,165,1,57,223,222,1,0.7399103139013453,0.004484304932735426,0.2556053811659193,0.9955156950672646,0.004484304932735426,Linda B. Rosenthal RECAP,0.9955156950672646
67094,67094,100,226,0,58,284,284,0,0.795774647887324,0.0,0.20422535211267606,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67095,67095,100,203,1,43,247,246,1,0.8218623481781376,0.004048582995951417,0.17408906882591094,0.9959514170040485,0.004048582995951417,Linda B. Rosenthal RECAP,0.9959514170040485
67096,67096,100,190,0,32,222,222,0,0.8558558558558559,0.0,0.14414414414414414,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67097,67097,100,194,0,34,228,228,0,0.8508771929824561,0.0,0.14912280701754385,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67098,67098,100,217,0,47,264,264,0,0.821969696969697,0.0,0.17803030303030304,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67099,67099,100,163,0,45,208,208,0,0.7836538461538461,0.0,0.21634615384615385,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67100,67100,100,1,0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67101,67101,100,56,1,1,58,57,1,0.9655172413793104,0.017241379310344827,0.017241379310344827,0.9827586206896551,0.017241379310344827,Linda B. Rosenthal RECAP,0.9827586206896551
67200,67200,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
67201,67201,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
67202,67202,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
