ED,Reported As,Reporting,Bryan A. Cooper (Republican),Brian P. Kavanagh (Working Families),Scattered,Brian P. Kavanagh (Democratic),Total Votes,Bryan A. Cooper RECAP,Brian P. Kavanagh RECAP,Scattered RECAP,p_Bryan A. Cooper (Republican),p_Brian P. Kavanagh (Working Families),p_Scattered,p_Brian P. Kavanagh (Democratic),p_Bryan A. Cooper RECAP,p_Brian P. Kavanagh RECAP,p_Scattered RECAP,winner,winner_p
74015,74015,100,16,37,0,119,172,16,156,0,0.09302325581395349,0.21511627906976744,0.0,0.6918604651162791,0.09302325581395349,0.9069767441860465,0.0,Brian P. Kavanagh RECAP,0.9069767441860465
74016,74016,100,2,19,0,62,83,2,81,0,0.024096385542168676,0.2289156626506024,0.0,0.7469879518072289,0.024096385542168676,0.9759036144578314,0.0,Brian P. Kavanagh RECAP,0.9759036144578314
74017,74017,100,3,20,1,60,84,3,80,1,0.03571428571428571,0.23809523809523808,0.011904761904761904,0.7142857142857143,0.03571428571428571,0.9523809523809523,0.011904761904761904,Brian P. Kavanagh RECAP,0.9523809523809523
74018,74018,100,12,8,0,54,74,12,62,0,0.16216216216216217,0.10810810810810811,0.0,0.7297297297297297,0.16216216216216217,0.8378378378378378,0.0,Brian P. Kavanagh RECAP,0.8378378378378378
74019,74019,100,75,89,1,208,373,75,297,1,0.20107238605898123,0.2386058981233244,0.002680965147453083,0.5576407506702413,0.20107238605898123,0.7962466487935657,0.002680965147453083,Brian P. Kavanagh RECAP,0.7962466487935657
74020,74020,100,40,47,0,137,224,40,184,0,0.17857142857142858,0.20982142857142858,0.0,0.6116071428571429,0.17857142857142858,0.8214285714285714,0.0,Brian P. Kavanagh RECAP,0.8214285714285714
74021,74021,100,17,65,0,156,238,17,221,0,0.07142857142857142,0.27310924369747897,0.0,0.6554621848739496,0.07142857142857142,0.9285714285714286,0.0,Brian P. Kavanagh RECAP,0.9285714285714286
74022,74022,100,18,38,0,143,199,18,181,0,0.09045226130653267,0.19095477386934673,0.0,0.7185929648241206,0.09045226130653267,0.9095477386934674,0.0,Brian P. Kavanagh RECAP,0.9095477386934674
74023,74023,100,38,64,0,129,231,38,193,0,0.1645021645021645,0.27705627705627706,0.0,0.5584415584415584,0.1645021645021645,0.8354978354978355,0.0,Brian P. Kavanagh RECAP,0.8354978354978355
74024,74024,100,9,67,0,145,221,9,212,0,0.04072398190045249,0.3031674208144796,0.0,0.6561085972850679,0.04072398190045249,0.9592760180995475,0.0,Brian P. Kavanagh RECAP,0.9592760180995475
74025,74025,100,12,38,0,124,174,12,162,0,0.06896551724137931,0.21839080459770116,0.0,0.7126436781609196,0.06896551724137931,0.9310344827586207,0.0,Brian P. Kavanagh RECAP,0.9310344827586207
74026,74026,100,5,5,0,131,141,5,136,0,0.03546099290780142,0.03546099290780142,0.0,0.9290780141843972,0.03546099290780142,0.9645390070921985,0.0,Brian P. Kavanagh RECAP,0.9645390070921985
74027,74027,100,9,5,0,69,83,9,74,0,0.10843373493975904,0.060240963855421686,0.0,0.8313253012048193,0.10843373493975904,0.891566265060241,0.0,Brian P. Kavanagh RECAP,0.891566265060241
74028,74028,100,6,1,0,58,65,6,59,0,0.09230769230769231,0.015384615384615385,0.0,0.8923076923076924,0.09230769230769231,0.9076923076923077,0.0,Brian P. Kavanagh RECAP,0.9076923076923077
74029,74029,100,5,5,0,105,115,5,110,0,0.043478260869565216,0.043478260869565216,0.0,0.9130434782608695,0.043478260869565216,0.9565217391304348,0.0,Brian P. Kavanagh RECAP,0.9565217391304348
74030,74030,100,4,8,0,79,91,4,87,0,0.04395604395604396,0.08791208791208792,0.0,0.8681318681318682,0.04395604395604396,0.9560439560439561,0.0,Brian P. Kavanagh RECAP,0.9560439560439561
74031,74031,100,23,42,1,198,264,23,240,1,0.08712121212121213,0.1590909090909091,0.003787878787878788,0.75,0.08712121212121213,0.9090909090909091,0.003787878787878788,Brian P. Kavanagh RECAP,0.9090909090909091
74032,74032,100,15,48,1,133,197,15,181,1,0.07614213197969544,0.2436548223350254,0.005076142131979695,0.6751269035532995,0.07614213197969544,0.9187817258883249,0.005076142131979695,Brian P. Kavanagh RECAP,0.9187817258883249
74033,74033,100,10,62,0,162,234,10,224,0,0.042735042735042736,0.26495726495726496,0.0,0.6923076923076923,0.042735042735042736,0.9572649572649573,0.0,Brian P. Kavanagh RECAP,0.9572649572649573
74034,74034,100,16,64,0,143,223,16,207,0,0.07174887892376682,0.28699551569506726,0.0,0.6412556053811659,0.07174887892376682,0.9282511210762332,0.0,Brian P. Kavanagh RECAP,0.9282511210762332
74035,74035,100,8,3,0,88,99,8,91,0,0.08080808080808081,0.030303030303030304,0.0,0.8888888888888888,0.08080808080808081,0.9191919191919192,0.0,Brian P. Kavanagh RECAP,0.9191919191919192
74036,74036,100,26,66,0,143,235,26,209,0,0.11063829787234042,0.28085106382978725,0.0,0.6085106382978723,0.11063829787234042,0.8893617021276595,0.0,Brian P. Kavanagh RECAP,0.8893617021276595
74037,74037,100,9,66,1,143,219,9,209,1,0.0410958904109589,0.3013698630136986,0.0045662100456621,0.6529680365296804,0.0410958904109589,0.954337899543379,0.0045662100456621,Brian P. Kavanagh RECAP,0.954337899543379
74038,74038,100,11,25,0,112,148,11,137,0,0.07432432432432433,0.16891891891891891,0.0,0.7567567567567568,0.07432432432432433,0.9256756756756757,0.0,Brian P. Kavanagh RECAP,0.9256756756756757
74039,74039,100,46,92,2,285,425,46,377,2,0.10823529411764705,0.2164705882352941,0.004705882352941176,0.6705882352941176,0.10823529411764705,0.8870588235294118,0.004705882352941176,Brian P. Kavanagh RECAP,0.8870588235294118
74040,74040,100,41,66,0,268,375,41,334,0,0.10933333333333334,0.176,0.0,0.7146666666666667,0.10933333333333334,0.8906666666666667,0.0,Brian P. Kavanagh RECAP,0.8906666666666667
74041,74041,100,54,75,1,246,376,54,321,1,0.14361702127659576,0.19946808510638298,0.0026595744680851063,0.6542553191489362,0.14361702127659576,0.8537234042553191,0.0026595744680851063,Brian P. Kavanagh RECAP,0.8537234042553191
74042,74042,100,34,61,0,207,302,34,268,0,0.11258278145695365,0.20198675496688742,0.0,0.6854304635761589,0.11258278145695365,0.8874172185430463,0.0,Brian P. Kavanagh RECAP,0.8874172185430463
74043,74043,100,37,46,0,152,235,37,198,0,0.1574468085106383,0.19574468085106383,0.0,0.6468085106382979,0.1574468085106383,0.8425531914893617,0.0,Brian P. Kavanagh RECAP,0.8425531914893617
74044,74044,100,43,58,0,193,294,43,251,0,0.14625850340136054,0.19727891156462585,0.0,0.6564625850340136,0.14625850340136054,0.8537414965986394,0.0,Brian P. Kavanagh RECAP,0.8537414965986394
74045,74045,100,81,65,0,289,435,81,354,0,0.18620689655172415,0.14942528735632185,0.0,0.664367816091954,0.18620689655172415,0.8137931034482758,0.0,Brian P. Kavanagh RECAP,0.8137931034482758
74046,74046,100,65,64,1,300,430,65,364,1,0.1511627906976744,0.14883720930232558,0.002325581395348837,0.6976744186046512,0.1511627906976744,0.8465116279069768,0.002325581395348837,Brian P. Kavanagh RECAP,0.8465116279069768
74047,74047,100,66,74,0,239,379,66,313,0,0.1741424802110818,0.19525065963060687,0.0,0.6306068601583114,0.1741424802110818,0.8258575197889182,0.0,Brian P. Kavanagh RECAP,0.8258575197889182
74048,74048,100,27,32,0,183,242,27,215,0,0.1115702479338843,0.1322314049586777,0.0,0.756198347107438,0.1115702479338843,0.8884297520661157,0.0,Brian P. Kavanagh RECAP,0.8884297520661157
74049,74049,100,70,47,0,192,309,70,239,0,0.22653721682847897,0.15210355987055016,0.0,0.6213592233009708,0.22653721682847897,0.7734627831715211,0.0,Brian P. Kavanagh RECAP,0.7734627831715211
74050,74050,100,98,52,0,290,440,98,342,0,0.22272727272727272,0.11818181818181818,0.0,0.6590909090909091,0.22272727272727272,0.7772727272727272,0.0,Brian P. Kavanagh RECAP,0.7772727272727272
74051,74051,100,39,49,0,224,312,39,273,0,0.125,0.15705128205128205,0.0,0.717948717948718,0.125,0.875,0.0,Brian P. Kavanagh RECAP,0.875
74052,74052,100,50,39,0,195,284,50,234,0,0.176056338028169,0.13732394366197184,0.0,0.6866197183098591,0.176056338028169,0.823943661971831,0.0,Brian P. Kavanagh RECAP,0.823943661971831
74053,74053,100,29,49,0,104,182,29,153,0,0.15934065934065933,0.2692307692307692,0.0,0.5714285714285714,0.15934065934065933,0.8406593406593407,0.0,Brian P. Kavanagh RECAP,0.8406593406593407
74054,74054,100,29,27,0,161,217,29,188,0,0.1336405529953917,0.12442396313364056,0.0,0.7419354838709677,0.1336405529953917,0.8663594470046083,0.0,Brian P. Kavanagh RECAP,0.8663594470046083
74055,74055,100,27,9,0,81,117,27,90,0,0.23076923076923078,0.07692307692307693,0.0,0.6923076923076923,0.23076923076923078,0.7692307692307693,0.0,Brian P. Kavanagh RECAP,0.7692307692307693
74056,74056,100,35,34,0,140,209,35,174,0,0.1674641148325359,0.16267942583732056,0.0,0.6698564593301436,0.1674641148325359,0.8325358851674641,0.0,Brian P. Kavanagh RECAP,0.8325358851674641
74057,74057,100,24,31,0,116,171,24,147,0,0.14035087719298245,0.18128654970760233,0.0,0.6783625730994152,0.14035087719298245,0.8596491228070176,0.0,Brian P. Kavanagh RECAP,0.8596491228070176
74058,74058,100,39,51,0,196,286,39,247,0,0.13636363636363635,0.17832167832167833,0.0,0.6853146853146853,0.13636363636363635,0.8636363636363636,0.0,Brian P. Kavanagh RECAP,0.8636363636363636
74059,74059,100,37,39,1,223,300,37,262,1,0.12333333333333334,0.13,0.0033333333333333335,0.7433333333333333,0.12333333333333334,0.8733333333333333,0.0033333333333333335,Brian P. Kavanagh RECAP,0.8733333333333333
74060,74060,100,56,52,0,219,327,56,271,0,0.1712538226299694,0.15902140672782875,0.0,0.6697247706422018,0.1712538226299694,0.8287461773700305,0.0,Brian P. Kavanagh RECAP,0.8287461773700305
74061,74061,100,44,38,0,179,261,44,217,0,0.1685823754789272,0.14559386973180077,0.0,0.685823754789272,0.1685823754789272,0.8314176245210728,0.0,Brian P. Kavanagh RECAP,0.8314176245210728
74062,74062,100,36,28,0,206,270,36,234,0,0.13333333333333333,0.1037037037037037,0.0,0.762962962962963,0.13333333333333333,0.8666666666666667,0.0,Brian P. Kavanagh RECAP,0.8666666666666667
74063,74063,100,36,15,0,117,168,36,132,0,0.21428571428571427,0.08928571428571429,0.0,0.6964285714285714,0.21428571428571427,0.7857142857142857,0.0,Brian P. Kavanagh RECAP,0.7857142857142857
74064,74064,100,51,50,0,272,373,51,322,0,0.13672922252010725,0.13404825737265416,0.0,0.7292225201072386,0.13672922252010725,0.8632707774798928,0.0,Brian P. Kavanagh RECAP,0.8632707774798928
74065,74065,100,25,20,0,106,151,25,126,0,0.16556291390728478,0.13245033112582782,0.0,0.7019867549668874,0.16556291390728478,0.8344370860927153,0.0,Brian P. Kavanagh RECAP,0.8344370860927153
74066,74066,100,18,14,0,128,160,18,142,0,0.1125,0.0875,0.0,0.8,0.1125,0.8875,0.0,Brian P. Kavanagh RECAP,0.8875
74067,74067,100,38,32,0,174,244,38,206,0,0.1557377049180328,0.13114754098360656,0.0,0.7131147540983607,0.1557377049180328,0.8442622950819673,0.0,Brian P. Kavanagh RECAP,0.8442622950819673
74068,74068,100,37,31,1,176,245,37,207,1,0.1510204081632653,0.12653061224489795,0.004081632653061225,0.7183673469387755,0.1510204081632653,0.8448979591836735,0.004081632653061225,Brian P. Kavanagh RECAP,0.8448979591836735
74069,74069,100,25,10,0,94,129,25,104,0,0.1937984496124031,0.07751937984496124,0.0,0.7286821705426356,0.1937984496124031,0.8062015503875969,0.0,Brian P. Kavanagh RECAP,0.8062015503875969
74070,74070,100,52,26,0,178,256,52,204,0,0.203125,0.1015625,0.0,0.6953125,0.203125,0.796875,0.0,Brian P. Kavanagh RECAP,0.796875
74071,74071,100,12,21,2,80,115,12,101,2,0.10434782608695652,0.1826086956521739,0.017391304347826087,0.6956521739130435,0.10434782608695652,0.8782608695652174,0.017391304347826087,Brian P. Kavanagh RECAP,0.8782608695652174
74072,74072,100,23,20,0,84,127,23,104,0,0.18110236220472442,0.15748031496062992,0.0,0.6614173228346457,0.18110236220472442,0.8188976377952756,0.0,Brian P. Kavanagh RECAP,0.8188976377952756
74073,74073,100,45,25,2,174,246,45,199,2,0.18292682926829268,0.1016260162601626,0.008130081300813009,0.7073170731707317,0.18292682926829268,0.8089430894308943,0.008130081300813009,Brian P. Kavanagh RECAP,0.8089430894308943
74074,74074,100,38,51,2,217,308,38,268,2,0.12337662337662338,0.16558441558441558,0.006493506493506494,0.7045454545454546,0.12337662337662338,0.8701298701298701,0.006493506493506494,Brian P. Kavanagh RECAP,0.8701298701298701
74075,74075,100,53,44,0,235,332,53,279,0,0.15963855421686746,0.13253012048192772,0.0,0.7078313253012049,0.15963855421686746,0.8403614457831325,0.0,Brian P. Kavanagh RECAP,0.8403614457831325
74076,74076,100,20,17,0,147,184,20,164,0,0.10869565217391304,0.09239130434782608,0.0,0.7989130434782609,0.10869565217391304,0.8913043478260869,0.0,Brian P. Kavanagh RECAP,0.8913043478260869
74077,74077,100,31,15,1,146,193,31,161,1,0.16062176165803108,0.07772020725388601,0.0051813471502590676,0.7564766839378239,0.16062176165803108,0.8341968911917098,0.0051813471502590676,Brian P. Kavanagh RECAP,0.8341968911917098
74078,74078,100,47,22,1,225,295,47,247,1,0.15932203389830507,0.07457627118644068,0.003389830508474576,0.7627118644067796,0.15932203389830507,0.8372881355932204,0.003389830508474576,Brian P. Kavanagh RECAP,0.8372881355932204
74079,74079,100,33,26,0,180,239,33,206,0,0.13807531380753138,0.1087866108786611,0.0,0.7531380753138075,0.13807531380753138,0.8619246861924686,0.0,Brian P. Kavanagh RECAP,0.8619246861924686
74080,74080,100,40,25,0,142,207,40,167,0,0.1932367149758454,0.12077294685990338,0.0,0.6859903381642513,0.1932367149758454,0.8067632850241546,0.0,Brian P. Kavanagh RECAP,0.8067632850241546
74081,74081,100,7,8,0,36,51,7,44,0,0.13725490196078433,0.1568627450980392,0.0,0.7058823529411765,0.13725490196078433,0.8627450980392157,0.0,Brian P. Kavanagh RECAP,0.8627450980392157
74082,74082,100,65,38,0,294,397,65,332,0,0.163727959697733,0.09571788413098237,0.0,0.7405541561712846,0.163727959697733,0.836272040302267,0.0,Brian P. Kavanagh RECAP,0.836272040302267
74083,74083,100,43,39,1,178,261,43,217,1,0.16475095785440613,0.14942528735632185,0.0038314176245210726,0.6819923371647509,0.16475095785440613,0.8314176245210728,0.0038314176245210726,Brian P. Kavanagh RECAP,0.8314176245210728
74084,74084,100,44,6,0,87,137,44,93,0,0.32116788321167883,0.043795620437956206,0.0,0.635036496350365,0.32116788321167883,0.6788321167883211,0.0,Brian P. Kavanagh RECAP,0.6788321167883211
74085,74085,100,52,16,3,136,207,52,152,3,0.25120772946859904,0.07729468599033816,0.014492753623188406,0.6570048309178744,0.25120772946859904,0.7342995169082126,0.014492753623188406,Brian P. Kavanagh RECAP,0.7342995169082126
74086,74086,100,68,15,0,129,212,68,144,0,0.32075471698113206,0.07075471698113207,0.0,0.6084905660377359,0.32075471698113206,0.6792452830188679,0.0,Brian P. Kavanagh RECAP,0.6792452830188679
74087,74087,100,101,21,1,248,371,101,269,1,0.2722371967654987,0.05660377358490566,0.0026954177897574125,0.6684636118598383,0.2722371967654987,0.7250673854447439,0.0026954177897574125,Brian P. Kavanagh RECAP,0.7250673854447439
74088,74088,100,120,28,0,291,439,120,319,0,0.2733485193621868,0.06378132118451026,0.0,0.662870159453303,0.2733485193621868,0.7266514806378133,0.0,Brian P. Kavanagh RECAP,0.7266514806378133
74089,74089,100,91,27,0,210,328,91,237,0,0.2774390243902439,0.08231707317073171,0.0,0.6402439024390244,0.2774390243902439,0.7225609756097561,0.0,Brian P. Kavanagh RECAP,0.7225609756097561
74090,74090,100,62,17,0,148,227,62,165,0,0.27312775330396477,0.07488986784140969,0.0,0.6519823788546255,0.27312775330396477,0.7268722466960352,0.0,Brian P. Kavanagh RECAP,0.7268722466960352
74091,74091,100,64,29,1,172,266,64,201,1,0.24060150375939848,0.10902255639097744,0.0037593984962406013,0.6466165413533834,0.24060150375939848,0.7556390977443609,0.0037593984962406013,Brian P. Kavanagh RECAP,0.7556390977443609
74200,74200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
74201,74201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
74202,74202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
74203,74203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
74204,74204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
74205,74205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
