ED,Reported As,Reporting,Angel D. Molina (Republican),Carmen E. Arroyo (Democratic),Scattered,Franklin Chidi Oleh (Conservative),Total Votes,Angel D. Molina RECAP,Carmen E. Arroyo RECAP,Scattered RECAP,Franklin Chidi Oleh RECAP,p_Angel D. Molina (Republican),p_Carmen E. Arroyo (Democratic),p_Scattered,p_Franklin Chidi Oleh (Conservative),p_Angel D. Molina RECAP,p_Carmen E. Arroyo RECAP,p_Scattered RECAP,p_Franklin Chidi Oleh RECAP,winner,winner_p
84027,84027,100,6,102,0,1,109,6,102,0,1,0.05504587155963303,0.9357798165137615,0.0,0.009174311926605505,0.05504587155963303,0.9357798165137615,0.0,0.009174311926605505,Carmen E. Arroyo RECAP,0.9357798165137615
84028,84028,100,8,168,0,1,177,8,168,0,1,0.04519774011299435,0.9491525423728814,0.0,0.005649717514124294,0.04519774011299435,0.9491525423728814,0.0,0.005649717514124294,Carmen E. Arroyo RECAP,0.9491525423728814
84029,84029,100,5,90,0,0,95,5,90,0,0,0.05263157894736842,0.9473684210526315,0.0,0.0,0.05263157894736842,0.9473684210526315,0.0,0.0,Carmen E. Arroyo RECAP,0.9473684210526315
84030,84030,100,6,82,0,2,90,6,82,0,2,0.06666666666666667,0.9111111111111111,0.0,0.022222222222222223,0.06666666666666667,0.9111111111111111,0.0,0.022222222222222223,Carmen E. Arroyo RECAP,0.9111111111111111
84031,84031,100,5,74,0,0,79,5,74,0,0,0.06329113924050633,0.9367088607594937,0.0,0.0,0.06329113924050633,0.9367088607594937,0.0,0.0,Carmen E. Arroyo RECAP,0.9367088607594937
84032,84032,100,2,58,0,0,60,2,58,0,0,0.03333333333333333,0.9666666666666667,0.0,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0,Carmen E. Arroyo RECAP,0.9666666666666667
84033,84033,100,9,87,0,1,97,9,87,0,1,0.09278350515463918,0.8969072164948454,0.0,0.010309278350515464,0.09278350515463918,0.8969072164948454,0.0,0.010309278350515464,Carmen E. Arroyo RECAP,0.8969072164948454
84034,84034,100,12,231,0,4,247,12,231,0,4,0.048582995951417005,0.9352226720647774,0.0,0.016194331983805668,0.048582995951417005,0.9352226720647774,0.0,0.016194331983805668,Carmen E. Arroyo RECAP,0.9352226720647774
84035,84035,100,9,109,0,7,125,9,109,0,7,0.072,0.872,0.0,0.056,0.072,0.872,0.0,0.056,Carmen E. Arroyo RECAP,0.872
84036,84036,100,4,35,0,1,40,4,35,0,1,0.1,0.875,0.0,0.025,0.1,0.875,0.0,0.025,Carmen E. Arroyo RECAP,0.875
84037,84037,100,2,124,2,1,129,2,124,2,1,0.015503875968992248,0.9612403100775194,0.015503875968992248,0.007751937984496124,0.015503875968992248,0.9612403100775194,0.015503875968992248,0.007751937984496124,Carmen E. Arroyo RECAP,0.9612403100775194
84038,84038,100,14,120,0,5,139,14,120,0,5,0.10071942446043165,0.8633093525179856,0.0,0.03597122302158273,0.10071942446043165,0.8633093525179856,0.0,0.03597122302158273,Carmen E. Arroyo RECAP,0.8633093525179856
84039,84039,100,13,159,1,1,174,13,159,1,1,0.07471264367816093,0.9137931034482759,0.005747126436781609,0.005747126436781609,0.07471264367816093,0.9137931034482759,0.005747126436781609,0.005747126436781609,Carmen E. Arroyo RECAP,0.9137931034482759
84040,84040,100,11,143,0,1,155,11,143,0,1,0.07096774193548387,0.9225806451612903,0.0,0.0064516129032258064,0.07096774193548387,0.9225806451612903,0.0,0.0064516129032258064,Carmen E. Arroyo RECAP,0.9225806451612903
84041,84041,100,18,120,0,0,138,18,120,0,0,0.13043478260869565,0.8695652173913043,0.0,0.0,0.13043478260869565,0.8695652173913043,0.0,0.0,Carmen E. Arroyo RECAP,0.8695652173913043
84042,84042,100,8,166,0,2,176,8,166,0,2,0.045454545454545456,0.9431818181818182,0.0,0.011363636363636364,0.045454545454545456,0.9431818181818182,0.0,0.011363636363636364,Carmen E. Arroyo RECAP,0.9431818181818182
84043,84043,100,26,116,0,2,144,26,116,0,2,0.18055555555555555,0.8055555555555556,0.0,0.013888888888888888,0.18055555555555555,0.8055555555555556,0.0,0.013888888888888888,Carmen E. Arroyo RECAP,0.8055555555555556
84044,84044,100,16,98,1,4,119,16,98,1,4,0.13445378151260504,0.8235294117647058,0.008403361344537815,0.03361344537815126,0.13445378151260504,0.8235294117647058,0.008403361344537815,0.03361344537815126,Carmen E. Arroyo RECAP,0.8235294117647058
84045,84045,100,7,79,1,2,89,7,79,1,2,0.07865168539325842,0.8876404494382022,0.011235955056179775,0.02247191011235955,0.07865168539325842,0.8876404494382022,0.011235955056179775,0.02247191011235955,Carmen E. Arroyo RECAP,0.8876404494382022
84046,84046,100,8,111,0,4,123,8,111,0,4,0.06504065040650407,0.9024390243902439,0.0,0.032520325203252036,0.06504065040650407,0.9024390243902439,0.0,0.032520325203252036,Carmen E. Arroyo RECAP,0.9024390243902439
84047,84047,100,4,34,0,0,38,4,34,0,0,0.10526315789473684,0.8947368421052632,0.0,0.0,0.10526315789473684,0.8947368421052632,0.0,0.0,Carmen E. Arroyo RECAP,0.8947368421052632
84048,84048,100,10,118,0,3,131,10,118,0,3,0.07633587786259542,0.9007633587786259,0.0,0.022900763358778626,0.07633587786259542,0.9007633587786259,0.0,0.022900763358778626,Carmen E. Arroyo RECAP,0.9007633587786259
84049,84049,100,8,42,0,2,52,8,42,0,2,0.15384615384615385,0.8076923076923077,0.0,0.038461538461538464,0.15384615384615385,0.8076923076923077,0.0,0.038461538461538464,Carmen E. Arroyo RECAP,0.8076923076923077
84050,84050,100,2,80,0,1,83,2,80,0,1,0.024096385542168676,0.963855421686747,0.0,0.012048192771084338,0.024096385542168676,0.963855421686747,0.0,0.012048192771084338,Carmen E. Arroyo RECAP,0.963855421686747
84051,84051,100,12,162,0,3,177,12,162,0,3,0.06779661016949153,0.9152542372881356,0.0,0.01694915254237288,0.06779661016949153,0.9152542372881356,0.0,0.01694915254237288,Carmen E. Arroyo RECAP,0.9152542372881356
84052,84052,100,13,146,0,2,161,13,146,0,2,0.08074534161490683,0.906832298136646,0.0,0.012422360248447204,0.08074534161490683,0.906832298136646,0.0,0.012422360248447204,Carmen E. Arroyo RECAP,0.906832298136646
84053,84053,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
84054,84054,100,13,120,0,4,137,13,120,0,4,0.0948905109489051,0.8759124087591241,0.0,0.029197080291970802,0.0948905109489051,0.8759124087591241,0.0,0.029197080291970802,Carmen E. Arroyo RECAP,0.8759124087591241
84055,84055,100,12,125,0,2,139,12,125,0,2,0.08633093525179857,0.8992805755395683,0.0,0.014388489208633094,0.08633093525179857,0.8992805755395683,0.0,0.014388489208633094,Carmen E. Arroyo RECAP,0.8992805755395683
84056,84056,100,16,123,0,1,140,16,123,0,1,0.11428571428571428,0.8785714285714286,0.0,0.007142857142857143,0.11428571428571428,0.8785714285714286,0.0,0.007142857142857143,Carmen E. Arroyo RECAP,0.8785714285714286
84057,84057,100,11,113,1,3,128,11,113,1,3,0.0859375,0.8828125,0.0078125,0.0234375,0.0859375,0.8828125,0.0078125,0.0234375,Carmen E. Arroyo RECAP,0.8828125
84058,84058,100,28,108,0,0,136,28,108,0,0,0.20588235294117646,0.7941176470588235,0.0,0.0,0.20588235294117646,0.7941176470588235,0.0,0.0,Carmen E. Arroyo RECAP,0.7941176470588235
84059,84059,100,16,159,0,0,175,16,159,0,0,0.09142857142857143,0.9085714285714286,0.0,0.0,0.09142857142857143,0.9085714285714286,0.0,0.0,Carmen E. Arroyo RECAP,0.9085714285714286
84060,84060,100,6,83,0,2,91,6,83,0,2,0.06593406593406594,0.9120879120879121,0.0,0.02197802197802198,0.06593406593406594,0.9120879120879121,0.0,0.02197802197802198,Carmen E. Arroyo RECAP,0.9120879120879121
84061,84061,100,6,131,0,0,137,6,131,0,0,0.043795620437956206,0.9562043795620438,0.0,0.0,0.043795620437956206,0.9562043795620438,0.0,0.0,Carmen E. Arroyo RECAP,0.9562043795620438
84062,84062,100,13,110,0,1,124,13,110,0,1,0.10483870967741936,0.8870967741935484,0.0,0.008064516129032258,0.10483870967741936,0.8870967741935484,0.0,0.008064516129032258,Carmen E. Arroyo RECAP,0.8870967741935484
84063,84063,100,5,125,0,1,131,5,125,0,1,0.03816793893129771,0.9541984732824428,0.0,0.007633587786259542,0.03816793893129771,0.9541984732824428,0.0,0.007633587786259542,Carmen E. Arroyo RECAP,0.9541984732824428
84064,84064,100,13,131,0,1,145,13,131,0,1,0.0896551724137931,0.903448275862069,0.0,0.006896551724137931,0.0896551724137931,0.903448275862069,0.0,0.006896551724137931,Carmen E. Arroyo RECAP,0.903448275862069
84065,84065,100,7,96,0,1,104,7,96,0,1,0.0673076923076923,0.9230769230769231,0.0,0.009615384615384616,0.0673076923076923,0.9230769230769231,0.0,0.009615384615384616,Carmen E. Arroyo RECAP,0.9230769230769231
84066,84066,100,8,102,0,1,111,8,102,0,1,0.07207207207207207,0.918918918918919,0.0,0.009009009009009009,0.07207207207207207,0.918918918918919,0.0,0.009009009009009009,Carmen E. Arroyo RECAP,0.918918918918919
84067,84067,100,5,113,0,2,120,5,113,0,2,0.041666666666666664,0.9416666666666667,0.0,0.016666666666666666,0.041666666666666664,0.9416666666666667,0.0,0.016666666666666666,Carmen E. Arroyo RECAP,0.9416666666666667
84068,84068,100,5,103,0,0,108,5,103,0,0,0.046296296296296294,0.9537037037037037,0.0,0.0,0.046296296296296294,0.9537037037037037,0.0,0.0,Carmen E. Arroyo RECAP,0.9537037037037037
84069,84069,100,6,49,0,1,56,6,49,0,1,0.10714285714285714,0.875,0.0,0.017857142857142856,0.10714285714285714,0.875,0.0,0.017857142857142856,Carmen E. Arroyo RECAP,0.875
84070,84070,100,4,53,0,2,59,4,53,0,2,0.06779661016949153,0.8983050847457628,0.0,0.03389830508474576,0.06779661016949153,0.8983050847457628,0.0,0.03389830508474576,Carmen E. Arroyo RECAP,0.8983050847457628
84071,84071,100,16,130,0,2,148,16,130,0,2,0.10810810810810811,0.8783783783783784,0.0,0.013513513513513514,0.10810810810810811,0.8783783783783784,0.0,0.013513513513513514,Carmen E. Arroyo RECAP,0.8783783783783784
84072,84072,100,16,156,1,5,178,16,156,1,5,0.0898876404494382,0.8764044943820225,0.0056179775280898875,0.028089887640449437,0.0898876404494382,0.8764044943820225,0.0056179775280898875,0.028089887640449437,Carmen E. Arroyo RECAP,0.8764044943820225
84073,84073,100,2,38,0,1,41,2,38,0,1,0.04878048780487805,0.926829268292683,0.0,0.024390243902439025,0.04878048780487805,0.926829268292683,0.0,0.024390243902439025,Carmen E. Arroyo RECAP,0.926829268292683
84074,84074,100,14,121,0,1,136,14,121,0,1,0.10294117647058823,0.8897058823529411,0.0,0.007352941176470588,0.10294117647058823,0.8897058823529411,0.0,0.007352941176470588,Carmen E. Arroyo RECAP,0.8897058823529411
84075,84075,100,2,138,0,1,141,2,138,0,1,0.014184397163120567,0.9787234042553191,0.0,0.0070921985815602835,0.014184397163120567,0.9787234042553191,0.0,0.0070921985815602835,Carmen E. Arroyo RECAP,0.9787234042553191
84076,84076,100,0,13,0,0,13,0,13,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Carmen E. Arroyo RECAP,1.0
84077,84077,100,6,107,0,1,114,6,107,0,1,0.05263157894736842,0.9385964912280702,0.0,0.008771929824561403,0.05263157894736842,0.9385964912280702,0.0,0.008771929824561403,Carmen E. Arroyo RECAP,0.9385964912280702
84078,84078,100,1,29,0,1,31,1,29,0,1,0.03225806451612903,0.9354838709677419,0.0,0.03225806451612903,0.03225806451612903,0.9354838709677419,0.0,0.03225806451612903,Carmen E. Arroyo RECAP,0.9354838709677419
84079,84079,100,0,1,0,0,1,0,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Carmen E. Arroyo RECAP,1.0
84080,84080,100,11,180,0,3,194,11,180,0,3,0.05670103092783505,0.9278350515463918,0.0,0.015463917525773196,0.05670103092783505,0.9278350515463918,0.0,0.015463917525773196,Carmen E. Arroyo RECAP,0.9278350515463918
84081,84053,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
