ED,Reported As,Reporting,Menachem M. Raitport (Conservative),Scattered,Jesse E. Hamilton (Democratic),Total Votes,Menachem M. Raitport RECAP,Scattered RECAP,Jesse E. Hamilton RECAP,p_Menachem M. Raitport (Conservative),p_Scattered,p_Jesse E. Hamilton (Democratic),p_Menachem M. Raitport RECAP,p_Scattered RECAP,p_Jesse E. Hamilton RECAP,winner,winner_p
43028,43028,100,1,0,218,219,1,0,218,0.0045662100456621,0.0,0.9954337899543378,0.0045662100456621,0.0,0.9954337899543378,Jesse E. Hamilton RECAP,0.9954337899543378
43029,43029,100,5,0,161,166,5,0,161,0.030120481927710843,0.0,0.9698795180722891,0.030120481927710843,0.0,0.9698795180722891,Jesse E. Hamilton RECAP,0.9698795180722891
43030,43030,100,1,1,142,144,1,1,142,0.006944444444444444,0.006944444444444444,0.9861111111111112,0.006944444444444444,0.006944444444444444,0.9861111111111112,Jesse E. Hamilton RECAP,0.9861111111111112
43031,43031,100,8,0,243,251,8,0,243,0.03187250996015936,0.0,0.9681274900398407,0.03187250996015936,0.0,0.9681274900398407,Jesse E. Hamilton RECAP,0.9681274900398407
43032,43032,100,0,0,184,184,0,0,184,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
43033,43033,100,2,0,253,255,2,0,253,0.00784313725490196,0.0,0.9921568627450981,0.00784313725490196,0.0,0.9921568627450981,Jesse E. Hamilton RECAP,0.9921568627450981
43034,43034,100,5,0,262,267,5,0,262,0.018726591760299626,0.0,0.9812734082397003,0.018726591760299626,0.0,0.9812734082397003,Jesse E. Hamilton RECAP,0.9812734082397003
43035,43035,100,15,4,241,260,15,4,241,0.057692307692307696,0.015384615384615385,0.926923076923077,0.057692307692307696,0.015384615384615385,0.926923076923077,Jesse E. Hamilton RECAP,0.926923076923077
43036,43036,100,3,0,230,233,3,0,230,0.012875536480686695,0.0,0.9871244635193133,0.012875536480686695,0.0,0.9871244635193133,Jesse E. Hamilton RECAP,0.9871244635193133
43037,43037,100,12,1,229,242,12,1,229,0.049586776859504134,0.004132231404958678,0.9462809917355371,0.049586776859504134,0.004132231404958678,0.9462809917355371,Jesse E. Hamilton RECAP,0.9462809917355371
43038,43038,100,18,2,305,325,18,2,305,0.055384615384615386,0.006153846153846154,0.9384615384615385,0.055384615384615386,0.006153846153846154,0.9384615384615385,Jesse E. Hamilton RECAP,0.9384615384615385
43039,43039,100,14,0,253,267,14,0,253,0.052434456928838954,0.0,0.947565543071161,0.052434456928838954,0.0,0.947565543071161,Jesse E. Hamilton RECAP,0.947565543071161
43040,43040,100,94,0,71,165,94,0,71,0.5696969696969697,0.0,0.4303030303030303,0.5696969696969697,0.0,0.4303030303030303,Menachem M. Raitport RECAP,0.5696969696969697
43041,43041,100,2,0,232,234,2,0,232,0.008547008547008548,0.0,0.9914529914529915,0.008547008547008548,0.0,0.9914529914529915,Jesse E. Hamilton RECAP,0.9914529914529915
43042,43042,100,5,1,199,205,5,1,199,0.024390243902439025,0.004878048780487805,0.9707317073170731,0.024390243902439025,0.004878048780487805,0.9707317073170731,Jesse E. Hamilton RECAP,0.9707317073170731
43043,43043,100,8,0,117,125,8,0,117,0.064,0.0,0.936,0.064,0.0,0.936,Jesse E. Hamilton RECAP,0.936
43044,43044,100,4,0,210,214,4,0,210,0.018691588785046728,0.0,0.9813084112149533,0.018691588785046728,0.0,0.9813084112149533,Jesse E. Hamilton RECAP,0.9813084112149533
43052,43052,100,2,0,208,210,2,0,208,0.009523809523809525,0.0,0.9904761904761905,0.009523809523809525,0.0,0.9904761904761905,Jesse E. Hamilton RECAP,0.9904761904761905
43053,43053,100,10,1,196,207,10,1,196,0.04830917874396135,0.004830917874396135,0.9468599033816425,0.04830917874396135,0.004830917874396135,0.9468599033816425,Jesse E. Hamilton RECAP,0.9468599033816425
43054,43054,100,5,0,228,233,5,0,228,0.02145922746781116,0.0,0.9785407725321889,0.02145922746781116,0.0,0.9785407725321889,Jesse E. Hamilton RECAP,0.9785407725321889
43055,43055,100,9,2,176,187,9,2,176,0.0481283422459893,0.0106951871657754,0.9411764705882353,0.0481283422459893,0.0106951871657754,0.9411764705882353,Jesse E. Hamilton RECAP,0.9411764705882353
43056,43056,100,56,2,173,231,56,2,173,0.24242424242424243,0.008658008658008658,0.7489177489177489,0.24242424242424243,0.008658008658008658,0.7489177489177489,Jesse E. Hamilton RECAP,0.7489177489177489
43057,43057,100,74,0,82,156,74,0,82,0.47435897435897434,0.0,0.5256410256410257,0.47435897435897434,0.0,0.5256410256410257,Jesse E. Hamilton RECAP,0.5256410256410257
43058,43058,100,16,0,113,129,16,0,113,0.12403100775193798,0.0,0.875968992248062,0.12403100775193798,0.0,0.875968992248062,Jesse E. Hamilton RECAP,0.875968992248062
43059,43059,100,28,0,134,162,28,0,134,0.1728395061728395,0.0,0.8271604938271605,0.1728395061728395,0.0,0.8271604938271605,Jesse E. Hamilton RECAP,0.8271604938271605
43060,43060,100,40,0,167,207,40,0,167,0.1932367149758454,0.0,0.8067632850241546,0.1932367149758454,0.0,0.8067632850241546,Jesse E. Hamilton RECAP,0.8067632850241546
43061,43061,100,9,0,237,246,9,0,237,0.036585365853658534,0.0,0.9634146341463414,0.036585365853658534,0.0,0.9634146341463414,Jesse E. Hamilton RECAP,0.9634146341463414
43062,43062,100,38,0,91,129,38,0,91,0.29457364341085274,0.0,0.7054263565891473,0.29457364341085274,0.0,0.7054263565891473,Jesse E. Hamilton RECAP,0.7054263565891473
43063,43063,100,49,0,49,98,49,0,49,0.5,0.0,0.5,0.5,0.0,0.5,Tie,0.5
43064,43064,100,14,0,119,133,14,0,119,0.10526315789473684,0.0,0.8947368421052632,0.10526315789473684,0.0,0.8947368421052632,Jesse E. Hamilton RECAP,0.8947368421052632
43065,43065,100,8,0,120,128,8,0,120,0.0625,0.0,0.9375,0.0625,0.0,0.9375,Jesse E. Hamilton RECAP,0.9375
43066,43066,100,7,0,249,256,7,0,249,0.02734375,0.0,0.97265625,0.02734375,0.0,0.97265625,Jesse E. Hamilton RECAP,0.97265625
43067,43067,100,13,0,272,285,13,0,272,0.0456140350877193,0.0,0.9543859649122807,0.0456140350877193,0.0,0.9543859649122807,Jesse E. Hamilton RECAP,0.9543859649122807
43068,43068,100,14,0,222,236,14,0,222,0.059322033898305086,0.0,0.940677966101695,0.059322033898305086,0.0,0.940677966101695,Jesse E. Hamilton RECAP,0.940677966101695
43069,43069,100,2,0,218,220,2,0,218,0.00909090909090909,0.0,0.990909090909091,0.00909090909090909,0.0,0.990909090909091,Jesse E. Hamilton RECAP,0.990909090909091
43070,43070,100,2,0,141,143,2,0,141,0.013986013986013986,0.0,0.986013986013986,0.013986013986013986,0.0,0.986013986013986,Jesse E. Hamilton RECAP,0.986013986013986
43071,43071,100,2,0,205,207,2,0,205,0.00966183574879227,0.0,0.9903381642512077,0.00966183574879227,0.0,0.9903381642512077,Jesse E. Hamilton RECAP,0.9903381642512077
43073,43073,100,8,7,239,254,8,7,239,0.031496062992125984,0.027559055118110236,0.9409448818897638,0.031496062992125984,0.027559055118110236,0.9409448818897638,Jesse E. Hamilton RECAP,0.9409448818897638
49001,49001,100,13,1,101,115,13,1,101,0.11304347826086956,0.008695652173913044,0.8782608695652174,0.11304347826086956,0.008695652173913044,0.8782608695652174,Jesse E. Hamilton RECAP,0.8782608695652174
49002,49002,100,11,0,89,100,11,0,89,0.11,0.0,0.89,0.11,0.0,0.89,Jesse E. Hamilton RECAP,0.89
49003,49003,100,9,0,80,89,9,0,80,0.10112359550561797,0.0,0.898876404494382,0.10112359550561797,0.0,0.898876404494382,Jesse E. Hamilton RECAP,0.898876404494382
49004,49004,100,12,1,80,93,12,1,80,0.12903225806451613,0.010752688172043012,0.8602150537634409,0.12903225806451613,0.010752688172043012,0.8602150537634409,Jesse E. Hamilton RECAP,0.8602150537634409
49005,49005,100,6,0,30,36,6,0,30,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,Jesse E. Hamilton RECAP,0.8333333333333334
49014,49014,100,1,0,1,2,1,0,1,0.5,0.0,0.5,0.5,0.0,0.5,Tie,0.5
49062,49062,100,18,1,48,67,18,1,48,0.26865671641791045,0.014925373134328358,0.7164179104477612,0.26865671641791045,0.014925373134328358,0.7164179104477612,Jesse E. Hamilton RECAP,0.7164179104477612
51020,51020,100,10,0,125,135,10,0,125,0.07407407407407407,0.0,0.9259259259259259,0.07407407407407407,0.0,0.9259259259259259,Jesse E. Hamilton RECAP,0.9259259259259259
51023,51023,100,0,0,26,26,0,0,26,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
51028,51028,100,6,0,19,25,6,0,19,0.24,0.0,0.76,0.24,0.0,0.76,Jesse E. Hamilton RECAP,0.76
51029,51029,100,21,0,100,121,21,0,100,0.17355371900826447,0.0,0.8264462809917356,0.17355371900826447,0.0,0.8264462809917356,Jesse E. Hamilton RECAP,0.8264462809917356
51030,51030,100,25,0,107,132,25,0,107,0.1893939393939394,0.0,0.8106060606060606,0.1893939393939394,0.0,0.8106060606060606,Jesse E. Hamilton RECAP,0.8106060606060606
51031,51031,100,18,3,112,133,18,3,112,0.13533834586466165,0.022556390977443608,0.8421052631578947,0.13533834586466165,0.022556390977443608,0.8421052631578947,Jesse E. Hamilton RECAP,0.8421052631578947
51032,51032,100,10,0,102,112,10,0,102,0.08928571428571429,0.0,0.9107142857142857,0.08928571428571429,0.0,0.9107142857142857,Jesse E. Hamilton RECAP,0.9107142857142857
51033,51033,100,8,0,84,92,8,0,84,0.08695652173913043,0.0,0.9130434782608695,0.08695652173913043,0.0,0.9130434782608695,Jesse E. Hamilton RECAP,0.9130434782608695
51034,51034,100,1,0,72,73,1,0,72,0.0136986301369863,0.0,0.9863013698630136,0.0136986301369863,0.0,0.9863013698630136,Jesse E. Hamilton RECAP,0.9863013698630136
51035,51035,100,4,1,103,108,4,1,103,0.037037037037037035,0.009259259259259259,0.9537037037037037,0.037037037037037035,0.009259259259259259,0.9537037037037037,Jesse E. Hamilton RECAP,0.9537037037037037
51036,51036,100,9,0,129,138,9,0,129,0.06521739130434782,0.0,0.9347826086956522,0.06521739130434782,0.0,0.9347826086956522,Jesse E. Hamilton RECAP,0.9347826086956522
51037,51037,100,8,0,105,113,8,0,105,0.07079646017699115,0.0,0.9292035398230089,0.07079646017699115,0.0,0.9292035398230089,Jesse E. Hamilton RECAP,0.9292035398230089
51038,51038,100,16,1,174,191,16,1,174,0.08376963350785341,0.005235602094240838,0.9109947643979057,0.08376963350785341,0.005235602094240838,0.9109947643979057,Jesse E. Hamilton RECAP,0.9109947643979057
51039,51039,100,6,1,182,189,6,1,182,0.031746031746031744,0.005291005291005291,0.9629629629629629,0.031746031746031744,0.005291005291005291,0.9629629629629629,Jesse E. Hamilton RECAP,0.9629629629629629
51040,51040,100,21,1,199,221,21,1,199,0.09502262443438914,0.004524886877828055,0.9004524886877828,0.09502262443438914,0.004524886877828055,0.9004524886877828,Jesse E. Hamilton RECAP,0.9004524886877828
51041,51041,100,21,0,158,179,21,0,158,0.11731843575418995,0.0,0.88268156424581,0.11731843575418995,0.0,0.88268156424581,Jesse E. Hamilton RECAP,0.88268156424581
51042,51042,100,12,0,186,198,12,0,186,0.06060606060606061,0.0,0.9393939393939394,0.06060606060606061,0.0,0.9393939393939394,Jesse E. Hamilton RECAP,0.9393939393939394
51043,51043,100,4,0,84,88,4,0,84,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,0.0,0.9545454545454546,Jesse E. Hamilton RECAP,0.9545454545454546
51063,51063,100,23,0,114,137,23,0,114,0.1678832116788321,0.0,0.8321167883211679,0.1678832116788321,0.0,0.8321167883211679,Jesse E. Hamilton RECAP,0.8321167883211679
51064,51064,100,6,1,99,106,6,1,99,0.05660377358490566,0.009433962264150943,0.9339622641509434,0.05660377358490566,0.009433962264150943,0.9339622641509434,Jesse E. Hamilton RECAP,0.9339622641509434
51065,51065,100,6,0,112,118,6,0,112,0.05084745762711865,0.0,0.9491525423728814,0.05084745762711865,0.0,0.9491525423728814,Jesse E. Hamilton RECAP,0.9491525423728814
51066,51066,100,16,0,99,115,16,0,99,0.1391304347826087,0.0,0.8608695652173913,0.1391304347826087,0.0,0.8608695652173913,Jesse E. Hamilton RECAP,0.8608695652173913
51067,51067,100,4,0,107,111,4,0,107,0.036036036036036036,0.0,0.963963963963964,0.036036036036036036,0.0,0.963963963963964,Jesse E. Hamilton RECAP,0.963963963963964
52021,52021,100,3,0,41,44,3,0,41,0.06818181818181818,0.0,0.9318181818181818,0.06818181818181818,0.0,0.9318181818181818,Jesse E. Hamilton RECAP,0.9318181818181818
52026,52026,100,14,0,168,182,14,0,168,0.07692307692307693,0.0,0.9230769230769231,0.07692307692307693,0.0,0.9230769230769231,Jesse E. Hamilton RECAP,0.9230769230769231
52064,52064,100,14,0,212,226,14,0,212,0.061946902654867256,0.0,0.9380530973451328,0.061946902654867256,0.0,0.9380530973451328,Jesse E. Hamilton RECAP,0.9380530973451328
52065,52065,100,5,0,198,203,5,0,198,0.024630541871921183,0.0,0.9753694581280788,0.024630541871921183,0.0,0.9753694581280788,Jesse E. Hamilton RECAP,0.9753694581280788
52066,52066,100,11,0,292,303,11,0,292,0.036303630363036306,0.0,0.9636963696369637,0.036303630363036306,0.0,0.9636963696369637,Jesse E. Hamilton RECAP,0.9636963696369637
52067,52067,100,13,2,168,183,13,2,168,0.07103825136612021,0.01092896174863388,0.9180327868852459,0.07103825136612021,0.01092896174863388,0.9180327868852459,Jesse E. Hamilton RECAP,0.9180327868852459
52072,52072,100,9,0,142,151,9,0,142,0.059602649006622516,0.0,0.9403973509933775,0.059602649006622516,0.0,0.9403973509933775,Jesse E. Hamilton RECAP,0.9403973509933775
52073,52073,100,15,1,414,430,15,1,414,0.03488372093023256,0.002325581395348837,0.9627906976744186,0.03488372093023256,0.002325581395348837,0.9627906976744186,Jesse E. Hamilton RECAP,0.9627906976744186
52074,52074,100,8,1,328,337,8,1,328,0.02373887240356083,0.002967359050445104,0.973293768545994,0.02373887240356083,0.002967359050445104,0.973293768545994,Jesse E. Hamilton RECAP,0.973293768545994
52075,52075,100,9,0,259,268,9,0,259,0.033582089552238806,0.0,0.9664179104477612,0.033582089552238806,0.0,0.9664179104477612,Jesse E. Hamilton RECAP,0.9664179104477612
52079,52079,100,2,0,48,50,2,0,48,0.04,0.0,0.96,0.04,0.0,0.96,Jesse E. Hamilton RECAP,0.96
52087,52087,100,12,1,325,338,12,1,325,0.03550295857988166,0.0029585798816568047,0.9615384615384616,0.03550295857988166,0.0029585798816568047,0.9615384615384616,Jesse E. Hamilton RECAP,0.9615384615384616
52088,52088,100,22,1,306,329,22,1,306,0.0668693009118541,0.00303951367781155,0.9300911854103343,0.0668693009118541,0.00303951367781155,0.9300911854103343,Jesse E. Hamilton RECAP,0.9300911854103343
52093,52093,100,13,0,158,171,13,0,158,0.07602339181286549,0.0,0.9239766081871345,0.07602339181286549,0.0,0.9239766081871345,Jesse E. Hamilton RECAP,0.9239766081871345
52094,52094,100,11,0,117,128,11,0,117,0.0859375,0.0,0.9140625,0.0859375,0.0,0.9140625,Jesse E. Hamilton RECAP,0.9140625
55035,55035,100,0,0,139,139,0,0,139,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55057,55057,100,3,0,134,137,3,0,134,0.021897810218978103,0.0,0.9781021897810219,0.021897810218978103,0.0,0.9781021897810219,Jesse E. Hamilton RECAP,0.9781021897810219
55058,55058,100,0,0,63,63,0,0,63,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55059,55059,100,2,0,123,125,2,0,123,0.016,0.0,0.984,0.016,0.0,0.984,Jesse E. Hamilton RECAP,0.984
55061,55061,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55065,55065,100,2,0,84,86,2,0,84,0.023255813953488372,0.0,0.9767441860465116,0.023255813953488372,0.0,0.9767441860465116,Jesse E. Hamilton RECAP,0.9767441860465116
55066,55066,100,4,0,129,133,4,0,129,0.03007518796992481,0.0,0.9699248120300752,0.03007518796992481,0.0,0.9699248120300752,Jesse E. Hamilton RECAP,0.9699248120300752
55067,55067,100,3,0,91,94,3,0,91,0.031914893617021274,0.0,0.9680851063829787,0.031914893617021274,0.0,0.9680851063829787,Jesse E. Hamilton RECAP,0.9680851063829787
55068,55068,100,0,0,113,113,0,0,113,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55069,55069,100,0,0,133,133,0,0,133,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55070,55070,100,0,0,64,64,0,0,64,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55071,55071,100,0,0,86,86,0,0,86,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55072,55072,100,4,0,164,168,4,0,164,0.023809523809523808,0.0,0.9761904761904762,0.023809523809523808,0.0,0.9761904761904762,Jesse E. Hamilton RECAP,0.9761904761904762
55073,55073,100,0,0,3,3,0,0,3,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55076,55076,100,1,2,123,126,1,2,123,0.007936507936507936,0.015873015873015872,0.9761904761904762,0.007936507936507936,0.015873015873015872,0.9761904761904762,Jesse E. Hamilton RECAP,0.9761904761904762
55078,55078,100,1,0,196,197,1,0,196,0.005076142131979695,0.0,0.9949238578680203,0.005076142131979695,0.0,0.9949238578680203,Jesse E. Hamilton RECAP,0.9949238578680203
55079,55079,100,2,0,95,97,2,0,95,0.020618556701030927,0.0,0.979381443298969,0.020618556701030927,0.0,0.979381443298969,Jesse E. Hamilton RECAP,0.979381443298969
55080,55080,100,2,0,111,113,2,0,111,0.017699115044247787,0.0,0.9823008849557522,0.017699115044247787,0.0,0.9823008849557522,Jesse E. Hamilton RECAP,0.9823008849557522
55081,55081,100,2,0,131,133,2,0,131,0.015037593984962405,0.0,0.9849624060150376,0.015037593984962405,0.0,0.9849624060150376,Jesse E. Hamilton RECAP,0.9849624060150376
55082,55082,100,1,0,123,124,1,0,123,0.008064516129032258,0.0,0.9919354838709677,0.008064516129032258,0.0,0.9919354838709677,Jesse E. Hamilton RECAP,0.9919354838709677
55083,55083,100,0,0,104,104,0,0,104,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55084,55084,100,2,1,193,196,2,1,193,0.01020408163265306,0.00510204081632653,0.9846938775510204,0.01020408163265306,0.00510204081632653,0.9846938775510204,Jesse E. Hamilton RECAP,0.9846938775510204
55085,55085,100,2,0,204,206,2,0,204,0.009708737864077669,0.0,0.9902912621359223,0.009708737864077669,0.0,0.9902912621359223,Jesse E. Hamilton RECAP,0.9902912621359223
55086,55086,100,0,0,65,65,0,0,65,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55087,55087,100,5,0,198,203,5,0,198,0.024630541871921183,0.0,0.9753694581280788,0.024630541871921183,0.0,0.9753694581280788,Jesse E. Hamilton RECAP,0.9753694581280788
55088,55088,100,0,0,187,187,0,0,187,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55089,55089,100,0,0,210,210,0,0,210,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55090,55090,100,0,0,117,117,0,0,117,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55091,55091,100,6,0,181,187,6,0,181,0.03208556149732621,0.0,0.9679144385026738,0.03208556149732621,0.0,0.9679144385026738,Jesse E. Hamilton RECAP,0.9679144385026738
55092,55092,100,2,0,161,163,2,0,161,0.012269938650306749,0.0,0.9877300613496932,0.012269938650306749,0.0,0.9877300613496932,Jesse E. Hamilton RECAP,0.9877300613496932
55093,55093,100,2,0,160,162,2,0,160,0.012345679012345678,0.0,0.9876543209876543,0.012345679012345678,0.0,0.9876543209876543,Jesse E. Hamilton RECAP,0.9876543209876543
55094,55094,100,0,0,181,181,0,0,181,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55095,55095,100,0,0,58,58,0,0,58,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55096,55096,100,0,0,58,58,0,0,58,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55097,55097,100,2,2,162,166,2,2,162,0.012048192771084338,0.012048192771084338,0.9759036144578314,0.012048192771084338,0.012048192771084338,0.9759036144578314,Jesse E. Hamilton RECAP,0.9759036144578314
55098,55098,100,0,0,22,22,0,0,22,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
55100,55100,100,0,0,88,88,0,0,88,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
56073,56073,100,0,0,89,89,0,0,89,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
56075,56075,100,1,0,106,107,1,0,106,0.009345794392523364,0.0,0.9906542056074766,0.009345794392523364,0.0,0.9906542056074766,Jesse E. Hamilton RECAP,0.9906542056074766
56076,56076,100,1,0,92,93,1,0,92,0.010752688172043012,0.0,0.989247311827957,0.010752688172043012,0.0,0.989247311827957,Jesse E. Hamilton RECAP,0.989247311827957
56077,56077,100,6,0,208,214,6,0,208,0.028037383177570093,0.0,0.9719626168224299,0.028037383177570093,0.0,0.9719626168224299,Jesse E. Hamilton RECAP,0.9719626168224299
56078,56078,100,9,0,159,168,9,0,159,0.05357142857142857,0.0,0.9464285714285714,0.05357142857142857,0.0,0.9464285714285714,Jesse E. Hamilton RECAP,0.9464285714285714
57067,57067,100,1,0,204,205,1,0,204,0.004878048780487805,0.0,0.9951219512195122,0.004878048780487805,0.0,0.9951219512195122,Jesse E. Hamilton RECAP,0.9951219512195122
57068,57068,100,3,1,292,296,3,1,292,0.010135135135135136,0.0033783783783783786,0.9864864864864865,0.010135135135135136,0.0033783783783783786,0.9864864864864865,Jesse E. Hamilton RECAP,0.9864864864864865
57069,57069,100,4,2,271,277,4,2,271,0.01444043321299639,0.007220216606498195,0.9783393501805054,0.01444043321299639,0.007220216606498195,0.9783393501805054,Jesse E. Hamilton RECAP,0.9783393501805054
57070,57070,100,5,1,265,271,5,1,265,0.01845018450184502,0.0036900369003690036,0.977859778597786,0.01845018450184502,0.0036900369003690036,0.977859778597786,Jesse E. Hamilton RECAP,0.977859778597786
57071,57071,100,9,0,186,195,9,0,186,0.046153846153846156,0.0,0.9538461538461539,0.046153846153846156,0.0,0.9538461538461539,Jesse E. Hamilton RECAP,0.9538461538461539
57072,57072,100,5,1,301,307,5,1,301,0.016286644951140065,0.003257328990228013,0.9804560260586319,0.016286644951140065,0.003257328990228013,0.9804560260586319,Jesse E. Hamilton RECAP,0.9804560260586319
57073,57073,100,3,0,145,148,3,0,145,0.02027027027027027,0.0,0.9797297297297297,0.02027027027027027,0.0,0.9797297297297297,Jesse E. Hamilton RECAP,0.9797297297297297
57074,57074,100,9,1,252,262,9,1,252,0.03435114503816794,0.003816793893129771,0.9618320610687023,0.03435114503816794,0.003816793893129771,0.9618320610687023,Jesse E. Hamilton RECAP,0.9618320610687023
57075,57075,100,5,1,285,291,5,1,285,0.01718213058419244,0.003436426116838488,0.979381443298969,0.01718213058419244,0.003436426116838488,0.979381443298969,Jesse E. Hamilton RECAP,0.979381443298969
57076,57076,100,7,1,308,316,7,1,308,0.022151898734177215,0.0031645569620253164,0.9746835443037974,0.022151898734177215,0.0031645569620253164,0.9746835443037974,Jesse E. Hamilton RECAP,0.9746835443037974
57077,57077,100,4,0,115,119,4,0,115,0.03361344537815126,0.0,0.9663865546218487,0.03361344537815126,0.0,0.9663865546218487,Jesse E. Hamilton RECAP,0.9663865546218487
57078,57078,100,10,0,291,301,10,0,291,0.03322259136212625,0.0,0.9667774086378738,0.03322259136212625,0.0,0.9667774086378738,Jesse E. Hamilton RECAP,0.9667774086378738
57079,57079,100,1,2,266,269,1,2,266,0.0037174721189591076,0.007434944237918215,0.9888475836431226,0.0037174721189591076,0.007434944237918215,0.9888475836431226,Jesse E. Hamilton RECAP,0.9888475836431226
