ED,Reported As,Reporting,Rosemarie Montalbano (Democratic),Scattered,Total Votes,Rosemarie Montalbano RECAP,Scattered RECAP,p_Rosemarie Montalbano (Democratic),p_Scattered,p_Rosemarie Montalbano RECAP,p_Scattered RECAP,winner,winner_p
50021,50021,100,182,2,184,182,2,0.9891304347826086,0.010869565217391304,0.9891304347826086,0.010869565217391304,Rosemarie Montalbano RECAP,0.9891304347826086
50022,50022,100,109,0,109,109,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50056,50056,100,28,0,28,28,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50023,50056,100,0,0,0,0,0,0,0,0,0,n/a,0
50024,50024,100,4,0,4,4,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50025,50025,100,31,0,31,31,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50026,50026,100,167,0,167,167,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50027,50027,100,250,0,250,250,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50028,50028,100,179,1,180,179,1,0.9944444444444445,0.005555555555555556,0.9944444444444445,0.005555555555555556,Rosemarie Montalbano RECAP,0.9944444444444445
50029,50029,100,190,0,190,190,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50030,50030,100,159,0,159,159,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50031,50031,100,203,0,203,203,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50032,50032,100,200,1,201,200,1,0.9950248756218906,0.004975124378109453,0.9950248756218906,0.004975124378109453,Rosemarie Montalbano RECAP,0.9950248756218906
50033,50033,100,202,1,203,202,1,0.9950738916256158,0.0049261083743842365,0.9950738916256158,0.0049261083743842365,Rosemarie Montalbano RECAP,0.9950738916256158
50034,50034,100,180,0,180,180,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50035,50035,100,206,2,208,206,2,0.9903846153846154,0.009615384615384616,0.9903846153846154,0.009615384615384616,Rosemarie Montalbano RECAP,0.9903846153846154
50036,50036,100,9,0,9,9,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50037,50037,100,204,0,204,204,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50038,50038,100,159,2,161,159,2,0.9875776397515528,0.012422360248447204,0.9875776397515528,0.012422360248447204,Rosemarie Montalbano RECAP,0.9875776397515528
50039,50039,100,116,1,117,116,1,0.9914529914529915,0.008547008547008548,0.9914529914529915,0.008547008547008548,Rosemarie Montalbano RECAP,0.9914529914529915
50040,50040,100,202,0,202,202,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50041,50041,100,177,3,180,177,3,0.9833333333333333,0.016666666666666666,0.9833333333333333,0.016666666666666666,Rosemarie Montalbano RECAP,0.9833333333333333
50042,50042,100,198,2,200,198,2,0.99,0.01,0.99,0.01,Rosemarie Montalbano RECAP,0.99
50043,50043,100,97,0,97,97,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50044,50044,100,200,0,200,200,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50045,50045,100,30,0,30,30,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50046,50046,100,122,1,123,122,1,0.991869918699187,0.008130081300813009,0.991869918699187,0.008130081300813009,Rosemarie Montalbano RECAP,0.991869918699187
50047,50047,100,85,0,85,85,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50048,50048,100,113,0,113,113,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50049,50049,100,188,0,188,188,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50050,50050,100,129,1,130,129,1,0.9923076923076923,0.007692307692307693,0.9923076923076923,0.007692307692307693,Rosemarie Montalbano RECAP,0.9923076923076923
50051,50051,100,99,0,99,99,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50052,50052,100,137,0,137,137,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50053,50053,100,61,0,61,61,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50054,50054,100,58,0,58,58,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50055,50055,100,29,0,29,29,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50057,50057,100,77,1,78,77,1,0.9871794871794872,0.01282051282051282,0.9871794871794872,0.01282051282051282,Rosemarie Montalbano RECAP,0.9871794871794872
50058,50058,100,65,0,65,65,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50059,50059,100,97,1,98,97,1,0.9897959183673469,0.01020408163265306,0.9897959183673469,0.01020408163265306,Rosemarie Montalbano RECAP,0.9897959183673469
50060,50060,100,102,1,103,102,1,0.9902912621359223,0.009708737864077669,0.9902912621359223,0.009708737864077669,Rosemarie Montalbano RECAP,0.9902912621359223
50061,50061,100,75,0,75,75,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50062,50062,100,81,0,81,81,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50063,50063,100,62,0,62,62,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50064,50064,100,13,1,14,13,1,0.9285714285714286,0.07142857142857142,0.9285714285714286,0.07142857142857142,Rosemarie Montalbano RECAP,0.9285714285714286
50065,50065,100,25,0,25,25,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50066,50066,100,23,1,24,23,1,0.9583333333333334,0.041666666666666664,0.9583333333333334,0.041666666666666664,Rosemarie Montalbano RECAP,0.9583333333333334
50067,50067,100,17,1,18,17,1,0.9444444444444444,0.05555555555555555,0.9444444444444444,0.05555555555555555,Rosemarie Montalbano RECAP,0.9444444444444444
50068,50068,100,42,0,42,42,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50069,50069,100,41,0,41,41,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50070,50070,100,13,0,13,13,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50071,50071,100,5,0,5,5,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50072,50072,100,14,0,14,14,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50073,50073,100,17,0,17,17,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50074,50074,100,21,0,21,21,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50075,50075,100,23,0,23,23,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50076,50076,100,53,0,53,53,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50077,50077,100,18,0,18,18,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50078,50078,100,18,0,18,18,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50079,50079,100,20,0,20,20,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50080,50080,100,21,0,21,21,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50081,50081,100,15,0,15,15,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50082,50082,100,11,0,11,11,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50083,50083,100,66,0,66,66,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50084,50084,100,22,0,22,22,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50085,50085,100,40,0,40,40,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50086,50084,100,0,0,0,0,0,0,0,0,0,n/a,0
50087,50087,100,29,0,29,29,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50088,50088,100,15,0,15,15,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50089,50089,100,172,1,173,172,1,0.9942196531791907,0.005780346820809248,0.9942196531791907,0.005780346820809248,Rosemarie Montalbano RECAP,0.9942196531791907
50090,50090,100,108,0,108,108,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50098,50088,100,0,0,0,0,0,0,0,0,0,n/a,0
53001,53001,100,130,0,130,130,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53002,53002,100,103,1,104,103,1,0.9903846153846154,0.009615384615384616,0.9903846153846154,0.009615384615384616,Rosemarie Montalbano RECAP,0.9903846153846154
53003,53003,100,117,0,117,117,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53004,53004,100,94,0,94,94,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53005,53005,100,101,0,101,101,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53006,53006,100,22,0,22,22,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53007,53007,100,129,0,129,129,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53008,53008,100,83,0,83,83,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53009,53009,100,133,1,134,133,1,0.9925373134328358,0.007462686567164179,0.9925373134328358,0.007462686567164179,Rosemarie Montalbano RECAP,0.9925373134328358
53010,53010,100,112,0,112,112,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53011,53011,100,148,0,148,148,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53012,53012,100,129,0,129,129,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53013,53013,100,88,0,88,88,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53014,53014,100,2,0,2,2,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53015,53015,100,148,0,148,148,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53016,53016,100,129,1,130,129,1,0.9923076923076923,0.007692307692307693,0.9923076923076923,0.007692307692307693,Rosemarie Montalbano RECAP,0.9923076923076923
53017,53017,100,135,1,136,135,1,0.9926470588235294,0.007352941176470588,0.9926470588235294,0.007352941176470588,Rosemarie Montalbano RECAP,0.9926470588235294
53018,53018,100,100,0,100,100,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53019,53019,100,195,0,195,195,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53020,53020,100,164,2,166,164,2,0.9879518072289156,0.012048192771084338,0.9879518072289156,0.012048192771084338,Rosemarie Montalbano RECAP,0.9879518072289156
53021,53021,100,160,0,160,160,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53022,53022,100,148,0,148,148,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53023,53023,100,104,1,105,104,1,0.9904761904761905,0.009523809523809525,0.9904761904761905,0.009523809523809525,Rosemarie Montalbano RECAP,0.9904761904761905
53024,53024,100,227,0,227,227,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53025,53025,100,209,0,209,209,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53026,53026,100,86,0,86,86,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53027,53027,100,105,0,105,105,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53028,53028,100,135,0,135,135,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53029,53029,100,67,0,67,67,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53030,53030,100,162,1,163,162,1,0.9938650306748467,0.006134969325153374,0.9938650306748467,0.006134969325153374,Rosemarie Montalbano RECAP,0.9938650306748467
53031,53031,100,150,0,150,150,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53032,53032,100,126,0,126,126,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53033,53033,100,135,2,137,135,2,0.9854014598540146,0.014598540145985401,0.9854014598540146,0.014598540145985401,Rosemarie Montalbano RECAP,0.9854014598540146
53034,53034,100,96,0,96,96,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53035,53035,100,192,2,194,192,2,0.9896907216494846,0.010309278350515464,0.9896907216494846,0.010309278350515464,Rosemarie Montalbano RECAP,0.9896907216494846
53036,53036,100,221,2,223,221,2,0.9910313901345291,0.008968609865470852,0.9910313901345291,0.008968609865470852,Rosemarie Montalbano RECAP,0.9910313901345291
53037,53037,100,110,1,111,110,1,0.990990990990991,0.009009009009009009,0.990990990990991,0.009009009009009009,Rosemarie Montalbano RECAP,0.990990990990991
53038,53038,100,41,0,41,41,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53039,53039,100,77,0,77,77,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53040,53040,100,63,0,63,63,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53041,53041,100,129,0,129,129,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53042,53042,100,109,0,109,109,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53043,53043,100,112,0,112,112,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53044,53044,100,108,0,108,108,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53045,53045,100,144,0,144,144,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53046,53046,100,113,1,114,113,1,0.9912280701754386,0.008771929824561403,0.9912280701754386,0.008771929824561403,Rosemarie Montalbano RECAP,0.9912280701754386
53047,53047,100,127,0,127,127,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53048,53048,100,86,0,86,86,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53049,53049,100,17,0,17,17,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53050,53050,100,86,0,86,86,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53051,53051,100,56,1,57,56,1,0.9824561403508771,0.017543859649122806,0.9824561403508771,0.017543859649122806,Rosemarie Montalbano RECAP,0.9824561403508771
53052,53052,100,10,0,10,10,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53053,53053,100,108,3,111,108,3,0.972972972972973,0.02702702702702703,0.972972972972973,0.02702702702702703,Rosemarie Montalbano RECAP,0.972972972972973
53054,53054,100,108,1,109,108,1,0.9908256880733946,0.009174311926605505,0.9908256880733946,0.009174311926605505,Rosemarie Montalbano RECAP,0.9908256880733946
53055,53055,100,103,3,106,103,3,0.9716981132075472,0.02830188679245283,0.9716981132075472,0.02830188679245283,Rosemarie Montalbano RECAP,0.9716981132075472
53056,53056,100,139,2,141,139,2,0.9858156028368794,0.014184397163120567,0.9858156028368794,0.014184397163120567,Rosemarie Montalbano RECAP,0.9858156028368794
53057,53057,100,150,1,151,150,1,0.9933774834437086,0.006622516556291391,0.9933774834437086,0.006622516556291391,Rosemarie Montalbano RECAP,0.9933774834437086
53058,53058,100,99,3,102,99,3,0.9705882352941176,0.029411764705882353,0.9705882352941176,0.029411764705882353,Rosemarie Montalbano RECAP,0.9705882352941176
53059,53059,100,147,2,149,147,2,0.9865771812080537,0.013422818791946308,0.9865771812080537,0.013422818791946308,Rosemarie Montalbano RECAP,0.9865771812080537
53060,53060,100,162,1,163,162,1,0.9938650306748467,0.006134969325153374,0.9938650306748467,0.006134969325153374,Rosemarie Montalbano RECAP,0.9938650306748467
53061,53061,100,154,0,154,154,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53063,53063,100,96,2,98,96,2,0.9795918367346939,0.02040816326530612,0.9795918367346939,0.02040816326530612,Rosemarie Montalbano RECAP,0.9795918367346939
53064,53064,100,82,0,82,82,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53065,53065,100,117,0,117,117,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53078,53078,100,26,0,26,26,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53079,53079,100,44,0,44,44,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53080,53080,100,172,0,172,172,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53081,53081,100,52,0,52,52,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
53082,53082,100,0,0,0,0,0,0,0,0,0,n/a,0
54013,54013,100,124,0,124,124,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
54014,54014,100,7,0,7,7,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
54016,54016,100,6,0,6,6,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56001,56001,100,124,1,125,124,1,0.992,0.008,0.992,0.008,Rosemarie Montalbano RECAP,0.992
56002,56002,100,88,0,88,88,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56003,56003,100,77,0,77,77,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56004,56004,100,103,0,103,103,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56006,56006,100,119,0,119,119,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56007,56007,100,135,0,135,135,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56008,56008,100,155,0,155,155,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56009,56009,100,71,0,71,71,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56010,56010,100,151,0,151,151,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
56081,56081,100,0,0,0,0,0,0,0,0,0,n/a,0
57005,57005,100,38,0,38,38,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
57017,57017,100,338,0,338,338,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
57018,57018,100,361,0,361,361,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
57019,57019,100,25,3,28,25,3,0.8928571428571429,0.10714285714285714,0.8928571428571429,0.10714285714285714,Rosemarie Montalbano RECAP,0.8928571428571429
57020,57019,100,0,0,0,0,0,0,0,0,0,n/a,0
