ED,Reported As,Reporting,Cartrell Gore (Conservative),Karim Camara (Working Families),Scattered,Karim Camara (Democratic),Total Votes,Cartrell Gore RECAP,Karim Camara RECAP,Scattered RECAP,p_Cartrell Gore (Conservative),p_Karim Camara (Working Families),p_Scattered,p_Karim Camara (Democratic),p_Cartrell Gore RECAP,p_Karim Camara RECAP,p_Scattered RECAP,winner,winner_p
43011,43011,100,27,10,0,131,168,27,141,0,0.16071428571428573,0.05952380952380952,0.0,0.7797619047619048,0.16071428571428573,0.8392857142857143,0.0,Karim Camara RECAP,0.8392857142857143
43012,43012,100,2,15,0,192,209,2,207,0,0.009569377990430622,0.07177033492822966,0.0,0.9186602870813397,0.009569377990430622,0.9904306220095693,0.0,Karim Camara RECAP,0.9904306220095693
43013,43013,100,62,6,1,107,176,62,113,1,0.3522727272727273,0.03409090909090909,0.005681818181818182,0.6079545454545454,0.3522727272727273,0.6420454545454546,0.005681818181818182,Karim Camara RECAP,0.6420454545454546
43014,43014,100,4,41,0,200,245,4,241,0,0.0163265306122449,0.1673469387755102,0.0,0.8163265306122449,0.0163265306122449,0.9836734693877551,0.0,Karim Camara RECAP,0.9836734693877551
43015,43015,100,6,19,0,225,250,6,244,0,0.024,0.076,0.0,0.9,0.024,0.976,0.0,Karim Camara RECAP,0.976
43016,43016,100,5,14,0,300,319,5,314,0,0.01567398119122257,0.0438871473354232,0.0,0.9404388714733543,0.01567398119122257,0.9843260188087775,0.0,Karim Camara RECAP,0.9843260188087775
43017,43017,100,3,6,0,114,123,3,120,0,0.024390243902439025,0.04878048780487805,0.0,0.926829268292683,0.024390243902439025,0.975609756097561,0.0,Karim Camara RECAP,0.975609756097561
43018,43018,100,1,47,0,187,235,1,234,0,0.00425531914893617,0.2,0.0,0.7957446808510639,0.00425531914893617,0.9957446808510638,0.0,Karim Camara RECAP,0.9957446808510638
43019,43019,100,1,28,0,189,218,1,217,0,0.0045871559633027525,0.12844036697247707,0.0,0.8669724770642202,0.0045871559633027525,0.9954128440366973,0.0,Karim Camara RECAP,0.9954128440366973
43020,43020,100,10,55,0,273,338,10,328,0,0.029585798816568046,0.16272189349112426,0.0,0.8076923076923077,0.029585798816568046,0.9704142011834319,0.0,Karim Camara RECAP,0.9704142011834319
43021,43021,100,4,17,0,181,202,4,198,0,0.019801980198019802,0.08415841584158416,0.0,0.8960396039603961,0.019801980198019802,0.9801980198019802,0.0,Karim Camara RECAP,0.9801980198019802
43022,43022,100,2,14,0,237,253,2,251,0,0.007905138339920948,0.05533596837944664,0.0,0.9367588932806324,0.007905138339920948,0.9920948616600791,0.0,Karim Camara RECAP,0.9920948616600791
43023,43023,100,2,29,1,272,304,2,301,1,0.006578947368421052,0.09539473684210527,0.003289473684210526,0.8947368421052632,0.006578947368421052,0.9901315789473685,0.003289473684210526,Karim Camara RECAP,0.9901315789473685
43024,43024,100,1,31,0,157,189,1,188,0,0.005291005291005291,0.164021164021164,0.0,0.8306878306878307,0.005291005291005291,0.9947089947089947,0.0,Karim Camara RECAP,0.9947089947089947
43025,43025,100,4,32,0,293,329,4,325,0,0.0121580547112462,0.0972644376899696,0.0,0.8905775075987842,0.0121580547112462,0.9878419452887538,0.0,Karim Camara RECAP,0.9878419452887538
43026,43026,100,4,10,0,232,246,4,242,0,0.016260162601626018,0.04065040650406504,0.0,0.943089430894309,0.016260162601626018,0.983739837398374,0.0,Karim Camara RECAP,0.983739837398374
43027,43027,100,0,20,0,219,239,0,239,0,0.0,0.08368200836820083,0.0,0.9163179916317992,0.0,1.0,0.0,Karim Camara RECAP,1.0
43028,43028,100,0,5,0,221,226,0,226,0,0.0,0.022123893805309734,0.0,0.9778761061946902,0.0,1.0,0.0,Karim Camara RECAP,1.0
43029,43029,100,7,7,0,152,166,7,159,0,0.04216867469879518,0.04216867469879518,0.0,0.9156626506024096,0.04216867469879518,0.9578313253012049,0.0,Karim Camara RECAP,0.9578313253012049
43030,43030,100,3,9,0,137,149,3,146,0,0.020134228187919462,0.06040268456375839,0.0,0.9194630872483222,0.020134228187919462,0.9798657718120806,0.0,Karim Camara RECAP,0.9798657718120806
43031,43031,100,9,12,0,237,258,9,249,0,0.03488372093023256,0.046511627906976744,0.0,0.9186046511627907,0.03488372093023256,0.9651162790697675,0.0,Karim Camara RECAP,0.9651162790697675
43032,43032,100,0,9,0,178,187,0,187,0,0.0,0.0481283422459893,0.0,0.9518716577540107,0.0,1.0,0.0,Karim Camara RECAP,1.0
43033,43033,100,1,10,0,251,262,1,261,0,0.003816793893129771,0.03816793893129771,0.0,0.9580152671755725,0.003816793893129771,0.9961832061068703,0.0,Karim Camara RECAP,0.9961832061068703
43034,43034,100,4,29,0,250,283,4,279,0,0.014134275618374558,0.10247349823321555,0.0,0.8833922261484098,0.014134275618374558,0.9858657243816255,0.0,Karim Camara RECAP,0.9858657243816255
43035,43035,100,12,27,1,227,267,12,254,1,0.0449438202247191,0.10112359550561797,0.003745318352059925,0.850187265917603,0.0449438202247191,0.951310861423221,0.003745318352059925,Karim Camara RECAP,0.951310861423221
43036,43036,100,2,28,0,201,231,2,229,0,0.008658008658008658,0.12121212121212122,0.0,0.8701298701298701,0.008658008658008658,0.9913419913419913,0.0,Karim Camara RECAP,0.9913419913419913
43037,43037,100,10,15,0,223,248,10,238,0,0.04032258064516129,0.06048387096774194,0.0,0.8991935483870968,0.04032258064516129,0.9596774193548387,0.0,Karim Camara RECAP,0.9596774193548387
43038,43038,100,14,21,0,292,327,14,313,0,0.04281345565749235,0.06422018348623854,0.0,0.8929663608562691,0.04281345565749235,0.9571865443425076,0.0,Karim Camara RECAP,0.9571865443425076
43039,43039,100,12,33,0,230,275,12,263,0,0.04363636363636364,0.12,0.0,0.8363636363636363,0.04363636363636364,0.9563636363636364,0.0,Karim Camara RECAP,0.9563636363636364
43040,43040,100,57,15,0,89,161,57,104,0,0.35403726708074534,0.09316770186335403,0.0,0.5527950310559007,0.35403726708074534,0.6459627329192547,0.0,Karim Camara RECAP,0.6459627329192547
43041,43041,100,4,49,0,188,241,4,237,0,0.016597510373443983,0.2033195020746888,0.0,0.7800829875518672,0.016597510373443983,0.983402489626556,0.0,Karim Camara RECAP,0.983402489626556
43042,43042,100,7,42,0,161,210,7,203,0,0.03333333333333333,0.2,0.0,0.7666666666666667,0.03333333333333333,0.9666666666666667,0.0,Karim Camara RECAP,0.9666666666666667
43043,43043,100,5,17,0,104,126,5,121,0,0.03968253968253968,0.1349206349206349,0.0,0.8253968253968254,0.03968253968253968,0.9603174603174603,0.0,Karim Camara RECAP,0.9603174603174603
43044,43044,100,3,39,0,180,222,3,219,0,0.013513513513513514,0.17567567567567569,0.0,0.8108108108108109,0.013513513513513514,0.9864864864864865,0.0,Karim Camara RECAP,0.9864864864864865
43045,43045,100,1,41,0,166,208,1,207,0,0.004807692307692308,0.1971153846153846,0.0,0.7980769230769231,0.004807692307692308,0.9951923076923077,0.0,Karim Camara RECAP,0.9951923076923077
43046,43046,100,2,20,0,97,119,2,117,0,0.01680672268907563,0.16806722689075632,0.0,0.8151260504201681,0.01680672268907563,0.9831932773109243,0.0,Karim Camara RECAP,0.9831932773109243
43047,43047,100,1,37,0,165,203,1,202,0,0.0049261083743842365,0.18226600985221675,0.0,0.812807881773399,0.0049261083743842365,0.9950738916256158,0.0,Karim Camara RECAP,0.9950738916256158
43048,43048,100,3,25,0,220,248,3,245,0,0.012096774193548387,0.10080645161290322,0.0,0.8870967741935484,0.012096774193548387,0.9879032258064516,0.0,Karim Camara RECAP,0.9879032258064516
43049,43049,100,1,18,0,252,271,1,270,0,0.0036900369003690036,0.06642066420664207,0.0,0.9298892988929889,0.0036900369003690036,0.996309963099631,0.0,Karim Camara RECAP,0.996309963099631
43050,43050,100,0,22,0,151,173,0,173,0,0.0,0.12716763005780346,0.0,0.8728323699421965,0.0,1.0,0.0,Karim Camara RECAP,1.0
43051,43051,100,2,21,0,272,295,2,293,0,0.006779661016949152,0.0711864406779661,0.0,0.9220338983050848,0.006779661016949152,0.9932203389830508,0.0,Karim Camara RECAP,0.9932203389830508
43052,43052,100,3,8,0,207,218,3,215,0,0.013761467889908258,0.03669724770642202,0.0,0.9495412844036697,0.013761467889908258,0.9862385321100917,0.0,Karim Camara RECAP,0.9862385321100917
43053,43053,100,6,4,0,200,210,6,204,0,0.02857142857142857,0.01904761904761905,0.0,0.9523809523809523,0.02857142857142857,0.9714285714285714,0.0,Karim Camara RECAP,0.9714285714285714
43054,43054,100,3,14,0,218,235,3,232,0,0.01276595744680851,0.059574468085106386,0.0,0.9276595744680851,0.01276595744680851,0.9872340425531915,0.0,Karim Camara RECAP,0.9872340425531915
43055,43055,100,10,12,0,170,192,10,182,0,0.052083333333333336,0.0625,0.0,0.8854166666666666,0.052083333333333336,0.9479166666666666,0.0,Karim Camara RECAP,0.9479166666666666
43056,43056,100,45,16,2,161,224,45,177,2,0.20089285714285715,0.07142857142857142,0.008928571428571428,0.71875,0.20089285714285715,0.7901785714285714,0.008928571428571428,Karim Camara RECAP,0.7901785714285714
43057,43057,100,57,9,0,89,155,57,98,0,0.36774193548387096,0.05806451612903226,0.0,0.5741935483870968,0.36774193548387096,0.632258064516129,0.0,Karim Camara RECAP,0.632258064516129
43058,43058,100,12,7,0,113,132,12,120,0,0.09090909090909091,0.05303030303030303,0.0,0.8560606060606061,0.09090909090909091,0.9090909090909091,0.0,Karim Camara RECAP,0.9090909090909091
43059,43059,100,25,5,0,134,164,25,139,0,0.1524390243902439,0.03048780487804878,0.0,0.8170731707317073,0.1524390243902439,0.8475609756097561,0.0,Karim Camara RECAP,0.8475609756097561
43060,43060,100,33,8,0,173,214,33,181,0,0.1542056074766355,0.037383177570093455,0.0,0.8084112149532711,0.1542056074766355,0.8457943925233645,0.0,Karim Camara RECAP,0.8457943925233645
43061,43061,100,5,18,0,221,244,5,239,0,0.020491803278688523,0.07377049180327869,0.0,0.9057377049180327,0.020491803278688523,0.9795081967213115,0.0,Karim Camara RECAP,0.9795081967213115
43062,43062,100,26,6,0,94,126,26,100,0,0.20634920634920634,0.047619047619047616,0.0,0.746031746031746,0.20634920634920634,0.7936507936507936,0.0,Karim Camara RECAP,0.7936507936507936
43063,43063,100,37,1,0,58,96,37,59,0,0.3854166666666667,0.010416666666666666,0.0,0.6041666666666666,0.3854166666666667,0.6145833333333334,0.0,Karim Camara RECAP,0.6145833333333334
43064,43064,100,12,7,0,111,130,12,118,0,0.09230769230769231,0.05384615384615385,0.0,0.8538461538461538,0.09230769230769231,0.9076923076923077,0.0,Karim Camara RECAP,0.9076923076923077
43065,43065,100,6,7,0,122,135,6,129,0,0.044444444444444446,0.05185185185185185,0.0,0.9037037037037037,0.044444444444444446,0.9555555555555556,0.0,Karim Camara RECAP,0.9555555555555556
43066,43066,100,8,7,0,242,257,8,249,0,0.0311284046692607,0.027237354085603113,0.0,0.9416342412451362,0.0311284046692607,0.9688715953307393,0.0,Karim Camara RECAP,0.9688715953307393
43067,43067,100,10,8,0,275,293,10,283,0,0.034129692832764506,0.027303754266211604,0.0,0.9385665529010239,0.034129692832764506,0.9658703071672355,0.0,Karim Camara RECAP,0.9658703071672355
43068,43068,100,9,8,0,217,234,9,225,0,0.038461538461538464,0.03418803418803419,0.0,0.9273504273504274,0.038461538461538464,0.9615384615384616,0.0,Karim Camara RECAP,0.9615384615384616
43069,43069,100,0,8,0,215,223,0,223,0,0.0,0.03587443946188341,0.0,0.9641255605381166,0.0,1.0,0.0,Karim Camara RECAP,1.0
43070,43070,100,5,2,1,133,141,5,135,1,0.03546099290780142,0.014184397163120567,0.0070921985815602835,0.9432624113475178,0.03546099290780142,0.9574468085106383,0.0070921985815602835,Karim Camara RECAP,0.9574468085106383
43071,43071,100,3,8,0,199,210,3,207,0,0.014285714285714285,0.0380952380952381,0.0,0.9476190476190476,0.014285714285714285,0.9857142857142858,0.0,Karim Camara RECAP,0.9857142857142858
43072,43072,100,3,40,0,217,260,3,257,0,0.011538461538461539,0.15384615384615385,0.0,0.8346153846153846,0.011538461538461539,0.9884615384615385,0.0,Karim Camara RECAP,0.9884615384615385
43073,43073,100,6,59,1,205,271,6,264,1,0.02214022140221402,0.2177121771217712,0.0036900369003690036,0.7564575645756457,0.02214022140221402,0.974169741697417,0.0036900369003690036,Karim Camara RECAP,0.974169741697417
43074,43074,100,1,25,0,129,155,1,154,0,0.0064516129032258064,0.16129032258064516,0.0,0.832258064516129,0.0064516129032258064,0.9935483870967742,0.0,Karim Camara RECAP,0.9935483870967742
