ED,Reported As,Reporting,Rodneyse Bichotte (Democratic),Brian W. Kelly (Conservative),Scattered,Matthew G. Williams (Republican),Rodneyse Bichotte (Working Families),Total Votes,Rodneyse Bichotte RECAP,Brian W. Kelly RECAP,Scattered RECAP,Matthew G. Williams RECAP,p_Rodneyse Bichotte (Democratic),p_Brian W. Kelly (Conservative),p_Scattered,p_Matthew G. Williams (Republican),p_Rodneyse Bichotte (Working Families),p_Rodneyse Bichotte RECAP,p_Brian W. Kelly RECAP,p_Scattered RECAP,p_Matthew G. Williams RECAP,winner,winner_p
42036,42036,100,168,41,5,58,45,317,213,41,5,58,0.5299684542586751,0.12933753943217666,0.015772870662460567,0.1829652996845426,0.14195583596214512,0.6719242902208202,0.12933753943217666,0.015772870662460567,0.1829652996845426,Rodneyse Bichotte RECAP,0.6719242902208202
42037,42037,100,69,5,3,12,38,127,107,5,3,12,0.5433070866141733,0.03937007874015748,0.023622047244094488,0.09448818897637795,0.2992125984251969,0.84251968503937,0.03937007874015748,0.023622047244094488,0.09448818897637795,Rodneyse Bichotte RECAP,0.84251968503937
42038,42038,100,75,60,1,78,5,219,80,60,1,78,0.3424657534246575,0.273972602739726,0.0045662100456621,0.3561643835616438,0.0228310502283105,0.365296803652968,0.273972602739726,0.0045662100456621,0.3561643835616438,Rodneyse Bichotte RECAP,0.365296803652968
42039,42039,100,250,2,0,1,11,264,261,2,0,1,0.946969696969697,0.007575757575757576,0.0,0.003787878787878788,0.041666666666666664,0.9886363636363636,0.007575757575757576,0.0,0.003787878787878788,Rodneyse Bichotte RECAP,0.9886363636363636
42040,42040,100,235,4,1,3,2,245,237,4,1,3,0.9591836734693877,0.0163265306122449,0.004081632653061225,0.012244897959183673,0.00816326530612245,0.9673469387755103,0.0163265306122449,0.004081632653061225,0.012244897959183673,Rodneyse Bichotte RECAP,0.9673469387755103
42041,42041,100,264,1,0,1,12,278,276,1,0,1,0.9496402877697842,0.0035971223021582736,0.0,0.0035971223021582736,0.04316546762589928,0.9928057553956835,0.0035971223021582736,0.0,0.0035971223021582736,Rodneyse Bichotte RECAP,0.9928057553956835
42042,42042,100,232,1,0,3,9,245,241,1,0,3,0.9469387755102041,0.004081632653061225,0.0,0.012244897959183673,0.036734693877551024,0.9836734693877551,0.004081632653061225,0.0,0.012244897959183673,Rodneyse Bichotte RECAP,0.9836734693877551
42043,42043,100,215,3,0,2,19,239,234,3,0,2,0.899581589958159,0.012552301255230125,0.0,0.008368200836820083,0.0794979079497908,0.9790794979079498,0.012552301255230125,0.0,0.008368200836820083,Rodneyse Bichotte RECAP,0.9790794979079498
42044,42044,100,231,2,0,3,29,265,260,2,0,3,0.8716981132075472,0.007547169811320755,0.0,0.011320754716981131,0.10943396226415095,0.9811320754716981,0.007547169811320755,0.0,0.011320754716981131,Rodneyse Bichotte RECAP,0.9811320754716981
42045,42045,100,200,1,0,2,6,209,206,1,0,2,0.9569377990430622,0.004784688995215311,0.0,0.009569377990430622,0.028708133971291867,0.9856459330143541,0.004784688995215311,0.0,0.009569377990430622,Rodneyse Bichotte RECAP,0.9856459330143541
42046,42046,100,187,0,0,9,13,209,200,0,0,9,0.8947368421052632,0.0,0.0,0.0430622009569378,0.06220095693779904,0.9569377990430622,0.0,0.0,0.0430622009569378,Rodneyse Bichotte RECAP,0.9569377990430622
42047,42047,100,208,0,0,5,10,223,218,0,0,5,0.9327354260089686,0.0,0.0,0.02242152466367713,0.04484304932735426,0.9775784753363229,0.0,0.0,0.02242152466367713,Rodneyse Bichotte RECAP,0.9775784753363229
42048,42048,100,130,3,0,4,19,156,149,3,0,4,0.8333333333333334,0.019230769230769232,0.0,0.02564102564102564,0.12179487179487179,0.9551282051282052,0.019230769230769232,0.0,0.02564102564102564,Rodneyse Bichotte RECAP,0.9551282051282052
42049,42049,100,217,2,0,8,54,281,271,2,0,8,0.7722419928825622,0.0071174377224199285,0.0,0.028469750889679714,0.19217081850533807,0.9644128113879004,0.0071174377224199285,0.0,0.028469750889679714,Rodneyse Bichotte RECAP,0.9644128113879004
42050,42050,100,218,2,0,4,9,233,227,2,0,4,0.9356223175965666,0.008583690987124463,0.0,0.017167381974248927,0.03862660944206009,0.9742489270386266,0.008583690987124463,0.0,0.017167381974248927,Rodneyse Bichotte RECAP,0.9742489270386266
42051,42051,100,174,18,0,12,15,219,189,18,0,12,0.7945205479452054,0.0821917808219178,0.0,0.0547945205479452,0.0684931506849315,0.863013698630137,0.0821917808219178,0.0,0.0547945205479452,Rodneyse Bichotte RECAP,0.863013698630137
42052,42052,100,185,6,0,10,11,212,196,6,0,10,0.8726415094339622,0.02830188679245283,0.0,0.04716981132075472,0.05188679245283019,0.9245283018867925,0.02830188679245283,0.0,0.04716981132075472,Rodneyse Bichotte RECAP,0.9245283018867925
42053,42053,100,106,2,0,4,12,124,118,2,0,4,0.8548387096774194,0.016129032258064516,0.0,0.03225806451612903,0.0967741935483871,0.9516129032258065,0.016129032258064516,0.0,0.03225806451612903,Rodneyse Bichotte RECAP,0.9516129032258065
42054,42054,100,248,7,0,9,33,297,281,7,0,9,0.835016835016835,0.02356902356902357,0.0,0.030303030303030304,0.1111111111111111,0.9461279461279462,0.02356902356902357,0.0,0.030303030303030304,Rodneyse Bichotte RECAP,0.9461279461279462
42055,42055,100,218,4,0,6,23,251,241,4,0,6,0.8685258964143426,0.01593625498007968,0.0,0.02390438247011952,0.09163346613545817,0.9601593625498008,0.01593625498007968,0.0,0.02390438247011952,Rodneyse Bichotte RECAP,0.9601593625498008
42056,42056,100,200,1,0,7,10,218,210,1,0,7,0.9174311926605505,0.0045871559633027525,0.0,0.03211009174311927,0.045871559633027525,0.963302752293578,0.0045871559633027525,0.0,0.03211009174311927,Rodneyse Bichotte RECAP,0.963302752293578
42057,42057,100,267,2,0,10,16,295,283,2,0,10,0.9050847457627119,0.006779661016949152,0.0,0.03389830508474576,0.05423728813559322,0.9593220338983051,0.006779661016949152,0.0,0.03389830508474576,Rodneyse Bichotte RECAP,0.9593220338983051
42058,42058,100,164,3,0,2,7,176,171,3,0,2,0.9318181818181818,0.017045454545454544,0.0,0.011363636363636364,0.03977272727272727,0.9715909090909091,0.017045454545454544,0.0,0.011363636363636364,Rodneyse Bichotte RECAP,0.9715909090909091
42059,42059,100,34,26,0,31,1,92,35,26,0,31,0.3695652173913043,0.2826086956521739,0.0,0.33695652173913043,0.010869565217391304,0.3804347826086957,0.2826086956521739,0.0,0.33695652173913043,Rodneyse Bichotte RECAP,0.3804347826086957
42060,42060,100,8,8,0,13,1,30,9,8,0,13,0.26666666666666666,0.26666666666666666,0.0,0.43333333333333335,0.03333333333333333,0.3,0.26666666666666666,0.0,0.43333333333333335,Matthew G. Williams RECAP,0.43333333333333335
42061,42061,100,62,27,0,46,9,144,71,27,0,46,0.4305555555555556,0.1875,0.0,0.3194444444444444,0.0625,0.4930555555555556,0.1875,0.0,0.3194444444444444,Rodneyse Bichotte RECAP,0.4930555555555556
42062,42062,100,47,34,1,32,1,115,48,34,1,32,0.40869565217391307,0.2956521739130435,0.008695652173913044,0.2782608695652174,0.008695652173913044,0.41739130434782606,0.2956521739130435,0.008695652173913044,0.2782608695652174,Rodneyse Bichotte RECAP,0.41739130434782606
42063,42063,100,85,45,1,62,12,205,97,45,1,62,0.4146341463414634,0.21951219512195122,0.004878048780487805,0.3024390243902439,0.05853658536585366,0.47317073170731705,0.21951219512195122,0.004878048780487805,0.3024390243902439,Rodneyse Bichotte RECAP,0.47317073170731705
42064,42064,100,103,39,1,75,7,225,110,39,1,75,0.4577777777777778,0.17333333333333334,0.0044444444444444444,0.3333333333333333,0.03111111111111111,0.4888888888888889,0.17333333333333334,0.0044444444444444444,0.3333333333333333,Rodneyse Bichotte RECAP,0.4888888888888889
42065,42065,100,61,36,0,71,5,173,66,36,0,71,0.35260115606936415,0.20809248554913296,0.0,0.41040462427745666,0.028901734104046242,0.3815028901734104,0.20809248554913296,0.0,0.41040462427745666,Matthew G. Williams RECAP,0.41040462427745666
42066,42066,100,51,27,0,38,1,117,52,27,0,38,0.4358974358974359,0.23076923076923078,0.0,0.3247863247863248,0.008547008547008548,0.4444444444444444,0.23076923076923078,0.0,0.3247863247863248,Rodneyse Bichotte RECAP,0.4444444444444444
42067,42067,100,72,13,0,34,10,129,82,13,0,34,0.5581395348837209,0.10077519379844961,0.0,0.26356589147286824,0.07751937984496124,0.6356589147286822,0.10077519379844961,0.0,0.26356589147286824,Rodneyse Bichotte RECAP,0.6356589147286822
42068,42068,100,123,1,0,1,5,130,128,1,0,1,0.9461538461538461,0.007692307692307693,0.0,0.007692307692307693,0.038461538461538464,0.9846153846153847,0.007692307692307693,0.0,0.007692307692307693,Rodneyse Bichotte RECAP,0.9846153846153847
42069,42069,100,18,13,0,16,3,50,21,13,0,16,0.36,0.26,0.0,0.32,0.06,0.42,0.26,0.0,0.32,Rodneyse Bichotte RECAP,0.42
42070,42070,100,111,2,0,9,11,133,122,2,0,9,0.8345864661654135,0.015037593984962405,0.0,0.06766917293233082,0.08270676691729323,0.9172932330827067,0.015037593984962405,0.0,0.06766917293233082,Rodneyse Bichotte RECAP,0.9172932330827067
42071,42071,100,166,2,0,5,10,183,176,2,0,5,0.907103825136612,0.01092896174863388,0.0,0.0273224043715847,0.0546448087431694,0.9617486338797814,0.01092896174863388,0.0,0.0273224043715847,Rodneyse Bichotte RECAP,0.9617486338797814
42072,42072,100,94,5,2,3,35,139,129,5,2,3,0.6762589928057554,0.03597122302158273,0.014388489208633094,0.02158273381294964,0.2517985611510791,0.9280575539568345,0.03597122302158273,0.014388489208633094,0.02158273381294964,Rodneyse Bichotte RECAP,0.9280575539568345
42073,42073,100,221,0,0,2,18,241,239,0,0,2,0.91701244813278,0.0,0.0,0.008298755186721992,0.07468879668049792,0.991701244813278,0.0,0.0,0.008298755186721992,Rodneyse Bichotte RECAP,0.991701244813278
