ED,Reported As,Reporting,Scattered,Daniel J. O'Donnell (Democratic),Total Votes,Scattered RECAP,Daniel J. O'Donnell RECAP,p_Scattered,p_Daniel J. O'Donnell (Democratic),p_Scattered RECAP,p_Daniel J. O'Donnell RECAP,winner,winner_p
69030,69030,100,2,258,260,2,258,0.007692307692307693,0.9923076923076923,0.007692307692307693,0.9923076923076923,Daniel J. O'Donnell RECAP,0.9923076923076923
69031,69031,100,1,257,258,1,257,0.003875968992248062,0.9961240310077519,0.003875968992248062,0.9961240310077519,Daniel J. O'Donnell RECAP,0.9961240310077519
69032,69032,100,2,277,279,2,277,0.007168458781362007,0.992831541218638,0.007168458781362007,0.992831541218638,Daniel J. O'Donnell RECAP,0.992831541218638
69033,69033,100,4,330,334,4,330,0.011976047904191617,0.9880239520958084,0.011976047904191617,0.9880239520958084,Daniel J. O'Donnell RECAP,0.9880239520958084
69034,69034,100,0,255,255,0,255,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69035,69035,100,2,96,98,2,96,0.02040816326530612,0.9795918367346939,0.02040816326530612,0.9795918367346939,Daniel J. O'Donnell RECAP,0.9795918367346939
69036,69036,100,0,24,24,0,24,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69037,69037,100,2,163,165,2,163,0.012121212121212121,0.9878787878787879,0.012121212121212121,0.9878787878787879,Daniel J. O'Donnell RECAP,0.9878787878787879
69038,69038,100,2,222,224,2,222,0.008928571428571428,0.9910714285714286,0.008928571428571428,0.9910714285714286,Daniel J. O'Donnell RECAP,0.9910714285714286
69039,69039,100,1,257,258,1,257,0.003875968992248062,0.9961240310077519,0.003875968992248062,0.9961240310077519,Daniel J. O'Donnell RECAP,0.9961240310077519
69040,69040,100,1,295,296,1,295,0.0033783783783783786,0.9966216216216216,0.0033783783783783786,0.9966216216216216,Daniel J. O'Donnell RECAP,0.9966216216216216
69041,69041,100,1,299,300,1,299,0.0033333333333333335,0.9966666666666667,0.0033333333333333335,0.9966666666666667,Daniel J. O'Donnell RECAP,0.9966666666666667
69042,69042,100,0,285,285,0,285,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69043,69043,100,0,249,249,0,249,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69044,69044,100,1,225,226,1,225,0.004424778761061947,0.995575221238938,0.004424778761061947,0.995575221238938,Daniel J. O'Donnell RECAP,0.995575221238938
69045,69045,100,1,323,324,1,323,0.0030864197530864196,0.9969135802469136,0.0030864197530864196,0.9969135802469136,Daniel J. O'Donnell RECAP,0.9969135802469136
69046,69046,100,0,306,306,0,306,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69047,69047,100,3,300,303,3,300,0.009900990099009901,0.9900990099009901,0.009900990099009901,0.9900990099009901,Daniel J. O'Donnell RECAP,0.9900990099009901
69048,69048,100,1,269,270,1,269,0.003703703703703704,0.9962962962962963,0.003703703703703704,0.9962962962962963,Daniel J. O'Donnell RECAP,0.9962962962962963
69049,69049,100,2,249,251,2,249,0.00796812749003984,0.9920318725099602,0.00796812749003984,0.9920318725099602,Daniel J. O'Donnell RECAP,0.9920318725099602
69050,69050,100,2,258,260,2,258,0.007692307692307693,0.9923076923076923,0.007692307692307693,0.9923076923076923,Daniel J. O'Donnell RECAP,0.9923076923076923
69051,69051,100,2,188,190,2,188,0.010526315789473684,0.9894736842105263,0.010526315789473684,0.9894736842105263,Daniel J. O'Donnell RECAP,0.9894736842105263
69052,69052,100,0,213,213,0,213,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69053,69053,100,0,128,128,0,128,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69054,69054,100,1,176,177,1,176,0.005649717514124294,0.9943502824858758,0.005649717514124294,0.9943502824858758,Daniel J. O'Donnell RECAP,0.9943502824858758
69055,69055,100,1,237,238,1,237,0.004201680672268907,0.9957983193277311,0.004201680672268907,0.9957983193277311,Daniel J. O'Donnell RECAP,0.9957983193277311
69056,69056,100,0,119,119,0,119,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69057,69057,100,0,201,201,0,201,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69058,69058,100,0,184,184,0,184,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69059,69059,100,0,111,111,0,111,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69060,69060,100,4,247,251,4,247,0.01593625498007968,0.9840637450199203,0.01593625498007968,0.9840637450199203,Daniel J. O'Donnell RECAP,0.9840637450199203
69061,69061,100,1,285,286,1,285,0.0034965034965034965,0.9965034965034965,0.0034965034965034965,0.9965034965034965,Daniel J. O'Donnell RECAP,0.9965034965034965
69062,69062,100,2,260,262,2,260,0.007633587786259542,0.9923664122137404,0.007633587786259542,0.9923664122137404,Daniel J. O'Donnell RECAP,0.9923664122137404
69063,69063,100,5,378,383,5,378,0.013054830287206266,0.9869451697127938,0.013054830287206266,0.9869451697127938,Daniel J. O'Donnell RECAP,0.9869451697127938
69064,69064,100,2,287,289,2,287,0.006920415224913495,0.9930795847750865,0.006920415224913495,0.9930795847750865,Daniel J. O'Donnell RECAP,0.9930795847750865
69065,69065,100,1,276,277,1,276,0.0036101083032490976,0.9963898916967509,0.0036101083032490976,0.9963898916967509,Daniel J. O'Donnell RECAP,0.9963898916967509
69066,69066,100,0,95,95,0,95,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69067,69067,100,1,100,101,1,100,0.009900990099009901,0.9900990099009901,0.009900990099009901,0.9900990099009901,Daniel J. O'Donnell RECAP,0.9900990099009901
69068,69068,100,0,188,188,0,188,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69069,69069,100,3,289,292,3,289,0.010273972602739725,0.9897260273972602,0.010273972602739725,0.9897260273972602,Daniel J. O'Donnell RECAP,0.9897260273972602
69070,69070,100,1,91,92,1,91,0.010869565217391304,0.9891304347826086,0.010869565217391304,0.9891304347826086,Daniel J. O'Donnell RECAP,0.9891304347826086
69071,69071,100,0,106,106,0,106,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69072,69072,100,1,361,362,1,361,0.0027624309392265192,0.9972375690607734,0.0027624309392265192,0.9972375690607734,Daniel J. O'Donnell RECAP,0.9972375690607734
69073,69073,100,1,329,330,1,329,0.0030303030303030303,0.996969696969697,0.0030303030303030303,0.996969696969697,Daniel J. O'Donnell RECAP,0.996969696969697
69074,69074,100,1,170,171,1,170,0.005847953216374269,0.9941520467836257,0.005847953216374269,0.9941520467836257,Daniel J. O'Donnell RECAP,0.9941520467836257
69075,69075,100,1,184,185,1,184,0.005405405405405406,0.9945945945945946,0.005405405405405406,0.9945945945945946,Daniel J. O'Donnell RECAP,0.9945945945945946
69076,69076,100,1,155,156,1,155,0.00641025641025641,0.9935897435897436,0.00641025641025641,0.9935897435897436,Daniel J. O'Donnell RECAP,0.9935897435897436
69077,69077,100,2,248,250,2,248,0.008,0.992,0.008,0.992,Daniel J. O'Donnell RECAP,0.992
69078,69078,100,2,232,234,2,232,0.008547008547008548,0.9914529914529915,0.008547008547008548,0.9914529914529915,Daniel J. O'Donnell RECAP,0.9914529914529915
69079,69079,100,1,177,178,1,177,0.0056179775280898875,0.9943820224719101,0.0056179775280898875,0.9943820224719101,Daniel J. O'Donnell RECAP,0.9943820224719101
69080,69080,100,2,158,160,2,158,0.0125,0.9875,0.0125,0.9875,Daniel J. O'Donnell RECAP,0.9875
69081,69081,100,1,248,249,1,248,0.004016064257028112,0.9959839357429718,0.004016064257028112,0.9959839357429718,Daniel J. O'Donnell RECAP,0.9959839357429718
69082,69082,100,0,132,132,0,132,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69083,69083,100,0,292,292,0,292,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69084,69084,100,0,179,179,0,179,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69085,69085,100,0,190,190,0,190,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69086,69086,100,0,391,391,0,391,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69087,69087,100,1,291,292,1,291,0.003424657534246575,0.9965753424657534,0.003424657534246575,0.9965753424657534,Daniel J. O'Donnell RECAP,0.9965753424657534
69088,69085,100,0,0,0,0,0,0,0,0,0,n/a,0
69089,69089,100,0,53,53,0,53,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69090,69090,100,2,211,213,2,211,0.009389671361502348,0.9906103286384976,0.009389671361502348,0.9906103286384976,Daniel J. O'Donnell RECAP,0.9906103286384976
69091,69091,100,1,186,187,1,186,0.0053475935828877,0.9946524064171123,0.0053475935828877,0.9946524064171123,Daniel J. O'Donnell RECAP,0.9946524064171123
69092,69092,100,2,223,225,2,223,0.008888888888888889,0.9911111111111112,0.008888888888888889,0.9911111111111112,Daniel J. O'Donnell RECAP,0.9911111111111112
69093,69093,100,1,358,359,1,358,0.002785515320334262,0.9972144846796658,0.002785515320334262,0.9972144846796658,Daniel J. O'Donnell RECAP,0.9972144846796658
69094,69094,100,0,110,110,0,110,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69095,69095,100,2,257,259,2,257,0.007722007722007722,0.9922779922779923,0.007722007722007722,0.9922779922779923,Daniel J. O'Donnell RECAP,0.9922779922779923
69096,69096,100,0,20,20,0,20,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69097,69097,100,0,165,165,0,165,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69098,69098,100,0,178,178,0,178,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69099,69099,100,3,389,392,3,389,0.007653061224489796,0.9923469387755102,0.007653061224489796,0.9923469387755102,Daniel J. O'Donnell RECAP,0.9923469387755102
69100,69100,100,2,223,225,2,223,0.008888888888888889,0.9911111111111112,0.008888888888888889,0.9911111111111112,Daniel J. O'Donnell RECAP,0.9911111111111112
69101,69101,100,0,211,211,0,211,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69102,69102,100,0,142,142,0,142,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69103,69103,100,0,165,165,0,165,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69104,69104,100,1,60,61,1,60,0.01639344262295082,0.9836065573770492,0.01639344262295082,0.9836065573770492,Daniel J. O'Donnell RECAP,0.9836065573770492
69200,69200,100,0,0,0,0,0,0,0,0,0,n/a,0
69201,69201,100,0,0,0,0,0,0,0,0,0,n/a,0
69202,69202,100,0,0,0,0,0,0,0,0,0,n/a,0
69203,69203,100,0,0,0,0,0,0,0,0,0,n/a,0
