ED,Reported As,Reporting,Joseph C. Borelli (Independence),Joseph C. Borelli (Republican),Joseph C. Borelli (Conservative),Scattered,Total Votes,Joseph C. Borelli RECAP,Scattered RECAP,p_Joseph C. Borelli (Independence),p_Joseph C. Borelli (Republican),p_Joseph C. Borelli (Conservative),p_Scattered,p_Joseph C. Borelli RECAP,p_Scattered RECAP,winner,winner_p
62020,62020,100,17,223,25,3,268,265,3,0.06343283582089553,0.832089552238806,0.09328358208955224,0.011194029850746268,0.9888059701492538,0.011194029850746268,Joseph C. Borelli RECAP,0.9888059701492538
62021,62021,100,13,213,49,3,278,275,3,0.046762589928057555,0.7661870503597122,0.17625899280575538,0.01079136690647482,0.9892086330935251,0.01079136690647482,Joseph C. Borelli RECAP,0.9892086330935251
62022,62022,100,11,242,24,0,277,277,0,0.039711191335740074,0.8736462093862816,0.08664259927797834,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62023,62023,100,24,231,41,3,299,296,3,0.0802675585284281,0.7725752508361204,0.13712374581939799,0.010033444816053512,0.9899665551839465,0.010033444816053512,Joseph C. Borelli RECAP,0.9899665551839465
62024,62024,100,16,169,31,2,218,216,2,0.07339449541284404,0.7752293577981652,0.14220183486238533,0.009174311926605505,0.9908256880733946,0.009174311926605505,Joseph C. Borelli RECAP,0.9908256880733946
62025,62025,100,16,236,29,3,284,281,3,0.056338028169014086,0.8309859154929577,0.10211267605633803,0.01056338028169014,0.9894366197183099,0.01056338028169014,Joseph C. Borelli RECAP,0.9894366197183099
62026,62026,100,35,171,37,7,250,243,7,0.14,0.684,0.148,0.028,0.972,0.028,Joseph C. Borelli RECAP,0.972
62027,62027,100,28,198,46,1,273,272,1,0.10256410256410256,0.7252747252747253,0.1684981684981685,0.003663003663003663,0.9963369963369964,0.003663003663003663,Joseph C. Borelli RECAP,0.9963369963369964
62028,62028,100,20,217,29,4,270,266,4,0.07407407407407407,0.8037037037037037,0.10740740740740741,0.014814814814814815,0.9851851851851852,0.014814814814814815,Joseph C. Borelli RECAP,0.9851851851851852
62029,62029,100,9,143,24,1,177,176,1,0.05084745762711865,0.807909604519774,0.13559322033898305,0.005649717514124294,0.9943502824858758,0.005649717514124294,Joseph C. Borelli RECAP,0.9943502824858758
62030,62030,100,21,230,31,2,284,282,2,0.07394366197183098,0.8098591549295775,0.10915492957746478,0.007042253521126761,0.9929577464788732,0.007042253521126761,Joseph C. Borelli RECAP,0.9929577464788732
62031,62031,100,28,261,38,1,328,327,1,0.08536585365853659,0.7957317073170732,0.11585365853658537,0.003048780487804878,0.9969512195121951,0.003048780487804878,Joseph C. Borelli RECAP,0.9969512195121951
62032,62032,100,11,223,36,1,271,270,1,0.04059040590405904,0.8228782287822878,0.13284132841328414,0.0036900369003690036,0.996309963099631,0.0036900369003690036,Joseph C. Borelli RECAP,0.996309963099631
62033,62033,100,18,279,31,1,329,328,1,0.0547112462006079,0.8480243161094225,0.09422492401215805,0.00303951367781155,0.9969604863221885,0.00303951367781155,Joseph C. Borelli RECAP,0.9969604863221885
62034,62034,100,13,258,48,2,321,319,2,0.040498442367601244,0.8037383177570093,0.14953271028037382,0.006230529595015576,0.9937694704049844,0.006230529595015576,Joseph C. Borelli RECAP,0.9937694704049844
62035,62035,100,15,264,43,2,324,322,2,0.046296296296296294,0.8148148148148148,0.13271604938271606,0.006172839506172839,0.9938271604938271,0.006172839506172839,Joseph C. Borelli RECAP,0.9938271604938271
62036,62036,100,22,318,31,3,374,371,3,0.058823529411764705,0.8502673796791443,0.08288770053475936,0.008021390374331552,0.9919786096256684,0.008021390374331552,Joseph C. Borelli RECAP,0.9919786096256684
62037,62037,100,10,297,47,4,358,354,4,0.027932960893854747,0.8296089385474861,0.13128491620111732,0.0111731843575419,0.9888268156424581,0.0111731843575419,Joseph C. Borelli RECAP,0.9888268156424581
62038,62038,100,38,225,37,1,301,300,1,0.12624584717607973,0.7475083056478405,0.12292358803986711,0.0033222591362126247,0.9966777408637874,0.0033222591362126247,Joseph C. Borelli RECAP,0.9966777408637874
62039,62039,100,24,269,69,2,364,362,2,0.06593406593406594,0.739010989010989,0.18956043956043955,0.005494505494505495,0.9945054945054945,0.005494505494505495,Joseph C. Borelli RECAP,0.9945054945054945
62040,62040,100,20,241,34,2,297,295,2,0.06734006734006734,0.8114478114478114,0.11447811447811448,0.006734006734006734,0.9932659932659933,0.006734006734006734,Joseph C. Borelli RECAP,0.9932659932659933
62041,62041,100,26,207,23,3,259,256,3,0.10038610038610038,0.7992277992277992,0.0888030888030888,0.011583011583011582,0.9884169884169884,0.011583011583011582,Joseph C. Borelli RECAP,0.9884169884169884
62042,62042,100,35,232,39,5,311,306,5,0.11254019292604502,0.7459807073954984,0.12540192926045016,0.01607717041800643,0.9839228295819936,0.01607717041800643,Joseph C. Borelli RECAP,0.9839228295819936
62043,62043,100,30,243,22,7,302,295,7,0.09933774834437085,0.804635761589404,0.0728476821192053,0.023178807947019868,0.9768211920529801,0.023178807947019868,Joseph C. Borelli RECAP,0.9768211920529801
62044,62044,100,24,247,38,7,316,309,7,0.0759493670886076,0.7816455696202531,0.12025316455696203,0.022151898734177215,0.9778481012658228,0.022151898734177215,Joseph C. Borelli RECAP,0.9778481012658228
62045,62045,100,19,189,30,0,238,238,0,0.07983193277310924,0.7941176470588235,0.12605042016806722,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62046,62046,100,17,262,36,0,315,315,0,0.05396825396825397,0.8317460317460318,0.11428571428571428,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62047,62047,100,22,228,25,0,275,275,0,0.08,0.8290909090909091,0.09090909090909091,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62048,62048,100,16,185,36,3,240,237,3,0.06666666666666667,0.7708333333333334,0.15,0.0125,0.9875,0.0125,Joseph C. Borelli RECAP,0.9875
62049,62049,100,24,254,38,2,318,316,2,0.07547169811320754,0.7987421383647799,0.11949685534591195,0.006289308176100629,0.9937106918238994,0.006289308176100629,Joseph C. Borelli RECAP,0.9937106918238994
62050,62050,100,22,238,36,2,298,296,2,0.0738255033557047,0.7986577181208053,0.12080536912751678,0.006711409395973154,0.9932885906040269,0.006711409395973154,Joseph C. Borelli RECAP,0.9932885906040269
62051,62051,100,25,191,29,2,247,245,2,0.10121457489878542,0.7732793522267206,0.11740890688259109,0.008097165991902834,0.9919028340080972,0.008097165991902834,Joseph C. Borelli RECAP,0.9919028340080972
62052,62052,100,26,253,33,2,314,312,2,0.08280254777070063,0.8057324840764332,0.10509554140127389,0.006369426751592357,0.9936305732484076,0.006369426751592357,Joseph C. Borelli RECAP,0.9936305732484076
62053,62053,100,39,230,31,0,300,300,0,0.13,0.7666666666666667,0.10333333333333333,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62054,62054,100,31,222,25,1,279,278,1,0.1111111111111111,0.7956989247311828,0.08960573476702509,0.0035842293906810036,0.996415770609319,0.0035842293906810036,Joseph C. Borelli RECAP,0.996415770609319
62055,62055,100,16,219,47,7,289,282,7,0.05536332179930796,0.7577854671280276,0.16262975778546712,0.02422145328719723,0.9757785467128027,0.02422145328719723,Joseph C. Borelli RECAP,0.9757785467128027
62056,62056,100,22,168,23,5,218,213,5,0.10091743119266056,0.7706422018348624,0.10550458715596331,0.022935779816513763,0.9770642201834863,0.022935779816513763,Joseph C. Borelli RECAP,0.9770642201834863
62057,62057,100,19,209,24,4,256,252,4,0.07421875,0.81640625,0.09375,0.015625,0.984375,0.015625,Joseph C. Borelli RECAP,0.984375
62058,62058,100,18,268,32,1,319,318,1,0.05642633228840126,0.8401253918495298,0.10031347962382445,0.003134796238244514,0.9968652037617555,0.003134796238244514,Joseph C. Borelli RECAP,0.9968652037617555
62059,62059,100,17,176,22,3,218,215,3,0.0779816513761468,0.8073394495412844,0.10091743119266056,0.013761467889908258,0.9862385321100917,0.013761467889908258,Joseph C. Borelli RECAP,0.9862385321100917
62060,62060,100,7,116,17,1,141,140,1,0.04964539007092199,0.8226950354609929,0.12056737588652482,0.0070921985815602835,0.9929078014184397,0.0070921985815602835,Joseph C. Borelli RECAP,0.9929078014184397
62061,62061,100,22,137,26,5,190,185,5,0.11578947368421053,0.7210526315789474,0.1368421052631579,0.02631578947368421,0.9736842105263158,0.02631578947368421,Joseph C. Borelli RECAP,0.9736842105263158
62062,62062,100,16,150,17,2,185,183,2,0.08648648648648649,0.8108108108108109,0.0918918918918919,0.010810810810810811,0.9891891891891892,0.010810810810810811,Joseph C. Borelli RECAP,0.9891891891891892
62063,62063,100,13,114,11,1,139,138,1,0.09352517985611511,0.8201438848920863,0.07913669064748201,0.007194244604316547,0.9928057553956835,0.007194244604316547,Joseph C. Borelli RECAP,0.9928057553956835
62064,62064,100,16,102,13,1,132,131,1,0.12121212121212122,0.7727272727272727,0.09848484848484848,0.007575757575757576,0.9924242424242424,0.007575757575757576,Joseph C. Borelli RECAP,0.9924242424242424
62065,62065,100,26,329,44,2,401,399,2,0.06483790523690773,0.8204488778054863,0.10972568578553615,0.004987531172069825,0.9950124688279302,0.004987531172069825,Joseph C. Borelli RECAP,0.9950124688279302
62066,62066,100,26,340,44,4,414,410,4,0.06280193236714976,0.821256038647343,0.10628019323671498,0.00966183574879227,0.9903381642512077,0.00966183574879227,Joseph C. Borelli RECAP,0.9903381642512077
62067,62067,100,28,242,26,6,302,296,6,0.09271523178807947,0.8013245033112583,0.08609271523178808,0.019867549668874173,0.9801324503311258,0.019867549668874173,Joseph C. Borelli RECAP,0.9801324503311258
62068,62068,100,35,217,43,1,296,295,1,0.11824324324324324,0.7331081081081081,0.14527027027027026,0.0033783783783783786,0.9966216216216216,0.0033783783783783786,Joseph C. Borelli RECAP,0.9966216216216216
62069,62069,100,23,196,27,1,247,246,1,0.0931174089068826,0.7935222672064778,0.10931174089068826,0.004048582995951417,0.9959514170040485,0.004048582995951417,Joseph C. Borelli RECAP,0.9959514170040485
62070,62070,100,16,114,23,5,158,153,5,0.10126582278481013,0.7215189873417721,0.14556962025316456,0.03164556962025317,0.9683544303797469,0.03164556962025317,Joseph C. Borelli RECAP,0.9683544303797469
62071,62071,100,33,250,36,2,321,319,2,0.102803738317757,0.778816199376947,0.11214953271028037,0.006230529595015576,0.9937694704049844,0.006230529595015576,Joseph C. Borelli RECAP,0.9937694704049844
62072,62072,100,18,236,23,0,277,277,0,0.06498194945848375,0.851985559566787,0.08303249097472924,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62073,62073,100,25,235,44,2,306,304,2,0.08169934640522876,0.7679738562091504,0.1437908496732026,0.006535947712418301,0.9934640522875817,0.006535947712418301,Joseph C. Borelli RECAP,0.9934640522875817
62074,62074,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
62075,62075,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
