ED,Reported As,Reporting,Robert J. Rodriguez (Democratic),Robert J. Rodriguez (Working Families),Scattered,Ted Jones (Republican),Total Votes,Robert J. Rodriguez RECAP,Scattered RECAP,Ted Jones RECAP,p_Robert J. Rodriguez (Democratic),p_Robert J. Rodriguez (Working Families),p_Scattered,p_Ted Jones (Republican),p_Robert J. Rodriguez RECAP,p_Scattered RECAP,p_Ted Jones RECAP,winner,winner_p
68036,68036,100,183,7,0,4,194,190,0,4,0.9432989690721649,0.03608247422680412,0.0,0.020618556701030927,0.979381443298969,0.0,0.020618556701030927,Robert J. Rodriguez RECAP,0.979381443298969
68037,68037,100,147,17,0,5,169,164,0,5,0.8698224852071006,0.10059171597633136,0.0,0.029585798816568046,0.9704142011834319,0.0,0.029585798816568046,Robert J. Rodriguez RECAP,0.9704142011834319
68038,68038,100,43,17,2,5,67,60,2,5,0.6417910447761194,0.2537313432835821,0.029850746268656716,0.07462686567164178,0.8955223880597015,0.029850746268656716,0.07462686567164178,Robert J. Rodriguez RECAP,0.8955223880597015
68039,68039,100,129,10,0,8,147,139,0,8,0.8775510204081632,0.06802721088435375,0.0,0.05442176870748299,0.9455782312925171,0.0,0.05442176870748299,Robert J. Rodriguez RECAP,0.9455782312925171
68040,68040,100,205,13,0,11,229,218,0,11,0.8951965065502183,0.056768558951965066,0.0,0.048034934497816595,0.9519650655021834,0.0,0.048034934497816595,Robert J. Rodriguez RECAP,0.9519650655021834
68041,68041,100,231,17,0,12,260,248,0,12,0.8884615384615384,0.06538461538461539,0.0,0.046153846153846156,0.9538461538461539,0.0,0.046153846153846156,Robert J. Rodriguez RECAP,0.9538461538461539
68042,68042,100,144,6,0,4,154,150,0,4,0.935064935064935,0.03896103896103896,0.0,0.025974025974025976,0.974025974025974,0.0,0.025974025974025976,Robert J. Rodriguez RECAP,0.974025974025974
68043,68043,100,134,17,0,13,164,151,0,13,0.8170731707317073,0.10365853658536585,0.0,0.07926829268292683,0.9207317073170732,0.0,0.07926829268292683,Robert J. Rodriguez RECAP,0.9207317073170732
68044,68044,100,118,3,0,4,125,121,0,4,0.944,0.024,0.0,0.032,0.968,0.0,0.032,Robert J. Rodriguez RECAP,0.968
68045,68045,100,76,2,0,0,78,78,0,0,0.9743589743589743,0.02564102564102564,0.0,0.0,1.0,0.0,0.0,Robert J. Rodriguez RECAP,1.0
68046,68046,100,131,3,0,10,144,134,0,10,0.9097222222222222,0.020833333333333332,0.0,0.06944444444444445,0.9305555555555556,0.0,0.06944444444444445,Robert J. Rodriguez RECAP,0.9305555555555556
68047,68047,100,116,3,2,3,124,119,2,3,0.9354838709677419,0.024193548387096774,0.016129032258064516,0.024193548387096774,0.9596774193548387,0.016129032258064516,0.024193548387096774,Robert J. Rodriguez RECAP,0.9596774193548387
68048,68048,100,127,4,0,9,140,131,0,9,0.9071428571428571,0.02857142857142857,0.0,0.06428571428571428,0.9357142857142857,0.0,0.06428571428571428,Robert J. Rodriguez RECAP,0.9357142857142857
68049,68049,100,124,7,0,0,131,131,0,0,0.9465648854961832,0.05343511450381679,0.0,0.0,1.0,0.0,0.0,Robert J. Rodriguez RECAP,1.0
68050,68050,100,194,7,0,11,212,201,0,11,0.9150943396226415,0.0330188679245283,0.0,0.05188679245283019,0.9481132075471698,0.0,0.05188679245283019,Robert J. Rodriguez RECAP,0.9481132075471698
68051,68051,100,145,11,0,10,166,156,0,10,0.8734939759036144,0.06626506024096386,0.0,0.060240963855421686,0.9397590361445783,0.0,0.060240963855421686,Robert J. Rodriguez RECAP,0.9397590361445783
68052,68052,100,158,10,1,11,180,168,1,11,0.8777777777777778,0.05555555555555555,0.005555555555555556,0.06111111111111111,0.9333333333333333,0.005555555555555556,0.06111111111111111,Robert J. Rodriguez RECAP,0.9333333333333333
68053,68053,100,131,9,0,4,144,140,0,4,0.9097222222222222,0.0625,0.0,0.027777777777777776,0.9722222222222222,0.0,0.027777777777777776,Robert J. Rodriguez RECAP,0.9722222222222222
68054,68054,100,121,15,0,19,155,136,0,19,0.7806451612903226,0.0967741935483871,0.0,0.12258064516129032,0.8774193548387097,0.0,0.12258064516129032,Robert J. Rodriguez RECAP,0.8774193548387097
68055,68055,100,107,16,0,10,133,123,0,10,0.8045112781954887,0.12030075187969924,0.0,0.07518796992481203,0.924812030075188,0.0,0.07518796992481203,Robert J. Rodriguez RECAP,0.924812030075188
68056,68056,100,131,18,0,3,152,149,0,3,0.8618421052631579,0.11842105263157894,0.0,0.019736842105263157,0.9802631578947368,0.0,0.019736842105263157,Robert J. Rodriguez RECAP,0.9802631578947368
68057,68057,100,192,18,1,9,220,210,1,9,0.8727272727272727,0.08181818181818182,0.004545454545454545,0.04090909090909091,0.9545454545454546,0.004545454545454545,0.04090909090909091,Robert J. Rodriguez RECAP,0.9545454545454546
68058,68058,100,106,7,0,2,115,113,0,2,0.9217391304347826,0.06086956521739131,0.0,0.017391304347826087,0.9826086956521739,0.0,0.017391304347826087,Robert J. Rodriguez RECAP,0.9826086956521739
68059,68059,100,154,10,1,6,171,164,1,6,0.9005847953216374,0.05847953216374269,0.005847953216374269,0.03508771929824561,0.9590643274853801,0.005847953216374269,0.03508771929824561,Robert J. Rodriguez RECAP,0.9590643274853801
68060,68060,100,159,16,0,4,179,175,0,4,0.888268156424581,0.0893854748603352,0.0,0.0223463687150838,0.9776536312849162,0.0,0.0223463687150838,Robert J. Rodriguez RECAP,0.9776536312849162
68061,68061,100,159,8,0,1,168,167,0,1,0.9464285714285714,0.047619047619047616,0.0,0.005952380952380952,0.9940476190476191,0.0,0.005952380952380952,Robert J. Rodriguez RECAP,0.9940476190476191
68062,68062,100,101,10,0,5,116,111,0,5,0.8706896551724138,0.08620689655172414,0.0,0.04310344827586207,0.9568965517241379,0.0,0.04310344827586207,Robert J. Rodriguez RECAP,0.9568965517241379
68063,68063,100,172,9,0,4,185,181,0,4,0.9297297297297298,0.04864864864864865,0.0,0.021621621621621623,0.9783783783783784,0.0,0.021621621621621623,Robert J. Rodriguez RECAP,0.9783783783783784
68064,68064,100,90,3,0,1,94,93,0,1,0.9574468085106383,0.031914893617021274,0.0,0.010638297872340425,0.9893617021276596,0.0,0.010638297872340425,Robert J. Rodriguez RECAP,0.9893617021276596
68065,68065,100,93,3,0,3,99,96,0,3,0.9393939393939394,0.030303030303030304,0.0,0.030303030303030304,0.9696969696969697,0.0,0.030303030303030304,Robert J. Rodriguez RECAP,0.9696969696969697
68066,68066,100,154,11,0,4,169,165,0,4,0.9112426035502958,0.0650887573964497,0.0,0.023668639053254437,0.9763313609467456,0.0,0.023668639053254437,Robert J. Rodriguez RECAP,0.9763313609467456
68067,68067,100,79,5,0,6,90,84,0,6,0.8777777777777778,0.05555555555555555,0.0,0.06666666666666667,0.9333333333333333,0.0,0.06666666666666667,Robert J. Rodriguez RECAP,0.9333333333333333
68068,68068,100,90,4,0,1,95,94,0,1,0.9473684210526315,0.042105263157894736,0.0,0.010526315789473684,0.9894736842105263,0.0,0.010526315789473684,Robert J. Rodriguez RECAP,0.9894736842105263
68069,68069,100,125,2,0,3,130,127,0,3,0.9615384615384616,0.015384615384615385,0.0,0.023076923076923078,0.9769230769230769,0.0,0.023076923076923078,Robert J. Rodriguez RECAP,0.9769230769230769
68070,68070,100,70,4,0,1,75,74,0,1,0.9333333333333333,0.05333333333333334,0.0,0.013333333333333334,0.9866666666666667,0.0,0.013333333333333334,Robert J. Rodriguez RECAP,0.9866666666666667
68071,68071,100,100,22,0,8,130,122,0,8,0.7692307692307693,0.16923076923076924,0.0,0.06153846153846154,0.9384615384615385,0.0,0.06153846153846154,Robert J. Rodriguez RECAP,0.9384615384615385
68072,68072,100,54,7,1,5,67,61,1,5,0.8059701492537313,0.1044776119402985,0.014925373134328358,0.07462686567164178,0.9104477611940298,0.014925373134328358,0.07462686567164178,Robert J. Rodriguez RECAP,0.9104477611940298
68073,68073,100,108,16,0,8,132,124,0,8,0.8181818181818182,0.12121212121212122,0.0,0.06060606060606061,0.9393939393939394,0.0,0.06060606060606061,Robert J. Rodriguez RECAP,0.9393939393939394
68074,68074,100,141,19,0,11,171,160,0,11,0.8245614035087719,0.1111111111111111,0.0,0.06432748538011696,0.935672514619883,0.0,0.06432748538011696,Robert J. Rodriguez RECAP,0.935672514619883
68075,68075,100,141,29,3,15,188,170,3,15,0.75,0.15425531914893617,0.015957446808510637,0.0797872340425532,0.9042553191489362,0.015957446808510637,0.0797872340425532,Robert J. Rodriguez RECAP,0.9042553191489362
68076,68076,100,110,19,2,6,137,129,2,6,0.8029197080291971,0.1386861313868613,0.014598540145985401,0.043795620437956206,0.9416058394160584,0.014598540145985401,0.043795620437956206,Robert J. Rodriguez RECAP,0.9416058394160584
68077,68077,100,75,10,5,2,92,85,5,2,0.8152173913043478,0.10869565217391304,0.05434782608695652,0.021739130434782608,0.9239130434782609,0.05434782608695652,0.021739130434782608,Robert J. Rodriguez RECAP,0.9239130434782609
68078,68078,100,189,29,13,18,249,218,13,18,0.7590361445783133,0.11646586345381527,0.05220883534136546,0.07228915662650602,0.8755020080321285,0.05220883534136546,0.07228915662650602,Robert J. Rodriguez RECAP,0.8755020080321285
68079,68079,100,97,11,0,7,115,108,0,7,0.8434782608695652,0.09565217391304348,0.0,0.06086956521739131,0.9391304347826087,0.0,0.06086956521739131,Robert J. Rodriguez RECAP,0.9391304347826087
68080,68080,100,195,50,0,34,279,245,0,34,0.6989247311827957,0.17921146953405018,0.0,0.12186379928315412,0.8781362007168458,0.0,0.12186379928315412,Robert J. Rodriguez RECAP,0.8781362007168458
68081,68081,100,45,8,0,2,55,53,0,2,0.8181818181818182,0.14545454545454545,0.0,0.03636363636363636,0.9636363636363636,0.0,0.03636363636363636,Robert J. Rodriguez RECAP,0.9636363636363636
68082,68082,100,216,27,0,15,258,243,0,15,0.8372093023255814,0.10465116279069768,0.0,0.05813953488372093,0.9418604651162791,0.0,0.05813953488372093,Robert J. Rodriguez RECAP,0.9418604651162791
68083,68083,100,191,21,3,7,222,212,3,7,0.8603603603603603,0.0945945945945946,0.013513513513513514,0.03153153153153153,0.954954954954955,0.013513513513513514,0.03153153153153153,Robert J. Rodriguez RECAP,0.954954954954955
68084,68084,100,166,6,0,4,176,172,0,4,0.9431818181818182,0.03409090909090909,0.0,0.022727272727272728,0.9772727272727273,0.0,0.022727272727272728,Robert J. Rodriguez RECAP,0.9772727272727273
68085,68085,100,213,9,0,3,225,222,0,3,0.9466666666666667,0.04,0.0,0.013333333333333334,0.9866666666666667,0.0,0.013333333333333334,Robert J. Rodriguez RECAP,0.9866666666666667
68086,68086,100,32,3,0,2,37,35,0,2,0.8648648648648649,0.08108108108108109,0.0,0.05405405405405406,0.9459459459459459,0.0,0.05405405405405406,Robert J. Rodriguez RECAP,0.9459459459459459
68087,68087,100,226,15,0,8,249,241,0,8,0.9076305220883534,0.060240963855421686,0.0,0.0321285140562249,0.9678714859437751,0.0,0.0321285140562249,Robert J. Rodriguez RECAP,0.9678714859437751
68088,68088,100,114,9,0,4,127,123,0,4,0.8976377952755905,0.07086614173228346,0.0,0.031496062992125984,0.968503937007874,0.0,0.031496062992125984,Robert J. Rodriguez RECAP,0.968503937007874
68089,68089,100,210,13,0,12,235,223,0,12,0.8936170212765957,0.05531914893617021,0.0,0.05106382978723404,0.948936170212766,0.0,0.05106382978723404,Robert J. Rodriguez RECAP,0.948936170212766
68090,68090,100,110,5,7,4,126,115,7,4,0.873015873015873,0.03968253968253968,0.05555555555555555,0.031746031746031744,0.9126984126984127,0.05555555555555555,0.031746031746031744,Robert J. Rodriguez RECAP,0.9126984126984127
68091,68091,100,79,1,4,2,86,80,4,2,0.9186046511627907,0.011627906976744186,0.046511627906976744,0.023255813953488372,0.9302325581395349,0.046511627906976744,0.023255813953488372,Robert J. Rodriguez RECAP,0.9302325581395349
68092,68092,100,109,4,2,8,123,113,2,8,0.8861788617886179,0.032520325203252036,0.016260162601626018,0.06504065040650407,0.9186991869918699,0.016260162601626018,0.06504065040650407,Robert J. Rodriguez RECAP,0.9186991869918699
68093,68093,100,191,7,1,4,203,198,1,4,0.9408866995073891,0.034482758620689655,0.0049261083743842365,0.019704433497536946,0.9753694581280788,0.0049261083743842365,0.019704433497536946,Robert J. Rodriguez RECAP,0.9753694581280788
68094,68094,100,14,1,0,2,17,15,0,2,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.8823529411764706,0.0,0.11764705882352941,Robert J. Rodriguez RECAP,0.8823529411764706
68095,68095,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68096,68096,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68097,68097,100,71,5,0,5,81,76,0,5,0.8765432098765432,0.06172839506172839,0.0,0.06172839506172839,0.9382716049382716,0.0,0.06172839506172839,Robert J. Rodriguez RECAP,0.9382716049382716
68098,68098,100,92,4,0,11,107,96,0,11,0.8598130841121495,0.037383177570093455,0.0,0.102803738317757,0.897196261682243,0.0,0.102803738317757,Robert J. Rodriguez RECAP,0.897196261682243
68099,68099,100,72,5,0,4,81,77,0,4,0.8888888888888888,0.06172839506172839,0.0,0.04938271604938271,0.9506172839506173,0.0,0.04938271604938271,Robert J. Rodriguez RECAP,0.9506172839506173
68100,68100,100,134,8,0,3,145,142,0,3,0.9241379310344827,0.05517241379310345,0.0,0.020689655172413793,0.9793103448275862,0.0,0.020689655172413793,Robert J. Rodriguez RECAP,0.9793103448275862
68101,68101,100,91,9,0,7,107,100,0,7,0.8504672897196262,0.08411214953271028,0.0,0.06542056074766354,0.9345794392523364,0.0,0.06542056074766354,Robert J. Rodriguez RECAP,0.9345794392523364
68200,68200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68201,68201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68202,68202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68203,68203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68204,68204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68205,68205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68206,68206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68207,68207,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
