ED,Reported As,Reporting,Joy F. Campanelli (Democratic),Vincent F. Martusciello (Conservative),Scattered,Total Votes,Joy F. Campanelli RECAP,Vincent F. Martusciello RECAP,Scattered RECAP,p_Joy F. Campanelli (Democratic),p_Vincent F. Martusciello (Conservative),p_Scattered,p_Joy F. Campanelli RECAP,p_Vincent F. Martusciello RECAP,p_Scattered RECAP,winner,winner_p
41048,41048,100,87,2,0,89,87,2,0,0.9775280898876404,0.02247191011235955,0.0,0.9775280898876404,0.02247191011235955,0.0,Joy F. Campanelli RECAP,0.9775280898876404
41049,41049,100,229,4,0,233,229,4,0,0.9828326180257511,0.017167381974248927,0.0,0.9828326180257511,0.017167381974248927,0.0,Joy F. Campanelli RECAP,0.9828326180257511
41050,41050,100,93,106,0,199,93,106,0,0.46733668341708545,0.5326633165829145,0.0,0.46733668341708545,0.5326633165829145,0.0,Vincent F. Martusciello RECAP,0.5326633165829145
41051,41051,100,35,16,0,51,35,16,0,0.6862745098039216,0.3137254901960784,0.0,0.6862745098039216,0.3137254901960784,0.0,Joy F. Campanelli RECAP,0.6862745098039216
41052,41052,100,41,33,1,75,41,33,1,0.5466666666666666,0.44,0.013333333333333334,0.5466666666666666,0.44,0.013333333333333334,Joy F. Campanelli RECAP,0.5466666666666666
41053,41053,100,141,19,1,161,141,19,1,0.8757763975155279,0.11801242236024845,0.006211180124223602,0.8757763975155279,0.11801242236024845,0.006211180124223602,Joy F. Campanelli RECAP,0.8757763975155279
41054,41054,100,162,4,0,166,162,4,0,0.9759036144578314,0.024096385542168676,0.0,0.9759036144578314,0.024096385542168676,0.0,Joy F. Campanelli RECAP,0.9759036144578314
41055,41055,100,192,7,0,199,192,7,0,0.964824120603015,0.035175879396984924,0.0,0.964824120603015,0.035175879396984924,0.0,Joy F. Campanelli RECAP,0.964824120603015
41056,41056,100,57,48,0,105,57,48,0,0.5428571428571428,0.45714285714285713,0.0,0.5428571428571428,0.45714285714285713,0.0,Joy F. Campanelli RECAP,0.5428571428571428
41057,41057,100,68,35,0,103,68,35,0,0.6601941747572816,0.33980582524271846,0.0,0.6601941747572816,0.33980582524271846,0.0,Joy F. Campanelli RECAP,0.6601941747572816
41058,41058,100,85,123,1,209,85,123,1,0.40669856459330145,0.5885167464114832,0.004784688995215311,0.40669856459330145,0.5885167464114832,0.004784688995215311,Vincent F. Martusciello RECAP,0.5885167464114832
41059,41059,100,96,93,0,189,96,93,0,0.5079365079365079,0.49206349206349204,0.0,0.5079365079365079,0.49206349206349204,0.0,Joy F. Campanelli RECAP,0.5079365079365079
41060,41060,100,85,31,1,117,85,31,1,0.7264957264957265,0.26495726495726496,0.008547008547008548,0.7264957264957265,0.26495726495726496,0.008547008547008548,Joy F. Campanelli RECAP,0.7264957264957265
41061,41061,100,55,23,1,79,55,23,1,0.6962025316455697,0.2911392405063291,0.012658227848101266,0.6962025316455697,0.2911392405063291,0.012658227848101266,Joy F. Campanelli RECAP,0.6962025316455697
41062,41062,100,61,41,1,103,61,41,1,0.5922330097087378,0.39805825242718446,0.009708737864077669,0.5922330097087378,0.39805825242718446,0.009708737864077669,Joy F. Campanelli RECAP,0.5922330097087378
41063,41063,100,101,52,1,154,101,52,1,0.6558441558441559,0.33766233766233766,0.006493506493506494,0.6558441558441559,0.33766233766233766,0.006493506493506494,Joy F. Campanelli RECAP,0.6558441558441559
41064,41064,100,206,86,0,292,206,86,0,0.7054794520547946,0.2945205479452055,0.0,0.7054794520547946,0.2945205479452055,0.0,Joy F. Campanelli RECAP,0.7054794520547946
41065,41065,100,27,10,0,37,27,10,0,0.7297297297297297,0.2702702702702703,0.0,0.7297297297297297,0.2702702702702703,0.0,Joy F. Campanelli RECAP,0.7297297297297297
41066,41066,100,112,6,0,118,112,6,0,0.9491525423728814,0.05084745762711865,0.0,0.9491525423728814,0.05084745762711865,0.0,Joy F. Campanelli RECAP,0.9491525423728814
41067,41067,100,104,4,0,108,104,4,0,0.9629629629629629,0.037037037037037035,0.0,0.9629629629629629,0.037037037037037035,0.0,Joy F. Campanelli RECAP,0.9629629629629629
41068,41068,100,116,13,0,129,116,13,0,0.8992248062015504,0.10077519379844961,0.0,0.8992248062015504,0.10077519379844961,0.0,Joy F. Campanelli RECAP,0.8992248062015504
41069,41069,100,97,3,0,100,97,3,0,0.97,0.03,0.0,0.97,0.03,0.0,Joy F. Campanelli RECAP,0.97
41070,41070,100,86,59,0,145,86,59,0,0.593103448275862,0.4068965517241379,0.0,0.593103448275862,0.4068965517241379,0.0,Joy F. Campanelli RECAP,0.593103448275862
41071,41071,100,121,79,0,200,121,79,0,0.605,0.395,0.0,0.605,0.395,0.0,Joy F. Campanelli RECAP,0.605
41072,41072,100,99,69,0,168,99,69,0,0.5892857142857143,0.4107142857142857,0.0,0.5892857142857143,0.4107142857142857,0.0,Joy F. Campanelli RECAP,0.5892857142857143
41073,41073,100,151,58,0,209,151,58,0,0.722488038277512,0.27751196172248804,0.0,0.722488038277512,0.27751196172248804,0.0,Joy F. Campanelli RECAP,0.722488038277512
41074,41074,100,105,34,0,139,105,34,0,0.7553956834532374,0.2446043165467626,0.0,0.7553956834532374,0.2446043165467626,0.0,Joy F. Campanelli RECAP,0.7553956834532374
41075,41075,100,81,42,1,124,81,42,1,0.6532258064516129,0.3387096774193548,0.008064516129032258,0.6532258064516129,0.3387096774193548,0.008064516129032258,Joy F. Campanelli RECAP,0.6532258064516129
41076,41076,100,84,45,0,129,84,45,0,0.6511627906976745,0.3488372093023256,0.0,0.6511627906976745,0.3488372093023256,0.0,Joy F. Campanelli RECAP,0.6511627906976745
41077,41077,100,70,30,0,100,70,30,0,0.7,0.3,0.0,0.7,0.3,0.0,Joy F. Campanelli RECAP,0.7
41078,41078,100,61,30,0,91,61,30,0,0.6703296703296703,0.32967032967032966,0.0,0.6703296703296703,0.32967032967032966,0.0,Joy F. Campanelli RECAP,0.6703296703296703
41079,41079,100,75,55,0,130,75,55,0,0.5769230769230769,0.4230769230769231,0.0,0.5769230769230769,0.4230769230769231,0.0,Joy F. Campanelli RECAP,0.5769230769230769
41080,41080,100,8,7,0,15,8,7,0,0.5333333333333333,0.4666666666666667,0.0,0.5333333333333333,0.4666666666666667,0.0,Joy F. Campanelli RECAP,0.5333333333333333
41081,41081,100,106,60,0,166,106,60,0,0.6385542168674698,0.3614457831325301,0.0,0.6385542168674698,0.3614457831325301,0.0,Joy F. Campanelli RECAP,0.6385542168674698
41082,41082,100,85,75,0,160,85,75,0,0.53125,0.46875,0.0,0.53125,0.46875,0.0,Joy F. Campanelli RECAP,0.53125
41083,41083,100,120,52,0,172,120,52,0,0.6976744186046512,0.3023255813953488,0.0,0.6976744186046512,0.3023255813953488,0.0,Joy F. Campanelli RECAP,0.6976744186046512
41084,41084,100,128,115,0,243,128,115,0,0.5267489711934157,0.4732510288065844,0.0,0.5267489711934157,0.4732510288065844,0.0,Joy F. Campanelli RECAP,0.5267489711934157
41085,41085,100,84,17,0,101,84,17,0,0.8316831683168316,0.16831683168316833,0.0,0.8316831683168316,0.16831683168316833,0.0,Joy F. Campanelli RECAP,0.8316831683168316
41086,41086,100,9,7,0,16,9,7,0,0.5625,0.4375,0.0,0.5625,0.4375,0.0,Joy F. Campanelli RECAP,0.5625
41087,41087,100,71,45,0,116,71,45,0,0.6120689655172413,0.3879310344827586,0.0,0.6120689655172413,0.3879310344827586,0.0,Joy F. Campanelli RECAP,0.6120689655172413
41088,41088,100,44,75,0,119,44,75,0,0.3697478991596639,0.6302521008403361,0.0,0.3697478991596639,0.6302521008403361,0.0,Vincent F. Martusciello RECAP,0.6302521008403361
41089,41089,100,63,32,0,95,63,32,0,0.6631578947368421,0.3368421052631579,0.0,0.6631578947368421,0.3368421052631579,0.0,Joy F. Campanelli RECAP,0.6631578947368421
41090,41090,100,27,8,0,35,27,8,0,0.7714285714285715,0.22857142857142856,0.0,0.7714285714285715,0.22857142857142856,0.0,Joy F. Campanelli RECAP,0.7714285714285715
41091,41091,100,60,21,0,81,60,21,0,0.7407407407407407,0.25925925925925924,0.0,0.7407407407407407,0.25925925925925924,0.0,Joy F. Campanelli RECAP,0.7407407407407407
41092,41092,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41093,41090,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
42001,42001,100,12,1,0,13,12,1,0,0.9230769230769231,0.07692307692307693,0.0,0.9230769230769231,0.07692307692307693,0.0,Joy F. Campanelli RECAP,0.9230769230769231
42002,42002,100,179,3,1,183,179,3,1,0.9781420765027322,0.01639344262295082,0.00546448087431694,0.9781420765027322,0.01639344262295082,0.00546448087431694,Joy F. Campanelli RECAP,0.9781420765027322
42003,42003,100,237,7,0,244,237,7,0,0.9713114754098361,0.028688524590163935,0.0,0.9713114754098361,0.028688524590163935,0.0,Joy F. Campanelli RECAP,0.9713114754098361
42004,42004,100,135,4,0,139,135,4,0,0.9712230215827338,0.02877697841726619,0.0,0.9712230215827338,0.02877697841726619,0.0,Joy F. Campanelli RECAP,0.9712230215827338
42005,42005,100,229,11,5,245,229,11,5,0.9346938775510204,0.044897959183673466,0.02040816326530612,0.9346938775510204,0.044897959183673466,0.02040816326530612,Joy F. Campanelli RECAP,0.9346938775510204
42006,42006,100,147,6,0,153,147,6,0,0.9607843137254902,0.0392156862745098,0.0,0.9607843137254902,0.0392156862745098,0.0,Joy F. Campanelli RECAP,0.9607843137254902
42007,42007,100,224,2,0,226,224,2,0,0.9911504424778761,0.008849557522123894,0.0,0.9911504424778761,0.008849557522123894,0.0,Joy F. Campanelli RECAP,0.9911504424778761
42008,42008,100,223,2,0,225,223,2,0,0.9911111111111112,0.008888888888888889,0.0,0.9911111111111112,0.008888888888888889,0.0,Joy F. Campanelli RECAP,0.9911111111111112
42009,42009,100,182,2,0,184,182,2,0,0.9891304347826086,0.010869565217391304,0.0,0.9891304347826086,0.010869565217391304,0.0,Joy F. Campanelli RECAP,0.9891304347826086
42010,42010,100,212,3,1,216,212,3,1,0.9814814814814815,0.013888888888888888,0.004629629629629629,0.9814814814814815,0.013888888888888888,0.004629629629629629,Joy F. Campanelli RECAP,0.9814814814814815
42011,42011,100,179,6,0,185,179,6,0,0.9675675675675676,0.032432432432432434,0.0,0.9675675675675676,0.032432432432432434,0.0,Joy F. Campanelli RECAP,0.9675675675675676
42012,42012,100,185,2,1,188,185,2,1,0.9840425531914894,0.010638297872340425,0.005319148936170213,0.9840425531914894,0.010638297872340425,0.005319148936170213,Joy F. Campanelli RECAP,0.9840425531914894
42013,42013,100,156,2,0,158,156,2,0,0.9873417721518988,0.012658227848101266,0.0,0.9873417721518988,0.012658227848101266,0.0,Joy F. Campanelli RECAP,0.9873417721518988
42014,42014,100,60,1,0,61,60,1,0,0.9836065573770492,0.01639344262295082,0.0,0.9836065573770492,0.01639344262295082,0.0,Joy F. Campanelli RECAP,0.9836065573770492
42015,42015,100,174,2,1,177,174,2,1,0.9830508474576272,0.011299435028248588,0.005649717514124294,0.9830508474576272,0.011299435028248588,0.005649717514124294,Joy F. Campanelli RECAP,0.9830508474576272
42016,42016,100,175,2,0,177,175,2,0,0.9887005649717514,0.011299435028248588,0.0,0.9887005649717514,0.011299435028248588,0.0,Joy F. Campanelli RECAP,0.9887005649717514
42017,42017,100,207,1,0,208,207,1,0,0.9951923076923077,0.004807692307692308,0.0,0.9951923076923077,0.004807692307692308,0.0,Joy F. Campanelli RECAP,0.9951923076923077
42018,42018,100,146,2,0,148,146,2,0,0.9864864864864865,0.013513513513513514,0.0,0.9864864864864865,0.013513513513513514,0.0,Joy F. Campanelli RECAP,0.9864864864864865
42019,42019,100,125,2,0,127,125,2,0,0.984251968503937,0.015748031496062992,0.0,0.984251968503937,0.015748031496062992,0.0,Joy F. Campanelli RECAP,0.984251968503937
42020,42020,100,190,1,1,192,190,1,1,0.9895833333333334,0.005208333333333333,0.005208333333333333,0.9895833333333334,0.005208333333333333,0.005208333333333333,Joy F. Campanelli RECAP,0.9895833333333334
42021,42021,100,173,5,0,178,173,5,0,0.9719101123595506,0.028089887640449437,0.0,0.9719101123595506,0.028089887640449437,0.0,Joy F. Campanelli RECAP,0.9719101123595506
42022,42022,100,174,2,0,176,174,2,0,0.9886363636363636,0.011363636363636364,0.0,0.9886363636363636,0.011363636363636364,0.0,Joy F. Campanelli RECAP,0.9886363636363636
42023,42023,100,222,4,0,226,222,4,0,0.9823008849557522,0.017699115044247787,0.0,0.9823008849557522,0.017699115044247787,0.0,Joy F. Campanelli RECAP,0.9823008849557522
42024,42024,100,221,10,0,231,221,10,0,0.9567099567099567,0.04329004329004329,0.0,0.9567099567099567,0.04329004329004329,0.0,Joy F. Campanelli RECAP,0.9567099567099567
42025,42025,100,223,5,0,228,223,5,0,0.9780701754385965,0.021929824561403508,0.0,0.9780701754385965,0.021929824561403508,0.0,Joy F. Campanelli RECAP,0.9780701754385965
42026,42026,100,171,1,1,173,171,1,1,0.9884393063583815,0.005780346820809248,0.005780346820809248,0.9884393063583815,0.005780346820809248,0.005780346820809248,Joy F. Campanelli RECAP,0.9884393063583815
42027,42027,100,199,3,1,203,199,3,1,0.9802955665024631,0.014778325123152709,0.0049261083743842365,0.9802955665024631,0.014778325123152709,0.0049261083743842365,Joy F. Campanelli RECAP,0.9802955665024631
42028,42028,100,203,1,0,204,203,1,0,0.9950980392156863,0.004901960784313725,0.0,0.9950980392156863,0.004901960784313725,0.0,Joy F. Campanelli RECAP,0.9950980392156863
42029,42029,100,199,1,0,200,199,1,0,0.995,0.005,0.0,0.995,0.005,0.0,Joy F. Campanelli RECAP,0.995
42030,42030,100,189,5,3,197,189,5,3,0.9593908629441624,0.025380710659898477,0.015228426395939087,0.9593908629441624,0.025380710659898477,0.015228426395939087,Joy F. Campanelli RECAP,0.9593908629441624
42031,42031,100,147,0,0,147,147,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Joy F. Campanelli RECAP,1.0
42032,42032,100,41,0,0,41,41,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Joy F. Campanelli RECAP,1.0
42033,42033,100,8,2,0,10,8,2,0,0.8,0.2,0.0,0.8,0.2,0.0,Joy F. Campanelli RECAP,0.8
42034,42034,100,132,17,1,150,132,17,1,0.88,0.11333333333333333,0.006666666666666667,0.88,0.11333333333333333,0.006666666666666667,Joy F. Campanelli RECAP,0.88
42035,42035,100,135,7,0,142,135,7,0,0.9507042253521126,0.04929577464788732,0.0,0.9507042253521126,0.04929577464788732,0.0,Joy F. Campanelli RECAP,0.9507042253521126
42036,42036,100,200,68,3,271,200,68,3,0.7380073800738007,0.25092250922509224,0.01107011070110701,0.7380073800738007,0.25092250922509224,0.01107011070110701,Joy F. Campanelli RECAP,0.7380073800738007
42037,42037,100,100,11,0,111,100,11,0,0.9009009009009009,0.0990990990990991,0.0,0.9009009009009009,0.0990990990990991,0.0,Joy F. Campanelli RECAP,0.9009009009009009
42038,42038,100,69,112,1,182,69,112,1,0.3791208791208791,0.6153846153846154,0.005494505494505495,0.3791208791208791,0.6153846153846154,0.005494505494505495,Vincent F. Martusciello RECAP,0.6153846153846154
42039,42039,100,225,2,0,227,225,2,0,0.9911894273127754,0.00881057268722467,0.0,0.9911894273127754,0.00881057268722467,0.0,Joy F. Campanelli RECAP,0.9911894273127754
42040,42040,100,215,0,0,215,215,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Joy F. Campanelli RECAP,1.0
42041,42041,100,231,3,0,234,231,3,0,0.9871794871794872,0.01282051282051282,0.0,0.9871794871794872,0.01282051282051282,0.0,Joy F. Campanelli RECAP,0.9871794871794872
42042,42042,100,220,0,0,220,220,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Joy F. Campanelli RECAP,1.0
42043,42043,100,208,9,0,217,208,9,0,0.9585253456221198,0.041474654377880185,0.0,0.9585253456221198,0.041474654377880185,0.0,Joy F. Campanelli RECAP,0.9585253456221198
42044,42044,100,234,3,0,237,234,3,0,0.9873417721518988,0.012658227848101266,0.0,0.9873417721518988,0.012658227848101266,0.0,Joy F. Campanelli RECAP,0.9873417721518988
42045,42045,100,197,2,0,199,197,2,0,0.9899497487437185,0.010050251256281407,0.0,0.9899497487437185,0.010050251256281407,0.0,Joy F. Campanelli RECAP,0.9899497487437185
42046,42046,100,191,4,0,195,191,4,0,0.9794871794871794,0.020512820512820513,0.0,0.9794871794871794,0.020512820512820513,0.0,Joy F. Campanelli RECAP,0.9794871794871794
42047,42047,100,204,1,0,205,204,1,0,0.9951219512195122,0.004878048780487805,0.0,0.9951219512195122,0.004878048780487805,0.0,Joy F. Campanelli RECAP,0.9951219512195122
42048,42048,100,123,5,0,128,123,5,0,0.9609375,0.0390625,0.0,0.9609375,0.0390625,0.0,Joy F. Campanelli RECAP,0.9609375
42049,42049,100,214,7,0,221,214,7,0,0.9683257918552036,0.03167420814479638,0.0,0.9683257918552036,0.03167420814479638,0.0,Joy F. Campanelli RECAP,0.9683257918552036
42050,42050,100,204,4,0,208,204,4,0,0.9807692307692307,0.019230769230769232,0.0,0.9807692307692307,0.019230769230769232,0.0,Joy F. Campanelli RECAP,0.9807692307692307
42051,42051,100,168,31,0,199,168,31,0,0.8442211055276382,0.15577889447236182,0.0,0.8442211055276382,0.15577889447236182,0.0,Joy F. Campanelli RECAP,0.8442211055276382
42052,42052,100,189,5,0,194,189,5,0,0.9742268041237113,0.02577319587628866,0.0,0.9742268041237113,0.02577319587628866,0.0,Joy F. Campanelli RECAP,0.9742268041237113
42053,42053,100,101,4,0,105,101,4,0,0.9619047619047619,0.0380952380952381,0.0,0.9619047619047619,0.0380952380952381,0.0,Joy F. Campanelli RECAP,0.9619047619047619
42054,42054,100,247,7,0,254,247,7,0,0.9724409448818898,0.027559055118110236,0.0,0.9724409448818898,0.027559055118110236,0.0,Joy F. Campanelli RECAP,0.9724409448818898
42055,42055,100,216,5,0,221,216,5,0,0.9773755656108597,0.02262443438914027,0.0,0.9773755656108597,0.02262443438914027,0.0,Joy F. Campanelli RECAP,0.9773755656108597
42056,42056,100,193,6,0,199,193,6,0,0.9698492462311558,0.03015075376884422,0.0,0.9698492462311558,0.03015075376884422,0.0,Joy F. Campanelli RECAP,0.9698492462311558
42057,42057,100,255,6,1,262,255,6,1,0.9732824427480916,0.022900763358778626,0.003816793893129771,0.9732824427480916,0.022900763358778626,0.003816793893129771,Joy F. Campanelli RECAP,0.9732824427480916
42058,42058,100,148,2,0,150,148,2,0,0.9866666666666667,0.013333333333333334,0.0,0.9866666666666667,0.013333333333333334,0.0,Joy F. Campanelli RECAP,0.9866666666666667
42059,42059,100,36,43,0,79,36,43,0,0.45569620253164556,0.5443037974683544,0.0,0.45569620253164556,0.5443037974683544,0.0,Vincent F. Martusciello RECAP,0.5443037974683544
42060,42060,100,7,17,0,24,7,17,0,0.2916666666666667,0.7083333333333334,0.0,0.2916666666666667,0.7083333333333334,0.0,Vincent F. Martusciello RECAP,0.7083333333333334
42061,42061,100,69,54,1,124,69,54,1,0.5564516129032258,0.43548387096774194,0.008064516129032258,0.5564516129032258,0.43548387096774194,0.008064516129032258,Joy F. Campanelli RECAP,0.5564516129032258
