ED,Reported As,Reporting,Rebecca A. Seawright (Democratic),David Paul Garland (Dump The Dump),Rebecca A. Seawright (Working Families),David Paul Garland (Republican),David Paul Garland (Independence),Scattered,Total Votes,Rebecca A. Seawright RECAP,David Paul Garland RECAP,Scattered RECAP,p_Rebecca A. Seawright (Democratic),p_David Paul Garland (Dump The Dump),p_Rebecca A. Seawright (Working Families),p_David Paul Garland (Republican),p_David Paul Garland (Independence),p_Scattered,p_Rebecca A. Seawright RECAP,p_David Paul Garland RECAP,p_Scattered RECAP,winner,winner_p
76019,76019,100,171,8,22,141,7,0,349,193,156,0,0.4899713467048711,0.022922636103151862,0.06303724928366762,0.4040114613180516,0.02005730659025788,0.0,0.5530085959885387,0.4469914040114613,0.0,Rebecca A. Seawright RECAP,0.5530085959885387
76020,76020,100,155,0,14,76,6,1,252,169,82,1,0.6150793650793651,0.0,0.05555555555555555,0.30158730158730157,0.023809523809523808,0.003968253968253968,0.6706349206349206,0.3253968253968254,0.003968253968253968,Rebecca A. Seawright RECAP,0.6706349206349206
76021,76021,100,223,2,17,115,8,0,365,240,125,0,0.6109589041095891,0.005479452054794521,0.04657534246575343,0.3150684931506849,0.021917808219178082,0.0,0.6575342465753424,0.3424657534246575,0.0,Rebecca A. Seawright RECAP,0.6575342465753424
76022,76022,100,147,0,9,116,2,0,274,156,118,0,0.5364963503649635,0.0,0.032846715328467155,0.4233576642335766,0.0072992700729927005,0.0,0.5693430656934306,0.4306569343065693,0.0,Rebecca A. Seawright RECAP,0.5693430656934306
76023,76023,100,106,3,12,75,3,0,199,118,81,0,0.5326633165829145,0.01507537688442211,0.06030150753768844,0.3768844221105528,0.01507537688442211,0.0,0.592964824120603,0.40703517587939697,0.0,Rebecca A. Seawright RECAP,0.592964824120603
76024,76024,100,147,0,10,68,3,0,228,157,71,0,0.6447368421052632,0.0,0.043859649122807015,0.2982456140350877,0.013157894736842105,0.0,0.6885964912280702,0.31140350877192985,0.0,Rebecca A. Seawright RECAP,0.6885964912280702
76025,76025,100,171,0,20,99,8,0,298,191,107,0,0.5738255033557047,0.0,0.06711409395973154,0.33221476510067116,0.026845637583892617,0.0,0.6409395973154363,0.35906040268456374,0.0,Rebecca A. Seawright RECAP,0.6409395973154363
76026,76026,100,179,3,17,68,6,0,273,196,77,0,0.6556776556776557,0.01098901098901099,0.06227106227106227,0.2490842490842491,0.02197802197802198,0.0,0.717948717948718,0.28205128205128205,0.0,Rebecca A. Seawright RECAP,0.717948717948718
76027,76027,100,132,0,13,59,7,0,211,145,66,0,0.6255924170616114,0.0,0.061611374407582936,0.2796208530805687,0.03317535545023697,0.0,0.6872037914691943,0.3127962085308057,0.0,Rebecca A. Seawright RECAP,0.6872037914691943
76028,76028,100,209,0,18,108,8,0,343,227,116,0,0.60932944606414,0.0,0.052478134110787174,0.31486880466472306,0.023323615160349854,0.0,0.6618075801749271,0.33819241982507287,0.0,Rebecca A. Seawright RECAP,0.6618075801749271
76029,76029,100,113,2,10,52,5,0,182,123,59,0,0.6208791208791209,0.01098901098901099,0.054945054945054944,0.2857142857142857,0.027472527472527472,0.0,0.6758241758241759,0.3241758241758242,0.0,Rebecca A. Seawright RECAP,0.6758241758241759
76030,76030,100,94,0,6,44,7,1,152,100,51,1,0.618421052631579,0.0,0.039473684210526314,0.2894736842105263,0.046052631578947366,0.006578947368421052,0.6578947368421053,0.3355263157894737,0.006578947368421052,Rebecca A. Seawright RECAP,0.6578947368421053
76031,76031,100,150,5,7,58,6,1,227,157,69,1,0.6607929515418502,0.022026431718061675,0.030837004405286344,0.2555066079295154,0.02643171806167401,0.004405286343612335,0.6916299559471366,0.3039647577092511,0.004405286343612335,Rebecca A. Seawright RECAP,0.6916299559471366
76032,76032,100,170,3,22,68,6,0,269,192,77,0,0.6319702602230484,0.011152416356877323,0.08178438661710037,0.2527881040892193,0.022304832713754646,0.0,0.7137546468401487,0.2862453531598513,0.0,Rebecca A. Seawright RECAP,0.7137546468401487
76033,76033,100,133,3,17,83,3,1,240,150,89,1,0.5541666666666667,0.0125,0.07083333333333333,0.3458333333333333,0.0125,0.004166666666666667,0.625,0.37083333333333335,0.004166666666666667,Rebecca A. Seawright RECAP,0.625
76034,76034,100,216,3,13,103,4,0,339,229,110,0,0.6371681415929203,0.008849557522123894,0.038348082595870206,0.30383480825958703,0.011799410029498525,0.0,0.6755162241887905,0.32448377581120946,0.0,Rebecca A. Seawright RECAP,0.6755162241887905
76035,76035,100,264,8,26,130,9,0,437,290,147,0,0.6041189931350115,0.018306636155606407,0.059496567505720827,0.2974828375286041,0.020594965675057208,0.0,0.6636155606407322,0.33638443935926776,0.0,Rebecca A. Seawright RECAP,0.6636155606407322
76036,76036,100,109,1,9,47,7,0,173,118,55,0,0.630057803468208,0.005780346820809248,0.05202312138728324,0.27167630057803466,0.04046242774566474,0.0,0.6820809248554913,0.3179190751445087,0.0,Rebecca A. Seawright RECAP,0.6820809248554913
76037,76037,100,130,1,14,49,4,0,198,144,54,0,0.6565656565656566,0.005050505050505051,0.0707070707070707,0.2474747474747475,0.020202020202020204,0.0,0.7272727272727273,0.2727272727272727,0.0,Rebecca A. Seawright RECAP,0.7272727272727273
76038,76038,100,121,1,14,55,6,0,197,135,62,0,0.6142131979695431,0.005076142131979695,0.07106598984771574,0.27918781725888325,0.030456852791878174,0.0,0.6852791878172588,0.3147208121827411,0.0,Rebecca A. Seawright RECAP,0.6852791878172588
76039,76039,100,129,4,18,68,8,0,227,147,80,0,0.5682819383259912,0.01762114537444934,0.07929515418502203,0.29955947136563876,0.03524229074889868,0.0,0.6475770925110133,0.3524229074889868,0.0,Rebecca A. Seawright RECAP,0.6475770925110133
76040,76040,100,177,4,22,95,2,0,300,199,101,0,0.59,0.013333333333333334,0.07333333333333333,0.31666666666666665,0.006666666666666667,0.0,0.6633333333333333,0.33666666666666667,0.0,Rebecca A. Seawright RECAP,0.6633333333333333
76041,76041,100,147,0,18,50,7,0,222,165,57,0,0.6621621621621622,0.0,0.08108108108108109,0.22522522522522523,0.03153153153153153,0.0,0.7432432432432432,0.25675675675675674,0.0,Rebecca A. Seawright RECAP,0.7432432432432432
76042,76042,100,193,6,21,106,12,0,338,214,124,0,0.5710059171597633,0.01775147928994083,0.0621301775147929,0.3136094674556213,0.03550295857988166,0.0,0.6331360946745562,0.3668639053254438,0.0,Rebecca A. Seawright RECAP,0.6331360946745562
76043,76043,100,142,4,10,96,8,0,260,152,108,0,0.5461538461538461,0.015384615384615385,0.038461538461538464,0.36923076923076925,0.03076923076923077,0.0,0.5846153846153846,0.4153846153846154,0.0,Rebecca A. Seawright RECAP,0.5846153846153846
76044,76044,100,156,7,17,76,8,0,264,173,91,0,0.5909090909090909,0.026515151515151516,0.06439393939393939,0.2878787878787879,0.030303030303030304,0.0,0.6553030303030303,0.3446969696969697,0.0,Rebecca A. Seawright RECAP,0.6553030303030303
76045,76045,100,136,3,17,62,7,1,226,153,72,1,0.6017699115044248,0.01327433628318584,0.0752212389380531,0.2743362831858407,0.030973451327433628,0.004424778761061947,0.6769911504424779,0.3185840707964602,0.004424778761061947,Rebecca A. Seawright RECAP,0.6769911504424779
76046,76046,100,239,1,21,110,12,1,384,260,123,1,0.6223958333333334,0.0026041666666666665,0.0546875,0.2864583333333333,0.03125,0.0026041666666666665,0.6770833333333334,0.3203125,0.0026041666666666665,Rebecca A. Seawright RECAP,0.6770833333333334
76047,76047,100,112,0,20,52,5,0,189,132,57,0,0.5925925925925926,0.0,0.10582010582010581,0.2751322751322751,0.026455026455026454,0.0,0.6984126984126984,0.30158730158730157,0.0,Rebecca A. Seawright RECAP,0.6984126984126984
76048,76048,100,105,2,9,65,6,0,187,114,73,0,0.5614973262032086,0.0106951871657754,0.0481283422459893,0.34759358288770054,0.03208556149732621,0.0,0.6096256684491979,0.39037433155080214,0.0,Rebecca A. Seawright RECAP,0.6096256684491979
76049,76049,100,143,9,17,83,8,2,262,160,100,2,0.5458015267175572,0.03435114503816794,0.0648854961832061,0.31679389312977096,0.030534351145038167,0.007633587786259542,0.6106870229007634,0.3816793893129771,0.007633587786259542,Rebecca A. Seawright RECAP,0.6106870229007634
76050,76050,100,141,2,24,92,12,0,271,165,106,0,0.5202952029520295,0.007380073800738007,0.08856088560885608,0.33948339483394835,0.04428044280442804,0.0,0.6088560885608856,0.39114391143911437,0.0,Rebecca A. Seawright RECAP,0.6088560885608856
76051,76051,100,200,4,31,80,6,1,322,231,90,1,0.6211180124223602,0.012422360248447204,0.09627329192546584,0.2484472049689441,0.018633540372670808,0.003105590062111801,0.717391304347826,0.2795031055900621,0.003105590062111801,Rebecca A. Seawright RECAP,0.717391304347826
76052,76052,100,139,3,16,54,5,2,219,155,62,2,0.634703196347032,0.0136986301369863,0.0730593607305936,0.2465753424657534,0.0228310502283105,0.0091324200913242,0.7077625570776256,0.2831050228310502,0.0091324200913242,Rebecca A. Seawright RECAP,0.7077625570776256
76053,76053,100,133,3,14,50,5,0,205,147,58,0,0.6487804878048781,0.014634146341463415,0.06829268292682927,0.24390243902439024,0.024390243902439025,0.0,0.7170731707317073,0.28292682926829266,0.0,Rebecca A. Seawright RECAP,0.7170731707317073
76054,76054,100,160,4,25,80,6,2,277,185,90,2,0.5776173285198556,0.01444043321299639,0.09025270758122744,0.2888086642599278,0.021660649819494584,0.007220216606498195,0.6678700361010831,0.3249097472924188,0.007220216606498195,Rebecca A. Seawright RECAP,0.6678700361010831
76055,76055,100,179,4,23,82,8,0,296,202,94,0,0.6047297297297297,0.013513513513513514,0.0777027027027027,0.27702702702702703,0.02702702702702703,0.0,0.6824324324324325,0.31756756756756754,0.0,Rebecca A. Seawright RECAP,0.6824324324324325
76056,76056,100,72,5,8,62,2,0,149,80,69,0,0.48322147651006714,0.03355704697986577,0.053691275167785234,0.4161073825503356,0.013422818791946308,0.0,0.5369127516778524,0.46308724832214765,0.0,Rebecca A. Seawright RECAP,0.5369127516778524
76057,76057,100,172,6,24,106,14,0,322,196,126,0,0.5341614906832298,0.018633540372670808,0.07453416149068323,0.32919254658385094,0.043478260869565216,0.0,0.6086956521739131,0.391304347826087,0.0,Rebecca A. Seawright RECAP,0.6086956521739131
76058,76058,100,228,7,9,142,12,0,398,237,161,0,0.5728643216080402,0.017587939698492462,0.022613065326633167,0.35678391959798994,0.03015075376884422,0.0,0.5954773869346733,0.4045226130653266,0.0,Rebecca A. Seawright RECAP,0.5954773869346733
76059,76059,100,200,11,37,119,8,0,375,237,138,0,0.5333333333333333,0.029333333333333333,0.09866666666666667,0.31733333333333336,0.021333333333333333,0.0,0.632,0.368,0.0,Rebecca A. Seawright RECAP,0.632
76060,76060,100,116,6,21,37,9,1,190,137,52,1,0.6105263157894737,0.031578947368421054,0.11052631578947368,0.19473684210526315,0.04736842105263158,0.005263157894736842,0.7210526315789474,0.2736842105263158,0.005263157894736842,Rebecca A. Seawright RECAP,0.7210526315789474
76061,76061,100,139,3,16,66,5,0,229,155,74,0,0.6069868995633187,0.013100436681222707,0.06986899563318777,0.28820960698689957,0.021834061135371178,0.0,0.6768558951965066,0.3231441048034934,0.0,Rebecca A. Seawright RECAP,0.6768558951965066
76062,76062,100,121,4,9,72,5,0,211,130,81,0,0.5734597156398105,0.018957345971563982,0.04265402843601896,0.3412322274881517,0.023696682464454975,0.0,0.6161137440758294,0.38388625592417064,0.0,Rebecca A. Seawright RECAP,0.6161137440758294
76063,76063,100,135,6,20,71,8,0,240,155,85,0,0.5625,0.025,0.08333333333333333,0.29583333333333334,0.03333333333333333,0.0,0.6458333333333334,0.3541666666666667,0.0,Rebecca A. Seawright RECAP,0.6458333333333334
76064,76064,100,150,12,29,111,8,0,310,179,131,0,0.4838709677419355,0.03870967741935484,0.0935483870967742,0.3580645161290323,0.025806451612903226,0.0,0.5774193548387097,0.42258064516129035,0.0,Rebecca A. Seawright RECAP,0.5774193548387097
76065,76065,100,233,11,34,135,10,1,424,267,156,1,0.5495283018867925,0.025943396226415096,0.08018867924528301,0.31839622641509435,0.02358490566037736,0.0023584905660377358,0.6297169811320755,0.36792452830188677,0.0023584905660377358,Rebecca A. Seawright RECAP,0.6297169811320755
76066,76066,100,130,4,9,65,4,0,212,139,73,0,0.6132075471698113,0.018867924528301886,0.04245283018867924,0.30660377358490565,0.018867924528301886,0.0,0.6556603773584906,0.3443396226415094,0.0,Rebecca A. Seawright RECAP,0.6556603773584906
76067,76067,100,179,5,19,109,10,0,322,198,124,0,0.5559006211180124,0.015527950310559006,0.059006211180124224,0.3385093167701863,0.031055900621118012,0.0,0.6149068322981367,0.38509316770186336,0.0,Rebecca A. Seawright RECAP,0.6149068322981367
76068,76068,100,173,5,18,94,10,1,301,191,109,1,0.574750830564784,0.016611295681063124,0.059800664451827246,0.3122923588039867,0.03322259136212625,0.0033222591362126247,0.6345514950166113,0.36212624584717606,0.0033222591362126247,Rebecca A. Seawright RECAP,0.6345514950166113
76069,76069,100,201,8,27,106,15,0,357,228,129,0,0.5630252100840336,0.022408963585434174,0.07563025210084033,0.2969187675070028,0.04201680672268908,0.0,0.6386554621848739,0.36134453781512604,0.0,Rebecca A. Seawright RECAP,0.6386554621848739
76070,76070,100,165,7,16,90,3,1,282,181,100,1,0.5851063829787234,0.024822695035460994,0.05673758865248227,0.3191489361702128,0.010638297872340425,0.0035460992907801418,0.6418439716312057,0.3546099290780142,0.0035460992907801418,Rebecca A. Seawright RECAP,0.6418439716312057
76071,76071,100,216,2,34,98,8,0,358,250,108,0,0.6033519553072626,0.00558659217877095,0.09497206703910614,0.2737430167597765,0.0223463687150838,0.0,0.6983240223463687,0.3016759776536313,0.0,Rebecca A. Seawright RECAP,0.6983240223463687
76072,76072,100,224,6,43,122,11,0,406,267,139,0,0.5517241379310345,0.014778325123152709,0.10591133004926108,0.30049261083743845,0.027093596059113302,0.0,0.6576354679802956,0.34236453201970446,0.0,Rebecca A. Seawright RECAP,0.6576354679802956
76073,76073,100,208,15,27,76,5,0,331,235,96,0,0.6283987915407855,0.045317220543806644,0.08157099697885196,0.229607250755287,0.015105740181268883,0.0,0.7099697885196374,0.29003021148036257,0.0,Rebecca A. Seawright RECAP,0.7099697885196374
76074,76074,100,165,6,19,73,3,1,267,184,82,1,0.6179775280898876,0.02247191011235955,0.07116104868913857,0.27340823970037453,0.011235955056179775,0.003745318352059925,0.6891385767790262,0.30711610486891383,0.003745318352059925,Rebecca A. Seawright RECAP,0.6891385767790262
76075,76075,100,192,12,15,101,10,0,330,207,123,0,0.5818181818181818,0.03636363636363636,0.045454545454545456,0.30606060606060603,0.030303030303030304,0.0,0.6272727272727273,0.37272727272727274,0.0,Rebecca A. Seawright RECAP,0.6272727272727273
76076,76076,100,114,6,17,43,2,1,183,131,51,1,0.6229508196721312,0.03278688524590164,0.09289617486338798,0.23497267759562843,0.01092896174863388,0.00546448087431694,0.7158469945355191,0.2786885245901639,0.00546448087431694,Rebecca A. Seawright RECAP,0.7158469945355191
76077,76077,100,180,13,22,97,10,0,322,202,120,0,0.5590062111801242,0.040372670807453416,0.06832298136645963,0.30124223602484473,0.031055900621118012,0.0,0.6273291925465838,0.37267080745341613,0.0,Rebecca A. Seawright RECAP,0.6273291925465838
76078,76078,100,175,13,19,91,14,0,312,194,118,0,0.5608974358974359,0.041666666666666664,0.060897435897435896,0.2916666666666667,0.04487179487179487,0.0,0.6217948717948718,0.3782051282051282,0.0,Rebecca A. Seawright RECAP,0.6217948717948718
76079,76079,100,195,18,28,85,7,0,333,223,110,0,0.5855855855855856,0.05405405405405406,0.08408408408408409,0.2552552552552553,0.021021021021021023,0.0,0.6696696696696697,0.3303303303303303,0.0,Rebecca A. Seawright RECAP,0.6696696696696697
76080,76080,100,126,9,16,33,3,0,187,142,45,0,0.6737967914438503,0.0481283422459893,0.0855614973262032,0.17647058823529413,0.016042780748663103,0.0,0.7593582887700535,0.24064171122994651,0.0,Rebecca A. Seawright RECAP,0.7593582887700535
76081,76081,100,111,4,5,28,2,0,150,116,34,0,0.74,0.02666666666666667,0.03333333333333333,0.18666666666666668,0.013333333333333334,0.0,0.7733333333333333,0.22666666666666666,0.0,Rebecca A. Seawright RECAP,0.7733333333333333
76082,76082,100,66,0,11,21,1,0,99,77,22,0,0.6666666666666666,0.0,0.1111111111111111,0.21212121212121213,0.010101010101010102,0.0,0.7777777777777778,0.2222222222222222,0.0,Rebecca A. Seawright RECAP,0.7777777777777778
76083,76083,100,316,6,71,56,7,1,457,387,69,1,0.6914660831509847,0.01312910284463895,0.15536105032822758,0.12253829321663019,0.015317286652078774,0.002188183807439825,0.8468271334792122,0.15098468271334792,0.002188183807439825,Rebecca A. Seawright RECAP,0.8468271334792122
76084,76084,100,198,1,28,26,5,0,258,226,32,0,0.7674418604651163,0.003875968992248062,0.10852713178294573,0.10077519379844961,0.01937984496124031,0.0,0.875968992248062,0.12403100775193798,0.0,Rebecca A. Seawright RECAP,0.875968992248062
76085,76085,100,151,0,20,22,6,0,199,171,28,0,0.7587939698492462,0.0,0.10050251256281408,0.11055276381909548,0.03015075376884422,0.0,0.8592964824120602,0.1407035175879397,0.0,Rebecca A. Seawright RECAP,0.8592964824120602
76086,76086,100,135,3,13,43,3,0,197,148,49,0,0.6852791878172588,0.015228426395939087,0.06598984771573604,0.2182741116751269,0.015228426395939087,0.0,0.751269035532995,0.24873096446700507,0.0,Rebecca A. Seawright RECAP,0.751269035532995
76087,76087,100,70,0,5,9,1,0,85,75,10,0,0.8235294117647058,0.0,0.058823529411764705,0.10588235294117647,0.011764705882352941,0.0,0.8823529411764706,0.11764705882352941,0.0,Rebecca A. Seawright RECAP,0.8823529411764706
76088,76088,100,160,2,21,75,13,0,271,181,90,0,0.5904059040590406,0.007380073800738007,0.07749077490774908,0.2767527675276753,0.04797047970479705,0.0,0.6678966789667896,0.33210332103321033,0.0,Rebecca A. Seawright RECAP,0.6678966789667896
76089,76089,100,121,3,26,68,6,0,224,147,77,0,0.5401785714285714,0.013392857142857142,0.11607142857142858,0.30357142857142855,0.026785714285714284,0.0,0.65625,0.34375,0.0,Rebecca A. Seawright RECAP,0.65625
76090,76090,100,161,3,32,68,5,0,269,193,76,0,0.5985130111524164,0.011152416356877323,0.11895910780669144,0.2527881040892193,0.01858736059479554,0.0,0.7174721189591078,0.2825278810408922,0.0,Rebecca A. Seawright RECAP,0.7174721189591078
76200,76200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76201,76201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76202,76202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76203,76203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76204,76204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76205,76205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76206,76206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76207,76207,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
