ED,Reported As,Reporting,Joseph Esposito (Democratic),Scattered,Total Votes,Joseph Esposito RECAP,Scattered RECAP,p_Joseph Esposito (Democratic),p_Scattered,p_Joseph Esposito RECAP,p_Scattered RECAP,winner,winner_p
36007,36007,100,155,1,156,155,1,0.9935897435897436,0.00641025641025641,0.9935897435897436,0.00641025641025641,Joseph Esposito RECAP,0.9935897435897436
36008,36008,100,200,0,200,200,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36009,36009,100,257,0,257,257,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36010,36010,100,192,0,192,192,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36011,36011,100,149,2,151,149,2,0.9867549668874173,0.013245033112582781,0.9867549668874173,0.013245033112582781,Joseph Esposito RECAP,0.9867549668874173
36012,36012,100,234,0,234,234,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36013,36013,100,212,3,215,212,3,0.986046511627907,0.013953488372093023,0.986046511627907,0.013953488372093023,Joseph Esposito RECAP,0.986046511627907
36014,36014,100,175,0,175,175,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36015,36015,100,135,4,139,135,4,0.9712230215827338,0.02877697841726619,0.9712230215827338,0.02877697841726619,Joseph Esposito RECAP,0.9712230215827338
36016,36016,100,214,4,218,214,4,0.981651376146789,0.01834862385321101,0.981651376146789,0.01834862385321101,Joseph Esposito RECAP,0.981651376146789
36017,36017,100,181,0,181,181,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36018,36018,100,173,3,176,173,3,0.9829545454545454,0.017045454545454544,0.9829545454545454,0.017045454545454544,Joseph Esposito RECAP,0.9829545454545454
36019,36019,100,161,2,163,161,2,0.9877300613496932,0.012269938650306749,0.9877300613496932,0.012269938650306749,Joseph Esposito RECAP,0.9877300613496932
36020,36020,100,230,1,231,230,1,0.9956709956709957,0.004329004329004329,0.9956709956709957,0.004329004329004329,Joseph Esposito RECAP,0.9956709956709957
36021,36021,100,190,0,190,190,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36022,36022,100,145,0,145,145,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36023,36023,100,116,0,116,116,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36024,36024,100,140,1,141,140,1,0.9929078014184397,0.0070921985815602835,0.9929078014184397,0.0070921985815602835,Joseph Esposito RECAP,0.9929078014184397
36025,36025,100,124,1,125,124,1,0.992,0.008,0.992,0.008,Joseph Esposito RECAP,0.992
36026,36026,100,92,0,92,92,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36027,36027,100,109,1,110,109,1,0.990909090909091,0.00909090909090909,0.990909090909091,0.00909090909090909,Joseph Esposito RECAP,0.990909090909091
36028,36028,100,104,3,107,104,3,0.9719626168224299,0.028037383177570093,0.9719626168224299,0.028037383177570093,Joseph Esposito RECAP,0.9719626168224299
36029,36029,100,98,0,98,98,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36030,36030,100,101,3,104,101,3,0.9711538461538461,0.028846153846153848,0.9711538461538461,0.028846153846153848,Joseph Esposito RECAP,0.9711538461538461
36031,36031,100,159,2,161,159,2,0.9875776397515528,0.012422360248447204,0.9875776397515528,0.012422360248447204,Joseph Esposito RECAP,0.9875776397515528
36032,36032,100,125,2,127,125,2,0.984251968503937,0.015748031496062992,0.984251968503937,0.015748031496062992,Joseph Esposito RECAP,0.984251968503937
36033,36033,100,191,4,195,191,4,0.9794871794871794,0.020512820512820513,0.9794871794871794,0.020512820512820513,Joseph Esposito RECAP,0.9794871794871794
36034,36034,100,156,1,157,156,1,0.9936305732484076,0.006369426751592357,0.9936305732484076,0.006369426751592357,Joseph Esposito RECAP,0.9936305732484076
36035,36035,100,176,2,178,176,2,0.9887640449438202,0.011235955056179775,0.9887640449438202,0.011235955056179775,Joseph Esposito RECAP,0.9887640449438202
36036,36036,100,195,1,196,195,1,0.9948979591836735,0.00510204081632653,0.9948979591836735,0.00510204081632653,Joseph Esposito RECAP,0.9948979591836735
36037,36037,100,198,2,200,198,2,0.99,0.01,0.99,0.01,Joseph Esposito RECAP,0.99
36038,36038,100,184,1,185,184,1,0.9945945945945946,0.005405405405405406,0.9945945945945946,0.005405405405405406,Joseph Esposito RECAP,0.9945945945945946
36039,36039,100,195,1,196,195,1,0.9948979591836735,0.00510204081632653,0.9948979591836735,0.00510204081632653,Joseph Esposito RECAP,0.9948979591836735
36040,36040,100,197,0,197,197,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36041,36041,100,208,3,211,208,3,0.985781990521327,0.014218009478672985,0.985781990521327,0.014218009478672985,Joseph Esposito RECAP,0.985781990521327
36042,36042,100,189,1,190,189,1,0.9947368421052631,0.005263157894736842,0.9947368421052631,0.005263157894736842,Joseph Esposito RECAP,0.9947368421052631
36045,36045,100,89,2,91,89,2,0.978021978021978,0.02197802197802198,0.978021978021978,0.02197802197802198,Joseph Esposito RECAP,0.978021978021978
36049,36049,100,137,1,138,137,1,0.9927536231884058,0.007246376811594203,0.9927536231884058,0.007246376811594203,Joseph Esposito RECAP,0.9927536231884058
36051,36051,100,15,0,15,15,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36052,36052,100,188,1,189,188,1,0.9947089947089947,0.005291005291005291,0.9947089947089947,0.005291005291005291,Joseph Esposito RECAP,0.9947089947089947
36053,36053,100,166,1,167,166,1,0.9940119760479041,0.005988023952095809,0.9940119760479041,0.005988023952095809,Joseph Esposito RECAP,0.9940119760479041
36054,36054,100,98,1,99,98,1,0.98989898989899,0.010101010101010102,0.98989898989899,0.010101010101010102,Joseph Esposito RECAP,0.98989898989899
36055,36055,100,172,1,173,172,1,0.9942196531791907,0.005780346820809248,0.9942196531791907,0.005780346820809248,Joseph Esposito RECAP,0.9942196531791907
36056,36056,100,114,2,116,114,2,0.9827586206896551,0.017241379310344827,0.9827586206896551,0.017241379310344827,Joseph Esposito RECAP,0.9827586206896551
36057,36057,100,151,1,152,151,1,0.993421052631579,0.006578947368421052,0.993421052631579,0.006578947368421052,Joseph Esposito RECAP,0.993421052631579
36058,36058,100,151,0,151,151,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36059,36059,100,137,3,140,137,3,0.9785714285714285,0.02142857142857143,0.9785714285714285,0.02142857142857143,Joseph Esposito RECAP,0.9785714285714285
36060,36060,100,159,2,161,159,2,0.9875776397515528,0.012422360248447204,0.9875776397515528,0.012422360248447204,Joseph Esposito RECAP,0.9875776397515528
36061,36061,100,145,4,149,145,4,0.9731543624161074,0.026845637583892617,0.9731543624161074,0.026845637583892617,Joseph Esposito RECAP,0.9731543624161074
36062,36062,100,121,0,121,121,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36063,36063,100,133,1,134,133,1,0.9925373134328358,0.007462686567164179,0.9925373134328358,0.007462686567164179,Joseph Esposito RECAP,0.9925373134328358
36064,36064,100,166,0,166,166,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36065,36065,100,46,0,46,46,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36066,36066,100,104,0,104,104,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36067,36067,100,132,0,132,132,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36068,36068,100,0,0,0,0,0,0,0,0,0,n/a,0
37001,37001,100,214,0,214,214,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37002,37002,100,156,0,156,156,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37003,37003,100,145,0,145,145,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37004,37004,100,149,0,149,149,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37005,37005,100,103,0,103,103,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37006,37006,100,85,0,85,85,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37007,37007,100,106,0,106,106,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37008,37008,100,184,0,184,184,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37009,37009,100,120,0,120,120,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37010,37010,100,180,2,182,180,2,0.989010989010989,0.01098901098901099,0.989010989010989,0.01098901098901099,Joseph Esposito RECAP,0.989010989010989
37011,37011,100,196,1,197,196,1,0.9949238578680203,0.005076142131979695,0.9949238578680203,0.005076142131979695,Joseph Esposito RECAP,0.9949238578680203
37012,37012,100,158,0,158,158,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37013,37013,100,142,0,142,142,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37014,37014,100,159,0,159,159,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37015,37015,100,120,0,120,120,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37016,37016,100,148,0,148,148,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37017,37017,100,175,1,176,175,1,0.9943181818181818,0.005681818181818182,0.9943181818181818,0.005681818181818182,Joseph Esposito RECAP,0.9943181818181818
37018,37018,100,226,0,226,226,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37019,37019,100,278,2,280,278,2,0.9928571428571429,0.007142857142857143,0.9928571428571429,0.007142857142857143,Joseph Esposito RECAP,0.9928571428571429
37020,37020,100,146,2,148,146,2,0.9864864864864865,0.013513513513513514,0.9864864864864865,0.013513513513513514,Joseph Esposito RECAP,0.9864864864864865
37021,37021,100,226,0,226,226,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37022,37022,100,257,2,259,257,2,0.9922779922779923,0.007722007722007722,0.9922779922779923,0.007722007722007722,Joseph Esposito RECAP,0.9922779922779923
37023,37023,100,180,3,183,180,3,0.9836065573770492,0.01639344262295082,0.9836065573770492,0.01639344262295082,Joseph Esposito RECAP,0.9836065573770492
37024,37024,100,192,0,192,192,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
37073,37073,100,0,0,0,0,0,0,0,0,0,n/a,0
