ED,Reported As,Reporting,Steven Cymbrowitz (Democratic),Steven Cymbrowitz (Independence),Ben Akselrod (Republican),Steven Cymbrowitz (Working Families),Scattered,Mikhail Usher (Conservative),Total Votes,Steven Cymbrowitz RECAP,Ben Akselrod RECAP,Scattered RECAP,Mikhail Usher RECAP,p_Steven Cymbrowitz (Democratic),p_Steven Cymbrowitz (Independence),p_Ben Akselrod (Republican),p_Steven Cymbrowitz (Working Families),p_Scattered,p_Mikhail Usher (Conservative),p_Steven Cymbrowitz RECAP,p_Ben Akselrod RECAP,p_Scattered RECAP,p_Mikhail Usher RECAP,winner,winner_p
45017,45017,100,111,5,46,10,0,4,176,126,46,0,4,0.6306818181818182,0.028409090909090908,0.26136363636363635,0.056818181818181816,0.0,0.022727272727272728,0.7159090909090909,0.26136363636363635,0.0,0.022727272727272728,Steven Cymbrowitz RECAP,0.7159090909090909
45018,45018,100,8,0,8,0,0,1,17,8,8,0,1,0.47058823529411764,0.0,0.47058823529411764,0.0,0.0,0.058823529411764705,0.47058823529411764,0.47058823529411764,0.0,0.058823529411764705,Tie,0.47058823529411764
45019,45019,100,96,3,65,12,0,6,182,111,65,0,6,0.5274725274725275,0.016483516483516484,0.35714285714285715,0.06593406593406594,0.0,0.03296703296703297,0.6098901098901099,0.35714285714285715,0.0,0.03296703296703297,Steven Cymbrowitz RECAP,0.6098901098901099
45020,45020,100,120,3,33,5,0,1,162,128,33,0,1,0.7407407407407407,0.018518518518518517,0.2037037037037037,0.030864197530864196,0.0,0.006172839506172839,0.7901234567901234,0.2037037037037037,0.0,0.006172839506172839,Steven Cymbrowitz RECAP,0.7901234567901234
45021,45021,100,112,3,38,5,0,5,163,120,38,0,5,0.6871165644171779,0.018404907975460124,0.2331288343558282,0.03067484662576687,0.0,0.03067484662576687,0.7361963190184049,0.2331288343558282,0.0,0.03067484662576687,Steven Cymbrowitz RECAP,0.7361963190184049
45022,45022,100,91,2,36,5,0,3,137,98,36,0,3,0.6642335766423357,0.014598540145985401,0.26277372262773724,0.0364963503649635,0.0,0.021897810218978103,0.7153284671532847,0.26277372262773724,0.0,0.021897810218978103,Steven Cymbrowitz RECAP,0.7153284671532847
45023,45023,100,118,5,70,8,1,11,213,131,70,1,11,0.5539906103286385,0.023474178403755867,0.3286384976525822,0.03755868544600939,0.004694835680751174,0.051643192488262914,0.6150234741784038,0.3286384976525822,0.004694835680751174,0.051643192488262914,Steven Cymbrowitz RECAP,0.6150234741784038
45024,45024,100,116,6,91,15,2,7,237,137,91,2,7,0.48945147679324896,0.02531645569620253,0.38396624472573837,0.06329113924050633,0.008438818565400843,0.029535864978902954,0.5780590717299579,0.38396624472573837,0.008438818565400843,0.029535864978902954,Steven Cymbrowitz RECAP,0.5780590717299579
45025,45025,100,28,0,12,3,0,1,44,31,12,0,1,0.6363636363636364,0.0,0.2727272727272727,0.06818181818181818,0.0,0.022727272727272728,0.7045454545454546,0.2727272727272727,0.0,0.022727272727272728,Steven Cymbrowitz RECAP,0.7045454545454546
45026,45026,100,63,1,36,5,0,4,109,69,36,0,4,0.5779816513761468,0.009174311926605505,0.3302752293577982,0.045871559633027525,0.0,0.03669724770642202,0.6330275229357798,0.3302752293577982,0.0,0.03669724770642202,Steven Cymbrowitz RECAP,0.6330275229357798
45027,45027,100,87,5,36,10,1,6,145,102,36,1,6,0.6,0.034482758620689655,0.2482758620689655,0.06896551724137931,0.006896551724137931,0.041379310344827586,0.7034482758620689,0.2482758620689655,0.006896551724137931,0.041379310344827586,Steven Cymbrowitz RECAP,0.7034482758620689
45028,45028,100,66,2,29,5,0,1,103,73,29,0,1,0.6407766990291263,0.019417475728155338,0.2815533980582524,0.04854368932038835,0.0,0.009708737864077669,0.7087378640776699,0.2815533980582524,0.0,0.009708737864077669,Steven Cymbrowitz RECAP,0.7087378640776699
45029,45029,100,58,2,43,3,0,6,112,63,43,0,6,0.5178571428571429,0.017857142857142856,0.38392857142857145,0.026785714285714284,0.0,0.05357142857142857,0.5625,0.38392857142857145,0.0,0.05357142857142857,Steven Cymbrowitz RECAP,0.5625
45030,45030,100,117,8,79,6,0,11,221,131,79,0,11,0.5294117647058824,0.03619909502262444,0.3574660633484163,0.027149321266968326,0.0,0.049773755656108594,0.5927601809954751,0.3574660633484163,0.0,0.049773755656108594,Steven Cymbrowitz RECAP,0.5927601809954751
45031,45031,100,89,3,59,2,0,7,160,94,59,0,7,0.55625,0.01875,0.36875,0.0125,0.0,0.04375,0.5875,0.36875,0.0,0.04375,Steven Cymbrowitz RECAP,0.5875
45032,45032,100,89,1,37,4,0,4,135,94,37,0,4,0.6592592592592592,0.007407407407407408,0.2740740740740741,0.02962962962962963,0.0,0.02962962962962963,0.6962962962962963,0.2740740740740741,0.0,0.02962962962962963,Steven Cymbrowitz RECAP,0.6962962962962963
45033,45033,100,64,2,57,7,0,8,138,73,57,0,8,0.463768115942029,0.014492753623188406,0.41304347826086957,0.050724637681159424,0.0,0.057971014492753624,0.5289855072463768,0.41304347826086957,0.0,0.057971014492753624,Steven Cymbrowitz RECAP,0.5289855072463768
45034,45034,100,86,3,47,5,3,7,151,94,47,3,7,0.5695364238410596,0.019867549668874173,0.31125827814569534,0.033112582781456956,0.019867549668874173,0.046357615894039736,0.6225165562913907,0.31125827814569534,0.019867549668874173,0.046357615894039736,Steven Cymbrowitz RECAP,0.6225165562913907
45035,45035,100,77,3,49,2,1,5,137,82,49,1,5,0.5620437956204379,0.021897810218978103,0.35766423357664234,0.014598540145985401,0.0072992700729927005,0.0364963503649635,0.5985401459854015,0.35766423357664234,0.0072992700729927005,0.0364963503649635,Steven Cymbrowitz RECAP,0.5985401459854015
45036,45036,100,81,5,42,2,0,3,133,88,42,0,3,0.6090225563909775,0.03759398496240601,0.3157894736842105,0.015037593984962405,0.0,0.022556390977443608,0.6616541353383458,0.3157894736842105,0.0,0.022556390977443608,Steven Cymbrowitz RECAP,0.6616541353383458
45037,45037,100,73,2,64,6,1,5,151,81,64,1,5,0.48344370860927155,0.013245033112582781,0.423841059602649,0.039735099337748346,0.006622516556291391,0.033112582781456956,0.5364238410596026,0.423841059602649,0.006622516556291391,0.033112582781456956,Steven Cymbrowitz RECAP,0.5364238410596026
45038,45038,100,48,3,32,4,0,7,94,55,32,0,7,0.5106382978723404,0.031914893617021274,0.3404255319148936,0.0425531914893617,0.0,0.07446808510638298,0.5851063829787234,0.3404255319148936,0.0,0.07446808510638298,Steven Cymbrowitz RECAP,0.5851063829787234
45039,45039,100,3,0,2,2,0,0,7,5,2,0,0,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,Steven Cymbrowitz RECAP,0.7142857142857143
45040,45040,100,105,4,90,7,0,11,217,116,90,0,11,0.4838709677419355,0.018433179723502304,0.4147465437788018,0.03225806451612903,0.0,0.05069124423963134,0.5345622119815668,0.4147465437788018,0.0,0.05069124423963134,Steven Cymbrowitz RECAP,0.5345622119815668
45041,45041,100,25,2,34,1,0,0,62,28,34,0,0,0.4032258064516129,0.03225806451612903,0.5483870967741935,0.016129032258064516,0.0,0.0,0.45161290322580644,0.5483870967741935,0.0,0.0,Ben Akselrod RECAP,0.5483870967741935
45042,45042,100,86,8,63,4,0,5,166,98,63,0,5,0.5180722891566265,0.04819277108433735,0.3795180722891566,0.024096385542168676,0.0,0.030120481927710843,0.5903614457831325,0.3795180722891566,0.0,0.030120481927710843,Steven Cymbrowitz RECAP,0.5903614457831325
45043,45043,100,102,4,94,5,2,4,211,111,94,2,4,0.4834123222748815,0.018957345971563982,0.44549763033175355,0.023696682464454975,0.009478672985781991,0.018957345971563982,0.5260663507109005,0.44549763033175355,0.009478672985781991,0.018957345971563982,Steven Cymbrowitz RECAP,0.5260663507109005
45044,45044,100,25,2,17,0,0,4,48,27,17,0,4,0.5208333333333334,0.041666666666666664,0.3541666666666667,0.0,0.0,0.08333333333333333,0.5625,0.3541666666666667,0.0,0.08333333333333333,Steven Cymbrowitz RECAP,0.5625
45045,45045,100,166,3,14,5,0,3,191,174,14,0,3,0.8691099476439791,0.015706806282722512,0.07329842931937172,0.02617801047120419,0.0,0.015706806282722512,0.9109947643979057,0.07329842931937172,0.0,0.015706806282722512,Steven Cymbrowitz RECAP,0.9109947643979057
45046,45046,100,177,1,15,7,0,7,207,185,15,0,7,0.855072463768116,0.004830917874396135,0.07246376811594203,0.033816425120772944,0.0,0.033816425120772944,0.893719806763285,0.07246376811594203,0.0,0.033816425120772944,Steven Cymbrowitz RECAP,0.893719806763285
45047,45047,100,8,0,5,0,0,1,14,8,5,0,1,0.5714285714285714,0.0,0.35714285714285715,0.0,0.0,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,Steven Cymbrowitz RECAP,0.5714285714285714
45048,45048,100,162,7,127,9,0,8,313,178,127,0,8,0.5175718849840255,0.022364217252396165,0.4057507987220447,0.02875399361022364,0.0,0.025559105431309903,0.5686900958466453,0.4057507987220447,0.0,0.025559105431309903,Steven Cymbrowitz RECAP,0.5686900958466453
45049,45049,100,10,2,24,3,0,0,39,15,24,0,0,0.2564102564102564,0.05128205128205128,0.6153846153846154,0.07692307692307693,0.0,0.0,0.38461538461538464,0.6153846153846154,0.0,0.0,Ben Akselrod RECAP,0.6153846153846154
45050,45050,100,116,8,64,8,0,8,204,132,64,0,8,0.5686274509803921,0.0392156862745098,0.3137254901960784,0.0392156862745098,0.0,0.0392156862745098,0.6470588235294118,0.3137254901960784,0.0,0.0392156862745098,Steven Cymbrowitz RECAP,0.6470588235294118
45051,45051,100,52,0,41,4,0,6,103,56,41,0,6,0.5048543689320388,0.0,0.39805825242718446,0.038834951456310676,0.0,0.05825242718446602,0.5436893203883495,0.39805825242718446,0.0,0.05825242718446602,Steven Cymbrowitz RECAP,0.5436893203883495
45052,45052,100,17,0,8,3,0,2,30,20,8,0,2,0.5666666666666667,0.0,0.26666666666666666,0.1,0.0,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.0,0.06666666666666667,Steven Cymbrowitz RECAP,0.6666666666666666
45053,45053,100,78,1,64,3,0,8,154,82,64,0,8,0.5064935064935064,0.006493506493506494,0.4155844155844156,0.01948051948051948,0.0,0.05194805194805195,0.5324675324675324,0.4155844155844156,0.0,0.05194805194805195,Steven Cymbrowitz RECAP,0.5324675324675324
45054,45054,100,52,4,41,6,0,6,109,62,41,0,6,0.47706422018348627,0.03669724770642202,0.3761467889908257,0.05504587155963303,0.0,0.05504587155963303,0.5688073394495413,0.3761467889908257,0.0,0.05504587155963303,Steven Cymbrowitz RECAP,0.5688073394495413
45055,45055,100,3,0,2,0,0,2,7,3,2,0,2,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,Steven Cymbrowitz RECAP,0.42857142857142855
45056,45056,100,74,2,8,2,0,4,90,78,8,0,4,0.8222222222222222,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.0,0.044444444444444446,0.8666666666666667,0.08888888888888889,0.0,0.044444444444444446,Steven Cymbrowitz RECAP,0.8666666666666667
45057,45057,100,117,3,78,5,1,5,209,125,78,1,5,0.5598086124401914,0.014354066985645933,0.37320574162679426,0.023923444976076555,0.004784688995215311,0.023923444976076555,0.5980861244019139,0.37320574162679426,0.004784688995215311,0.023923444976076555,Steven Cymbrowitz RECAP,0.5980861244019139
45058,45058,100,44,3,48,6,2,7,110,53,48,2,7,0.4,0.02727272727272727,0.43636363636363634,0.05454545454545454,0.01818181818181818,0.06363636363636363,0.4818181818181818,0.43636363636363634,0.01818181818181818,0.06363636363636363,Steven Cymbrowitz RECAP,0.4818181818181818
45059,45059,100,52,7,56,4,2,5,126,63,56,2,5,0.4126984126984127,0.05555555555555555,0.4444444444444444,0.031746031746031744,0.015873015873015872,0.03968253968253968,0.5,0.4444444444444444,0.015873015873015872,0.03968253968253968,Steven Cymbrowitz RECAP,0.5
45060,45060,100,62,1,25,6,0,1,95,69,25,0,1,0.6526315789473685,0.010526315789473684,0.2631578947368421,0.06315789473684211,0.0,0.010526315789473684,0.7263157894736842,0.2631578947368421,0.0,0.010526315789473684,Steven Cymbrowitz RECAP,0.7263157894736842
45061,45061,100,35,0,11,3,1,1,51,38,11,1,1,0.6862745098039216,0.0,0.21568627450980393,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.7450980392156863,0.21568627450980393,0.0196078431372549,0.0196078431372549,Steven Cymbrowitz RECAP,0.7450980392156863
45062,45062,100,82,3,43,4,0,9,141,89,43,0,9,0.5815602836879432,0.02127659574468085,0.3049645390070922,0.028368794326241134,0.0,0.06382978723404255,0.6312056737588653,0.3049645390070922,0.0,0.06382978723404255,Steven Cymbrowitz RECAP,0.6312056737588653
45063,45063,100,44,0,12,1,0,4,61,45,12,0,4,0.7213114754098361,0.0,0.19672131147540983,0.01639344262295082,0.0,0.06557377049180328,0.7377049180327869,0.19672131147540983,0.0,0.06557377049180328,Steven Cymbrowitz RECAP,0.7377049180327869
45064,45064,100,67,2,123,9,0,1,202,78,123,0,1,0.3316831683168317,0.009900990099009901,0.6089108910891089,0.04455445544554455,0.0,0.0049504950495049506,0.38613861386138615,0.6089108910891089,0.0,0.0049504950495049506,Ben Akselrod RECAP,0.6089108910891089
45065,45065,100,39,4,89,1,0,3,136,44,89,0,3,0.2867647058823529,0.029411764705882353,0.6544117647058824,0.007352941176470588,0.0,0.022058823529411766,0.3235294117647059,0.6544117647058824,0.0,0.022058823529411766,Ben Akselrod RECAP,0.6544117647058824
45066,45066,100,92,4,168,9,0,8,281,105,168,0,8,0.3274021352313167,0.014234875444839857,0.597864768683274,0.03202846975088968,0.0,0.028469750889679714,0.3736654804270463,0.597864768683274,0.0,0.028469750889679714,Ben Akselrod RECAP,0.597864768683274
45067,45067,100,27,2,142,3,0,1,175,32,142,0,1,0.15428571428571428,0.011428571428571429,0.8114285714285714,0.017142857142857144,0.0,0.005714285714285714,0.18285714285714286,0.8114285714285714,0.0,0.005714285714285714,Ben Akselrod RECAP,0.8114285714285714
45068,45068,100,92,1,59,13,0,15,180,106,59,0,15,0.5111111111111111,0.005555555555555556,0.3277777777777778,0.07222222222222222,0.0,0.08333333333333333,0.5888888888888889,0.3277777777777778,0.0,0.08333333333333333,Steven Cymbrowitz RECAP,0.5888888888888889
45069,45069,100,97,7,76,8,0,5,193,112,76,0,5,0.5025906735751295,0.03626943005181347,0.39378238341968913,0.04145077720207254,0.0,0.025906735751295335,0.5803108808290155,0.39378238341968913,0.0,0.025906735751295335,Steven Cymbrowitz RECAP,0.5803108808290155
45070,45070,100,79,7,106,8,0,13,213,94,106,0,13,0.37089201877934275,0.03286384976525822,0.49765258215962443,0.03755868544600939,0.0,0.06103286384976526,0.4413145539906103,0.49765258215962443,0.0,0.06103286384976526,Ben Akselrod RECAP,0.49765258215962443
45071,45071,100,76,3,76,4,0,5,164,83,76,0,5,0.4634146341463415,0.018292682926829267,0.4634146341463415,0.024390243902439025,0.0,0.03048780487804878,0.5060975609756098,0.4634146341463415,0.0,0.03048780487804878,Steven Cymbrowitz RECAP,0.5060975609756098
45072,45072,100,64,3,30,4,0,1,102,71,30,0,1,0.6274509803921569,0.029411764705882353,0.29411764705882354,0.0392156862745098,0.0,0.00980392156862745,0.696078431372549,0.29411764705882354,0.0,0.00980392156862745,Steven Cymbrowitz RECAP,0.696078431372549
45073,45073,100,33,5,192,2,0,2,234,40,192,0,2,0.14102564102564102,0.021367521367521368,0.8205128205128205,0.008547008547008548,0.0,0.008547008547008548,0.17094017094017094,0.8205128205128205,0.0,0.008547008547008548,Ben Akselrod RECAP,0.8205128205128205
45074,45074,100,111,9,160,8,0,5,293,128,160,0,5,0.378839590443686,0.030716723549488054,0.5460750853242321,0.027303754266211604,0.0,0.017064846416382253,0.43686006825938567,0.5460750853242321,0.0,0.017064846416382253,Ben Akselrod RECAP,0.5460750853242321
45075,45075,100,98,5,152,8,0,10,273,111,152,0,10,0.358974358974359,0.018315018315018316,0.5567765567765568,0.029304029304029304,0.0,0.03663003663003663,0.4065934065934066,0.5567765567765568,0.0,0.03663003663003663,Ben Akselrod RECAP,0.5567765567765568
45076,45076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
45077,45077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
