ED,Reported As,Reporting,Nily D. Rozic (Democratic),Nily D. Rozic (Independence),Scattered,Nily D. Rozic (Working Families),Total Votes,Nily D. Rozic RECAP,Scattered RECAP,p_Nily D. Rozic (Democratic),p_Nily D. Rozic (Independence),p_Scattered,p_Nily D. Rozic (Working Families),p_Nily D. Rozic RECAP,p_Scattered RECAP,winner,winner_p
25022,25022,100,146,8,0,14,168,168,0,0.8690476190476191,0.047619047619047616,0.0,0.08333333333333333,1.0,0.0,Nily D. Rozic RECAP,1.0
25023,25023,100,57,3,1,6,67,66,1,0.8507462686567164,0.04477611940298507,0.014925373134328358,0.08955223880597014,0.9850746268656716,0.014925373134328358,Nily D. Rozic RECAP,0.9850746268656716
25024,25024,100,153,8,1,13,175,174,1,0.8742857142857143,0.045714285714285714,0.005714285714285714,0.07428571428571429,0.9942857142857143,0.005714285714285714,Nily D. Rozic RECAP,0.9942857142857143
25025,25025,100,141,14,2,10,167,165,2,0.844311377245509,0.08383233532934131,0.011976047904191617,0.059880239520958084,0.9880239520958084,0.011976047904191617,Nily D. Rozic RECAP,0.9880239520958084
25026,25026,100,18,1,0,1,20,20,0,0.9,0.05,0.0,0.05,1.0,0.0,Nily D. Rozic RECAP,1.0
25027,25027,100,105,11,3,15,134,131,3,0.7835820895522388,0.08208955223880597,0.022388059701492536,0.11194029850746269,0.9776119402985075,0.022388059701492536,Nily D. Rozic RECAP,0.9776119402985075
25028,25028,100,114,9,1,12,136,135,1,0.8382352941176471,0.0661764705882353,0.007352941176470588,0.08823529411764706,0.9926470588235294,0.007352941176470588,Nily D. Rozic RECAP,0.9926470588235294
25029,25029,100,156,33,3,18,210,207,3,0.7428571428571429,0.15714285714285714,0.014285714285714285,0.08571428571428572,0.9857142857142858,0.014285714285714285,Nily D. Rozic RECAP,0.9857142857142858
25030,25030,100,145,13,1,11,170,169,1,0.8529411764705882,0.07647058823529412,0.0058823529411764705,0.06470588235294118,0.9941176470588236,0.0058823529411764705,Nily D. Rozic RECAP,0.9941176470588236
25031,25031,100,123,4,0,4,131,131,0,0.9389312977099237,0.030534351145038167,0.0,0.030534351145038167,1.0,0.0,Nily D. Rozic RECAP,1.0
25032,25032,100,139,17,0,8,164,164,0,0.8475609756097561,0.10365853658536585,0.0,0.04878048780487805,1.0,0.0,Nily D. Rozic RECAP,1.0
25033,25033,100,126,10,0,6,142,142,0,0.8873239436619719,0.07042253521126761,0.0,0.04225352112676056,1.0,0.0,Nily D. Rozic RECAP,1.0
25034,25034,100,17,0,0,0,17,17,0,1.0,0.0,0.0,0.0,1.0,0.0,Nily D. Rozic RECAP,1.0
25035,25035,100,110,13,2,5,130,128,2,0.8461538461538461,0.1,0.015384615384615385,0.038461538461538464,0.9846153846153847,0.015384615384615385,Nily D. Rozic RECAP,0.9846153846153847
25036,25036,100,133,13,1,22,169,168,1,0.7869822485207101,0.07692307692307693,0.005917159763313609,0.1301775147928994,0.9940828402366864,0.005917159763313609,Nily D. Rozic RECAP,0.9940828402366864
25037,25037,100,130,9,2,11,152,150,2,0.8552631578947368,0.05921052631578947,0.013157894736842105,0.07236842105263158,0.9868421052631579,0.013157894736842105,Nily D. Rozic RECAP,0.9868421052631579
25038,25038,100,89,6,1,8,104,103,1,0.8557692307692307,0.057692307692307696,0.009615384615384616,0.07692307692307693,0.9903846153846154,0.009615384615384616,Nily D. Rozic RECAP,0.9903846153846154
25039,25039,100,138,17,0,12,167,167,0,0.8263473053892215,0.10179640718562874,0.0,0.0718562874251497,1.0,0.0,Nily D. Rozic RECAP,1.0
25040,25040,100,163,17,3,22,205,202,3,0.7951219512195122,0.08292682926829269,0.014634146341463415,0.1073170731707317,0.9853658536585366,0.014634146341463415,Nily D. Rozic RECAP,0.9853658536585366
25041,25041,100,37,2,2,3,44,42,2,0.8409090909090909,0.045454545454545456,0.045454545454545456,0.06818181818181818,0.9545454545454546,0.045454545454545456,Nily D. Rozic RECAP,0.9545454545454546
25042,25042,100,122,5,2,17,146,144,2,0.8356164383561644,0.03424657534246575,0.0136986301369863,0.11643835616438356,0.9863013698630136,0.0136986301369863,Nily D. Rozic RECAP,0.9863013698630136
25043,25043,100,141,5,1,16,163,162,1,0.8650306748466258,0.03067484662576687,0.006134969325153374,0.09815950920245399,0.9938650306748467,0.006134969325153374,Nily D. Rozic RECAP,0.9938650306748467
25044,25044,100,134,5,2,12,153,151,2,0.8758169934640523,0.032679738562091505,0.013071895424836602,0.0784313725490196,0.9869281045751634,0.013071895424836602,Nily D. Rozic RECAP,0.9869281045751634
25045,25045,100,91,10,0,9,110,110,0,0.8272727272727273,0.09090909090909091,0.0,0.08181818181818182,1.0,0.0,Nily D. Rozic RECAP,1.0
25046,25046,100,90,1,0,9,100,100,0,0.9,0.01,0.0,0.09,1.0,0.0,Nily D. Rozic RECAP,1.0
25047,25047,100,87,3,0,6,96,96,0,0.90625,0.03125,0.0,0.0625,1.0,0.0,Nily D. Rozic RECAP,1.0
25048,25048,100,118,10,1,8,137,136,1,0.8613138686131386,0.072992700729927,0.0072992700729927005,0.058394160583941604,0.9927007299270073,0.0072992700729927005,Nily D. Rozic RECAP,0.9927007299270073
25049,25049,100,123,3,2,14,142,140,2,0.8661971830985915,0.02112676056338028,0.014084507042253521,0.09859154929577464,0.9859154929577465,0.014084507042253521,Nily D. Rozic RECAP,0.9859154929577465
25050,25050,100,96,2,1,8,107,106,1,0.897196261682243,0.018691588785046728,0.009345794392523364,0.07476635514018691,0.9906542056074766,0.009345794392523364,Nily D. Rozic RECAP,0.9906542056074766
25051,25051,100,114,1,1,10,126,125,1,0.9047619047619048,0.007936507936507936,0.007936507936507936,0.07936507936507936,0.9920634920634921,0.007936507936507936,Nily D. Rozic RECAP,0.9920634920634921
25052,25052,100,115,2,0,9,126,126,0,0.9126984126984127,0.015873015873015872,0.0,0.07142857142857142,1.0,0.0,Nily D. Rozic RECAP,1.0
25053,25053,100,189,6,0,9,204,204,0,0.9264705882352942,0.029411764705882353,0.0,0.04411764705882353,1.0,0.0,Nily D. Rozic RECAP,1.0
25054,25054,100,177,5,0,9,191,191,0,0.9267015706806283,0.02617801047120419,0.0,0.04712041884816754,1.0,0.0,Nily D. Rozic RECAP,1.0
25055,25055,100,144,3,1,4,152,151,1,0.9473684210526315,0.019736842105263157,0.006578947368421052,0.02631578947368421,0.993421052631579,0.006578947368421052,Nily D. Rozic RECAP,0.993421052631579
25056,25056,100,106,4,0,13,123,123,0,0.8617886178861789,0.032520325203252036,0.0,0.10569105691056911,1.0,0.0,Nily D. Rozic RECAP,1.0
25057,25057,100,66,4,0,12,82,82,0,0.8048780487804879,0.04878048780487805,0.0,0.14634146341463414,1.0,0.0,Nily D. Rozic RECAP,1.0
25058,25058,100,126,21,3,5,155,152,3,0.8129032258064516,0.13548387096774195,0.01935483870967742,0.03225806451612903,0.9806451612903225,0.01935483870967742,Nily D. Rozic RECAP,0.9806451612903225
25059,25059,100,136,6,1,19,162,161,1,0.8395061728395061,0.037037037037037035,0.006172839506172839,0.11728395061728394,0.9938271604938271,0.006172839506172839,Nily D. Rozic RECAP,0.9938271604938271
25060,25060,100,77,6,1,6,90,89,1,0.8555555555555555,0.06666666666666667,0.011111111111111112,0.06666666666666667,0.9888888888888889,0.011111111111111112,Nily D. Rozic RECAP,0.9888888888888889
25061,25061,100,117,6,0,13,136,136,0,0.8602941176470589,0.04411764705882353,0.0,0.09558823529411764,1.0,0.0,Nily D. Rozic RECAP,1.0
25062,25062,100,87,8,1,6,102,101,1,0.8529411764705882,0.0784313725490196,0.00980392156862745,0.058823529411764705,0.9901960784313726,0.00980392156862745,Nily D. Rozic RECAP,0.9901960784313726
25063,25063,100,111,8,4,8,131,127,4,0.8473282442748091,0.061068702290076333,0.030534351145038167,0.061068702290076333,0.9694656488549618,0.030534351145038167,Nily D. Rozic RECAP,0.9694656488549618
25064,25064,100,31,0,0,4,35,35,0,0.8857142857142857,0.0,0.0,0.11428571428571428,1.0,0.0,Nily D. Rozic RECAP,1.0
25065,25065,100,118,17,2,6,143,141,2,0.8251748251748252,0.11888111888111888,0.013986013986013986,0.04195804195804196,0.986013986013986,0.013986013986013986,Nily D. Rozic RECAP,0.986013986013986
25066,25066,100,19,3,1,1,24,23,1,0.7916666666666666,0.125,0.041666666666666664,0.041666666666666664,0.9583333333333334,0.041666666666666664,Nily D. Rozic RECAP,0.9583333333333334
25067,25067,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
