ED,Reported As,Reporting,Catherine T. Nolan (Working Families),John Kevin Wilson (Libertarian),Scattered,Catherine T. Nolan (Democratic),Total Votes,Catherine T. Nolan RECAP,John Kevin Wilson RECAP,Scattered RECAP,p_Catherine T. Nolan (Working Families),p_John Kevin Wilson (Libertarian),p_Scattered,p_Catherine T. Nolan (Democratic),p_Catherine T. Nolan RECAP,p_John Kevin Wilson RECAP,p_Scattered RECAP,winner,winner_p
37022,37022,100,51,23,2,221,297,272,23,2,0.1717171717171717,0.07744107744107744,0.006734006734006734,0.7441077441077442,0.9158249158249159,0.07744107744107744,0.006734006734006734,Catherine T. Nolan RECAP,0.9158249158249159
37023,37023,100,25,18,2,167,212,192,18,2,0.1179245283018868,0.08490566037735849,0.009433962264150943,0.7877358490566038,0.9056603773584906,0.08490566037735849,0.009433962264150943,Catherine T. Nolan RECAP,0.9056603773584906
37024,37024,100,29,19,2,164,214,193,19,2,0.13551401869158877,0.08878504672897196,0.009345794392523364,0.7663551401869159,0.9018691588785047,0.08878504672897196,0.009345794392523364,Catherine T. Nolan RECAP,0.9018691588785047
37025,37025,100,2,3,0,32,37,34,3,0,0.05405405405405406,0.08108108108108109,0.0,0.8648648648648649,0.918918918918919,0.08108108108108109,0.0,Catherine T. Nolan RECAP,0.918918918918919
37026,37025,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37027,37027,100,123,28,0,239,390,362,28,0,0.3153846153846154,0.07179487179487179,0.0,0.6128205128205129,0.9282051282051282,0.07179487179487179,0.0,Catherine T. Nolan RECAP,0.9282051282051282
37028,37028,100,59,22,1,220,302,279,22,1,0.19536423841059603,0.0728476821192053,0.0033112582781456954,0.7284768211920529,0.9238410596026491,0.0728476821192053,0.0033112582781456954,Catherine T. Nolan RECAP,0.9238410596026491
37029,37029,100,50,27,2,187,266,237,27,2,0.18796992481203006,0.10150375939849623,0.007518796992481203,0.7030075187969925,0.8909774436090225,0.10150375939849623,0.007518796992481203,Catherine T. Nolan RECAP,0.8909774436090225
37030,37030,100,39,21,0,194,254,233,21,0,0.15354330708661418,0.08267716535433071,0.0,0.7637795275590551,0.9173228346456693,0.08267716535433071,0.0,Catherine T. Nolan RECAP,0.9173228346456693
37031,37031,100,29,20,1,189,239,218,20,1,0.12133891213389121,0.08368200836820083,0.0041841004184100415,0.7907949790794979,0.9121338912133892,0.08368200836820083,0.0041841004184100415,Catherine T. Nolan RECAP,0.9121338912133892
37032,37032,100,25,16,1,158,200,183,16,1,0.125,0.08,0.005,0.79,0.915,0.08,0.005,Catherine T. Nolan RECAP,0.915
37033,37033,100,12,4,0,142,158,154,4,0,0.0759493670886076,0.02531645569620253,0.0,0.8987341772151899,0.9746835443037974,0.02531645569620253,0.0,Catherine T. Nolan RECAP,0.9746835443037974
37034,37034,100,14,12,0,137,163,151,12,0,0.08588957055214724,0.0736196319018405,0.0,0.8404907975460123,0.9263803680981595,0.0736196319018405,0.0,Catherine T. Nolan RECAP,0.9263803680981595
37035,37035,100,18,9,0,191,218,209,9,0,0.08256880733944955,0.04128440366972477,0.0,0.8761467889908257,0.9587155963302753,0.04128440366972477,0.0,Catherine T. Nolan RECAP,0.9587155963302753
37036,37036,100,54,13,1,178,246,232,13,1,0.21951219512195122,0.052845528455284556,0.0040650406504065045,0.7235772357723578,0.943089430894309,0.052845528455284556,0.0040650406504065045,Catherine T. Nolan RECAP,0.943089430894309
37037,37037,100,56,28,0,212,296,268,28,0,0.1891891891891892,0.0945945945945946,0.0,0.7162162162162162,0.9054054054054054,0.0945945945945946,0.0,Catherine T. Nolan RECAP,0.9054054054054054
37038,37038,100,50,21,0,181,252,231,21,0,0.1984126984126984,0.08333333333333333,0.0,0.7182539682539683,0.9166666666666666,0.08333333333333333,0.0,Catherine T. Nolan RECAP,0.9166666666666666
37039,37039,100,34,18,0,164,216,198,18,0,0.1574074074074074,0.08333333333333333,0.0,0.7592592592592593,0.9166666666666666,0.08333333333333333,0.0,Catherine T. Nolan RECAP,0.9166666666666666
37040,37040,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37041,37041,100,5,3,0,35,43,40,3,0,0.11627906976744186,0.06976744186046512,0.0,0.813953488372093,0.9302325581395349,0.06976744186046512,0.0,Catherine T. Nolan RECAP,0.9302325581395349
37042,37042,100,7,8,0,69,84,76,8,0,0.08333333333333333,0.09523809523809523,0.0,0.8214285714285714,0.9047619047619048,0.09523809523809523,0.0,Catherine T. Nolan RECAP,0.9047619047619048
37043,37043,100,24,25,0,119,168,143,25,0,0.14285714285714285,0.1488095238095238,0.0,0.7083333333333334,0.8511904761904762,0.1488095238095238,0.0,Catherine T. Nolan RECAP,0.8511904761904762
37044,37044,100,20,16,0,128,164,148,16,0,0.12195121951219512,0.0975609756097561,0.0,0.7804878048780488,0.9024390243902439,0.0975609756097561,0.0,Catherine T. Nolan RECAP,0.9024390243902439
37045,37045,100,15,14,0,80,109,95,14,0,0.13761467889908258,0.12844036697247707,0.0,0.7339449541284404,0.8715596330275229,0.12844036697247707,0.0,Catherine T. Nolan RECAP,0.8715596330275229
37046,37046,100,28,22,1,109,160,137,22,1,0.175,0.1375,0.00625,0.68125,0.85625,0.1375,0.00625,Catherine T. Nolan RECAP,0.85625
37047,37047,100,19,19,0,120,158,139,19,0,0.12025316455696203,0.12025316455696203,0.0,0.759493670886076,0.879746835443038,0.12025316455696203,0.0,Catherine T. Nolan RECAP,0.879746835443038
37048,37048,100,29,7,0,122,158,151,7,0,0.18354430379746836,0.04430379746835443,0.0,0.7721518987341772,0.9556962025316456,0.04430379746835443,0.0,Catherine T. Nolan RECAP,0.9556962025316456
37049,37049,100,8,8,0,96,112,104,8,0,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428571,0.9285714285714286,0.07142857142857142,0.0,Catherine T. Nolan RECAP,0.9285714285714286
37050,37050,100,19,7,0,103,129,122,7,0,0.14728682170542637,0.05426356589147287,0.0,0.7984496124031008,0.9457364341085271,0.05426356589147287,0.0,Catherine T. Nolan RECAP,0.9457364341085271
37051,37051,100,1,0,0,4,5,5,0,0,0.2,0.0,0.0,0.8,1.0,0.0,0.0,Catherine T. Nolan RECAP,1.0
37052,37052,100,8,6,0,38,52,46,6,0,0.15384615384615385,0.11538461538461539,0.0,0.7307692307692307,0.8846153846153846,0.11538461538461539,0.0,Catherine T. Nolan RECAP,0.8846153846153846
37053,37053,100,5,6,0,22,33,27,6,0,0.15151515151515152,0.18181818181818182,0.0,0.6666666666666666,0.8181818181818182,0.18181818181818182,0.0,Catherine T. Nolan RECAP,0.8181818181818182
37054,37054,100,16,20,0,80,116,96,20,0,0.13793103448275862,0.1724137931034483,0.0,0.6896551724137931,0.8275862068965517,0.1724137931034483,0.0,Catherine T. Nolan RECAP,0.8275862068965517
37055,37051,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37056,37056,100,13,6,1,94,114,107,6,1,0.11403508771929824,0.05263157894736842,0.008771929824561403,0.8245614035087719,0.9385964912280702,0.05263157894736842,0.008771929824561403,Catherine T. Nolan RECAP,0.9385964912280702
37057,37057,100,33,4,0,122,159,155,4,0,0.20754716981132076,0.025157232704402517,0.0,0.7672955974842768,0.9748427672955975,0.025157232704402517,0.0,Catherine T. Nolan RECAP,0.9748427672955975
37058,37058,100,26,9,0,135,170,161,9,0,0.15294117647058825,0.052941176470588235,0.0,0.7941176470588235,0.9470588235294117,0.052941176470588235,0.0,Catherine T. Nolan RECAP,0.9470588235294117
37059,37059,100,26,9,0,112,147,138,9,0,0.17687074829931973,0.061224489795918366,0.0,0.7619047619047619,0.9387755102040817,0.061224489795918366,0.0,Catherine T. Nolan RECAP,0.9387755102040817
37060,37060,100,3,1,0,13,17,16,1,0,0.17647058823529413,0.058823529411764705,0.0,0.7647058823529411,0.9411764705882353,0.058823529411764705,0.0,Catherine T. Nolan RECAP,0.9411764705882353
37061,37061,100,8,13,1,75,97,83,13,1,0.08247422680412371,0.13402061855670103,0.010309278350515464,0.7731958762886598,0.8556701030927835,0.13402061855670103,0.010309278350515464,Catherine T. Nolan RECAP,0.8556701030927835
37062,37062,100,24,18,1,83,126,107,18,1,0.19047619047619047,0.14285714285714285,0.007936507936507936,0.6587301587301587,0.8492063492063492,0.14285714285714285,0.007936507936507936,Catherine T. Nolan RECAP,0.8492063492063492
37063,37063,100,34,32,0,212,278,246,32,0,0.1223021582733813,0.11510791366906475,0.0,0.762589928057554,0.8848920863309353,0.11510791366906475,0.0,Catherine T. Nolan RECAP,0.8848920863309353
37064,37064,100,67,41,2,214,324,281,41,2,0.20679012345679013,0.12654320987654322,0.006172839506172839,0.6604938271604939,0.8672839506172839,0.12654320987654322,0.006172839506172839,Catherine T. Nolan RECAP,0.8672839506172839
37065,37065,100,28,20,1,161,210,189,20,1,0.13333333333333333,0.09523809523809523,0.004761904761904762,0.7666666666666667,0.9,0.09523809523809523,0.004761904761904762,Catherine T. Nolan RECAP,0.9
37066,37066,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37067,37067,100,20,16,1,104,141,124,16,1,0.14184397163120568,0.11347517730496454,0.0070921985815602835,0.7375886524822695,0.8794326241134752,0.11347517730496454,0.0070921985815602835,Catherine T. Nolan RECAP,0.8794326241134752
37068,37068,100,17,7,0,110,134,127,7,0,0.12686567164179105,0.05223880597014925,0.0,0.8208955223880597,0.9477611940298507,0.05223880597014925,0.0,Catherine T. Nolan RECAP,0.9477611940298507
37069,37069,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37070,37070,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37071,37071,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37072,37071,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37073,37073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
37074,37070,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
