ED,Reported As,Reporting,Jose Luis Fernandez (Republican),Nydia M. Velazquez (Democratic),Allan E. Romaguera (Conservative),Nydia M. Velazquez (Working Families),Scattered,Total Votes,Jose Luis Fernandez RECAP,Nydia M. Velazquez RECAP,Allan E. Romaguera RECAP,Scattered RECAP,p_Jose Luis Fernandez (Republican),p_Nydia M. Velazquez (Democratic),p_Allan E. Romaguera (Conservative),p_Nydia M. Velazquez (Working Families),p_Scattered,p_Jose Luis Fernandez RECAP,p_Nydia M. Velazquez RECAP,p_Allan E. Romaguera RECAP,p_Scattered RECAP,winner,winner_p
65028,65028,100,0,45,0,5,0,50,0,50,0,0,0.0,0.9,0.0,0.1,0.0,0.0,1.0,0.0,0.0,Nydia M. Velazquez RECAP,1.0
65029,65029,100,12,50,3,5,0,70,12,55,3,0,0.17142857142857143,0.7142857142857143,0.04285714285714286,0.07142857142857142,0.0,0.17142857142857143,0.7857142857142857,0.04285714285714286,0.0,Nydia M. Velazquez RECAP,0.7857142857142857
65030,65030,100,31,131,1,14,0,177,31,145,1,0,0.1751412429378531,0.7401129943502824,0.005649717514124294,0.07909604519774012,0.0,0.1751412429378531,0.8192090395480226,0.005649717514124294,0.0,Nydia M. Velazquez RECAP,0.8192090395480226
65031,65031,100,38,169,6,7,0,220,38,176,6,0,0.17272727272727273,0.7681818181818182,0.02727272727272727,0.031818181818181815,0.0,0.17272727272727273,0.8,0.02727272727272727,0.0,Nydia M. Velazquez RECAP,0.8
65032,65032,100,15,95,0,19,0,129,15,114,0,0,0.11627906976744186,0.7364341085271318,0.0,0.14728682170542637,0.0,0.11627906976744186,0.8837209302325582,0.0,0.0,Nydia M. Velazquez RECAP,0.8837209302325582
65033,65033,100,7,130,2,6,0,145,7,136,2,0,0.04827586206896552,0.896551724137931,0.013793103448275862,0.041379310344827586,0.0,0.04827586206896552,0.9379310344827586,0.013793103448275862,0.0,Nydia M. Velazquez RECAP,0.9379310344827586
65034,65034,100,17,105,2,6,0,130,17,111,2,0,0.13076923076923078,0.8076923076923077,0.015384615384615385,0.046153846153846156,0.0,0.13076923076923078,0.8538461538461538,0.015384615384615385,0.0,Nydia M. Velazquez RECAP,0.8538461538461538
65035,65035,100,10,101,3,3,0,117,10,104,3,0,0.08547008547008547,0.8632478632478633,0.02564102564102564,0.02564102564102564,0.0,0.08547008547008547,0.8888888888888888,0.02564102564102564,0.0,Nydia M. Velazquez RECAP,0.8888888888888888
65036,65036,100,11,137,0,3,0,151,11,140,0,0,0.0728476821192053,0.9072847682119205,0.0,0.019867549668874173,0.0,0.0728476821192053,0.9271523178807947,0.0,0.0,Nydia M. Velazquez RECAP,0.9271523178807947
65037,65037,100,9,119,0,5,0,133,9,124,0,0,0.06766917293233082,0.8947368421052632,0.0,0.03759398496240601,0.0,0.06766917293233082,0.9323308270676691,0.0,0.0,Nydia M. Velazquez RECAP,0.9323308270676691
65038,65038,100,12,120,5,12,0,149,12,132,5,0,0.08053691275167785,0.8053691275167785,0.03355704697986577,0.08053691275167785,0.0,0.08053691275167785,0.8859060402684564,0.03355704697986577,0.0,Nydia M. Velazquez RECAP,0.8859060402684564
65039,65039,100,23,98,6,12,1,140,23,110,6,1,0.16428571428571428,0.7,0.04285714285714286,0.08571428571428572,0.007142857142857143,0.16428571428571428,0.7857142857142857,0.04285714285714286,0.007142857142857143,Nydia M. Velazquez RECAP,0.7857142857142857
65040,65040,100,5,100,2,8,0,115,5,108,2,0,0.043478260869565216,0.8695652173913043,0.017391304347826087,0.06956521739130435,0.0,0.043478260869565216,0.9391304347826087,0.017391304347826087,0.0,Nydia M. Velazquez RECAP,0.9391304347826087
65041,65041,100,20,71,1,9,1,102,20,80,1,1,0.19607843137254902,0.696078431372549,0.00980392156862745,0.08823529411764706,0.00980392156862745,0.19607843137254902,0.7843137254901961,0.00980392156862745,0.00980392156862745,Nydia M. Velazquez RECAP,0.7843137254901961
65042,65042,100,11,96,2,13,0,122,11,109,2,0,0.09016393442622951,0.7868852459016393,0.01639344262295082,0.10655737704918032,0.0,0.09016393442622951,0.8934426229508197,0.01639344262295082,0.0,Nydia M. Velazquez RECAP,0.8934426229508197
65043,65043,100,6,161,2,5,0,174,6,166,2,0,0.034482758620689655,0.9252873563218391,0.011494252873563218,0.028735632183908046,0.0,0.034482758620689655,0.9540229885057471,0.011494252873563218,0.0,Nydia M. Velazquez RECAP,0.9540229885057471
65044,65044,100,49,234,10,52,2,347,49,286,10,2,0.14121037463976946,0.6743515850144092,0.02881844380403458,0.14985590778097982,0.005763688760806916,0.14121037463976946,0.8242074927953891,0.02881844380403458,0.005763688760806916,Nydia M. Velazquez RECAP,0.8242074927953891
65045,65045,100,41,234,5,35,2,317,41,269,5,2,0.12933753943217666,0.7381703470031545,0.015772870662460567,0.11041009463722397,0.006309148264984227,0.12933753943217666,0.8485804416403786,0.015772870662460567,0.006309148264984227,Nydia M. Velazquez RECAP,0.8485804416403786
65046,65046,100,38,170,2,34,2,246,38,204,2,2,0.15447154471544716,0.6910569105691057,0.008130081300813009,0.13821138211382114,0.008130081300813009,0.15447154471544716,0.8292682926829268,0.008130081300813009,0.008130081300813009,Nydia M. Velazquez RECAP,0.8292682926829268
65047,65047,100,24,167,4,22,1,218,24,189,4,1,0.11009174311926606,0.7660550458715596,0.01834862385321101,0.10091743119266056,0.0045871559633027525,0.11009174311926606,0.8669724770642202,0.01834862385321101,0.0045871559633027525,Nydia M. Velazquez RECAP,0.8669724770642202
65048,65048,100,36,190,5,45,0,276,36,235,5,0,0.13043478260869565,0.6884057971014492,0.018115942028985508,0.16304347826086957,0.0,0.13043478260869565,0.8514492753623188,0.018115942028985508,0.0,Nydia M. Velazquez RECAP,0.8514492753623188
65049,65049,100,29,186,5,14,0,234,29,200,5,0,0.12393162393162394,0.7948717948717948,0.021367521367521368,0.05982905982905983,0.0,0.12393162393162394,0.8547008547008547,0.021367521367521368,0.0,Nydia M. Velazquez RECAP,0.8547008547008547
65050,65050,100,19,174,2,23,0,218,19,197,2,0,0.0871559633027523,0.7981651376146789,0.009174311926605505,0.10550458715596331,0.0,0.0871559633027523,0.9036697247706422,0.009174311926605505,0.0,Nydia M. Velazquez RECAP,0.9036697247706422
65051,65051,100,43,193,10,33,1,280,43,226,10,1,0.15357142857142858,0.6892857142857143,0.03571428571428571,0.11785714285714285,0.0035714285714285713,0.15357142857142858,0.8071428571428572,0.03571428571428571,0.0035714285714285713,Nydia M. Velazquez RECAP,0.8071428571428572
65058,65058,100,7,68,0,10,1,86,7,78,0,1,0.08139534883720931,0.7906976744186046,0.0,0.11627906976744186,0.011627906976744186,0.08139534883720931,0.9069767441860465,0.0,0.011627906976744186,Nydia M. Velazquez RECAP,0.9069767441860465
65059,65059,100,10,118,0,20,0,148,10,138,0,0,0.06756756756756757,0.7972972972972973,0.0,0.13513513513513514,0.0,0.06756756756756757,0.9324324324324325,0.0,0.0,Nydia M. Velazquez RECAP,0.9324324324324325
65060,65060,100,9,73,1,14,0,97,9,87,1,0,0.09278350515463918,0.7525773195876289,0.010309278350515464,0.14432989690721648,0.0,0.09278350515463918,0.8969072164948454,0.010309278350515464,0.0,Nydia M. Velazquez RECAP,0.8969072164948454
65061,65061,100,9,105,1,18,0,133,9,123,1,0,0.06766917293233082,0.7894736842105263,0.007518796992481203,0.13533834586466165,0.0,0.06766917293233082,0.924812030075188,0.007518796992481203,0.0,Nydia M. Velazquez RECAP,0.924812030075188
65062,65062,100,6,70,2,18,0,96,6,88,2,0,0.0625,0.7291666666666666,0.020833333333333332,0.1875,0.0,0.0625,0.9166666666666666,0.020833333333333332,0.0,Nydia M. Velazquez RECAP,0.9166666666666666
65063,65063,100,21,101,6,13,0,141,21,114,6,0,0.14893617021276595,0.7163120567375887,0.0425531914893617,0.09219858156028368,0.0,0.14893617021276595,0.8085106382978723,0.0425531914893617,0.0,Nydia M. Velazquez RECAP,0.8085106382978723
65064,65064,100,20,59,2,13,0,94,20,72,2,0,0.2127659574468085,0.6276595744680851,0.02127659574468085,0.13829787234042554,0.0,0.2127659574468085,0.7659574468085106,0.02127659574468085,0.0,Nydia M. Velazquez RECAP,0.7659574468085106
65065,65065,100,9,42,0,12,0,63,9,54,0,0,0.14285714285714285,0.6666666666666666,0.0,0.19047619047619047,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,Nydia M. Velazquez RECAP,0.8571428571428571
65068,65068,100,24,113,2,23,0,162,24,136,2,0,0.14814814814814814,0.6975308641975309,0.012345679012345678,0.1419753086419753,0.0,0.14814814814814814,0.8395061728395061,0.012345679012345678,0.0,Nydia M. Velazquez RECAP,0.8395061728395061
65071,65071,100,12,110,2,21,0,145,12,131,2,0,0.08275862068965517,0.7586206896551724,0.013793103448275862,0.14482758620689656,0.0,0.08275862068965517,0.903448275862069,0.013793103448275862,0.0,Nydia M. Velazquez RECAP,0.903448275862069
65072,65072,100,12,99,4,16,2,133,12,115,4,2,0.09022556390977443,0.7443609022556391,0.03007518796992481,0.12030075187969924,0.015037593984962405,0.09022556390977443,0.8646616541353384,0.03007518796992481,0.015037593984962405,Nydia M. Velazquez RECAP,0.8646616541353384
65073,65073,100,10,175,3,27,0,215,10,202,3,0,0.046511627906976744,0.813953488372093,0.013953488372093023,0.12558139534883722,0.0,0.046511627906976744,0.9395348837209302,0.013953488372093023,0.0,Nydia M. Velazquez RECAP,0.9395348837209302
65074,65074,100,11,158,2,30,0,201,11,188,2,0,0.05472636815920398,0.7860696517412935,0.009950248756218905,0.14925373134328357,0.0,0.05472636815920398,0.9353233830845771,0.009950248756218905,0.0,Nydia M. Velazquez RECAP,0.9353233830845771
65083,65083,100,3,51,0,3,0,57,3,54,0,0,0.05263157894736842,0.8947368421052632,0.0,0.05263157894736842,0.0,0.05263157894736842,0.9473684210526315,0.0,0.0,Nydia M. Velazquez RECAP,0.9473684210526315
65200,65200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65203,65203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65204,65204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
66017,66017,100,0,3,0,2,0,5,0,5,0,0,0.0,0.6,0.0,0.4,0.0,0.0,1.0,0.0,0.0,Nydia M. Velazquez RECAP,1.0
66200,66200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
74001,74001,100,10,140,3,7,0,160,10,147,3,0,0.0625,0.875,0.01875,0.04375,0.0,0.0625,0.91875,0.01875,0.0,Nydia M. Velazquez RECAP,0.91875
74002,74002,100,6,132,1,4,0,143,6,136,1,0,0.04195804195804196,0.9230769230769231,0.006993006993006993,0.027972027972027972,0.0,0.04195804195804196,0.951048951048951,0.006993006993006993,0.0,Nydia M. Velazquez RECAP,0.951048951048951
74003,74003,100,7,161,3,7,0,178,7,168,3,0,0.03932584269662921,0.9044943820224719,0.016853932584269662,0.03932584269662921,0.0,0.03932584269662921,0.9438202247191011,0.016853932584269662,0.0,Nydia M. Velazquez RECAP,0.9438202247191011
74004,74004,100,10,146,3,4,0,163,10,150,3,0,0.06134969325153374,0.8957055214723927,0.018404907975460124,0.024539877300613498,0.0,0.06134969325153374,0.9202453987730062,0.018404907975460124,0.0,Nydia M. Velazquez RECAP,0.9202453987730062
74005,74005,100,1,56,0,0,0,57,1,56,0,0,0.017543859649122806,0.9824561403508771,0.0,0.0,0.0,0.017543859649122806,0.9824561403508771,0.0,0.0,Nydia M. Velazquez RECAP,0.9824561403508771
74006,74006,100,2,98,2,6,0,108,2,104,2,0,0.018518518518518517,0.9074074074074074,0.018518518518518517,0.05555555555555555,0.0,0.018518518518518517,0.9629629629629629,0.018518518518518517,0.0,Nydia M. Velazquez RECAP,0.9629629629629629
74009,74009,100,3,51,0,9,0,63,3,60,0,0,0.047619047619047616,0.8095238095238095,0.0,0.14285714285714285,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,Nydia M. Velazquez RECAP,0.9523809523809523
74011,74011,100,21,125,3,7,0,156,21,132,3,0,0.1346153846153846,0.8012820512820513,0.019230769230769232,0.04487179487179487,0.0,0.1346153846153846,0.8461538461538461,0.019230769230769232,0.0,Nydia M. Velazquez RECAP,0.8461538461538461
74012,74012,100,13,74,0,2,0,89,13,76,0,0,0.14606741573033707,0.8314606741573034,0.0,0.02247191011235955,0.0,0.14606741573033707,0.8539325842696629,0.0,0.0,Nydia M. Velazquez RECAP,0.8539325842696629
74013,74013,100,10,106,3,4,0,123,10,110,3,0,0.08130081300813008,0.8617886178861789,0.024390243902439025,0.032520325203252036,0.0,0.08130081300813008,0.8943089430894309,0.024390243902439025,0.0,Nydia M. Velazquez RECAP,0.8943089430894309
74014,74014,100,5,105,2,6,0,118,5,111,2,0,0.0423728813559322,0.8898305084745762,0.01694915254237288,0.05084745762711865,0.0,0.0423728813559322,0.940677966101695,0.01694915254237288,0.0,Nydia M. Velazquez RECAP,0.940677966101695
74026,74026,100,8,140,1,7,0,156,8,147,1,0,0.05128205128205128,0.8974358974358975,0.00641025641025641,0.04487179487179487,0.0,0.05128205128205128,0.9423076923076923,0.00641025641025641,0.0,Nydia M. Velazquez RECAP,0.9423076923076923
74027,74027,100,5,81,2,4,0,92,5,85,2,0,0.05434782608695652,0.8804347826086957,0.021739130434782608,0.043478260869565216,0.0,0.05434782608695652,0.9239130434782609,0.021739130434782608,0.0,Nydia M. Velazquez RECAP,0.9239130434782609
74028,74028,100,5,63,1,2,0,71,5,65,1,0,0.07042253521126761,0.8873239436619719,0.014084507042253521,0.028169014084507043,0.0,0.07042253521126761,0.9154929577464789,0.014084507042253521,0.0,Nydia M. Velazquez RECAP,0.9154929577464789
74029,74029,100,4,111,1,4,0,120,4,115,1,0,0.03333333333333333,0.925,0.008333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.9583333333333334,0.008333333333333333,0.0,Nydia M. Velazquez RECAP,0.9583333333333334
74030,74030,100,7,86,0,6,2,101,7,92,0,2,0.06930693069306931,0.8514851485148515,0.0,0.0594059405940594,0.019801980198019802,0.06930693069306931,0.9108910891089109,0.0,0.019801980198019802,Nydia M. Velazquez RECAP,0.9108910891089109
74203,74203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
74204,74204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
44011,44011,100,10,38,4,2,1,55,10,40,4,1,0.18181818181818182,0.6909090909090909,0.07272727272727272,0.03636363636363636,0.01818181818181818,0.18181818181818182,0.7272727272727273,0.07272727272727272,0.01818181818181818,Nydia M. Velazquez RECAP,0.7272727272727273
44012,44012,100,5,27,0,7,0,39,5,34,0,0,0.1282051282051282,0.6923076923076923,0.0,0.1794871794871795,0.0,0.1282051282051282,0.8717948717948718,0.0,0.0,Nydia M. Velazquez RECAP,0.8717948717948718
44064,44064,100,11,41,1,31,0,84,11,72,1,0,0.13095238095238096,0.4880952380952381,0.011904761904761904,0.36904761904761907,0.0,0.13095238095238096,0.8571428571428571,0.011904761904761904,0.0,Nydia M. Velazquez RECAP,0.8571428571428571
48001,48001,100,9,14,2,1,0,26,9,15,2,0,0.34615384615384615,0.5384615384615384,0.07692307692307693,0.038461538461538464,0.0,0.34615384615384615,0.5769230769230769,0.07692307692307693,0.0,Nydia M. Velazquez RECAP,0.5769230769230769
49001,49001,100,22,102,5,11,0,140,22,113,5,0,0.15714285714285714,0.7285714285714285,0.03571428571428571,0.07857142857142857,0.0,0.15714285714285714,0.8071428571428572,0.03571428571428571,0.0,Nydia M. Velazquez RECAP,0.8071428571428572
49002,49002,100,15,88,7,7,0,117,15,95,7,0,0.1282051282051282,0.7521367521367521,0.05982905982905983,0.05982905982905983,0.0,0.1282051282051282,0.811965811965812,0.05982905982905983,0.0,Nydia M. Velazquez RECAP,0.811965811965812
49003,49003,100,9,80,5,9,0,103,9,89,5,0,0.08737864077669903,0.7766990291262136,0.04854368932038835,0.08737864077669903,0.0,0.08737864077669903,0.8640776699029126,0.04854368932038835,0.0,Nydia M. Velazquez RECAP,0.8640776699029126
49004,49004,100,19,71,9,12,0,111,19,83,9,0,0.17117117117117117,0.6396396396396397,0.08108108108108109,0.10810810810810811,0.0,0.17117117117117117,0.7477477477477478,0.08108108108108109,0.0,Nydia M. Velazquez RECAP,0.7477477477477478
49005,49005,100,17,26,0,5,0,48,17,31,0,0,0.3541666666666667,0.5416666666666666,0.0,0.10416666666666667,0.0,0.3541666666666667,0.6458333333333334,0.0,0.0,Nydia M. Velazquez RECAP,0.6458333333333334
49008,49008,100,29,81,12,11,1,134,29,92,12,1,0.21641791044776118,0.6044776119402985,0.08955223880597014,0.08208955223880597,0.007462686567164179,0.21641791044776118,0.6865671641791045,0.08955223880597014,0.007462686567164179,Nydia M. Velazquez RECAP,0.6865671641791045
49009,49009,100,22,64,13,3,0,102,22,67,13,0,0.21568627450980393,0.6274509803921569,0.12745098039215685,0.029411764705882353,0.0,0.21568627450980393,0.6568627450980392,0.12745098039215685,0.0,Nydia M. Velazquez RECAP,0.6568627450980392
49010,49010,100,12,43,2,5,0,62,12,48,2,0,0.1935483870967742,0.6935483870967742,0.03225806451612903,0.08064516129032258,0.0,0.1935483870967742,0.7741935483870968,0.03225806451612903,0.0,Nydia M. Velazquez RECAP,0.7741935483870968
49011,49011,100,8,10,2,0,0,20,8,10,2,0,0.4,0.5,0.1,0.0,0.0,0.4,0.5,0.1,0.0,Nydia M. Velazquez RECAP,0.5
49012,49012,100,5,17,2,4,0,28,5,21,2,0,0.17857142857142858,0.6071428571428571,0.07142857142857142,0.14285714285714285,0.0,0.17857142857142858,0.75,0.07142857142857142,0.0,Nydia M. Velazquez RECAP,0.75
49013,49013,100,2,20,2,3,0,27,2,23,2,0,0.07407407407407407,0.7407407407407407,0.07407407407407407,0.1111111111111111,0.0,0.07407407407407407,0.8518518518518519,0.07407407407407407,0.0,Nydia M. Velazquez RECAP,0.8518518518518519
49018,49018,100,16,7,3,2,0,28,16,9,3,0,0.5714285714285714,0.25,0.10714285714285714,0.07142857142857142,0.0,0.5714285714285714,0.32142857142857145,0.10714285714285714,0.0,Jose Luis Fernandez RECAP,0.5714285714285714
49031,49031,100,26,26,2,1,0,55,26,27,2,0,0.4727272727272727,0.4727272727272727,0.03636363636363636,0.01818181818181818,0.0,0.4727272727272727,0.4909090909090909,0.03636363636363636,0.0,Nydia M. Velazquez RECAP,0.4909090909090909
49032,49032,100,6,15,1,3,0,25,6,18,1,0,0.24,0.6,0.04,0.12,0.0,0.24,0.72,0.04,0.0,Nydia M. Velazquez RECAP,0.72
49061,49061,100,18,31,3,7,0,59,18,38,3,0,0.3050847457627119,0.5254237288135594,0.05084745762711865,0.11864406779661017,0.0,0.3050847457627119,0.6440677966101694,0.05084745762711865,0.0,Nydia M. Velazquez RECAP,0.6440677966101694
49062,49062,100,16,46,9,3,0,74,16,49,9,0,0.21621621621621623,0.6216216216216216,0.12162162162162163,0.04054054054054054,0.0,0.21621621621621623,0.6621621621621622,0.12162162162162163,0.0,Nydia M. Velazquez RECAP,0.6621621621621622
50001,50001,100,5,25,2,10,0,42,5,35,2,0,0.11904761904761904,0.5952380952380952,0.047619047619047616,0.23809523809523808,0.0,0.11904761904761904,0.8333333333333334,0.047619047619047616,0.0,Nydia M. Velazquez RECAP,0.8333333333333334
50011,50011,100,3,104,1,8,1,117,3,112,1,1,0.02564102564102564,0.8888888888888888,0.008547008547008548,0.06837606837606838,0.008547008547008548,0.02564102564102564,0.9572649572649573,0.008547008547008548,0.008547008547008548,Nydia M. Velazquez RECAP,0.9572649572649573
50013,50013,100,1,4,0,0,0,5,1,4,0,0,0.2,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,Nydia M. Velazquez RECAP,0.8
50056,50056,100,2,33,0,3,0,38,2,36,0,0,0.05263157894736842,0.868421052631579,0.0,0.07894736842105263,0.0,0.05263157894736842,0.9473684210526315,0.0,0.0,Nydia M. Velazquez RECAP,0.9473684210526315
50023,50056,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50047,50047,100,9,63,2,23,0,97,9,86,2,0,0.09278350515463918,0.6494845360824743,0.020618556701030927,0.23711340206185566,0.0,0.09278350515463918,0.8865979381443299,0.020618556701030927,0.0,Nydia M. Velazquez RECAP,0.8865979381443299
50048,50048,100,15,98,3,28,1,145,15,126,3,1,0.10344827586206896,0.6758620689655173,0.020689655172413793,0.19310344827586207,0.006896551724137931,0.10344827586206896,0.8689655172413793,0.020689655172413793,0.006896551724137931,Nydia M. Velazquez RECAP,0.8689655172413793
50049,50049,100,14,152,3,46,0,215,14,198,3,0,0.06511627906976744,0.7069767441860465,0.013953488372093023,0.21395348837209302,0.0,0.06511627906976744,0.9209302325581395,0.013953488372093023,0.0,Nydia M. Velazquez RECAP,0.9209302325581395
50050,50050,100,15,115,2,25,0,157,15,140,2,0,0.09554140127388536,0.732484076433121,0.012738853503184714,0.1592356687898089,0.0,0.09554140127388536,0.89171974522293,0.012738853503184714,0.0,Nydia M. Velazquez RECAP,0.89171974522293
50051,50051,100,7,90,0,19,0,116,7,109,0,0,0.0603448275862069,0.7758620689655172,0.0,0.16379310344827586,0.0,0.0603448275862069,0.9396551724137931,0.0,0.0,Nydia M. Velazquez RECAP,0.9396551724137931
50052,50052,100,11,158,2,21,0,192,11,179,2,0,0.057291666666666664,0.8229166666666666,0.010416666666666666,0.109375,0.0,0.057291666666666664,0.9322916666666666,0.010416666666666666,0.0,Nydia M. Velazquez RECAP,0.9322916666666666
50053,50053,100,3,56,0,9,1,69,3,65,0,1,0.043478260869565216,0.8115942028985508,0.0,0.13043478260869565,0.014492753623188406,0.043478260869565216,0.9420289855072463,0.0,0.014492753623188406,Nydia M. Velazquez RECAP,0.9420289855072463
50054,50054,100,4,63,1,1,0,69,4,64,1,0,0.057971014492753624,0.9130434782608695,0.014492753623188406,0.014492753623188406,0.0,0.057971014492753624,0.927536231884058,0.014492753623188406,0.0,Nydia M. Velazquez RECAP,0.927536231884058
50055,50055,100,6,28,1,5,0,40,6,33,1,0,0.15,0.7,0.025,0.125,0.0,0.15,0.825,0.025,0.0,Nydia M. Velazquez RECAP,0.825
50057,50057,100,6,94,4,9,1,114,6,103,4,1,0.05263157894736842,0.8245614035087719,0.03508771929824561,0.07894736842105263,0.008771929824561403,0.05263157894736842,0.9035087719298246,0.03508771929824561,0.008771929824561403,Nydia M. Velazquez RECAP,0.9035087719298246
50058,50058,100,6,97,3,5,1,112,6,102,3,1,0.05357142857142857,0.8660714285714286,0.026785714285714284,0.044642857142857144,0.008928571428571428,0.05357142857142857,0.9107142857142857,0.026785714285714284,0.008928571428571428,Nydia M. Velazquez RECAP,0.9107142857142857
50059,50059,100,10,105,2,15,0,132,10,120,2,0,0.07575757575757576,0.7954545454545454,0.015151515151515152,0.11363636363636363,0.0,0.07575757575757576,0.9090909090909091,0.015151515151515152,0.0,Nydia M. Velazquez RECAP,0.9090909090909091
50060,50060,100,8,133,4,16,1,162,8,149,4,1,0.04938271604938271,0.8209876543209876,0.024691358024691357,0.09876543209876543,0.006172839506172839,0.04938271604938271,0.9197530864197531,0.024691358024691357,0.006172839506172839,Nydia M. Velazquez RECAP,0.9197530864197531
50061,50061,100,7,118,3,3,2,133,7,121,3,2,0.05263157894736842,0.8872180451127819,0.022556390977443608,0.022556390977443608,0.015037593984962405,0.05263157894736842,0.9097744360902256,0.022556390977443608,0.015037593984962405,Nydia M. Velazquez RECAP,0.9097744360902256
50062,50062,100,5,121,1,1,0,128,5,122,1,0,0.0390625,0.9453125,0.0078125,0.0078125,0.0,0.0390625,0.953125,0.0078125,0.0,Nydia M. Velazquez RECAP,0.953125
50063,50063,100,3,105,1,3,0,112,3,108,1,0,0.026785714285714284,0.9375,0.008928571428571428,0.026785714285714284,0.0,0.026785714285714284,0.9642857142857143,0.008928571428571428,0.0,Nydia M. Velazquez RECAP,0.9642857142857143
50064,50064,100,8,32,0,1,1,42,8,33,0,1,0.19047619047619047,0.7619047619047619,0.0,0.023809523809523808,0.023809523809523808,0.19047619047619047,0.7857142857142857,0.0,0.023809523809523808,Nydia M. Velazquez RECAP,0.7857142857142857
50065,50065,100,7,62,2,1,0,72,7,63,2,0,0.09722222222222222,0.8611111111111112,0.027777777777777776,0.013888888888888888,0.0,0.09722222222222222,0.875,0.027777777777777776,0.0,Nydia M. Velazquez RECAP,0.875
50066,50066,100,10,45,0,4,0,59,10,49,0,0,0.1694915254237288,0.7627118644067796,0.0,0.06779661016949153,0.0,0.1694915254237288,0.8305084745762712,0.0,0.0,Nydia M. Velazquez RECAP,0.8305084745762712
