ED,Reported As,Reporting,Barbara M. Clark (Democratic),Scattered,Barbara M. Clark (Working Families),Total Votes,Barbara M. Clark RECAP,Scattered RECAP,p_Barbara M. Clark (Democratic),p_Scattered,p_Barbara M. Clark (Working Families),p_Barbara M. Clark RECAP,p_Scattered RECAP,winner,winner_p
33032,33032,100,261,1,6,268,267,1,0.9738805970149254,0.0037313432835820895,0.022388059701492536,0.996268656716418,0.0037313432835820895,Barbara M. Clark RECAP,0.996268656716418
33033,33033,100,215,3,5,223,220,3,0.9641255605381166,0.013452914798206279,0.02242152466367713,0.9865470852017937,0.013452914798206279,Barbara M. Clark RECAP,0.9865470852017937
33034,33034,100,229,1,8,238,237,1,0.9621848739495799,0.004201680672268907,0.03361344537815126,0.9957983193277311,0.004201680672268907,Barbara M. Clark RECAP,0.9957983193277311
33035,33035,100,256,0,4,260,260,0,0.9846153846153847,0.0,0.015384615384615385,1.0,0.0,Barbara M. Clark RECAP,1.0
33036,33036,100,225,1,8,234,233,1,0.9615384615384616,0.004273504273504274,0.03418803418803419,0.9957264957264957,0.004273504273504274,Barbara M. Clark RECAP,0.9957264957264957
33037,33037,100,234,0,23,257,257,0,0.9105058365758755,0.0,0.08949416342412451,1.0,0.0,Barbara M. Clark RECAP,1.0
33038,33038,100,233,2,13,248,246,2,0.9395161290322581,0.008064516129032258,0.05241935483870968,0.9919354838709677,0.008064516129032258,Barbara M. Clark RECAP,0.9919354838709677
33039,33039,100,188,0,8,196,196,0,0.9591836734693877,0.0,0.04081632653061224,1.0,0.0,Barbara M. Clark RECAP,1.0
33040,33040,100,167,0,9,176,176,0,0.9488636363636364,0.0,0.05113636363636364,1.0,0.0,Barbara M. Clark RECAP,1.0
33041,33041,100,227,0,6,233,233,0,0.9742489270386266,0.0,0.02575107296137339,1.0,0.0,Barbara M. Clark RECAP,1.0
33042,33042,100,227,0,4,231,231,0,0.9826839826839827,0.0,0.017316017316017316,1.0,0.0,Barbara M. Clark RECAP,1.0
33043,33043,100,158,0,6,164,164,0,0.9634146341463414,0.0,0.036585365853658534,1.0,0.0,Barbara M. Clark RECAP,1.0
33044,33044,100,224,0,10,234,234,0,0.9572649572649573,0.0,0.042735042735042736,1.0,0.0,Barbara M. Clark RECAP,1.0
33045,33045,100,264,2,8,274,272,2,0.9635036496350365,0.0072992700729927005,0.029197080291970802,0.9927007299270073,0.0072992700729927005,Barbara M. Clark RECAP,0.9927007299270073
33046,33046,100,238,0,9,247,247,0,0.9635627530364372,0.0,0.03643724696356275,1.0,0.0,Barbara M. Clark RECAP,1.0
33047,33047,100,210,0,8,218,218,0,0.963302752293578,0.0,0.03669724770642202,1.0,0.0,Barbara M. Clark RECAP,1.0
33048,33048,100,214,0,2,216,216,0,0.9907407407407407,0.0,0.009259259259259259,1.0,0.0,Barbara M. Clark RECAP,1.0
33049,33049,100,239,3,17,259,256,3,0.9227799227799228,0.011583011583011582,0.06563706563706563,0.9884169884169884,0.011583011583011582,Barbara M. Clark RECAP,0.9884169884169884
33050,33050,100,221,1,2,224,223,1,0.9866071428571429,0.004464285714285714,0.008928571428571428,0.9955357142857143,0.004464285714285714,Barbara M. Clark RECAP,0.9955357142857143
33051,33051,100,233,4,12,249,245,4,0.9357429718875502,0.01606425702811245,0.04819277108433735,0.9839357429718876,0.01606425702811245,Barbara M. Clark RECAP,0.9839357429718876
33052,33052,100,217,1,10,228,227,1,0.9517543859649122,0.0043859649122807015,0.043859649122807015,0.9956140350877193,0.0043859649122807015,Barbara M. Clark RECAP,0.9956140350877193
33053,33053,100,241,0,6,247,247,0,0.9757085020242915,0.0,0.024291497975708502,1.0,0.0,Barbara M. Clark RECAP,1.0
33054,33054,100,269,0,4,273,273,0,0.9853479853479854,0.0,0.014652014652014652,1.0,0.0,Barbara M. Clark RECAP,1.0
33055,33055,100,266,2,6,274,272,2,0.9708029197080292,0.0072992700729927005,0.021897810218978103,0.9927007299270073,0.0072992700729927005,Barbara M. Clark RECAP,0.9927007299270073
33056,33056,100,316,0,6,322,322,0,0.9813664596273292,0.0,0.018633540372670808,1.0,0.0,Barbara M. Clark RECAP,1.0
33057,33057,100,308,6,16,330,324,6,0.9333333333333333,0.01818181818181818,0.048484848484848485,0.9818181818181818,0.01818181818181818,Barbara M. Clark RECAP,0.9818181818181818
33058,33058,100,265,1,14,280,279,1,0.9464285714285714,0.0035714285714285713,0.05,0.9964285714285714,0.0035714285714285713,Barbara M. Clark RECAP,0.9964285714285714
33059,33059,100,277,1,17,295,294,1,0.9389830508474576,0.003389830508474576,0.0576271186440678,0.9966101694915255,0.003389830508474576,Barbara M. Clark RECAP,0.9966101694915255
33060,33060,100,258,0,21,279,279,0,0.9247311827956989,0.0,0.07526881720430108,1.0,0.0,Barbara M. Clark RECAP,1.0
33061,33061,100,190,1,17,208,207,1,0.9134615384615384,0.004807692307692308,0.08173076923076923,0.9951923076923077,0.004807692307692308,Barbara M. Clark RECAP,0.9951923076923077
33062,33062,100,278,1,15,294,293,1,0.9455782312925171,0.003401360544217687,0.05102040816326531,0.9965986394557823,0.003401360544217687,Barbara M. Clark RECAP,0.9965986394557823
33063,33063,100,268,0,20,288,288,0,0.9305555555555556,0.0,0.06944444444444445,1.0,0.0,Barbara M. Clark RECAP,1.0
33064,33064,100,253,2,16,271,269,2,0.933579335793358,0.007380073800738007,0.05904059040590406,0.992619926199262,0.007380073800738007,Barbara M. Clark RECAP,0.992619926199262
33065,33065,100,396,0,18,414,414,0,0.9565217391304348,0.0,0.043478260869565216,1.0,0.0,Barbara M. Clark RECAP,1.0
33066,33066,100,294,1,10,305,304,1,0.9639344262295082,0.003278688524590164,0.03278688524590164,0.9967213114754099,0.003278688524590164,Barbara M. Clark RECAP,0.9967213114754099
33067,33067,100,295,1,7,303,302,1,0.9735973597359736,0.0033003300330033004,0.0231023102310231,0.9966996699669967,0.0033003300330033004,Barbara M. Clark RECAP,0.9966996699669967
33068,33068,100,341,0,4,345,345,0,0.9884057971014493,0.0,0.011594202898550725,1.0,0.0,Barbara M. Clark RECAP,1.0
33069,33069,100,203,0,8,211,211,0,0.9620853080568721,0.0,0.037914691943127965,1.0,0.0,Barbara M. Clark RECAP,1.0
33070,33070,100,209,1,8,218,217,1,0.9587155963302753,0.0045871559633027525,0.03669724770642202,0.9954128440366973,0.0045871559633027525,Barbara M. Clark RECAP,0.9954128440366973
33071,33071,100,204,0,5,209,209,0,0.9760765550239234,0.0,0.023923444976076555,1.0,0.0,Barbara M. Clark RECAP,1.0
33072,33072,100,182,1,11,194,193,1,0.9381443298969072,0.005154639175257732,0.05670103092783505,0.9948453608247423,0.005154639175257732,Barbara M. Clark RECAP,0.9948453608247423
33073,33073,100,197,0,3,200,200,0,0.985,0.0,0.015,1.0,0.0,Barbara M. Clark RECAP,1.0
