ED,Reported As,Reporting,Anna Culley (Republican),Carmen R. Velasquez (Democratic),Anna Culley (Democratic),Leslie G. Leach (Democratic),Thomas Benedetto (Conservative),William V. Decandido (Republican),John F. Casey (Republican),Ronald D. Hollie (Republican),Anna Culley (Conservative),Scattered,John F. Casey (Conservative),Ronald D. Hollie (Democratic),Total Votes,Anna Culley RECAP,Carmen R. Velasquez RECAP,Leslie G. Leach RECAP,Thomas Benedetto RECAP,William V. Decandido RECAP,John F. Casey RECAP,Ronald D. Hollie RECAP,Scattered RECAP,p_Anna Culley (Republican),p_Carmen R. Velasquez (Democratic),p_Anna Culley (Democratic),p_Leslie G. Leach (Democratic),p_Thomas Benedetto (Conservative),p_William V. Decandido (Republican),p_John F. Casey (Republican),p_Ronald D. Hollie (Republican),p_Anna Culley (Conservative),p_Scattered,p_John F. Casey (Conservative),p_Ronald D. Hollie (Democratic),p_Anna Culley RECAP,p_Carmen R. Velasquez RECAP,p_Leslie G. Leach RECAP,p_Thomas Benedetto RECAP,p_William V. Decandido RECAP,p_John F. Casey RECAP,p_Ronald D. Hollie RECAP,p_Scattered RECAP,winner,winner_p
23011,23011,100,111,113,118,109,72,109,126,115,46,0,47,100,1066,275,113,109,72,109,173,215,0,0.10412757973733583,0.10600375234521577,0.11069418386491557,0.1022514071294559,0.0675422138836773,0.1022514071294559,0.11819887429643527,0.10787992495309569,0.043151969981238276,0.0,0.04409005628517824,0.09380863039399624,0.2579737335834897,0.10600375234521577,0.1022514071294559,0.0675422138836773,0.1022514071294559,0.1622889305816135,0.20168855534709193,0.0,Anna Culley RECAP,0.2579737335834897
23012,23012,100,41,123,121,124,29,34,47,48,15,0,15,115,712,177,123,124,29,34,62,163,0,0.05758426966292135,0.17275280898876405,0.1699438202247191,0.17415730337078653,0.04073033707865169,0.047752808988764044,0.06601123595505617,0.06741573033707865,0.021067415730337078,0.0,0.021067415730337078,0.16151685393258428,0.24859550561797752,0.17275280898876405,0.17415730337078653,0.04073033707865169,0.047752808988764044,0.08707865168539326,0.22893258426966293,0.0,Anna Culley RECAP,0.24859550561797752
23013,23013,100,67,99,104,96,42,63,91,71,23,2,24,93,775,194,99,96,42,63,115,164,2,0.08645161290322581,0.12774193548387097,0.13419354838709677,0.12387096774193548,0.05419354838709677,0.08129032258064516,0.11741935483870967,0.09161290322580645,0.02967741935483871,0.0025806451612903226,0.03096774193548387,0.12,0.2503225806451613,0.12774193548387097,0.12387096774193548,0.05419354838709677,0.08129032258064516,0.14838709677419354,0.21161290322580645,0.0025806451612903226,Anna Culley RECAP,0.2503225806451613
23014,23014,100,120,125,131,108,45,111,148,107,24,0,24,110,1053,275,125,108,45,111,172,217,0,0.11396011396011396,0.11870845204178537,0.12440645773979107,0.10256410256410256,0.042735042735042736,0.10541310541310542,0.14055080721747387,0.10161443494776828,0.022792022792022793,0.0,0.022792022792022793,0.10446343779677113,0.2611585944919278,0.11870845204178537,0.10256410256410256,0.042735042735042736,0.10541310541310542,0.16334283000949668,0.2060778727445394,0.0,Anna Culley RECAP,0.2611585944919278
23015,23015,100,58,173,150,167,28,57,71,52,16,1,15,142,930,224,173,167,28,57,86,194,1,0.06236559139784946,0.1860215053763441,0.16129032258064516,0.17956989247311828,0.030107526881720432,0.06129032258064516,0.07634408602150537,0.05591397849462366,0.017204301075268817,0.001075268817204301,0.016129032258064516,0.15268817204301074,0.24086021505376345,0.1860215053763441,0.17956989247311828,0.030107526881720432,0.06129032258064516,0.09247311827956989,0.2086021505376344,0.001075268817204301,Anna Culley RECAP,0.24086021505376345
23016,23016,100,59,177,169,179,25,55,73,56,14,4,17,163,991,242,177,179,25,55,90,219,4,0.05953582240161453,0.17860746720484358,0.1705348133198789,0.18062563067608475,0.025227043390514632,0.055499495459132187,0.07366296670030273,0.056508577194752774,0.014127144298688193,0.004036326942482341,0.017154389505549948,0.16448032290615539,0.24419778002018164,0.17860746720484358,0.18062563067608475,0.025227043390514632,0.055499495459132187,0.09081735620585267,0.2209889001009082,0.004036326942482341,Anna Culley RECAP,0.24419778002018164
23017,23017,100,18,103,102,103,6,21,23,21,8,0,8,84,497,128,103,103,6,21,31,105,0,0.03621730382293763,0.20724346076458752,0.2052313883299799,0.20724346076458752,0.012072434607645875,0.04225352112676056,0.04627766599597585,0.04225352112676056,0.01609657947686117,0.0,0.01609657947686117,0.16901408450704225,0.2575452716297787,0.20724346076458752,0.20724346076458752,0.012072434607645875,0.04225352112676056,0.06237424547283702,0.2112676056338028,0.0,Anna Culley RECAP,0.2575452716297787
23018,23018,100,8,99,84,93,2,8,15,10,3,0,1,82,405,95,99,93,2,8,16,92,0,0.019753086419753086,0.24444444444444444,0.2074074074074074,0.22962962962962963,0.0049382716049382715,0.019753086419753086,0.037037037037037035,0.024691358024691357,0.007407407407407408,0.0,0.0024691358024691358,0.20246913580246914,0.2345679012345679,0.24444444444444444,0.22962962962962963,0.0049382716049382715,0.019753086419753086,0.03950617283950617,0.2271604938271605,0.0,Carmen R. Velasquez RECAP,0.24444444444444444
23019,23019,100,36,163,151,148,15,37,46,33,9,1,8,141,788,196,163,148,15,37,54,174,1,0.04568527918781726,0.2068527918781726,0.1916243654822335,0.18781725888324874,0.01903553299492386,0.046954314720812185,0.0583756345177665,0.04187817258883249,0.011421319796954314,0.0012690355329949238,0.01015228426395939,0.17893401015228427,0.24873096446700507,0.2068527918781726,0.18781725888324874,0.01903553299492386,0.046954314720812185,0.06852791878172589,0.22081218274111675,0.0012690355329949238,Anna Culley RECAP,0.24873096446700507
23020,23020,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23021,23021,100,26,73,71,74,4,26,31,25,3,1,4,68,406,100,73,74,4,26,35,93,1,0.06403940886699508,0.17980295566502463,0.1748768472906404,0.18226600985221675,0.009852216748768473,0.06403940886699508,0.07635467980295567,0.06157635467980296,0.007389162561576354,0.0024630541871921183,0.009852216748768473,0.16748768472906403,0.24630541871921183,0.17980295566502463,0.18226600985221675,0.009852216748768473,0.06403940886699508,0.08620689655172414,0.229064039408867,0.0024630541871921183,Anna Culley RECAP,0.24630541871921183
23022,23022,100,0,1,1,1,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,1,0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,Tie,0.25
23023,23023,100,84,73,90,79,6,83,92,80,7,0,3,64,661,181,73,79,6,83,95,144,0,0.12708018154311648,0.11043872919818457,0.1361573373676248,0.11951588502269289,0.009077155824508321,0.12556732223903178,0.13918305597579425,0.12102874432677761,0.01059001512859304,0.0,0.0045385779122541605,0.09682299546142209,0.27382753403933435,0.11043872919818457,0.11951588502269289,0.009077155824508321,0.12556732223903178,0.1437216338880484,0.2178517397881997,0.0,Anna Culley RECAP,0.27382753403933435
23024,23024,100,16,158,142,159,8,22,28,20,3,0,4,139,699,161,158,159,8,22,32,159,0,0.022889842632331903,0.22603719599427755,0.20314735336194564,0.22746781115879827,0.011444921316165951,0.031473533619456366,0.04005722460658083,0.02861230329041488,0.004291845493562232,0.0,0.005722460658082976,0.1988555078683834,0.23032904148783978,0.22603719599427755,0.22746781115879827,0.011444921316165951,0.031473533619456366,0.045779685264663805,0.22746781115879827,0.0,Anna Culley RECAP,0.23032904148783978
23025,23025,100,54,108,95,98,43,59,57,62,33,0,32,88,729,182,108,98,43,59,89,150,0,0.07407407407407407,0.14814814814814814,0.13031550068587106,0.13443072702331962,0.05898491083676269,0.08093278463648834,0.07818930041152264,0.0850480109739369,0.04526748971193416,0.0,0.0438957475994513,0.12071330589849108,0.2496570644718793,0.14814814814814814,0.13443072702331962,0.05898491083676269,0.08093278463648834,0.12208504801097393,0.205761316872428,0.0,Anna Culley RECAP,0.2496570644718793
23026,23026,100,59,187,163,170,11,57,65,57,5,0,5,151,930,227,187,170,11,57,70,208,0,0.06344086021505377,0.2010752688172043,0.17526881720430107,0.1827956989247312,0.011827956989247311,0.06129032258064516,0.06989247311827956,0.06129032258064516,0.005376344086021506,0.0,0.005376344086021506,0.16236559139784945,0.24408602150537634,0.2010752688172043,0.1827956989247312,0.011827956989247311,0.06129032258064516,0.07526881720430108,0.22365591397849463,0.0,Anna Culley RECAP,0.24408602150537634
23027,23027,100,138,32,39,37,52,140,151,141,41,4,47,36,858,218,32,37,52,140,198,177,4,0.16083916083916083,0.037296037296037296,0.045454545454545456,0.04312354312354312,0.06060606060606061,0.16317016317016317,0.175990675990676,0.16433566433566432,0.047785547785547784,0.004662004662004662,0.054778554778554776,0.04195804195804196,0.2540792540792541,0.037296037296037296,0.04312354312354312,0.06060606060606061,0.16317016317016317,0.23076923076923078,0.2062937062937063,0.004662004662004662,Anna Culley RECAP,0.2540792540792541
23028,23028,100,118,84,88,86,45,118,137,131,38,0,35,77,957,244,84,86,45,118,172,208,0,0.12330198537095088,0.0877742946708464,0.09195402298850575,0.08986415882967608,0.047021943573667714,0.12330198537095088,0.14315569487983282,0.13688610240334378,0.03970741901776385,0.0,0.03657262277951933,0.08045977011494253,0.2549634273772205,0.0877742946708464,0.08986415882967608,0.047021943573667714,0.12330198537095088,0.17972831765935215,0.2173458725182863,0.0,Anna Culley RECAP,0.2549634273772205
23029,23029,100,41,150,132,144,23,43,50,45,13,4,12,129,786,186,150,144,23,43,62,174,4,0.05216284987277354,0.19083969465648856,0.16793893129770993,0.183206106870229,0.029262086513994912,0.054707379134860054,0.06361323155216285,0.05725190839694656,0.01653944020356234,0.005089058524173028,0.015267175572519083,0.16412213740458015,0.2366412213740458,0.19083969465648856,0.183206106870229,0.029262086513994912,0.054707379134860054,0.07888040712468193,0.22137404580152673,0.005089058524173028,Anna Culley RECAP,0.2366412213740458
23030,23030,100,29,175,162,166,14,29,35,27,7,0,5,144,793,198,175,166,14,29,40,171,0,0.03656998738965952,0.22068095838587642,0.2042875157629256,0.20933165195460277,0.017654476670870115,0.03656998738965952,0.044136191677175286,0.034047919293820936,0.008827238335435058,0.0,0.006305170239596469,0.18158890290037832,0.24968474148802017,0.22068095838587642,0.20933165195460277,0.017654476670870115,0.03656998738965952,0.05044136191677175,0.21563682219419925,0.0,Anna Culley RECAP,0.24968474148802017
23031,23031,100,25,165,143,153,6,24,32,26,6,1,5,130,716,174,165,153,6,24,37,156,1,0.034916201117318434,0.23044692737430167,0.19972067039106145,0.21368715083798884,0.008379888268156424,0.0335195530726257,0.0446927374301676,0.036312849162011177,0.008379888268156424,0.0013966480446927375,0.006983240223463687,0.18156424581005587,0.2430167597765363,0.23044692737430167,0.21368715083798884,0.008379888268156424,0.0335195530726257,0.051675977653631286,0.21787709497206703,0.0013966480446927375,Anna Culley RECAP,0.2430167597765363
23032,23032,100,7,109,92,103,2,4,5,5,1,0,0,84,412,100,109,103,2,4,5,89,0,0.01699029126213592,0.2645631067961165,0.22330097087378642,0.25,0.0048543689320388345,0.009708737864077669,0.012135922330097087,0.012135922330097087,0.0024271844660194173,0.0,0.0,0.20388349514563106,0.24271844660194175,0.2645631067961165,0.25,0.0048543689320388345,0.009708737864077669,0.012135922330097087,0.21601941747572814,0.0,Carmen R. Velasquez RECAP,0.2645631067961165
23033,23033,100,3,137,118,128,3,2,4,3,2,0,1,111,512,123,137,128,3,2,5,114,0,0.005859375,0.267578125,0.23046875,0.25,0.005859375,0.00390625,0.0078125,0.005859375,0.00390625,0.0,0.001953125,0.216796875,0.240234375,0.267578125,0.25,0.005859375,0.00390625,0.009765625,0.22265625,0.0,Carmen R. Velasquez RECAP,0.267578125
23034,23034,100,13,83,73,93,2,11,13,10,2,0,1,77,378,88,83,93,2,11,14,87,0,0.03439153439153439,0.21957671957671956,0.1931216931216931,0.24603174603174602,0.005291005291005291,0.0291005291005291,0.03439153439153439,0.026455026455026454,0.005291005291005291,0.0,0.0026455026455026454,0.2037037037037037,0.2328042328042328,0.21957671957671956,0.24603174603174602,0.005291005291005291,0.0291005291005291,0.037037037037037035,0.23015873015873015,0.0,Leslie G. Leach RECAP,0.24603174603174602
23035,23035,100,57,178,171,174,36,55,57,68,22,1,28,154,1001,250,178,174,36,55,85,222,1,0.056943056943056944,0.17782217782217782,0.17082917082917082,0.17382617382617382,0.03596403596403597,0.054945054945054944,0.056943056943056944,0.06793206793206794,0.02197802197802198,0.000999000999000999,0.027972027972027972,0.15384615384615385,0.24975024975024976,0.17782217782217782,0.17382617382617382,0.03596403596403597,0.054945054945054944,0.08491508491508491,0.2217782217782218,0.000999000999000999,Anna Culley RECAP,0.24975024975024976
23036,23036,100,51,122,112,123,34,53,59,58,22,0,22,105,761,185,122,123,34,53,81,163,0,0.06701708278580815,0.16031537450722733,0.1471747700394218,0.1616294349540079,0.04467805519053877,0.06964520367936924,0.07752956636005257,0.07621550591327202,0.02890932982917214,0.0,0.02890932982917214,0.13797634691195795,0.24310118265440211,0.16031537450722733,0.1616294349540079,0.04467805519053877,0.06964520367936924,0.10643889618922471,0.21419185282522996,0.0,Anna Culley RECAP,0.24310118265440211
23037,23037,100,25,129,115,125,13,26,28,29,10,0,12,108,620,150,129,125,13,26,40,137,0,0.04032258064516129,0.20806451612903226,0.18548387096774194,0.20161290322580644,0.020967741935483872,0.041935483870967745,0.04516129032258064,0.0467741935483871,0.016129032258064516,0.0,0.01935483870967742,0.17419354838709677,0.24193548387096775,0.20806451612903226,0.20161290322580644,0.020967741935483872,0.041935483870967745,0.06451612903225806,0.22096774193548388,0.0,Anna Culley RECAP,0.24193548387096775
23038,23038,100,4,14,18,14,5,10,6,5,3,0,0,12,91,25,14,14,5,10,6,17,0,0.04395604395604396,0.15384615384615385,0.1978021978021978,0.15384615384615385,0.054945054945054944,0.10989010989010989,0.06593406593406594,0.054945054945054944,0.03296703296703297,0.0,0.0,0.13186813186813187,0.27472527472527475,0.15384615384615385,0.15384615384615385,0.054945054945054944,0.10989010989010989,0.06593406593406594,0.18681318681318682,0.0,Anna Culley RECAP,0.27472527472527475
23039,23039,100,111,65,61,63,35,108,117,117,25,2,30,56,790,197,65,63,35,108,147,173,2,0.14050632911392405,0.08227848101265822,0.07721518987341772,0.07974683544303797,0.04430379746835443,0.13670886075949368,0.14810126582278482,0.14810126582278482,0.03164556962025317,0.002531645569620253,0.0379746835443038,0.07088607594936709,0.24936708860759493,0.08227848101265822,0.07974683544303797,0.04430379746835443,0.13670886075949368,0.1860759493670886,0.2189873417721519,0.002531645569620253,Anna Culley RECAP,0.24936708860759493
23040,23040,100,109,59,72,67,54,109,132,118,38,0,38,64,860,219,59,67,54,109,170,182,0,0.12674418604651164,0.0686046511627907,0.08372093023255814,0.07790697674418605,0.06279069767441861,0.12674418604651164,0.15348837209302327,0.1372093023255814,0.044186046511627906,0.0,0.044186046511627906,0.07441860465116279,0.25465116279069766,0.0686046511627907,0.07790697674418605,0.06279069767441861,0.12674418604651164,0.19767441860465115,0.2116279069767442,0.0,Anna Culley RECAP,0.25465116279069766
23041,23041,100,84,58,64,58,48,80,94,84,28,1,34,63,696,176,58,58,48,80,128,147,1,0.1206896551724138,0.08333333333333333,0.09195402298850575,0.08333333333333333,0.06896551724137931,0.11494252873563218,0.13505747126436782,0.1206896551724138,0.040229885057471264,0.0014367816091954023,0.04885057471264368,0.09051724137931035,0.25287356321839083,0.08333333333333333,0.08333333333333333,0.06896551724137931,0.11494252873563218,0.1839080459770115,0.21120689655172414,0.0014367816091954023,Anna Culley RECAP,0.25287356321839083
23042,23042,100,15,181,173,179,8,12,17,14,7,0,5,163,774,195,181,179,8,12,22,177,0,0.01937984496124031,0.23385012919896642,0.2235142118863049,0.23126614987080105,0.0103359173126615,0.015503875968992248,0.021963824289405683,0.01808785529715762,0.00904392764857881,0.0,0.006459948320413436,0.21059431524547803,0.25193798449612403,0.23385012919896642,0.23126614987080105,0.0103359173126615,0.015503875968992248,0.028423772609819122,0.22868217054263565,0.0,Anna Culley RECAP,0.25193798449612403
23043,23043,100,11,55,49,55,2,11,15,10,1,0,2,45,256,61,55,55,2,11,17,55,0,0.04296875,0.21484375,0.19140625,0.21484375,0.0078125,0.04296875,0.05859375,0.0390625,0.00390625,0.0,0.0078125,0.17578125,0.23828125,0.21484375,0.21484375,0.0078125,0.04296875,0.06640625,0.21484375,0.0,Anna Culley RECAP,0.23828125
23044,23044,100,125,66,81,72,63,130,139,123,30,0,27,75,931,236,66,72,63,130,166,198,0,0.13426423200859292,0.07089151450053706,0.08700322234156821,0.07733619763694952,0.06766917293233082,0.13963480128893663,0.14930182599355532,0.13211600429645542,0.0322234156820623,0.0,0.02900107411385607,0.08055853920515575,0.2534908700322234,0.07089151450053706,0.07733619763694952,0.06766917293233082,0.13963480128893663,0.17830290010741137,0.21267454350161116,0.0,Anna Culley RECAP,0.2534908700322234
23045,23045,100,134,74,83,85,55,146,157,137,29,0,32,78,1010,246,74,85,55,146,189,215,0,0.13267326732673268,0.07326732673267326,0.08217821782178218,0.08415841584158416,0.054455445544554455,0.14455445544554454,0.15544554455445544,0.13564356435643565,0.028712871287128714,0.0,0.031683168316831684,0.07722772277227723,0.24356435643564356,0.07326732673267326,0.08415841584158416,0.054455445544554455,0.14455445544554454,0.18712871287128713,0.21287128712871287,0.0,Anna Culley RECAP,0.24356435643564356
23046,23046,100,136,75,83,82,55,137,143,143,36,0,36,76,1002,255,75,82,55,137,179,219,0,0.13572854291417166,0.0748502994011976,0.08283433133732535,0.08183632734530938,0.054890219560878244,0.13672654690618763,0.14271457085828343,0.14271457085828343,0.03592814371257485,0.0,0.03592814371257485,0.07584830339321358,0.25449101796407186,0.0748502994011976,0.08183632734530938,0.054890219560878244,0.13672654690618763,0.17864271457085829,0.218562874251497,0.0,Anna Culley RECAP,0.25449101796407186
23047,23047,100,87,46,51,51,34,83,92,83,16,2,16,50,611,154,46,51,34,83,108,133,2,0.14238952536824878,0.07528641571194762,0.08346972176759411,0.08346972176759411,0.05564648117839607,0.13584288052373159,0.15057283142389524,0.13584288052373159,0.02618657937806874,0.0032733224222585926,0.02618657937806874,0.08183306055646482,0.2520458265139116,0.07528641571194762,0.08346972176759411,0.05564648117839607,0.13584288052373159,0.176759410801964,0.2176759410801964,0.0032733224222585926,Anna Culley RECAP,0.2520458265139116
23048,23048,100,66,58,67,61,22,65,66,63,14,1,16,57,556,147,58,61,22,65,82,120,1,0.11870503597122302,0.10431654676258993,0.12050359712230216,0.10971223021582734,0.039568345323741004,0.11690647482014388,0.11870503597122302,0.11330935251798561,0.025179856115107913,0.0017985611510791368,0.02877697841726619,0.10251798561151079,0.2643884892086331,0.10431654676258993,0.10971223021582734,0.039568345323741004,0.11690647482014388,0.1474820143884892,0.2158273381294964,0.0017985611510791368,Anna Culley RECAP,0.2643884892086331
23049,23049,100,141,75,90,83,53,145,161,144,27,2,30,83,1034,258,75,83,53,145,191,227,2,0.13636363636363635,0.0725338491295938,0.08704061895551257,0.08027079303675048,0.05125725338491296,0.1402321083172147,0.15570599613152805,0.13926499032882012,0.02611218568665377,0.0019342359767891683,0.029013539651837523,0.08027079303675048,0.2495164410058027,0.0725338491295938,0.08027079303675048,0.05125725338491296,0.1402321083172147,0.18471953578336556,0.21953578336557059,0.0019342359767891683,Anna Culley RECAP,0.2495164410058027
23050,23050,100,104,91,92,100,40,111,123,111,28,0,29,80,909,224,91,100,40,111,152,191,0,0.11441144114411442,0.1001100110011001,0.10121012101210121,0.11001100110011001,0.04400440044004401,0.12211221122112212,0.1353135313531353,0.12211221122112212,0.030803080308030802,0.0,0.0319031903190319,0.08800880088008801,0.24642464246424642,0.1001100110011001,0.11001100110011001,0.04400440044004401,0.12211221122112212,0.16721672167216722,0.21012101210121012,0.0,Anna Culley RECAP,0.24642464246424642
23051,23051,100,126,64,73,71,64,131,142,127,36,0,43,66,943,235,64,71,64,131,185,193,0,0.13361611876988336,0.06786850477200425,0.07741251325556733,0.07529162248144221,0.06786850477200425,0.13891834570519618,0.15058324496288442,0.13467656415694593,0.03817603393425239,0.0,0.04559915164369035,0.06998939554612937,0.2492046659597031,0.06786850477200425,0.07529162248144221,0.06786850477200425,0.13891834570519618,0.19618239660657477,0.2046659597030753,0.0,Anna Culley RECAP,0.2492046659597031
23052,23052,100,48,44,47,46,38,59,66,54,19,0,25,42,488,114,44,46,38,59,91,96,0,0.09836065573770492,0.09016393442622951,0.09631147540983606,0.0942622950819672,0.0778688524590164,0.12090163934426229,0.13524590163934427,0.11065573770491803,0.0389344262295082,0.0,0.05122950819672131,0.0860655737704918,0.2336065573770492,0.09016393442622951,0.0942622950819672,0.0778688524590164,0.12090163934426229,0.1864754098360656,0.19672131147540983,0.0,Anna Culley RECAP,0.2336065573770492
23053,23053,100,54,92,89,100,27,56,62,52,12,0,14,74,632,155,92,100,27,56,76,126,0,0.08544303797468354,0.14556962025316456,0.14082278481012658,0.15822784810126583,0.04272151898734177,0.08860759493670886,0.0981012658227848,0.08227848101265822,0.0189873417721519,0.0,0.022151898734177215,0.11708860759493671,0.24525316455696203,0.14556962025316456,0.15822784810126583,0.04272151898734177,0.08860759493670886,0.12025316455696203,0.19936708860759494,0.0,Anna Culley RECAP,0.24525316455696203
23054,23054,100,74,104,109,104,46,81,91,77,17,1,20,86,810,200,104,104,46,81,111,163,1,0.09135802469135802,0.12839506172839507,0.1345679012345679,0.12839506172839507,0.056790123456790124,0.1,0.11234567901234568,0.09506172839506173,0.020987654320987655,0.0012345679012345679,0.024691358024691357,0.10617283950617284,0.24691358024691357,0.12839506172839507,0.12839506172839507,0.056790123456790124,0.1,0.13703703703703704,0.20123456790123456,0.0012345679012345679,Anna Culley RECAP,0.24691358024691357
