ED,Reported As,Reporting,Jerome Johnson  (Republican),Herman D. Farrell Jr. (Democratic),Scattered,Total Votes,Jerome Johnson  RECAP,Herman D. Farrell Jr. RECAP,Scattered RECAP,p_Jerome Johnson  (Republican),p_Herman D. Farrell Jr. (Democratic),p_Scattered,p_Jerome Johnson  RECAP,p_Herman D. Farrell Jr. RECAP,p_Scattered RECAP,winner,winner_p
71037,71037,100,5,167,0,172,0,167,0,0.029069767441860465,0.9709302325581395,0.0,0.0,0.9709302325581395,0.0,Herman D. Farrell Jr. RECAP,0.9709302325581395
71038,71038,100,7,238,1,246,0,238,1,0.028455284552845527,0.967479674796748,0.0040650406504065045,0.0,0.967479674796748,0.0040650406504065045,Herman D. Farrell Jr. RECAP,0.967479674796748
71039,71039,100,12,161,0,173,0,161,0,0.06936416184971098,0.930635838150289,0.0,0.0,0.930635838150289,0.0,Herman D. Farrell Jr. RECAP,0.930635838150289
71040,71040,100,16,216,1,233,0,216,1,0.06866952789699571,0.927038626609442,0.004291845493562232,0.0,0.927038626609442,0.004291845493562232,Herman D. Farrell Jr. RECAP,0.927038626609442
71041,71041,100,17,251,1,269,0,251,1,0.06319702602230483,0.9330855018587361,0.0037174721189591076,0.0,0.9330855018587361,0.0037174721189591076,Herman D. Farrell Jr. RECAP,0.9330855018587361
71042,71042,100,9,166,0,175,0,166,0,0.05142857142857143,0.9485714285714286,0.0,0.0,0.9485714285714286,0.0,Herman D. Farrell Jr. RECAP,0.9485714285714286
71043,71043,100,13,197,0,210,0,197,0,0.06190476190476191,0.9380952380952381,0.0,0.0,0.9380952380952381,0.0,Herman D. Farrell Jr. RECAP,0.9380952380952381
71044,71044,100,8,120,0,128,0,120,0,0.0625,0.9375,0.0,0.0,0.9375,0.0,Herman D. Farrell Jr. RECAP,0.9375
71045,71045,100,11,121,0,132,0,121,0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.9166666666666666,0.0,Herman D. Farrell Jr. RECAP,0.9166666666666666
71046,71046,100,20,196,0,216,0,196,0,0.09259259259259259,0.9074074074074074,0.0,0.0,0.9074074074074074,0.0,Herman D. Farrell Jr. RECAP,0.9074074074074074
71047,71047,100,11,285,2,298,0,285,2,0.03691275167785235,0.9563758389261745,0.006711409395973154,0.0,0.9563758389261745,0.006711409395973154,Herman D. Farrell Jr. RECAP,0.9563758389261745
71048,71048,100,3,63,0,66,0,63,0,0.045454545454545456,0.9545454545454546,0.0,0.0,0.9545454545454546,0.0,Herman D. Farrell Jr. RECAP,0.9545454545454546
71049,71049,100,10,146,1,157,0,146,1,0.06369426751592357,0.9299363057324841,0.006369426751592357,0.0,0.9299363057324841,0.006369426751592357,Herman D. Farrell Jr. RECAP,0.9299363057324841
71050,71050,100,7,134,2,143,0,134,2,0.04895104895104895,0.9370629370629371,0.013986013986013986,0.0,0.9370629370629371,0.013986013986013986,Herman D. Farrell Jr. RECAP,0.9370629370629371
71051,71051,100,1,48,0,49,0,48,0,0.02040816326530612,0.9795918367346939,0.0,0.0,0.9795918367346939,0.0,Herman D. Farrell Jr. RECAP,0.9795918367346939
71052,71052,100,7,119,0,126,0,119,0,0.05555555555555555,0.9444444444444444,0.0,0.0,0.9444444444444444,0.0,Herman D. Farrell Jr. RECAP,0.9444444444444444
71053,71053,100,7,108,0,115,0,108,0,0.06086956521739131,0.9391304347826087,0.0,0.0,0.9391304347826087,0.0,Herman D. Farrell Jr. RECAP,0.9391304347826087
71054,71054,100,9,116,0,125,0,116,0,0.072,0.928,0.0,0.0,0.928,0.0,Herman D. Farrell Jr. RECAP,0.928
71055,71055,100,8,103,0,111,0,103,0,0.07207207207207207,0.9279279279279279,0.0,0.0,0.9279279279279279,0.0,Herman D. Farrell Jr. RECAP,0.9279279279279279
71056,71056,100,8,148,1,157,0,148,1,0.050955414012738856,0.9426751592356688,0.006369426751592357,0.0,0.9426751592356688,0.006369426751592357,Herman D. Farrell Jr. RECAP,0.9426751592356688
71057,71057,100,8,100,0,108,0,100,0,0.07407407407407407,0.9259259259259259,0.0,0.0,0.9259259259259259,0.0,Herman D. Farrell Jr. RECAP,0.9259259259259259
71058,71058,100,10,96,1,107,0,96,1,0.09345794392523364,0.897196261682243,0.009345794392523364,0.0,0.897196261682243,0.009345794392523364,Herman D. Farrell Jr. RECAP,0.897196261682243
71059,71059,100,6,86,0,92,0,86,0,0.06521739130434782,0.9347826086956522,0.0,0.0,0.9347826086956522,0.0,Herman D. Farrell Jr. RECAP,0.9347826086956522
71060,71060,100,7,115,0,122,0,115,0,0.05737704918032787,0.9426229508196722,0.0,0.0,0.9426229508196722,0.0,Herman D. Farrell Jr. RECAP,0.9426229508196722
71061,71061,100,10,99,0,109,0,99,0,0.09174311926605505,0.908256880733945,0.0,0.0,0.908256880733945,0.0,Herman D. Farrell Jr. RECAP,0.908256880733945
71062,71062,100,13,80,0,93,0,80,0,0.13978494623655913,0.8602150537634409,0.0,0.0,0.8602150537634409,0.0,Herman D. Farrell Jr. RECAP,0.8602150537634409
71063,71063,100,17,165,0,182,0,165,0,0.09340659340659341,0.9065934065934066,0.0,0.0,0.9065934065934066,0.0,Herman D. Farrell Jr. RECAP,0.9065934065934066
71064,71064,100,15,144,2,161,0,144,2,0.09316770186335403,0.8944099378881988,0.012422360248447204,0.0,0.8944099378881988,0.012422360248447204,Herman D. Farrell Jr. RECAP,0.8944099378881988
71065,71065,100,13,109,1,123,0,109,1,0.10569105691056911,0.8861788617886179,0.008130081300813009,0.0,0.8861788617886179,0.008130081300813009,Herman D. Farrell Jr. RECAP,0.8861788617886179
71066,71066,100,4,144,3,151,0,144,3,0.026490066225165563,0.9536423841059603,0.019867549668874173,0.0,0.9536423841059603,0.019867549668874173,Herman D. Farrell Jr. RECAP,0.9536423841059603
71067,71067,100,14,106,2,122,0,106,2,0.11475409836065574,0.8688524590163934,0.01639344262295082,0.0,0.8688524590163934,0.01639344262295082,Herman D. Farrell Jr. RECAP,0.8688524590163934
71068,71068,100,15,80,1,96,0,80,1,0.15625,0.8333333333333334,0.010416666666666666,0.0,0.8333333333333334,0.010416666666666666,Herman D. Farrell Jr. RECAP,0.8333333333333334
71069,71069,100,19,158,0,177,0,158,0,0.10734463276836158,0.8926553672316384,0.0,0.0,0.8926553672316384,0.0,Herman D. Farrell Jr. RECAP,0.8926553672316384
71070,71070,100,15,170,2,187,0,170,2,0.08021390374331551,0.9090909090909091,0.0106951871657754,0.0,0.9090909090909091,0.0106951871657754,Herman D. Farrell Jr. RECAP,0.9090909090909091
71071,71071,100,1,17,0,18,0,17,0,0.05555555555555555,0.9444444444444444,0.0,0.0,0.9444444444444444,0.0,Herman D. Farrell Jr. RECAP,0.9444444444444444
71072,71072,100,22,144,3,169,0,144,3,0.1301775147928994,0.8520710059171598,0.01775147928994083,0.0,0.8520710059171598,0.01775147928994083,Herman D. Farrell Jr. RECAP,0.8520710059171598
71073,71073,100,18,157,0,175,0,157,0,0.10285714285714286,0.8971428571428571,0.0,0.0,0.8971428571428571,0.0,Herman D. Farrell Jr. RECAP,0.8971428571428571
71074,71074,100,31,157,1,189,0,157,1,0.164021164021164,0.8306878306878307,0.005291005291005291,0.0,0.8306878306878307,0.005291005291005291,Herman D. Farrell Jr. RECAP,0.8306878306878307
71075,71075,100,18,139,0,157,0,139,0,0.11464968152866242,0.8853503184713376,0.0,0.0,0.8853503184713376,0.0,Herman D. Farrell Jr. RECAP,0.8853503184713376
71076,71076,100,27,246,3,276,0,246,3,0.09782608695652174,0.8913043478260869,0.010869565217391304,0.0,0.8913043478260869,0.010869565217391304,Herman D. Farrell Jr. RECAP,0.8913043478260869
71077,71077,100,32,233,0,265,0,233,0,0.12075471698113208,0.879245283018868,0.0,0.0,0.879245283018868,0.0,Herman D. Farrell Jr. RECAP,0.879245283018868
71078,71078,100,36,295,1,332,0,295,1,0.10843373493975904,0.8885542168674698,0.0030120481927710845,0.0,0.8885542168674698,0.0030120481927710845,Herman D. Farrell Jr. RECAP,0.8885542168674698
71079,71079,100,29,234,1,264,0,234,1,0.10984848484848485,0.8863636363636364,0.003787878787878788,0.0,0.8863636363636364,0.003787878787878788,Herman D. Farrell Jr. RECAP,0.8863636363636364
71080,71080,100,17,128,1,146,0,128,1,0.11643835616438356,0.8767123287671232,0.00684931506849315,0.0,0.8767123287671232,0.00684931506849315,Herman D. Farrell Jr. RECAP,0.8767123287671232
71081,71081,100,23,206,3,232,0,206,3,0.09913793103448276,0.8879310344827587,0.01293103448275862,0.0,0.8879310344827587,0.01293103448275862,Herman D. Farrell Jr. RECAP,0.8879310344827587
71082,71082,100,53,185,3,241,0,185,3,0.21991701244813278,0.7676348547717843,0.012448132780082987,0.0,0.7676348547717843,0.012448132780082987,Herman D. Farrell Jr. RECAP,0.7676348547717843
71083,71083,100,60,398,1,459,0,398,1,0.13071895424836602,0.8671023965141612,0.002178649237472767,0.0,0.8671023965141612,0.002178649237472767,Herman D. Farrell Jr. RECAP,0.8671023965141612
71084,71084,100,16,153,1,170,0,153,1,0.09411764705882353,0.9,0.0058823529411764705,0.0,0.9,0.0058823529411764705,Herman D. Farrell Jr. RECAP,0.9
71085,71085,100,28,195,0,223,0,195,0,0.12556053811659193,0.874439461883408,0.0,0.0,0.874439461883408,0.0,Herman D. Farrell Jr. RECAP,0.874439461883408
71086,71086,100,1,30,1,32,0,30,1,0.03125,0.9375,0.03125,0.0,0.9375,0.03125,Herman D. Farrell Jr. RECAP,0.9375
71087,71087,100,8,196,0,204,0,196,0,0.0392156862745098,0.9607843137254902,0.0,0.0,0.9607843137254902,0.0,Herman D. Farrell Jr. RECAP,0.9607843137254902
71088,71088,100,12,194,0,206,0,194,0,0.05825242718446602,0.941747572815534,0.0,0.0,0.941747572815534,0.0,Herman D. Farrell Jr. RECAP,0.941747572815534
71089,71089,100,4,140,1,145,0,140,1,0.027586206896551724,0.9655172413793104,0.006896551724137931,0.0,0.9655172413793104,0.006896551724137931,Herman D. Farrell Jr. RECAP,0.9655172413793104
71090,71090,100,6,161,0,167,0,161,0,0.03592814371257485,0.9640718562874252,0.0,0.0,0.9640718562874252,0.0,Herman D. Farrell Jr. RECAP,0.9640718562874252
71091,71091,100,4,143,0,147,0,143,0,0.027210884353741496,0.9727891156462585,0.0,0.0,0.9727891156462585,0.0,Herman D. Farrell Jr. RECAP,0.9727891156462585
71092,71092,100,8,228,0,236,0,228,0,0.03389830508474576,0.9661016949152542,0.0,0.0,0.9661016949152542,0.0,Herman D. Farrell Jr. RECAP,0.9661016949152542
71093,71093,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
71094,71094,100,3,97,0,100,0,97,0,0.03,0.97,0.0,0.0,0.97,0.0,Herman D. Farrell Jr. RECAP,0.97
71095,71095,100,1,99,0,100,0,99,0,0.01,0.99,0.0,0.0,0.99,0.0,Herman D. Farrell Jr. RECAP,0.99
71096,71096,100,3,136,0,139,0,136,0,0.02158273381294964,0.9784172661870504,0.0,0.0,0.9784172661870504,0.0,Herman D. Farrell Jr. RECAP,0.9784172661870504
71200,71200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
71201,71201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
