ED,Reported As,Reporting,Kevin Barrett (Conservative),Scattered,Kevin Barrett (Republican),Jose M. Serrano (Working Families),Jose M. Serrano (Democratic),Total Votes,Kevin Barrett RECAP,Scattered RECAP,Jose M. Serrano RECAP,p_Kevin Barrett (Conservative),p_Scattered,p_Kevin Barrett (Republican),p_Jose M. Serrano (Working Families),p_Jose M. Serrano (Democratic),p_Kevin Barrett RECAP,p_Scattered RECAP,p_Jose M. Serrano RECAP,winner,winner_p
67062,67062,100,5,0,28,14,169,216,33,0,183,0.023148148148148147,0.0,0.12962962962962962,0.06481481481481481,0.7824074074074074,0.1527777777777778,0.0,0.8472222222222222,Jose M. Serrano RECAP,0.8472222222222222
67063,67063,100,6,0,31,17,138,192,37,0,155,0.03125,0.0,0.16145833333333334,0.08854166666666667,0.71875,0.19270833333333334,0.0,0.8072916666666666,Jose M. Serrano RECAP,0.8072916666666666
67064,67064,100,4,0,31,44,147,226,35,0,191,0.017699115044247787,0.0,0.13716814159292035,0.19469026548672566,0.6504424778761062,0.15486725663716813,0.0,0.8451327433628318,Jose M. Serrano RECAP,0.8451327433628318
67065,67065,100,2,0,40,49,202,293,42,0,251,0.006825938566552901,0.0,0.13651877133105803,0.16723549488054607,0.689419795221843,0.14334470989761092,0.0,0.856655290102389,Jose M. Serrano RECAP,0.856655290102389
67066,67066,100,5,0,36,42,173,256,41,0,215,0.01953125,0.0,0.140625,0.1640625,0.67578125,0.16015625,0.0,0.83984375,Jose M. Serrano RECAP,0.83984375
67068,67068,100,6,1,40,58,236,341,46,1,294,0.017595307917888565,0.002932551319648094,0.11730205278592376,0.17008797653958943,0.6920821114369502,0.1348973607038123,0.002932551319648094,0.8621700879765396,Jose M. Serrano RECAP,0.8621700879765396
67069,67069,100,4,0,47,78,278,407,51,0,356,0.009828009828009828,0.0,0.11547911547911548,0.19164619164619165,0.683046683046683,0.12530712530712532,0.0,0.8746928746928747,Jose M. Serrano RECAP,0.8746928746928747
67070,67070,100,5,0,23,36,153,217,28,0,189,0.02304147465437788,0.0,0.10599078341013825,0.16589861751152074,0.7050691244239631,0.12903225806451613,0.0,0.8709677419354839,Jose M. Serrano RECAP,0.8709677419354839
67071,67071,100,3,2,37,28,151,221,40,2,179,0.013574660633484163,0.00904977375565611,0.167420814479638,0.12669683257918551,0.6832579185520362,0.18099547511312217,0.00904977375565611,0.8099547511312217,Jose M. Serrano RECAP,0.8099547511312217
67072,67072,100,5,2,57,46,245,355,62,2,291,0.014084507042253521,0.005633802816901409,0.16056338028169015,0.1295774647887324,0.6901408450704225,0.17464788732394365,0.005633802816901409,0.819718309859155,Jose M. Serrano RECAP,0.819718309859155
67073,67073,100,8,0,26,39,153,226,34,0,192,0.035398230088495575,0.0,0.11504424778761062,0.17256637168141592,0.6769911504424779,0.1504424778761062,0.0,0.8495575221238938,Jose M. Serrano RECAP,0.8495575221238938
67074,67074,100,8,2,47,72,224,353,55,2,296,0.0226628895184136,0.0056657223796034,0.13314447592067988,0.20396600566572237,0.6345609065155807,0.1558073654390935,0.0056657223796034,0.8385269121813032,Jose M. Serrano RECAP,0.8385269121813032
67075,67075,100,3,1,37,45,157,243,40,1,202,0.012345679012345678,0.00411522633744856,0.1522633744855967,0.18518518518518517,0.6460905349794238,0.1646090534979424,0.00411522633744856,0.831275720164609,Jose M. Serrano RECAP,0.831275720164609
67076,67076,100,4,1,51,76,242,374,55,1,318,0.0106951871657754,0.00267379679144385,0.13636363636363635,0.20320855614973263,0.6470588235294118,0.14705882352941177,0.00267379679144385,0.8502673796791443,Jose M. Serrano RECAP,0.8502673796791443
67077,67077,100,5,0,41,26,158,230,46,0,184,0.021739130434782608,0.0,0.1782608695652174,0.11304347826086956,0.6869565217391305,0.2,0.0,0.8,Jose M. Serrano RECAP,0.8
67078,67078,100,4,0,43,51,211,309,47,0,262,0.012944983818770227,0.0,0.13915857605177995,0.1650485436893204,0.6828478964401294,0.15210355987055016,0.0,0.8478964401294499,Jose M. Serrano RECAP,0.8478964401294499
67200,67200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68002,68002,100,3,1,18,9,159,190,21,1,168,0.015789473684210527,0.005263157894736842,0.09473684210526316,0.04736842105263158,0.8368421052631579,0.11052631578947368,0.005263157894736842,0.8842105263157894,Jose M. Serrano RECAP,0.8842105263157894
68003,68003,100,3,0,30,25,114,172,33,0,139,0.01744186046511628,0.0,0.1744186046511628,0.14534883720930233,0.6627906976744186,0.19186046511627908,0.0,0.8081395348837209,Jose M. Serrano RECAP,0.8081395348837209
68004,68004,100,2,1,62,29,229,323,64,1,258,0.006191950464396285,0.0030959752321981426,0.19195046439628483,0.08978328173374613,0.7089783281733746,0.19814241486068113,0.0030959752321981426,0.7987616099071208,Jose M. Serrano RECAP,0.7987616099071208
68006,68006,100,0,0,10,5,82,97,10,0,87,0.0,0.0,0.10309278350515463,0.05154639175257732,0.845360824742268,0.10309278350515463,0.0,0.8969072164948454,Jose M. Serrano RECAP,0.8969072164948454
68009,68009,100,4,1,65,17,121,208,69,1,138,0.019230769230769232,0.004807692307692308,0.3125,0.08173076923076923,0.5817307692307693,0.3317307692307692,0.004807692307692308,0.6634615384615384,Jose M. Serrano RECAP,0.6634615384615384
68010,68010,100,5,0,75,9,119,208,80,0,128,0.02403846153846154,0.0,0.3605769230769231,0.04326923076923077,0.5721153846153846,0.38461538461538464,0.0,0.6153846153846154,Jose M. Serrano RECAP,0.6153846153846154
68011,68011,100,3,1,99,22,173,298,102,1,195,0.010067114093959731,0.003355704697986577,0.33221476510067116,0.0738255033557047,0.5805369127516778,0.3422818791946309,0.003355704697986577,0.6543624161073825,Jose M. Serrano RECAP,0.6543624161073825
68012,68012,100,4,0,41,15,102,162,45,0,117,0.024691358024691357,0.0,0.25308641975308643,0.09259259259259259,0.6296296296296297,0.2777777777777778,0.0,0.7222222222222222,Jose M. Serrano RECAP,0.7222222222222222
68014,68014,100,3,0,30,11,96,140,33,0,107,0.02142857142857143,0.0,0.21428571428571427,0.07857142857142857,0.6857142857142857,0.2357142857142857,0.0,0.7642857142857142,Jose M. Serrano RECAP,0.7642857142857142
68015,68015,100,8,0,37,17,162,224,45,0,179,0.03571428571428571,0.0,0.16517857142857142,0.07589285714285714,0.7232142857142857,0.20089285714285715,0.0,0.7991071428571429,Jose M. Serrano RECAP,0.7991071428571429
68016,68016,100,1,0,8,2,97,108,9,0,99,0.009259259259259259,0.0,0.07407407407407407,0.018518518518518517,0.8981481481481481,0.08333333333333333,0.0,0.9166666666666666,Jose M. Serrano RECAP,0.9166666666666666
68017,68017,100,1,0,5,8,93,107,6,0,101,0.009345794392523364,0.0,0.04672897196261682,0.07476635514018691,0.8691588785046729,0.056074766355140186,0.0,0.9439252336448598,Jose M. Serrano RECAP,0.9439252336448598
68018,68018,100,0,0,6,15,133,154,6,0,148,0.0,0.0,0.03896103896103896,0.09740259740259741,0.8636363636363636,0.03896103896103896,0.0,0.961038961038961,Jose M. Serrano RECAP,0.961038961038961
68019,68019,100,3,0,9,5,131,148,12,0,136,0.02027027027027027,0.0,0.060810810810810814,0.033783783783783786,0.8851351351351351,0.08108108108108109,0.0,0.918918918918919,Jose M. Serrano RECAP,0.918918918918919
68020,68020,100,3,0,7,11,45,66,10,0,56,0.045454545454545456,0.0,0.10606060606060606,0.16666666666666666,0.6818181818181818,0.15151515151515152,0.0,0.8484848484848485,Jose M. Serrano RECAP,0.8484848484848485
68021,68021,100,1,0,2,6,126,135,3,0,132,0.007407407407407408,0.0,0.014814814814814815,0.044444444444444446,0.9333333333333333,0.022222222222222223,0.0,0.9777777777777777,Jose M. Serrano RECAP,0.9777777777777777
68022,68022,100,2,0,8,11,71,92,10,0,82,0.021739130434782608,0.0,0.08695652173913043,0.11956521739130435,0.7717391304347826,0.10869565217391304,0.0,0.8913043478260869,Jose M. Serrano RECAP,0.8913043478260869
68023,68023,100,1,1,11,21,146,180,12,1,167,0.005555555555555556,0.005555555555555556,0.06111111111111111,0.11666666666666667,0.8111111111111111,0.06666666666666667,0.005555555555555556,0.9277777777777778,Jose M. Serrano RECAP,0.9277777777777778
68037,68037,100,0,0,7,14,148,169,7,0,162,0.0,0.0,0.04142011834319527,0.08284023668639054,0.8757396449704142,0.04142011834319527,0.0,0.9585798816568047,Jose M. Serrano RECAP,0.9585798816568047
68038,68038,100,4,2,3,16,43,68,7,2,59,0.058823529411764705,0.029411764705882353,0.04411764705882353,0.23529411764705882,0.6323529411764706,0.10294117647058823,0.029411764705882353,0.8676470588235294,Jose M. Serrano RECAP,0.8676470588235294
68039,68039,100,1,0,9,9,130,149,10,0,139,0.006711409395973154,0.0,0.06040268456375839,0.06040268456375839,0.87248322147651,0.06711409395973154,0.0,0.9328859060402684,Jose M. Serrano RECAP,0.9328859060402684
68040,68040,100,0,0,14,12,198,224,14,0,210,0.0,0.0,0.0625,0.05357142857142857,0.8839285714285714,0.0625,0.0,0.9375,Jose M. Serrano RECAP,0.9375
68041,68041,100,3,0,12,16,227,258,15,0,243,0.011627906976744186,0.0,0.046511627906976744,0.06201550387596899,0.8798449612403101,0.05813953488372093,0.0,0.9418604651162791,Jose M. Serrano RECAP,0.9418604651162791
68042,68042,100,3,0,4,4,146,157,7,0,150,0.01910828025477707,0.0,0.025477707006369428,0.025477707006369428,0.9299363057324841,0.044585987261146494,0.0,0.9554140127388535,Jose M. Serrano RECAP,0.9554140127388535
68043,68043,100,0,0,11,16,128,155,11,0,144,0.0,0.0,0.07096774193548387,0.1032258064516129,0.8258064516129032,0.07096774193548387,0.0,0.9290322580645162,Jose M. Serrano RECAP,0.9290322580645162
68044,68044,100,0,0,6,5,109,120,6,0,114,0.0,0.0,0.05,0.041666666666666664,0.9083333333333333,0.05,0.0,0.95,Jose M. Serrano RECAP,0.95
68045,68045,100,1,0,0,3,74,78,1,0,77,0.01282051282051282,0.0,0.0,0.038461538461538464,0.9487179487179487,0.01282051282051282,0.0,0.9871794871794872,Jose M. Serrano RECAP,0.9871794871794872
68046,68046,100,4,0,8,4,127,143,12,0,131,0.027972027972027972,0.0,0.055944055944055944,0.027972027972027972,0.8881118881118881,0.08391608391608392,0.0,0.916083916083916,Jose M. Serrano RECAP,0.916083916083916
68054,68054,100,4,0,15,19,114,152,19,0,133,0.02631578947368421,0.0,0.09868421052631579,0.125,0.75,0.125,0.0,0.875,Jose M. Serrano RECAP,0.875
68055,68055,100,0,0,11,12,106,129,11,0,118,0.0,0.0,0.08527131782945736,0.09302325581395349,0.8217054263565892,0.08527131782945736,0.0,0.9147286821705426,Jose M. Serrano RECAP,0.9147286821705426
68071,68071,100,1,0,5,24,100,130,6,0,124,0.007692307692307693,0.0,0.038461538461538464,0.18461538461538463,0.7692307692307693,0.046153846153846156,0.0,0.9538461538461539,Jose M. Serrano RECAP,0.9538461538461539
68072,68072,100,0,1,4,9,50,64,4,1,59,0.0,0.015625,0.0625,0.140625,0.78125,0.0625,0.015625,0.921875,Jose M. Serrano RECAP,0.921875
68075,68075,100,2,4,13,29,141,189,15,4,170,0.010582010582010581,0.021164021164021163,0.06878306878306878,0.15343915343915343,0.746031746031746,0.07936507936507936,0.021164021164021163,0.8994708994708994,Jose M. Serrano RECAP,0.8994708994708994
68076,68076,100,3,1,6,14,110,134,9,1,124,0.022388059701492536,0.007462686567164179,0.04477611940298507,0.1044776119402985,0.8208955223880597,0.06716417910447761,0.007462686567164179,0.9253731343283582,Jose M. Serrano RECAP,0.9253731343283582
68077,68077,100,0,0,6,11,70,87,6,0,81,0.0,0.0,0.06896551724137931,0.12643678160919541,0.8045977011494253,0.06896551724137931,0.0,0.9310344827586207,Jose M. Serrano RECAP,0.9310344827586207
68094,68094,100,1,0,2,1,14,18,3,0,15,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.7777777777777778,0.16666666666666666,0.0,0.8333333333333334,Jose M. Serrano RECAP,0.8333333333333334
68095,68095,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68096,68096,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68201,68201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68202,68202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68204,68204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68205,68205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68206,68206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
69001,69001,100,8,0,27,28,146,209,35,0,174,0.03827751196172249,0.0,0.1291866028708134,0.1339712918660287,0.6985645933014354,0.1674641148325359,0.0,0.8325358851674641,Jose M. Serrano RECAP,0.8325358851674641
69002,69002,100,3,0,33,29,104,169,36,0,133,0.01775147928994083,0.0,0.1952662721893491,0.17159763313609466,0.6153846153846154,0.21301775147928995,0.0,0.7869822485207101,Jose M. Serrano RECAP,0.7869822485207101
69003,69003,100,4,0,26,47,209,286,30,0,256,0.013986013986013986,0.0,0.09090909090909091,0.16433566433566432,0.7307692307692307,0.1048951048951049,0.0,0.8951048951048951,Jose M. Serrano RECAP,0.8951048951048951
69004,69004,100,6,0,40,49,167,262,46,0,216,0.022900763358778626,0.0,0.15267175572519084,0.18702290076335878,0.6374045801526718,0.17557251908396945,0.0,0.8244274809160306,Jose M. Serrano RECAP,0.8244274809160306
69005,69005,100,5,1,34,39,165,244,39,1,204,0.020491803278688523,0.004098360655737705,0.13934426229508196,0.1598360655737705,0.6762295081967213,0.1598360655737705,0.004098360655737705,0.8360655737704918,Jose M. Serrano RECAP,0.8360655737704918
69006,69006,100,4,0,50,43,227,324,54,0,270,0.012345679012345678,0.0,0.15432098765432098,0.13271604938271606,0.7006172839506173,0.16666666666666666,0.0,0.8333333333333334,Jose M. Serrano RECAP,0.8333333333333334
69007,69007,100,5,0,39,48,163,255,44,0,211,0.0196078431372549,0.0,0.15294117647058825,0.18823529411764706,0.6392156862745098,0.17254901960784313,0.0,0.8274509803921568,Jose M. Serrano RECAP,0.8274509803921568
69008,69008,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
69009,69009,100,5,0,39,30,205,279,44,0,235,0.017921146953405017,0.0,0.13978494623655913,0.10752688172043011,0.7347670250896058,0.15770609318996415,0.0,0.8422939068100358,Jose M. Serrano RECAP,0.8422939068100358
69010,69010,100,8,0,36,58,243,345,44,0,301,0.02318840579710145,0.0,0.10434782608695652,0.1681159420289855,0.7043478260869566,0.12753623188405797,0.0,0.8724637681159421,Jose M. Serrano RECAP,0.8724637681159421
69011,69011,100,5,1,42,66,219,333,47,1,285,0.015015015015015015,0.003003003003003003,0.12612612612612611,0.1981981981981982,0.6576576576576577,0.14114114114114115,0.003003003003003003,0.8558558558558559,Jose M. Serrano RECAP,0.8558558558558559
69012,69012,100,9,0,32,36,201,278,41,0,237,0.03237410071942446,0.0,0.11510791366906475,0.12949640287769784,0.7230215827338129,0.1474820143884892,0.0,0.8525179856115108,Jose M. Serrano RECAP,0.8525179856115108
73044,73044,100,2,0,39,24,132,197,41,0,156,0.01015228426395939,0.0,0.19796954314720813,0.1218274111675127,0.6700507614213198,0.20812182741116753,0.0,0.7918781725888325,Jose M. Serrano RECAP,0.7918781725888325
73093,73093,100,7,2,51,26,194,280,58,2,220,0.025,0.007142857142857143,0.18214285714285713,0.09285714285714286,0.6928571428571428,0.20714285714285716,0.007142857142857143,0.7857142857142857,Jose M. Serrano RECAP,0.7857142857142857
73094,73094,100,2,0,32,22,133,189,34,0,155,0.010582010582010581,0.0,0.1693121693121693,0.1164021164021164,0.7037037037037037,0.17989417989417988,0.0,0.8201058201058201,Jose M. Serrano RECAP,0.8201058201058201
73095,73095,100,16,0,39,20,238,313,55,0,258,0.051118210862619806,0.0,0.12460063897763578,0.06389776357827476,0.7603833865814696,0.1757188498402556,0.0,0.8242811501597445,Jose M. Serrano RECAP,0.8242811501597445
73096,73096,100,5,0,74,17,138,234,79,0,155,0.021367521367521368,0.0,0.3162393162393162,0.07264957264957266,0.5897435897435898,0.33760683760683763,0.0,0.6623931623931624,Jose M. Serrano RECAP,0.6623931623931624
74201,74201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75204,75204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76081,76081,100,2,0,27,7,115,151,29,0,122,0.013245033112582781,0.0,0.17880794701986755,0.046357615894039736,0.7615894039735099,0.19205298013245034,0.0,0.8079470198675497,Jose M. Serrano RECAP,0.8079470198675497
76082,76082,100,4,0,18,12,66,100,22,0,78,0.04,0.0,0.18,0.12,0.66,0.22,0.0,0.78,Jose M. Serrano RECAP,0.78
76083,76083,100,14,0,46,81,311,452,60,0,392,0.030973451327433628,0.0,0.10176991150442478,0.17920353982300885,0.6880530973451328,0.13274336283185842,0.0,0.8672566371681416,Jose M. Serrano RECAP,0.8672566371681416
76084,76084,100,4,0,27,28,186,245,31,0,214,0.0163265306122449,0.0,0.11020408163265306,0.11428571428571428,0.7591836734693878,0.12653061224489795,0.0,0.8734693877551021,Jose M. Serrano RECAP,0.8734693877551021
76085,76085,100,3,0,23,23,145,194,26,0,168,0.015463917525773196,0.0,0.11855670103092783,0.11855670103092783,0.7474226804123711,0.13402061855670103,0.0,0.865979381443299,Jose M. Serrano RECAP,0.865979381443299
76086,76086,100,5,0,41,17,133,196,46,0,150,0.025510204081632654,0.0,0.20918367346938777,0.08673469387755102,0.6785714285714286,0.23469387755102042,0.0,0.7653061224489796,Jose M. Serrano RECAP,0.7653061224489796
76087,76087,100,3,0,6,5,72,86,9,0,77,0.03488372093023256,0.0,0.06976744186046512,0.05813953488372093,0.8372093023255814,0.10465116279069768,0.0,0.8953488372093024,Jose M. Serrano RECAP,0.8953488372093024
76204,76204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76205,76205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76206,76206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76207,76207,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
77001,77001,100,1,0,4,4,28,37,5,0,32,0.02702702702702703,0.0,0.10810810810810811,0.10810810810810811,0.7567567567567568,0.13513513513513514,0.0,0.8648648648648649,Jose M. Serrano RECAP,0.8648648648648649
77002,77002,100,0,0,3,1,67,71,3,0,68,0.0,0.0,0.04225352112676056,0.014084507042253521,0.9436619718309859,0.04225352112676056,0.0,0.9577464788732394,Jose M. Serrano RECAP,0.9577464788732394
77003,77003,100,4,0,3,4,227,238,7,0,231,0.01680672268907563,0.0,0.012605042016806723,0.01680672268907563,0.9537815126050421,0.029411764705882353,0.0,0.9705882352941176,Jose M. Serrano RECAP,0.9705882352941176
77004,77004,100,1,0,4,2,61,68,5,0,63,0.014705882352941176,0.0,0.058823529411764705,0.029411764705882353,0.8970588235294118,0.07352941176470588,0.0,0.9264705882352942,Jose M. Serrano RECAP,0.9264705882352942
77005,77005,100,0,0,3,6,206,215,3,0,212,0.0,0.0,0.013953488372093023,0.027906976744186046,0.958139534883721,0.013953488372093023,0.0,0.986046511627907,Jose M. Serrano RECAP,0.986046511627907
77006,77006,100,1,0,3,8,181,193,4,0,189,0.0051813471502590676,0.0,0.015544041450777202,0.04145077720207254,0.9378238341968912,0.02072538860103627,0.0,0.9792746113989638,Jose M. Serrano RECAP,0.9792746113989638
77007,77007,100,2,0,10,6,262,280,12,0,268,0.007142857142857143,0.0,0.03571428571428571,0.02142857142857143,0.9357142857142857,0.04285714285714286,0.0,0.9571428571428572,Jose M. Serrano RECAP,0.9571428571428572
77008,77008,100,2,0,6,5,226,239,8,0,231,0.008368200836820083,0.0,0.02510460251046025,0.02092050209205021,0.9456066945606695,0.03347280334728033,0.0,0.9665271966527197,Jose M. Serrano RECAP,0.9665271966527197
77009,77009,100,0,0,8,5,228,241,8,0,233,0.0,0.0,0.03319502074688797,0.02074688796680498,0.946058091286307,0.03319502074688797,0.0,0.966804979253112,Jose M. Serrano RECAP,0.966804979253112
77010,77010,100,3,1,14,8,316,342,17,1,324,0.008771929824561403,0.0029239766081871343,0.04093567251461988,0.023391812865497075,0.9239766081871345,0.049707602339181284,0.0029239766081871343,0.9473684210526315,Jose M. Serrano RECAP,0.9473684210526315
77011,77011,100,0,2,6,5,214,227,6,2,219,0.0,0.00881057268722467,0.02643171806167401,0.022026431718061675,0.9427312775330396,0.02643171806167401,0.00881057268722467,0.9647577092511013,Jose M. Serrano RECAP,0.9647577092511013
77012,77012,100,0,0,3,3,166,172,3,0,169,0.0,0.0,0.01744186046511628,0.01744186046511628,0.9651162790697675,0.01744186046511628,0.0,0.9825581395348837,Jose M. Serrano RECAP,0.9825581395348837
77013,77013,100,1,0,1,2,127,131,2,0,129,0.007633587786259542,0.0,0.007633587786259542,0.015267175572519083,0.9694656488549618,0.015267175572519083,0.0,0.9847328244274809,Jose M. Serrano RECAP,0.9847328244274809
77014,77014,100,3,1,12,5,208,229,15,1,213,0.013100436681222707,0.004366812227074236,0.05240174672489083,0.021834061135371178,0.9082969432314411,0.06550218340611354,0.004366812227074236,0.9301310043668122,Jose M. Serrano RECAP,0.9301310043668122
77015,77015,100,1,0,6,6,166,179,7,0,172,0.00558659217877095,0.0,0.0335195530726257,0.0335195530726257,0.9273743016759777,0.03910614525139665,0.0,0.9608938547486033,Jose M. Serrano RECAP,0.9608938547486033
77016,77016,100,2,0,4,7,233,246,6,0,240,0.008130081300813009,0.0,0.016260162601626018,0.028455284552845527,0.9471544715447154,0.024390243902439025,0.0,0.975609756097561,Jose M. Serrano RECAP,0.975609756097561
77018,77018,100,1,0,2,4,130,137,3,0,134,0.0072992700729927005,0.0,0.014598540145985401,0.029197080291970802,0.948905109489051,0.021897810218978103,0.0,0.9781021897810219,Jose M. Serrano RECAP,0.9781021897810219
77019,77019,100,2,0,3,2,138,145,5,0,140,0.013793103448275862,0.0,0.020689655172413793,0.013793103448275862,0.9517241379310345,0.034482758620689655,0.0,0.9655172413793104,Jose M. Serrano RECAP,0.9655172413793104
77020,77020,100,2,0,4,1,161,168,6,0,162,0.011904761904761904,0.0,0.023809523809523808,0.005952380952380952,0.9583333333333334,0.03571428571428571,0.0,0.9642857142857143,Jose M. Serrano RECAP,0.9642857142857143
77021,77021,100,0,0,5,5,197,207,5,0,202,0.0,0.0,0.024154589371980676,0.024154589371980676,0.9516908212560387,0.024154589371980676,0.0,0.9758454106280193,Jose M. Serrano RECAP,0.9758454106280193
77022,77022,100,0,0,5,2,122,129,5,0,124,0.0,0.0,0.03875968992248062,0.015503875968992248,0.9457364341085271,0.03875968992248062,0.0,0.9612403100775194,Jose M. Serrano RECAP,0.9612403100775194
77023,77023,100,0,0,6,4,274,284,6,0,278,0.0,0.0,0.02112676056338028,0.014084507042253521,0.9647887323943662,0.02112676056338028,0.0,0.9788732394366197,Jose M. Serrano RECAP,0.9788732394366197
77024,77024,100,1,0,4,8,171,184,5,0,179,0.005434782608695652,0.0,0.021739130434782608,0.043478260869565216,0.9293478260869565,0.02717391304347826,0.0,0.9728260869565217,Jose M. Serrano RECAP,0.9728260869565217
77025,77025,100,1,0,7,7,248,263,8,0,255,0.0038022813688212928,0.0,0.026615969581749048,0.026615969581749048,0.9429657794676806,0.030418250950570342,0.0,0.9695817490494296,Jose M. Serrano RECAP,0.9695817490494296
77026,77026,100,0,1,4,3,93,101,4,1,96,0.0,0.009900990099009901,0.039603960396039604,0.0297029702970297,0.9207920792079208,0.039603960396039604,0.009900990099009901,0.9504950495049505,Jose M. Serrano RECAP,0.9504950495049505
77027,77027,100,1,0,4,4,157,166,5,0,161,0.006024096385542169,0.0,0.024096385542168676,0.024096385542168676,0.9457831325301205,0.030120481927710843,0.0,0.9698795180722891,Jose M. Serrano RECAP,0.9698795180722891
77028,77028,100,0,0,7,5,152,164,7,0,157,0.0,0.0,0.042682926829268296,0.03048780487804878,0.926829268292683,0.042682926829268296,0.0,0.9573170731707317,Jose M. Serrano RECAP,0.9573170731707317
77031,77031,100,0,0,1,3,21,25,1,0,24,0.0,0.0,0.04,0.12,0.84,0.04,0.0,0.96,Jose M. Serrano RECAP,0.96
77032,77032,100,0,0,1,1,22,24,1,0,23,0.0,0.0,0.041666666666666664,0.041666666666666664,0.9166666666666666,0.041666666666666664,0.0,0.9583333333333334,Jose M. Serrano RECAP,0.9583333333333334
77034,77034,100,3,0,5,7,158,173,8,0,165,0.017341040462427744,0.0,0.028901734104046242,0.04046242774566474,0.9132947976878613,0.046242774566473986,0.0,0.953757225433526,Jose M. Serrano RECAP,0.953757225433526
77035,77035,100,0,0,3,0,145,148,3,0,145,0.0,0.0,0.02027027027027027,0.0,0.9797297297297297,0.02027027027027027,0.0,0.9797297297297297,Jose M. Serrano RECAP,0.9797297297297297
