ED,Reported As,Reporting,Gregory W. Meeks (Democratic),Allen F. Steinhardt (Allen 4 Congress),Scattered,Total Votes,Gregory W. Meeks RECAP,Allen F. Steinhardt RECAP,Scattered RECAP,p_Gregory W. Meeks (Democratic),p_Allen F. Steinhardt (Allen 4 Congress),p_Scattered,p_Gregory W. Meeks RECAP,p_Allen F. Steinhardt RECAP,p_Scattered RECAP,winner,winner_p
23032,23032,100,138,3,0,141,138,3,0,0.9787234042553191,0.02127659574468085,0.0,0.9787234042553191,0.02127659574468085,0.0,Gregory W. Meeks RECAP,0.9787234042553191
23033,23033,100,161,3,0,164,161,3,0,0.9817073170731707,0.018292682926829267,0.0,0.9817073170731707,0.018292682926829267,0.0,Gregory W. Meeks RECAP,0.9817073170731707
23034,23034,100,115,0,0,115,115,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
23035,23035,100,257,25,1,283,257,25,1,0.9081272084805654,0.08833922261484099,0.0035335689045936395,0.9081272084805654,0.08833922261484099,0.0035335689045936395,Gregory W. Meeks RECAP,0.9081272084805654
23036,23036,100,186,18,1,205,186,18,1,0.9073170731707317,0.08780487804878048,0.004878048780487805,0.9073170731707317,0.08780487804878048,0.004878048780487805,Gregory W. Meeks RECAP,0.9073170731707317
23037,23037,100,169,20,0,189,169,20,0,0.8941798941798942,0.10582010582010581,0.0,0.8941798941798942,0.10582010582010581,0.0,Gregory W. Meeks RECAP,0.8941798941798942
23038,23038,100,20,7,0,27,20,7,0,0.7407407407407407,0.25925925925925924,0.0,0.7407407407407407,0.25925925925925924,0.0,Gregory W. Meeks RECAP,0.7407407407407407
23039,23039,100,183,19,1,203,183,19,1,0.9014778325123153,0.09359605911330049,0.0049261083743842365,0.9014778325123153,0.09359605911330049,0.0049261083743842365,Gregory W. Meeks RECAP,0.9014778325123153
23040,23040,100,113,52,0,165,113,52,0,0.6848484848484848,0.3151515151515151,0.0,0.6848484848484848,0.3151515151515151,0.0,Gregory W. Meeks RECAP,0.6848484848484848
23041,23041,100,91,46,2,139,91,46,2,0.6546762589928058,0.33093525179856115,0.014388489208633094,0.6546762589928058,0.33093525179856115,0.014388489208633094,Gregory W. Meeks RECAP,0.6546762589928058
23042,23042,100,218,8,2,228,218,8,2,0.956140350877193,0.03508771929824561,0.008771929824561403,0.956140350877193,0.03508771929824561,0.008771929824561403,Gregory W. Meeks RECAP,0.956140350877193
23070,23070,100,89,2,0,91,89,2,0,0.978021978021978,0.02197802197802198,0.0,0.978021978021978,0.02197802197802198,0.0,Gregory W. Meeks RECAP,0.978021978021978
23071,23038,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23072,23072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23073,23073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23074,23073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23076,23076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23077,23077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23078,23077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23079,23077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23080,23072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23081,23072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23082,23072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23083,23022,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24026,24026,100,91,7,0,98,91,7,0,0.9285714285714286,0.07142857142857142,0.0,0.9285714285714286,0.07142857142857142,0.0,Gregory W. Meeks RECAP,0.9285714285714286
24027,24027,100,255,6,1,262,255,6,1,0.9732824427480916,0.022900763358778626,0.003816793893129771,0.9732824427480916,0.022900763358778626,0.003816793893129771,Gregory W. Meeks RECAP,0.9732824427480916
24028,24028,100,148,21,2,171,148,21,2,0.8654970760233918,0.12280701754385964,0.011695906432748537,0.8654970760233918,0.12280701754385964,0.011695906432748537,Gregory W. Meeks RECAP,0.8654970760233918
24029,24029,100,320,14,0,334,320,14,0,0.9580838323353293,0.041916167664670656,0.0,0.9580838323353293,0.041916167664670656,0.0,Gregory W. Meeks RECAP,0.9580838323353293
24030,24030,100,283,12,0,295,283,12,0,0.9593220338983051,0.04067796610169491,0.0,0.9593220338983051,0.04067796610169491,0.0,Gregory W. Meeks RECAP,0.9593220338983051
24031,24031,100,109,7,0,116,109,7,0,0.9396551724137931,0.0603448275862069,0.0,0.9396551724137931,0.0603448275862069,0.0,Gregory W. Meeks RECAP,0.9396551724137931
24032,24032,100,100,11,1,112,100,11,1,0.8928571428571429,0.09821428571428571,0.008928571428571428,0.8928571428571429,0.09821428571428571,0.008928571428571428,Gregory W. Meeks RECAP,0.8928571428571429
24033,24033,100,159,27,2,188,159,27,2,0.8457446808510638,0.14361702127659576,0.010638297872340425,0.8457446808510638,0.14361702127659576,0.010638297872340425,Gregory W. Meeks RECAP,0.8457446808510638
24034,24034,100,94,19,1,114,94,19,1,0.8245614035087719,0.16666666666666666,0.008771929824561403,0.8245614035087719,0.16666666666666666,0.008771929824561403,Gregory W. Meeks RECAP,0.8245614035087719
24035,24035,100,154,21,4,179,154,21,4,0.8603351955307262,0.11731843575418995,0.0223463687150838,0.8603351955307262,0.11731843575418995,0.0223463687150838,Gregory W. Meeks RECAP,0.8603351955307262
24036,24036,100,69,1,0,70,69,1,0,0.9857142857142858,0.014285714285714285,0.0,0.9857142857142858,0.014285714285714285,0.0,Gregory W. Meeks RECAP,0.9857142857142858
24037,24037,100,176,6,1,183,176,6,1,0.9617486338797814,0.03278688524590164,0.00546448087431694,0.9617486338797814,0.03278688524590164,0.00546448087431694,Gregory W. Meeks RECAP,0.9617486338797814
24038,24038,100,1,1,0,2,1,1,0,0.5,0.5,0.0,0.5,0.5,0.0,Tie,0.5
24039,24039,100,24,1,1,26,24,1,1,0.9230769230769231,0.038461538461538464,0.038461538461538464,0.9230769230769231,0.038461538461538464,0.038461538461538464,Gregory W. Meeks RECAP,0.9230769230769231
24040,24040,100,200,12,2,214,200,12,2,0.9345794392523364,0.056074766355140186,0.009345794392523364,0.9345794392523364,0.056074766355140186,0.009345794392523364,Gregory W. Meeks RECAP,0.9345794392523364
24057,24057,100,62,3,0,65,62,3,0,0.9538461538461539,0.046153846153846156,0.0,0.9538461538461539,0.046153846153846156,0.0,Gregory W. Meeks RECAP,0.9538461538461539
24058,24058,100,1,0,0,1,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
24059,24059,100,123,3,0,126,123,3,0,0.9761904761904762,0.023809523809523808,0.0,0.9761904761904762,0.023809523809523808,0.0,Gregory W. Meeks RECAP,0.9761904761904762
24060,24060,100,26,0,0,26,26,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
24063,24063,100,91,1,0,92,91,1,0,0.9891304347826086,0.010869565217391304,0.0,0.9891304347826086,0.010869565217391304,0.0,Gregory W. Meeks RECAP,0.9891304347826086
24064,24064,100,60,5,0,65,60,5,0,0.9230769230769231,0.07692307692307693,0.0,0.9230769230769231,0.07692307692307693,0.0,Gregory W. Meeks RECAP,0.9230769230769231
24065,24065,100,134,4,0,138,134,4,0,0.9710144927536232,0.028985507246376812,0.0,0.9710144927536232,0.028985507246376812,0.0,Gregory W. Meeks RECAP,0.9710144927536232
24066,24066,100,147,4,0,151,147,4,0,0.9735099337748344,0.026490066225165563,0.0,0.9735099337748344,0.026490066225165563,0.0,Gregory W. Meeks RECAP,0.9735099337748344
24068,24068,100,83,10,0,93,83,10,0,0.8924731182795699,0.10752688172043011,0.0,0.8924731182795699,0.10752688172043011,0.0,Gregory W. Meeks RECAP,0.8924731182795699
24069,24069,100,61,7,1,69,61,7,1,0.8840579710144928,0.10144927536231885,0.014492753623188406,0.8840579710144928,0.10144927536231885,0.014492753623188406,Gregory W. Meeks RECAP,0.8840579710144928
24070,24070,100,89,9,0,98,89,9,0,0.9081632653061225,0.09183673469387756,0.0,0.9081632653061225,0.09183673469387756,0.0,Gregory W. Meeks RECAP,0.9081632653061225
24071,24071,100,92,6,0,98,92,6,0,0.9387755102040817,0.061224489795918366,0.0,0.9387755102040817,0.061224489795918366,0.0,Gregory W. Meeks RECAP,0.9387755102040817
24072,24072,100,90,4,0,94,90,4,0,0.9574468085106383,0.0425531914893617,0.0,0.9574468085106383,0.0425531914893617,0.0,Gregory W. Meeks RECAP,0.9574468085106383
24073,24073,100,110,5,0,115,110,5,0,0.9565217391304348,0.043478260869565216,0.0,0.9565217391304348,0.043478260869565216,0.0,Gregory W. Meeks RECAP,0.9565217391304348
24074,24074,100,101,1,0,102,101,1,0,0.9901960784313726,0.00980392156862745,0.0,0.9901960784313726,0.00980392156862745,0.0,Gregory W. Meeks RECAP,0.9901960784313726
24075,24075,100,66,3,0,69,66,3,0,0.9565217391304348,0.043478260869565216,0.0,0.9565217391304348,0.043478260869565216,0.0,Gregory W. Meeks RECAP,0.9565217391304348
24076,24076,100,108,2,0,110,108,2,0,0.9818181818181818,0.01818181818181818,0.0,0.9818181818181818,0.01818181818181818,0.0,Gregory W. Meeks RECAP,0.9818181818181818
24077,24077,100,79,3,0,82,79,3,0,0.9634146341463414,0.036585365853658534,0.0,0.9634146341463414,0.036585365853658534,0.0,Gregory W. Meeks RECAP,0.9634146341463414
24079,24079,100,54,6,1,61,54,6,1,0.8852459016393442,0.09836065573770492,0.01639344262295082,0.8852459016393442,0.09836065573770492,0.01639344262295082,Gregory W. Meeks RECAP,0.8852459016393442
24081,24060,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24082,24082,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27002,27002,100,145,6,1,152,145,6,1,0.9539473684210527,0.039473684210526314,0.006578947368421052,0.9539473684210527,0.039473684210526314,0.006578947368421052,Gregory W. Meeks RECAP,0.9539473684210527
27069,27069,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
28002,28002,100,66,19,0,85,66,19,0,0.7764705882352941,0.2235294117647059,0.0,0.7764705882352941,0.2235294117647059,0.0,Gregory W. Meeks RECAP,0.7764705882352941
28003,28003,100,144,20,2,166,144,20,2,0.8674698795180723,0.12048192771084337,0.012048192771084338,0.8674698795180723,0.12048192771084337,0.012048192771084338,Gregory W. Meeks RECAP,0.8674698795180723
28004,28004,100,55,7,0,62,55,7,0,0.8870967741935484,0.11290322580645161,0.0,0.8870967741935484,0.11290322580645161,0.0,Gregory W. Meeks RECAP,0.8870967741935484
28005,28005,100,37,12,0,49,37,12,0,0.7551020408163265,0.24489795918367346,0.0,0.7551020408163265,0.24489795918367346,0.0,Gregory W. Meeks RECAP,0.7551020408163265
29001,29001,100,91,3,0,94,91,3,0,0.9680851063829787,0.031914893617021274,0.0,0.9680851063829787,0.031914893617021274,0.0,Gregory W. Meeks RECAP,0.9680851063829787
29002,29002,100,190,2,0,192,190,2,0,0.9895833333333334,0.010416666666666666,0.0,0.9895833333333334,0.010416666666666666,0.0,Gregory W. Meeks RECAP,0.9895833333333334
29003,29003,100,139,3,0,142,139,3,0,0.9788732394366197,0.02112676056338028,0.0,0.9788732394366197,0.02112676056338028,0.0,Gregory W. Meeks RECAP,0.9788732394366197
29004,29004,100,164,5,0,169,164,5,0,0.9704142011834319,0.029585798816568046,0.0,0.9704142011834319,0.029585798816568046,0.0,Gregory W. Meeks RECAP,0.9704142011834319
29005,29005,100,51,0,0,51,51,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
29006,29006,100,153,7,1,161,153,7,1,0.9503105590062112,0.043478260869565216,0.006211180124223602,0.9503105590062112,0.043478260869565216,0.006211180124223602,Gregory W. Meeks RECAP,0.9503105590062112
29007,29007,100,18,0,0,18,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
29008,29008,100,120,0,0,120,120,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
29009,29009,100,144,5,0,149,144,5,0,0.9664429530201343,0.03355704697986577,0.0,0.9664429530201343,0.03355704697986577,0.0,Gregory W. Meeks RECAP,0.9664429530201343
29010,29010,100,184,7,0,191,184,7,0,0.9633507853403142,0.03664921465968586,0.0,0.9633507853403142,0.03664921465968586,0.0,Gregory W. Meeks RECAP,0.9633507853403142
29011,29011,100,64,3,0,67,64,3,0,0.9552238805970149,0.04477611940298507,0.0,0.9552238805970149,0.04477611940298507,0.0,Gregory W. Meeks RECAP,0.9552238805970149
29012,29012,100,197,2,0,199,197,2,0,0.9899497487437185,0.010050251256281407,0.0,0.9899497487437185,0.010050251256281407,0.0,Gregory W. Meeks RECAP,0.9899497487437185
29013,29013,100,111,2,1,114,111,2,1,0.9736842105263158,0.017543859649122806,0.008771929824561403,0.9736842105263158,0.017543859649122806,0.008771929824561403,Gregory W. Meeks RECAP,0.9736842105263158
29014,29014,100,148,2,0,150,148,2,0,0.9866666666666667,0.013333333333333334,0.0,0.9866666666666667,0.013333333333333334,0.0,Gregory W. Meeks RECAP,0.9866666666666667
29015,29015,100,221,2,0,223,221,2,0,0.9910313901345291,0.008968609865470852,0.0,0.9910313901345291,0.008968609865470852,0.0,Gregory W. Meeks RECAP,0.9910313901345291
29016,29016,100,122,3,0,125,122,3,0,0.976,0.024,0.0,0.976,0.024,0.0,Gregory W. Meeks RECAP,0.976
29017,29017,100,150,1,0,151,150,1,0,0.9933774834437086,0.006622516556291391,0.0,0.9933774834437086,0.006622516556291391,0.0,Gregory W. Meeks RECAP,0.9933774834437086
29018,29018,100,182,0,0,182,182,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
29019,29019,100,117,2,0,119,117,2,0,0.9831932773109243,0.01680672268907563,0.0,0.9831932773109243,0.01680672268907563,0.0,Gregory W. Meeks RECAP,0.9831932773109243
29020,29020,100,229,3,0,232,229,3,0,0.9870689655172413,0.01293103448275862,0.0,0.9870689655172413,0.01293103448275862,0.0,Gregory W. Meeks RECAP,0.9870689655172413
29021,29021,100,298,5,0,303,298,5,0,0.9834983498349835,0.0165016501650165,0.0,0.9834983498349835,0.0165016501650165,0.0,Gregory W. Meeks RECAP,0.9834983498349835
29022,29022,100,295,5,0,300,295,5,0,0.9833333333333333,0.016666666666666666,0.0,0.9833333333333333,0.016666666666666666,0.0,Gregory W. Meeks RECAP,0.9833333333333333
29023,29023,100,264,5,0,269,264,5,0,0.9814126394052045,0.01858736059479554,0.0,0.9814126394052045,0.01858736059479554,0.0,Gregory W. Meeks RECAP,0.9814126394052045
29024,29024,100,313,6,0,319,313,6,0,0.9811912225705329,0.018808777429467086,0.0,0.9811912225705329,0.018808777429467086,0.0,Gregory W. Meeks RECAP,0.9811912225705329
29025,29025,100,314,6,0,320,314,6,0,0.98125,0.01875,0.0,0.98125,0.01875,0.0,Gregory W. Meeks RECAP,0.98125
29026,29026,100,312,5,0,317,312,5,0,0.9842271293375394,0.015772870662460567,0.0,0.9842271293375394,0.015772870662460567,0.0,Gregory W. Meeks RECAP,0.9842271293375394
29027,29027,100,269,1,0,270,269,1,0,0.9962962962962963,0.003703703703703704,0.0,0.9962962962962963,0.003703703703703704,0.0,Gregory W. Meeks RECAP,0.9962962962962963
29028,29028,100,274,3,0,277,274,3,0,0.9891696750902527,0.010830324909747292,0.0,0.9891696750902527,0.010830324909747292,0.0,Gregory W. Meeks RECAP,0.9891696750902527
29029,29029,100,342,3,0,345,342,3,0,0.991304347826087,0.008695652173913044,0.0,0.991304347826087,0.008695652173913044,0.0,Gregory W. Meeks RECAP,0.991304347826087
29030,29030,100,231,3,2,236,231,3,2,0.9788135593220338,0.012711864406779662,0.00847457627118644,0.9788135593220338,0.012711864406779662,0.00847457627118644,Gregory W. Meeks RECAP,0.9788135593220338
29031,29031,100,320,4,0,324,320,4,0,0.9876543209876543,0.012345679012345678,0.0,0.9876543209876543,0.012345679012345678,0.0,Gregory W. Meeks RECAP,0.9876543209876543
29032,29032,100,310,3,0,313,310,3,0,0.9904153354632588,0.009584664536741214,0.0,0.9904153354632588,0.009584664536741214,0.0,Gregory W. Meeks RECAP,0.9904153354632588
29033,29033,100,288,1,0,289,288,1,0,0.9965397923875432,0.0034602076124567475,0.0,0.9965397923875432,0.0034602076124567475,0.0,Gregory W. Meeks RECAP,0.9965397923875432
29034,29034,100,280,2,1,283,280,2,1,0.9893992932862191,0.007067137809187279,0.0035335689045936395,0.9893992932862191,0.007067137809187279,0.0035335689045936395,Gregory W. Meeks RECAP,0.9893992932862191
29035,29035,100,193,1,0,194,193,1,0,0.9948453608247423,0.005154639175257732,0.0,0.9948453608247423,0.005154639175257732,0.0,Gregory W. Meeks RECAP,0.9948453608247423
29036,29036,100,144,7,0,151,144,7,0,0.9536423841059603,0.046357615894039736,0.0,0.9536423841059603,0.046357615894039736,0.0,Gregory W. Meeks RECAP,0.9536423841059603
29037,29037,100,150,6,0,156,150,6,0,0.9615384615384616,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,0.0,Gregory W. Meeks RECAP,0.9615384615384616
29038,29038,100,205,7,0,212,205,7,0,0.9669811320754716,0.0330188679245283,0.0,0.9669811320754716,0.0330188679245283,0.0,Gregory W. Meeks RECAP,0.9669811320754716
29039,29039,100,94,1,2,97,94,1,2,0.9690721649484536,0.010309278350515464,0.020618556701030927,0.9690721649484536,0.010309278350515464,0.020618556701030927,Gregory W. Meeks RECAP,0.9690721649484536
29040,29040,100,144,0,0,144,144,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
29041,29041,100,217,1,3,221,217,1,3,0.9819004524886877,0.004524886877828055,0.013574660633484163,0.9819004524886877,0.004524886877828055,0.013574660633484163,Gregory W. Meeks RECAP,0.9819004524886877
29042,29042,100,227,1,0,228,227,1,0,0.9956140350877193,0.0043859649122807015,0.0,0.9956140350877193,0.0043859649122807015,0.0,Gregory W. Meeks RECAP,0.9956140350877193
29043,29043,100,196,5,0,201,196,5,0,0.9751243781094527,0.024875621890547265,0.0,0.9751243781094527,0.024875621890547265,0.0,Gregory W. Meeks RECAP,0.9751243781094527
29044,29044,100,161,4,1,166,161,4,1,0.9698795180722891,0.024096385542168676,0.006024096385542169,0.9698795180722891,0.024096385542168676,0.006024096385542169,Gregory W. Meeks RECAP,0.9698795180722891
29045,29045,100,243,3,1,247,243,3,1,0.9838056680161943,0.012145748987854251,0.004048582995951417,0.9838056680161943,0.012145748987854251,0.004048582995951417,Gregory W. Meeks RECAP,0.9838056680161943
29046,29046,100,235,3,0,238,235,3,0,0.9873949579831933,0.012605042016806723,0.0,0.9873949579831933,0.012605042016806723,0.0,Gregory W. Meeks RECAP,0.9873949579831933
29047,29047,100,249,2,0,251,249,2,0,0.9920318725099602,0.00796812749003984,0.0,0.9920318725099602,0.00796812749003984,0.0,Gregory W. Meeks RECAP,0.9920318725099602
29048,29048,100,189,3,1,193,189,3,1,0.9792746113989638,0.015544041450777202,0.0051813471502590676,0.9792746113989638,0.015544041450777202,0.0051813471502590676,Gregory W. Meeks RECAP,0.9792746113989638
29049,29049,100,176,4,0,180,176,4,0,0.9777777777777777,0.022222222222222223,0.0,0.9777777777777777,0.022222222222222223,0.0,Gregory W. Meeks RECAP,0.9777777777777777
29050,29050,100,280,4,0,284,280,4,0,0.9859154929577465,0.014084507042253521,0.0,0.9859154929577465,0.014084507042253521,0.0,Gregory W. Meeks RECAP,0.9859154929577465
29051,29051,100,327,1,0,328,327,1,0,0.9969512195121951,0.003048780487804878,0.0,0.9969512195121951,0.003048780487804878,0.0,Gregory W. Meeks RECAP,0.9969512195121951
29052,29052,100,271,2,1,274,271,2,1,0.9890510948905109,0.0072992700729927005,0.0036496350364963502,0.9890510948905109,0.0072992700729927005,0.0036496350364963502,Gregory W. Meeks RECAP,0.9890510948905109
29053,29053,100,224,2,0,226,224,2,0,0.9911504424778761,0.008849557522123894,0.0,0.9911504424778761,0.008849557522123894,0.0,Gregory W. Meeks RECAP,0.9911504424778761
29054,29054,100,299,3,0,302,299,3,0,0.9900662251655629,0.009933774834437087,0.0,0.9900662251655629,0.009933774834437087,0.0,Gregory W. Meeks RECAP,0.9900662251655629
29055,29055,100,303,3,1,307,303,3,1,0.9869706840390879,0.009771986970684038,0.003257328990228013,0.9869706840390879,0.009771986970684038,0.003257328990228013,Gregory W. Meeks RECAP,0.9869706840390879
29056,29056,100,238,1,0,239,238,1,0,0.99581589958159,0.0041841004184100415,0.0,0.99581589958159,0.0041841004184100415,0.0,Gregory W. Meeks RECAP,0.99581589958159
29057,29057,100,208,2,1,211,208,2,1,0.985781990521327,0.009478672985781991,0.004739336492890996,0.985781990521327,0.009478672985781991,0.004739336492890996,Gregory W. Meeks RECAP,0.985781990521327
29058,29058,100,268,4,0,272,268,4,0,0.9852941176470589,0.014705882352941176,0.0,0.9852941176470589,0.014705882352941176,0.0,Gregory W. Meeks RECAP,0.9852941176470589
29059,29059,100,352,6,1,359,352,6,1,0.9805013927576601,0.016713091922005572,0.002785515320334262,0.9805013927576601,0.016713091922005572,0.002785515320334262,Gregory W. Meeks RECAP,0.9805013927576601
29060,29060,100,352,3,1,356,352,3,1,0.9887640449438202,0.008426966292134831,0.0028089887640449437,0.9887640449438202,0.008426966292134831,0.0028089887640449437,Gregory W. Meeks RECAP,0.9887640449438202
