ED,Reported As,Reporting,Annette M. Robinson (Democratic),Scattered,Garnsey Lee Alston (Republican),Total Votes,Annette M. Robinson RECAP,Scattered RECAP,Garnsey Lee Alston RECAP,p_Annette M. Robinson (Democratic),p_Scattered,p_Garnsey Lee Alston (Republican),p_Annette M. Robinson RECAP,p_Scattered RECAP,p_Garnsey Lee Alston RECAP,winner,winner_p
56022,56022,100,232,0,5,237,232,0,5,0.9789029535864979,0.0,0.02109704641350211,0.9789029535864979,0.0,0.02109704641350211,Annette M. Robinson RECAP,0.9789029535864979
56023,56023,100,204,0,1,205,204,0,1,0.9951219512195122,0.0,0.004878048780487805,0.9951219512195122,0.0,0.004878048780487805,Annette M. Robinson RECAP,0.9951219512195122
56024,56024,100,176,0,3,179,176,0,3,0.9832402234636871,0.0,0.01675977653631285,0.9832402234636871,0.0,0.01675977653631285,Annette M. Robinson RECAP,0.9832402234636871
56025,56025,100,179,0,6,185,179,0,6,0.9675675675675676,0.0,0.032432432432432434,0.9675675675675676,0.0,0.032432432432432434,Annette M. Robinson RECAP,0.9675675675675676
56026,56026,100,223,1,4,228,223,1,4,0.9780701754385965,0.0043859649122807015,0.017543859649122806,0.9780701754385965,0.0043859649122807015,0.017543859649122806,Annette M. Robinson RECAP,0.9780701754385965
56027,56027,100,175,0,0,175,175,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Annette M. Robinson RECAP,1.0
56028,56028,100,194,0,7,201,194,0,7,0.9651741293532339,0.0,0.03482587064676617,0.9651741293532339,0.0,0.03482587064676617,Annette M. Robinson RECAP,0.9651741293532339
56029,56029,100,130,0,5,135,130,0,5,0.9629629629629629,0.0,0.037037037037037035,0.9629629629629629,0.0,0.037037037037037035,Annette M. Robinson RECAP,0.9629629629629629
56030,56030,100,207,0,0,207,207,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Annette M. Robinson RECAP,1.0
56031,56031,100,153,0,2,155,153,0,2,0.9870967741935484,0.0,0.012903225806451613,0.9870967741935484,0.0,0.012903225806451613,Annette M. Robinson RECAP,0.9870967741935484
56032,56032,100,238,0,2,240,238,0,2,0.9916666666666667,0.0,0.008333333333333333,0.9916666666666667,0.0,0.008333333333333333,Annette M. Robinson RECAP,0.9916666666666667
56033,56033,100,232,0,5,237,232,0,5,0.9789029535864979,0.0,0.02109704641350211,0.9789029535864979,0.0,0.02109704641350211,Annette M. Robinson RECAP,0.9789029535864979
56034,56034,100,157,0,1,158,157,0,1,0.9936708860759493,0.0,0.006329113924050633,0.9936708860759493,0.0,0.006329113924050633,Annette M. Robinson RECAP,0.9936708860759493
56035,56035,100,221,0,4,225,221,0,4,0.9822222222222222,0.0,0.017777777777777778,0.9822222222222222,0.0,0.017777777777777778,Annette M. Robinson RECAP,0.9822222222222222
56036,56036,100,221,0,2,223,221,0,2,0.9910313901345291,0.0,0.008968609865470852,0.9910313901345291,0.0,0.008968609865470852,Annette M. Robinson RECAP,0.9910313901345291
56037,56037,100,246,0,10,256,246,0,10,0.9609375,0.0,0.0390625,0.9609375,0.0,0.0390625,Annette M. Robinson RECAP,0.9609375
56038,56038,100,232,1,6,239,232,1,6,0.9707112970711297,0.0041841004184100415,0.02510460251046025,0.9707112970711297,0.0041841004184100415,0.02510460251046025,Annette M. Robinson RECAP,0.9707112970711297
56039,56039,100,201,0,3,204,201,0,3,0.9852941176470589,0.0,0.014705882352941176,0.9852941176470589,0.0,0.014705882352941176,Annette M. Robinson RECAP,0.9852941176470589
56040,56040,100,234,0,8,242,234,0,8,0.9669421487603306,0.0,0.03305785123966942,0.9669421487603306,0.0,0.03305785123966942,Annette M. Robinson RECAP,0.9669421487603306
56041,56041,100,167,0,3,170,167,0,3,0.9823529411764705,0.0,0.01764705882352941,0.9823529411764705,0.0,0.01764705882352941,Annette M. Robinson RECAP,0.9823529411764705
56042,56042,100,255,1,5,261,255,1,5,0.9770114942528736,0.0038314176245210726,0.019157088122605363,0.9770114942528736,0.0038314176245210726,0.019157088122605363,Annette M. Robinson RECAP,0.9770114942528736
56043,56043,100,267,2,2,271,267,2,2,0.985239852398524,0.007380073800738007,0.007380073800738007,0.985239852398524,0.007380073800738007,0.007380073800738007,Annette M. Robinson RECAP,0.985239852398524
56044,56044,100,257,0,4,261,257,0,4,0.9846743295019157,0.0,0.01532567049808429,0.9846743295019157,0.0,0.01532567049808429,Annette M. Robinson RECAP,0.9846743295019157
56045,56045,100,198,0,3,201,198,0,3,0.9850746268656716,0.0,0.014925373134328358,0.9850746268656716,0.0,0.014925373134328358,Annette M. Robinson RECAP,0.9850746268656716
56046,56046,100,272,0,6,278,272,0,6,0.9784172661870504,0.0,0.02158273381294964,0.9784172661870504,0.0,0.02158273381294964,Annette M. Robinson RECAP,0.9784172661870504
56047,56047,100,248,0,10,258,248,0,10,0.9612403100775194,0.0,0.03875968992248062,0.9612403100775194,0.0,0.03875968992248062,Annette M. Robinson RECAP,0.9612403100775194
56048,56048,100,210,0,8,218,210,0,8,0.963302752293578,0.0,0.03669724770642202,0.963302752293578,0.0,0.03669724770642202,Annette M. Robinson RECAP,0.963302752293578
56049,56049,100,321,1,9,331,321,1,9,0.9697885196374623,0.0030211480362537764,0.027190332326283987,0.9697885196374623,0.0030211480362537764,0.027190332326283987,Annette M. Robinson RECAP,0.9697885196374623
56050,56050,100,291,1,8,300,291,1,8,0.97,0.0033333333333333335,0.02666666666666667,0.97,0.0033333333333333335,0.02666666666666667,Annette M. Robinson RECAP,0.97
56051,56051,100,256,0,2,258,256,0,2,0.9922480620155039,0.0,0.007751937984496124,0.9922480620155039,0.0,0.007751937984496124,Annette M. Robinson RECAP,0.9922480620155039
56052,56052,100,264,0,5,269,264,0,5,0.9814126394052045,0.0,0.01858736059479554,0.9814126394052045,0.0,0.01858736059479554,Annette M. Robinson RECAP,0.9814126394052045
56053,56053,100,222,1,5,228,222,1,5,0.9736842105263158,0.0043859649122807015,0.021929824561403508,0.9736842105263158,0.0043859649122807015,0.021929824561403508,Annette M. Robinson RECAP,0.9736842105263158
56054,56054,100,207,0,4,211,207,0,4,0.981042654028436,0.0,0.018957345971563982,0.981042654028436,0.0,0.018957345971563982,Annette M. Robinson RECAP,0.981042654028436
56055,56055,100,295,1,7,303,295,1,7,0.9735973597359736,0.0033003300330033004,0.0231023102310231,0.9735973597359736,0.0033003300330033004,0.0231023102310231,Annette M. Robinson RECAP,0.9735973597359736
56056,56056,100,106,0,0,106,106,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Annette M. Robinson RECAP,1.0
56057,56057,100,200,0,2,202,200,0,2,0.9900990099009901,0.0,0.009900990099009901,0.9900990099009901,0.0,0.009900990099009901,Annette M. Robinson RECAP,0.9900990099009901
56058,56058,100,256,0,2,258,256,0,2,0.9922480620155039,0.0,0.007751937984496124,0.9922480620155039,0.0,0.007751937984496124,Annette M. Robinson RECAP,0.9922480620155039
56059,56059,100,151,0,6,157,151,0,6,0.9617834394904459,0.0,0.03821656050955414,0.9617834394904459,0.0,0.03821656050955414,Annette M. Robinson RECAP,0.9617834394904459
56060,56060,100,62,0,0,62,62,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Annette M. Robinson RECAP,1.0
56061,56061,100,107,1,1,109,107,1,1,0.981651376146789,0.009174311926605505,0.009174311926605505,0.981651376146789,0.009174311926605505,0.009174311926605505,Annette M. Robinson RECAP,0.981651376146789
56062,56062,100,207,0,0,207,207,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Annette M. Robinson RECAP,1.0
56063,56063,100,159,0,3,162,159,0,3,0.9814814814814815,0.0,0.018518518518518517,0.9814814814814815,0.0,0.018518518518518517,Annette M. Robinson RECAP,0.9814814814814815
56064,56064,100,241,0,2,243,241,0,2,0.9917695473251029,0.0,0.00823045267489712,0.9917695473251029,0.0,0.00823045267489712,Annette M. Robinson RECAP,0.9917695473251029
56065,56065,100,113,0,1,114,113,0,1,0.9912280701754386,0.0,0.008771929824561403,0.9912280701754386,0.0,0.008771929824561403,Annette M. Robinson RECAP,0.9912280701754386
56066,56066,100,50,0,2,52,50,0,2,0.9615384615384616,0.0,0.038461538461538464,0.9615384615384616,0.0,0.038461538461538464,Annette M. Robinson RECAP,0.9615384615384616
56067,56067,100,71,0,5,76,71,0,5,0.9342105263157895,0.0,0.06578947368421052,0.9342105263157895,0.0,0.06578947368421052,Annette M. Robinson RECAP,0.9342105263157895
56068,56068,100,206,0,5,211,206,0,5,0.976303317535545,0.0,0.023696682464454975,0.976303317535545,0.0,0.023696682464454975,Annette M. Robinson RECAP,0.976303317535545
56069,56069,100,186,0,5,191,186,0,5,0.9738219895287958,0.0,0.02617801047120419,0.9738219895287958,0.0,0.02617801047120419,Annette M. Robinson RECAP,0.9738219895287958
56070,56070,100,168,0,5,173,168,0,5,0.9710982658959537,0.0,0.028901734104046242,0.9710982658959537,0.0,0.028901734104046242,Annette M. Robinson RECAP,0.9710982658959537
56071,56071,100,213,0,3,216,213,0,3,0.9861111111111112,0.0,0.013888888888888888,0.9861111111111112,0.0,0.013888888888888888,Annette M. Robinson RECAP,0.9861111111111112
56072,56072,100,291,0,2,293,291,0,2,0.9931740614334471,0.0,0.006825938566552901,0.9931740614334471,0.0,0.006825938566552901,Annette M. Robinson RECAP,0.9931740614334471
56073,56073,100,90,0,2,92,90,0,2,0.9782608695652174,0.0,0.021739130434782608,0.9782608695652174,0.0,0.021739130434782608,Annette M. Robinson RECAP,0.9782608695652174
56074,56074,100,136,0,3,139,136,0,3,0.9784172661870504,0.0,0.02158273381294964,0.9784172661870504,0.0,0.02158273381294964,Annette M. Robinson RECAP,0.9784172661870504
56075,56075,100,109,0,1,110,109,0,1,0.990909090909091,0.0,0.00909090909090909,0.990909090909091,0.0,0.00909090909090909,Annette M. Robinson RECAP,0.990909090909091
56076,56076,100,94,0,0,94,94,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Annette M. Robinson RECAP,1.0
56077,56077,100,204,0,8,212,204,0,8,0.9622641509433962,0.0,0.03773584905660377,0.9622641509433962,0.0,0.03773584905660377,Annette M. Robinson RECAP,0.9622641509433962
56078,56078,100,169,0,5,174,169,0,5,0.9712643678160919,0.0,0.028735632183908046,0.9712643678160919,0.0,0.028735632183908046,Annette M. Robinson RECAP,0.9712643678160919
56079,56079,100,146,0,5,151,146,0,5,0.9668874172185431,0.0,0.033112582781456956,0.9668874172185431,0.0,0.033112582781456956,Annette M. Robinson RECAP,0.9668874172185431
56080,56080,100,122,0,4,126,122,0,4,0.9682539682539683,0.0,0.031746031746031744,0.9682539682539683,0.0,0.031746031746031744,Annette M. Robinson RECAP,0.9682539682539683
56081,56081,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
56082,56082,100,128,0,3,131,128,0,3,0.9770992366412213,0.0,0.022900763358778626,0.9770992366412213,0.0,0.022900763358778626,Annette M. Robinson RECAP,0.9770992366412213
