ED,Reported As,Reporting,Harry DeMell (Republican),Richard N. Gottfried (Democratic),Scattered,Richard N. Gottfried (Working Families),Total Votes,Harry DeMell RECAP,Richard N. Gottfried RECAP,Scattered RECAP,p_Harry DeMell (Republican),p_Richard N. Gottfried (Democratic),p_Scattered,p_Richard N. Gottfried (Working Families),p_Harry DeMell RECAP,p_Richard N. Gottfried RECAP,p_Scattered RECAP,winner,winner_p
75021,75021,100,7,130,0,30,167,7,160,0,0.041916167664670656,0.7784431137724551,0.0,0.17964071856287425,0.041916167664670656,0.9580838323353293,0.0,Richard N. Gottfried RECAP,0.9580838323353293
75022,75022,100,27,177,0,22,226,27,199,0,0.11946902654867257,0.7831858407079646,0.0,0.09734513274336283,0.11946902654867257,0.8805309734513275,0.0,Richard N. Gottfried RECAP,0.8805309734513275
75023,75023,100,25,181,0,42,248,25,223,0,0.10080645161290322,0.7298387096774194,0.0,0.1693548387096774,0.10080645161290322,0.8991935483870968,0.0,Richard N. Gottfried RECAP,0.8991935483870968
75024,75024,100,24,185,2,56,267,24,241,2,0.0898876404494382,0.6928838951310862,0.00749063670411985,0.20973782771535582,0.0898876404494382,0.9026217228464419,0.00749063670411985,Richard N. Gottfried RECAP,0.9026217228464419
75025,75025,100,23,187,2,75,287,23,262,2,0.08013937282229965,0.6515679442508711,0.006968641114982578,0.2613240418118467,0.08013937282229965,0.9128919860627178,0.006968641114982578,Richard N. Gottfried RECAP,0.9128919860627178
75026,75026,100,27,227,0,87,341,27,314,0,0.07917888563049853,0.6656891495601173,0.0,0.25513196480938416,0.07917888563049853,0.9208211143695014,0.0,Richard N. Gottfried RECAP,0.9208211143695014
75027,75027,100,23,265,0,62,350,23,327,0,0.06571428571428571,0.7571428571428571,0.0,0.17714285714285713,0.06571428571428571,0.9342857142857143,0.0,Richard N. Gottfried RECAP,0.9342857142857143
75028,75028,100,41,230,0,47,318,41,277,0,0.1289308176100629,0.7232704402515723,0.0,0.14779874213836477,0.1289308176100629,0.8710691823899371,0.0,Richard N. Gottfried RECAP,0.8710691823899371
75029,75029,100,31,77,0,12,120,31,89,0,0.25833333333333336,0.6416666666666667,0.0,0.1,0.25833333333333336,0.7416666666666667,0.0,Richard N. Gottfried RECAP,0.7416666666666667
75030,75030,100,48,190,0,36,274,48,226,0,0.17518248175182483,0.6934306569343066,0.0,0.13138686131386862,0.17518248175182483,0.8248175182481752,0.0,Richard N. Gottfried RECAP,0.8248175182481752
75031,75031,100,35,154,3,19,211,35,173,3,0.16587677725118483,0.7298578199052133,0.014218009478672985,0.09004739336492891,0.16587677725118483,0.8199052132701422,0.014218009478672985,Richard N. Gottfried RECAP,0.8199052132701422
75032,75032,100,44,173,1,35,253,44,208,1,0.17391304347826086,0.6837944664031621,0.003952569169960474,0.1383399209486166,0.17391304347826086,0.8221343873517787,0.003952569169960474,Richard N. Gottfried RECAP,0.8221343873517787
75033,75033,100,46,109,1,27,183,46,136,1,0.25136612021857924,0.5956284153005464,0.00546448087431694,0.14754098360655737,0.25136612021857924,0.7431693989071039,0.00546448087431694,Richard N. Gottfried RECAP,0.7431693989071039
75034,75034,100,51,163,0,18,232,51,181,0,0.21982758620689655,0.7025862068965517,0.0,0.07758620689655173,0.21982758620689655,0.7801724137931034,0.0,Richard N. Gottfried RECAP,0.7801724137931034
75035,75035,100,17,67,1,21,106,17,88,1,0.16037735849056603,0.6320754716981132,0.009433962264150943,0.19811320754716982,0.16037735849056603,0.8301886792452831,0.009433962264150943,Richard N. Gottfried RECAP,0.8301886792452831
75036,75036,100,33,194,0,45,272,33,239,0,0.1213235294117647,0.7132352941176471,0.0,0.16544117647058823,0.1213235294117647,0.8786764705882353,0.0,Richard N. Gottfried RECAP,0.8786764705882353
75037,75037,100,21,135,0,31,187,21,166,0,0.11229946524064172,0.7219251336898396,0.0,0.1657754010695187,0.11229946524064172,0.8877005347593583,0.0,Richard N. Gottfried RECAP,0.8877005347593583
75038,75038,100,50,212,0,136,398,50,348,0,0.12562814070351758,0.5326633165829145,0.0,0.3417085427135678,0.12562814070351758,0.8743718592964824,0.0,Richard N. Gottfried RECAP,0.8743718592964824
75039,75039,100,13,123,1,27,164,13,150,1,0.07926829268292683,0.75,0.006097560975609756,0.16463414634146342,0.07926829268292683,0.9146341463414634,0.006097560975609756,Richard N. Gottfried RECAP,0.9146341463414634
75040,75040,100,6,122,0,17,145,6,139,0,0.041379310344827586,0.8413793103448276,0.0,0.11724137931034483,0.041379310344827586,0.9586206896551724,0.0,Richard N. Gottfried RECAP,0.9586206896551724
75041,75041,100,34,195,0,79,308,34,274,0,0.11038961038961038,0.6331168831168831,0.0,0.2564935064935065,0.11038961038961038,0.8896103896103896,0.0,Richard N. Gottfried RECAP,0.8896103896103896
75042,75042,100,30,184,0,28,242,30,212,0,0.12396694214876033,0.7603305785123967,0.0,0.11570247933884298,0.12396694214876033,0.8760330578512396,0.0,Richard N. Gottfried RECAP,0.8760330578512396
75043,75043,100,40,235,1,145,421,40,380,1,0.09501187648456057,0.5581947743467933,0.0023752969121140144,0.34441805225653205,0.09501187648456057,0.9026128266033254,0.0023752969121140144,Richard N. Gottfried RECAP,0.9026128266033254
75044,75044,100,49,278,0,128,455,49,406,0,0.1076923076923077,0.610989010989011,0.0,0.2813186813186813,0.1076923076923077,0.8923076923076924,0.0,Richard N. Gottfried RECAP,0.8923076923076924
75045,75045,100,8,100,1,10,119,8,110,1,0.06722689075630252,0.8403361344537815,0.008403361344537815,0.08403361344537816,0.06722689075630252,0.9243697478991597,0.008403361344537815,Richard N. Gottfried RECAP,0.9243697478991597
75046,75046,100,3,47,0,19,69,3,66,0,0.043478260869565216,0.6811594202898551,0.0,0.2753623188405797,0.043478260869565216,0.9565217391304348,0.0,Richard N. Gottfried RECAP,0.9565217391304348
75047,75047,100,15,112,0,23,150,15,135,0,0.1,0.7466666666666667,0.0,0.15333333333333332,0.1,0.9,0.0,Richard N. Gottfried RECAP,0.9
75048,75048,100,8,67,0,17,92,8,84,0,0.08695652173913043,0.7282608695652174,0.0,0.18478260869565216,0.08695652173913043,0.9130434782608695,0.0,Richard N. Gottfried RECAP,0.9130434782608695
75049,75049,100,21,89,0,13,123,21,102,0,0.17073170731707318,0.7235772357723578,0.0,0.10569105691056911,0.17073170731707318,0.8292682926829268,0.0,Richard N. Gottfried RECAP,0.8292682926829268
75050,75050,100,21,89,0,12,122,21,101,0,0.1721311475409836,0.7295081967213115,0.0,0.09836065573770492,0.1721311475409836,0.8278688524590164,0.0,Richard N. Gottfried RECAP,0.8278688524590164
75051,75051,100,33,75,0,11,119,33,86,0,0.2773109243697479,0.6302521008403361,0.0,0.09243697478991597,0.2773109243697479,0.7226890756302521,0.0,Richard N. Gottfried RECAP,0.7226890756302521
75052,75052,100,34,129,1,24,188,34,153,1,0.18085106382978725,0.6861702127659575,0.005319148936170213,0.1276595744680851,0.18085106382978725,0.8138297872340425,0.005319148936170213,Richard N. Gottfried RECAP,0.8138297872340425
75053,75053,100,45,122,0,23,190,45,145,0,0.23684210526315788,0.6421052631578947,0.0,0.12105263157894737,0.23684210526315788,0.7631578947368421,0.0,Richard N. Gottfried RECAP,0.7631578947368421
75054,75054,100,49,99,0,9,157,49,108,0,0.31210191082802546,0.6305732484076433,0.0,0.05732484076433121,0.31210191082802546,0.6878980891719745,0.0,Richard N. Gottfried RECAP,0.6878980891719745
75055,75055,100,26,116,0,10,152,26,126,0,0.17105263157894737,0.7631578947368421,0.0,0.06578947368421052,0.17105263157894737,0.8289473684210527,0.0,Richard N. Gottfried RECAP,0.8289473684210527
75056,75056,100,69,220,0,31,320,69,251,0,0.215625,0.6875,0.0,0.096875,0.215625,0.784375,0.0,Richard N. Gottfried RECAP,0.784375
75057,75057,100,37,96,0,9,142,37,105,0,0.2605633802816901,0.676056338028169,0.0,0.06338028169014084,0.2605633802816901,0.7394366197183099,0.0,Richard N. Gottfried RECAP,0.7394366197183099
75058,75058,100,18,85,0,13,116,18,98,0,0.15517241379310345,0.7327586206896551,0.0,0.11206896551724138,0.15517241379310345,0.8448275862068966,0.0,Richard N. Gottfried RECAP,0.8448275862068966
75059,75059,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75060,75060,100,1,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Harry DeMell RECAP,1.0
75061,75061,100,0,2,0,1,3,0,3,0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,Richard N. Gottfried RECAP,1.0
75062,75062,100,25,169,0,34,228,25,203,0,0.10964912280701754,0.7412280701754386,0.0,0.14912280701754385,0.10964912280701754,0.8903508771929824,0.0,Richard N. Gottfried RECAP,0.8903508771929824
75063,75063,100,24,137,0,32,193,24,169,0,0.12435233160621761,0.7098445595854922,0.0,0.16580310880829016,0.12435233160621761,0.8756476683937824,0.0,Richard N. Gottfried RECAP,0.8756476683937824
75064,75064,100,32,185,0,37,254,32,222,0,0.12598425196850394,0.7283464566929134,0.0,0.14566929133858267,0.12598425196850394,0.8740157480314961,0.0,Richard N. Gottfried RECAP,0.8740157480314961
75065,75065,100,3,0,0,1,4,3,1,0,0.75,0.0,0.0,0.25,0.75,0.25,0.0,Harry DeMell RECAP,0.75
75066,75066,100,8,38,0,8,54,8,46,0,0.14814814814814814,0.7037037037037037,0.0,0.14814814814814814,0.14814814814814814,0.8518518518518519,0.0,Richard N. Gottfried RECAP,0.8518518518518519
75067,75067,100,10,83,0,13,106,10,96,0,0.09433962264150944,0.7830188679245284,0.0,0.12264150943396226,0.09433962264150944,0.9056603773584906,0.0,Richard N. Gottfried RECAP,0.9056603773584906
75068,75068,100,15,37,0,6,58,15,43,0,0.25862068965517243,0.6379310344827587,0.0,0.10344827586206896,0.25862068965517243,0.7413793103448276,0.0,Richard N. Gottfried RECAP,0.7413793103448276
75069,75069,100,20,100,0,17,137,20,117,0,0.145985401459854,0.7299270072992701,0.0,0.12408759124087591,0.145985401459854,0.8540145985401459,0.0,Richard N. Gottfried RECAP,0.8540145985401459
75070,75070,100,31,181,0,53,265,31,234,0,0.1169811320754717,0.6830188679245283,0.0,0.2,0.1169811320754717,0.8830188679245283,0.0,Richard N. Gottfried RECAP,0.8830188679245283
75071,75071,100,38,367,1,121,527,38,488,1,0.07210626185958255,0.6963946869070209,0.0018975332068311196,0.22960151802656548,0.07210626185958255,0.9259962049335864,0.0018975332068311196,Richard N. Gottfried RECAP,0.9259962049335864
75072,75072,100,35,443,1,117,596,35,560,1,0.0587248322147651,0.7432885906040269,0.0016778523489932886,0.19630872483221476,0.0587248322147651,0.9395973154362416,0.0016778523489932886,Richard N. Gottfried RECAP,0.9395973154362416
75073,75073,100,18,99,1,25,143,18,124,1,0.1258741258741259,0.6923076923076923,0.006993006993006993,0.17482517482517482,0.1258741258741259,0.8671328671328671,0.006993006993006993,Richard N. Gottfried RECAP,0.8671328671328671
75074,75074,100,27,145,0,17,189,27,162,0,0.14285714285714285,0.7671957671957672,0.0,0.08994708994708994,0.14285714285714285,0.8571428571428571,0.0,Richard N. Gottfried RECAP,0.8571428571428571
75075,75075,100,20,87,1,10,118,20,97,1,0.1694915254237288,0.7372881355932204,0.00847457627118644,0.0847457627118644,0.1694915254237288,0.8220338983050848,0.00847457627118644,Richard N. Gottfried RECAP,0.8220338983050848
75076,75076,100,43,109,0,12,164,43,121,0,0.2621951219512195,0.6646341463414634,0.0,0.07317073170731707,0.2621951219512195,0.7378048780487805,0.0,Richard N. Gottfried RECAP,0.7378048780487805
75077,75077,100,14,73,0,13,100,14,86,0,0.14,0.73,0.0,0.13,0.14,0.86,0.0,Richard N. Gottfried RECAP,0.86
75078,75078,100,11,104,0,27,142,11,131,0,0.07746478873239436,0.7323943661971831,0.0,0.19014084507042253,0.07746478873239436,0.9225352112676056,0.0,Richard N. Gottfried RECAP,0.9225352112676056
75079,75079,100,20,169,1,33,223,20,202,1,0.08968609865470852,0.757847533632287,0.004484304932735426,0.14798206278026907,0.08968609865470852,0.905829596412556,0.004484304932735426,Richard N. Gottfried RECAP,0.905829596412556
75080,75080,100,28,214,1,48,291,28,262,1,0.09621993127147767,0.7353951890034365,0.003436426116838488,0.16494845360824742,0.09621993127147767,0.9003436426116839,0.003436426116838488,Richard N. Gottfried RECAP,0.9003436426116839
75081,75081,100,20,113,0,21,154,20,134,0,0.12987012987012986,0.7337662337662337,0.0,0.13636363636363635,0.12987012987012986,0.8701298701298701,0.0,Richard N. Gottfried RECAP,0.8701298701298701
75082,75082,100,16,133,1,44,194,16,177,1,0.08247422680412371,0.6855670103092784,0.005154639175257732,0.2268041237113402,0.08247422680412371,0.9123711340206185,0.005154639175257732,Richard N. Gottfried RECAP,0.9123711340206185
75083,75083,100,36,209,0,44,289,36,253,0,0.1245674740484429,0.7231833910034602,0.0,0.1522491349480969,0.1245674740484429,0.8754325259515571,0.0,Richard N. Gottfried RECAP,0.8754325259515571
75084,75084,100,42,205,0,37,284,42,242,0,0.14788732394366197,0.721830985915493,0.0,0.13028169014084506,0.14788732394366197,0.852112676056338,0.0,Richard N. Gottfried RECAP,0.852112676056338
75085,75085,100,19,114,0,21,154,19,135,0,0.12337662337662338,0.7402597402597403,0.0,0.13636363636363635,0.12337662337662338,0.8766233766233766,0.0,Richard N. Gottfried RECAP,0.8766233766233766
75086,75086,100,18,38,0,8,64,18,46,0,0.28125,0.59375,0.0,0.125,0.28125,0.71875,0.0,Richard N. Gottfried RECAP,0.71875
75087,75087,100,37,125,0,37,199,37,162,0,0.18592964824120603,0.628140703517588,0.0,0.18592964824120603,0.18592964824120603,0.8140703517587939,0.0,Richard N. Gottfried RECAP,0.8140703517587939
75088,75088,100,50,124,0,20,194,50,144,0,0.25773195876288657,0.6391752577319587,0.0,0.10309278350515463,0.25773195876288657,0.7422680412371134,0.0,Richard N. Gottfried RECAP,0.7422680412371134
75089,75089,100,35,66,0,10,111,35,76,0,0.3153153153153153,0.5945945945945946,0.0,0.09009009009009009,0.3153153153153153,0.6846846846846847,0.0,Richard N. Gottfried RECAP,0.6846846846846847
75090,75090,100,34,82,0,8,124,34,90,0,0.27419354838709675,0.6612903225806451,0.0,0.06451612903225806,0.27419354838709675,0.7258064516129032,0.0,Richard N. Gottfried RECAP,0.7258064516129032
75091,75091,100,53,103,0,5,161,53,108,0,0.32919254658385094,0.639751552795031,0.0,0.031055900621118012,0.32919254658385094,0.6708074534161491,0.0,Richard N. Gottfried RECAP,0.6708074534161491
75092,75092,100,71,165,0,25,261,71,190,0,0.2720306513409962,0.632183908045977,0.0,0.09578544061302682,0.2720306513409962,0.7279693486590039,0.0,Richard N. Gottfried RECAP,0.7279693486590039
75093,75093,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75094,75094,100,50,123,0,25,198,50,148,0,0.25252525252525254,0.6212121212121212,0.0,0.12626262626262627,0.25252525252525254,0.7474747474747475,0.0,Richard N. Gottfried RECAP,0.7474747474747475
75095,75095,100,60,199,1,29,289,60,228,1,0.20761245674740483,0.6885813148788927,0.0034602076124567475,0.10034602076124567,0.20761245674740483,0.7889273356401384,0.0034602076124567475,Richard N. Gottfried RECAP,0.7889273356401384
75096,75096,100,42,148,0,28,218,42,176,0,0.1926605504587156,0.6788990825688074,0.0,0.12844036697247707,0.1926605504587156,0.8073394495412844,0.0,Richard N. Gottfried RECAP,0.8073394495412844
75097,75097,100,66,236,0,32,334,66,268,0,0.19760479041916168,0.7065868263473054,0.0,0.09580838323353294,0.19760479041916168,0.8023952095808383,0.0,Richard N. Gottfried RECAP,0.8023952095808383
75098,75098,100,50,139,0,29,218,50,168,0,0.22935779816513763,0.6376146788990825,0.0,0.13302752293577982,0.22935779816513763,0.7706422018348624,0.0,Richard N. Gottfried RECAP,0.7706422018348624
75099,75099,100,51,140,0,47,238,51,187,0,0.21428571428571427,0.5882352941176471,0.0,0.19747899159663865,0.21428571428571427,0.7857142857142857,0.0,Richard N. Gottfried RECAP,0.7857142857142857
75100,75100,100,36,167,0,35,238,36,202,0,0.15126050420168066,0.7016806722689075,0.0,0.14705882352941177,0.15126050420168066,0.8487394957983193,0.0,Richard N. Gottfried RECAP,0.8487394957983193
75101,75101,100,25,8,0,0,33,25,8,0,0.7575757575757576,0.24242424242424243,0.0,0.0,0.7575757575757576,0.24242424242424243,0.0,Harry DeMell RECAP,0.7575757575757576
75102,75102,100,30,130,0,11,171,30,141,0,0.17543859649122806,0.7602339181286549,0.0,0.06432748538011696,0.17543859649122806,0.8245614035087719,0.0,Richard N. Gottfried RECAP,0.8245614035087719
75103,75103,100,22,121,0,14,157,22,135,0,0.14012738853503184,0.7707006369426752,0.0,0.08917197452229299,0.14012738853503184,0.8598726114649682,0.0,Richard N. Gottfried RECAP,0.8598726114649682
75200,75200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75201,75201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75202,75202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75203,75203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75204,75204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75205,75205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
