ED,Reported As,Reporting,Kevin S. Parker (Democratic),Herman G. Hall (Conservative),Scattered,Kevin S. Parker (Working Families),Total Votes,Kevin S. Parker RECAP,Herman G. Hall RECAP,Scattered RECAP,p_Kevin S. Parker (Democratic),p_Herman G. Hall (Conservative),p_Scattered,p_Kevin S. Parker (Working Families),p_Kevin S. Parker RECAP,p_Herman G. Hall RECAP,p_Scattered RECAP,winner,winner_p
41041,41041,100,269,8,0,3,280,272,8,0,0.9607142857142857,0.02857142857142857,0.0,0.010714285714285714,0.9714285714285714,0.02857142857142857,0.0,Kevin S. Parker RECAP,0.9714285714285714
41043,41043,100,151,5,0,8,164,159,5,0,0.9207317073170732,0.03048780487804878,0.0,0.04878048780487805,0.9695121951219512,0.03048780487804878,0.0,Kevin S. Parker RECAP,0.9695121951219512
41045,41045,100,300,5,0,10,315,310,5,0,0.9523809523809523,0.015873015873015872,0.0,0.031746031746031744,0.9841269841269841,0.015873015873015872,0.0,Kevin S. Parker RECAP,0.9841269841269841
41047,41047,100,276,5,0,9,290,285,5,0,0.9517241379310345,0.017241379310344827,0.0,0.03103448275862069,0.9827586206896551,0.017241379310344827,0.0,Kevin S. Parker RECAP,0.9827586206896551
41048,41048,100,100,3,0,3,106,103,3,0,0.9433962264150944,0.02830188679245283,0.0,0.02830188679245283,0.9716981132075472,0.02830188679245283,0.0,Kevin S. Parker RECAP,0.9716981132075472
41049,41049,100,246,4,0,8,258,254,4,0,0.9534883720930233,0.015503875968992248,0.0,0.031007751937984496,0.9844961240310077,0.015503875968992248,0.0,Kevin S. Parker RECAP,0.9844961240310077
41053,41053,100,153,17,0,4,174,157,17,0,0.8793103448275862,0.09770114942528736,0.0,0.022988505747126436,0.9022988505747126,0.09770114942528736,0.0,Kevin S. Parker RECAP,0.9022988505747126
41054,41054,100,180,7,1,8,196,188,7,1,0.9183673469387755,0.03571428571428571,0.00510204081632653,0.04081632653061224,0.9591836734693877,0.03571428571428571,0.00510204081632653,Kevin S. Parker RECAP,0.9591836734693877
41055,41055,100,217,6,0,15,238,232,6,0,0.9117647058823529,0.025210084033613446,0.0,0.06302521008403361,0.9747899159663865,0.025210084033613446,0.0,Kevin S. Parker RECAP,0.9747899159663865
41091,41091,100,62,17,1,6,86,68,17,1,0.7209302325581395,0.19767441860465115,0.011627906976744186,0.06976744186046512,0.7906976744186046,0.19767441860465115,0.011627906976744186,Kevin S. Parker RECAP,0.7906976744186046
41092,41092,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
42001,42001,100,11,1,0,2,14,13,1,0,0.7857142857142857,0.07142857142857142,0.0,0.14285714285714285,0.9285714285714286,0.07142857142857142,0.0,Kevin S. Parker RECAP,0.9285714285714286
42002,42002,100,184,4,0,22,210,206,4,0,0.8761904761904762,0.01904761904761905,0.0,0.10476190476190476,0.9809523809523809,0.01904761904761905,0.0,Kevin S. Parker RECAP,0.9809523809523809
42003,42003,100,212,3,0,53,268,265,3,0,0.7910447761194029,0.011194029850746268,0.0,0.19776119402985073,0.9888059701492538,0.011194029850746268,0.0,Kevin S. Parker RECAP,0.9888059701492538
42004,42004,100,139,4,1,14,158,153,4,1,0.879746835443038,0.02531645569620253,0.006329113924050633,0.08860759493670886,0.9683544303797469,0.02531645569620253,0.006329113924050633,Kevin S. Parker RECAP,0.9683544303797469
42005,42005,100,214,9,1,54,278,268,9,1,0.7697841726618705,0.03237410071942446,0.0035971223021582736,0.19424460431654678,0.9640287769784173,0.03237410071942446,0.0035971223021582736,Kevin S. Parker RECAP,0.9640287769784173
42006,42006,100,130,4,0,31,165,161,4,0,0.7878787878787878,0.024242424242424242,0.0,0.18787878787878787,0.9757575757575757,0.024242424242424242,0.0,Kevin S. Parker RECAP,0.9757575757575757
42007,42007,100,217,3,0,23,243,240,3,0,0.8930041152263375,0.012345679012345678,0.0,0.09465020576131687,0.9876543209876543,0.012345679012345678,0.0,Kevin S. Parker RECAP,0.9876543209876543
42008,42008,100,214,2,1,32,249,246,2,1,0.8594377510040161,0.008032128514056224,0.004016064257028112,0.1285140562248996,0.9879518072289156,0.008032128514056224,0.004016064257028112,Kevin S. Parker RECAP,0.9879518072289156
42009,42009,100,178,1,0,24,203,202,1,0,0.8768472906403941,0.0049261083743842365,0.0,0.11822660098522167,0.9950738916256158,0.0049261083743842365,0.0,Kevin S. Parker RECAP,0.9950738916256158
42010,42010,100,227,4,1,5,237,232,4,1,0.9578059071729957,0.016877637130801686,0.004219409282700422,0.02109704641350211,0.9789029535864979,0.016877637130801686,0.004219409282700422,Kevin S. Parker RECAP,0.9789029535864979
42011,42011,100,202,5,0,7,214,209,5,0,0.9439252336448598,0.02336448598130841,0.0,0.03271028037383177,0.9766355140186916,0.02336448598130841,0.0,Kevin S. Parker RECAP,0.9766355140186916
42012,42012,100,203,1,0,11,215,214,1,0,0.9441860465116279,0.004651162790697674,0.0,0.05116279069767442,0.9953488372093023,0.004651162790697674,0.0,Kevin S. Parker RECAP,0.9953488372093023
42013,42013,100,165,2,0,12,179,177,2,0,0.9217877094972067,0.0111731843575419,0.0,0.0670391061452514,0.9888268156424581,0.0111731843575419,0.0,Kevin S. Parker RECAP,0.9888268156424581
42014,42014,100,74,0,0,5,79,79,0,0,0.9367088607594937,0.0,0.0,0.06329113924050633,1.0,0.0,0.0,Kevin S. Parker RECAP,1.0
42015,42015,100,191,1,0,9,201,200,1,0,0.9502487562189055,0.004975124378109453,0.0,0.04477611940298507,0.9950248756218906,0.004975124378109453,0.0,Kevin S. Parker RECAP,0.9950248756218906
42016,42016,100,183,4,1,20,208,203,4,1,0.8798076923076923,0.019230769230769232,0.004807692307692308,0.09615384615384616,0.9759615384615384,0.019230769230769232,0.004807692307692308,Kevin S. Parker RECAP,0.9759615384615384
42017,42017,100,198,1,0,26,225,224,1,0,0.88,0.0044444444444444444,0.0,0.11555555555555555,0.9955555555555555,0.0044444444444444444,0.0,Kevin S. Parker RECAP,0.9955555555555555
42018,42018,100,145,5,0,22,172,167,5,0,0.8430232558139535,0.029069767441860465,0.0,0.12790697674418605,0.9709302325581395,0.029069767441860465,0.0,Kevin S. Parker RECAP,0.9709302325581395
42019,42019,100,115,1,0,17,133,132,1,0,0.8646616541353384,0.007518796992481203,0.0,0.12781954887218044,0.9924812030075187,0.007518796992481203,0.0,Kevin S. Parker RECAP,0.9924812030075187
42020,42020,100,196,2,1,25,224,221,2,1,0.875,0.008928571428571428,0.004464285714285714,0.11160714285714286,0.9866071428571429,0.008928571428571428,0.004464285714285714,Kevin S. Parker RECAP,0.9866071428571429
42021,42021,100,163,4,0,36,203,199,4,0,0.8029556650246306,0.019704433497536946,0.0,0.17733990147783252,0.9802955665024631,0.019704433497536946,0.0,Kevin S. Parker RECAP,0.9802955665024631
42022,42022,100,174,2,0,25,201,199,2,0,0.8656716417910447,0.009950248756218905,0.0,0.12437810945273632,0.9900497512437811,0.009950248756218905,0.0,Kevin S. Parker RECAP,0.9900497512437811
42023,42023,100,202,5,0,47,254,249,5,0,0.7952755905511811,0.01968503937007874,0.0,0.18503937007874016,0.9803149606299213,0.01968503937007874,0.0,Kevin S. Parker RECAP,0.9803149606299213
42024,42024,100,218,9,0,36,263,254,9,0,0.8288973384030418,0.034220532319391636,0.0,0.13688212927756654,0.9657794676806084,0.034220532319391636,0.0,Kevin S. Parker RECAP,0.9657794676806084
42025,42025,100,202,7,0,45,254,247,7,0,0.7952755905511811,0.027559055118110236,0.0,0.17716535433070865,0.9724409448818898,0.027559055118110236,0.0,Kevin S. Parker RECAP,0.9724409448818898
42026,42026,100,179,4,0,8,191,187,4,0,0.93717277486911,0.020942408376963352,0.0,0.041884816753926704,0.9790575916230366,0.020942408376963352,0.0,Kevin S. Parker RECAP,0.9790575916230366
42027,42027,100,200,2,1,13,216,213,2,1,0.9259259259259259,0.009259259259259259,0.004629629629629629,0.06018518518518518,0.9861111111111112,0.009259259259259259,0.004629629629629629,Kevin S. Parker RECAP,0.9861111111111112
42028,42028,100,219,2,0,15,236,234,2,0,0.9279661016949152,0.00847457627118644,0.0,0.0635593220338983,0.9915254237288136,0.00847457627118644,0.0,Kevin S. Parker RECAP,0.9915254237288136
42029,42029,100,216,1,0,18,235,234,1,0,0.9191489361702128,0.00425531914893617,0.0,0.07659574468085106,0.9957446808510638,0.00425531914893617,0.0,Kevin S. Parker RECAP,0.9957446808510638
42030,42030,100,169,8,0,37,214,206,8,0,0.7897196261682243,0.037383177570093455,0.0,0.17289719626168223,0.9626168224299065,0.037383177570093455,0.0,Kevin S. Parker RECAP,0.9626168224299065
42031,42031,100,141,2,0,24,167,165,2,0,0.844311377245509,0.011976047904191617,0.0,0.1437125748502994,0.9880239520958084,0.011976047904191617,0.0,Kevin S. Parker RECAP,0.9880239520958084
42032,42032,100,45,0,0,1,46,46,0,0,0.9782608695652174,0.0,0.0,0.021739130434782608,1.0,0.0,0.0,Kevin S. Parker RECAP,1.0
42033,42033,100,6,1,0,4,11,10,1,0,0.5454545454545454,0.09090909090909091,0.0,0.36363636363636365,0.9090909090909091,0.09090909090909091,0.0,Kevin S. Parker RECAP,0.9090909090909091
42035,42035,100,109,8,1,40,158,149,8,1,0.689873417721519,0.05063291139240506,0.006329113924050633,0.25316455696202533,0.9430379746835443,0.05063291139240506,0.006329113924050633,Kevin S. Parker RECAP,0.9430379746835443
42039,42039,100,262,3,0,12,277,274,3,0,0.9458483754512635,0.010830324909747292,0.0,0.04332129963898917,0.9891696750902527,0.010830324909747292,0.0,Kevin S. Parker RECAP,0.9891696750902527
42040,42040,100,231,1,0,4,236,235,1,0,0.9788135593220338,0.00423728813559322,0.0,0.01694915254237288,0.9957627118644068,0.00423728813559322,0.0,Kevin S. Parker RECAP,0.9957627118644068
42041,42041,100,267,2,0,9,278,276,2,0,0.960431654676259,0.007194244604316547,0.0,0.03237410071942446,0.9928057553956835,0.007194244604316547,0.0,Kevin S. Parker RECAP,0.9928057553956835
42042,42042,100,233,1,0,9,243,242,1,0,0.9588477366255144,0.00411522633744856,0.0,0.037037037037037035,0.9958847736625515,0.00411522633744856,0.0,Kevin S. Parker RECAP,0.9958847736625515
42043,42043,100,217,6,0,18,241,235,6,0,0.9004149377593361,0.024896265560165973,0.0,0.07468879668049792,0.975103734439834,0.024896265560165973,0.0,Kevin S. Parker RECAP,0.975103734439834
42044,42044,100,237,4,1,26,268,263,4,1,0.8843283582089553,0.014925373134328358,0.0037313432835820895,0.09701492537313433,0.9813432835820896,0.014925373134328358,0.0037313432835820895,Kevin S. Parker RECAP,0.9813432835820896
42045,42045,100,205,1,0,5,211,210,1,0,0.9715639810426541,0.004739336492890996,0.0,0.023696682464454975,0.995260663507109,0.004739336492890996,0.0,Kevin S. Parker RECAP,0.995260663507109
42046,42046,100,197,3,0,11,211,208,3,0,0.933649289099526,0.014218009478672985,0.0,0.052132701421800945,0.985781990521327,0.014218009478672985,0.0,Kevin S. Parker RECAP,0.985781990521327
42047,42047,100,206,3,0,10,219,216,3,0,0.9406392694063926,0.0136986301369863,0.0,0.045662100456621,0.9863013698630136,0.0136986301369863,0.0,Kevin S. Parker RECAP,0.9863013698630136
42048,42048,100,129,6,0,18,153,147,6,0,0.8431372549019608,0.0392156862745098,0.0,0.11764705882352941,0.9607843137254902,0.0392156862745098,0.0,Kevin S. Parker RECAP,0.9607843137254902
42049,42049,100,220,7,0,51,278,271,7,0,0.7913669064748201,0.025179856115107913,0.0,0.18345323741007194,0.9748201438848921,0.025179856115107913,0.0,Kevin S. Parker RECAP,0.9748201438848921
42050,42050,100,224,2,0,7,233,231,2,0,0.9613733905579399,0.008583690987124463,0.0,0.030042918454935622,0.9914163090128756,0.008583690987124463,0.0,Kevin S. Parker RECAP,0.9914163090128756
42051,42051,100,183,22,0,12,217,195,22,0,0.8433179723502304,0.10138248847926268,0.0,0.055299539170506916,0.8986175115207373,0.10138248847926268,0.0,Kevin S. Parker RECAP,0.8986175115207373
42052,42052,100,189,8,0,13,210,202,8,0,0.9,0.0380952380952381,0.0,0.06190476190476191,0.9619047619047619,0.0380952380952381,0.0,Kevin S. Parker RECAP,0.9619047619047619
42053,42053,100,109,5,0,14,128,123,5,0,0.8515625,0.0390625,0.0,0.109375,0.9609375,0.0390625,0.0,Kevin S. Parker RECAP,0.9609375
42054,42054,100,252,5,0,28,285,280,5,0,0.8842105263157894,0.017543859649122806,0.0,0.09824561403508772,0.9824561403508771,0.017543859649122806,0.0,Kevin S. Parker RECAP,0.9824561403508771
42055,42055,100,221,3,1,24,249,245,3,1,0.8875502008032129,0.012048192771084338,0.004016064257028112,0.0963855421686747,0.9839357429718876,0.012048192771084338,0.004016064257028112,Kevin S. Parker RECAP,0.9839357429718876
42056,42056,100,207,7,0,10,224,217,7,0,0.9241071428571429,0.03125,0.0,0.044642857142857144,0.96875,0.03125,0.0,Kevin S. Parker RECAP,0.96875
42057,42057,100,282,6,0,15,303,297,6,0,0.9306930693069307,0.019801980198019802,0.0,0.04950495049504951,0.9801980198019802,0.019801980198019802,0.0,Kevin S. Parker RECAP,0.9801980198019802
42058,42058,100,168,2,0,7,177,175,2,0,0.9491525423728814,0.011299435028248588,0.0,0.03954802259887006,0.9887005649717514,0.011299435028248588,0.0,Kevin S. Parker RECAP,0.9887005649717514
42070,42070,100,115,3,0,12,130,127,3,0,0.8846153846153846,0.023076923076923078,0.0,0.09230769230769231,0.9769230769230769,0.023076923076923078,0.0,Kevin S. Parker RECAP,0.9769230769230769
42071,42071,100,173,2,0,10,185,183,2,0,0.9351351351351351,0.010810810810810811,0.0,0.05405405405405406,0.9891891891891892,0.010810810810810811,0.0,Kevin S. Parker RECAP,0.9891891891891892
42072,42072,100,94,8,0,34,136,128,8,0,0.6911764705882353,0.058823529411764705,0.0,0.25,0.9411764705882353,0.058823529411764705,0.0,Kevin S. Parker RECAP,0.9411764705882353
42073,42073,100,208,5,0,19,232,227,5,0,0.896551724137931,0.021551724137931036,0.0,0.08189655172413793,0.978448275862069,0.021551724137931036,0.0,Kevin S. Parker RECAP,0.978448275862069
43001,43001,100,148,2,1,31,182,179,2,1,0.8131868131868132,0.01098901098901099,0.005494505494505495,0.17032967032967034,0.9835164835164835,0.01098901098901099,0.005494505494505495,Kevin S. Parker RECAP,0.9835164835164835
43002,43002,100,199,4,1,68,272,267,4,1,0.7316176470588235,0.014705882352941176,0.003676470588235294,0.25,0.9816176470588235,0.014705882352941176,0.003676470588235294,Kevin S. Parker RECAP,0.9816176470588235
43003,43003,100,207,8,0,32,247,239,8,0,0.8380566801619433,0.032388663967611336,0.0,0.12955465587044535,0.9676113360323887,0.032388663967611336,0.0,Kevin S. Parker RECAP,0.9676113360323887
43004,43004,100,121,2,0,21,144,142,2,0,0.8402777777777778,0.013888888888888888,0.0,0.14583333333333334,0.9861111111111112,0.013888888888888888,0.0,Kevin S. Parker RECAP,0.9861111111111112
43005,43005,100,122,1,0,23,146,145,1,0,0.8356164383561644,0.00684931506849315,0.0,0.15753424657534246,0.9931506849315068,0.00684931506849315,0.0,Kevin S. Parker RECAP,0.9931506849315068
43006,43006,100,193,3,0,41,237,234,3,0,0.8143459915611815,0.012658227848101266,0.0,0.1729957805907173,0.9873417721518988,0.012658227848101266,0.0,Kevin S. Parker RECAP,0.9873417721518988
43007,43007,100,136,4,2,39,181,175,4,2,0.7513812154696132,0.022099447513812154,0.011049723756906077,0.2154696132596685,0.9668508287292817,0.022099447513812154,0.011049723756906077,Kevin S. Parker RECAP,0.9668508287292817
43008,43008,100,125,1,0,22,148,147,1,0,0.8445945945945946,0.006756756756756757,0.0,0.14864864864864866,0.9932432432432432,0.006756756756756757,0.0,Kevin S. Parker RECAP,0.9932432432432432
43009,43009,100,243,2,0,26,271,269,2,0,0.8966789667896679,0.007380073800738007,0.0,0.0959409594095941,0.992619926199262,0.007380073800738007,0.0,Kevin S. Parker RECAP,0.992619926199262
43010,43010,100,91,2,0,4,97,95,2,0,0.9381443298969072,0.020618556701030927,0.0,0.041237113402061855,0.979381443298969,0.020618556701030927,0.0,Kevin S. Parker RECAP,0.979381443298969
43074,43074,100,130,1,0,26,157,156,1,0,0.8280254777070064,0.006369426751592357,0.0,0.16560509554140126,0.9936305732484076,0.006369426751592357,0.0,Kevin S. Parker RECAP,0.9936305732484076
44010,44010,100,128,13,0,18,159,146,13,0,0.8050314465408805,0.08176100628930817,0.0,0.11320754716981132,0.9182389937106918,0.08176100628930817,0.0,Kevin S. Parker RECAP,0.9182389937106918
44011,44011,100,40,9,0,4,53,44,9,0,0.7547169811320755,0.16981132075471697,0.0,0.07547169811320754,0.8301886792452831,0.16981132075471697,0.0,Kevin S. Parker RECAP,0.8301886792452831
44012,44012,100,27,2,0,7,36,34,2,0,0.75,0.05555555555555555,0.0,0.19444444444444445,0.9444444444444444,0.05555555555555555,0.0,Kevin S. Parker RECAP,0.9444444444444444
44014,44014,100,140,23,0,38,201,178,23,0,0.6965174129353234,0.11442786069651742,0.0,0.1890547263681592,0.8855721393034826,0.11442786069651742,0.0,Kevin S. Parker RECAP,0.8855721393034826
44015,44015,100,194,37,0,71,302,265,37,0,0.6423841059602649,0.12251655629139073,0.0,0.23509933774834438,0.8774834437086093,0.12251655629139073,0.0,Kevin S. Parker RECAP,0.8774834437086093
44016,44016,100,105,13,0,21,139,126,13,0,0.7553956834532374,0.09352517985611511,0.0,0.1510791366906475,0.9064748201438849,0.09352517985611511,0.0,Kevin S. Parker RECAP,0.9064748201438849
44017,44017,100,156,38,0,83,277,239,38,0,0.5631768953068592,0.1371841155234657,0.0,0.2996389891696751,0.8628158844765343,0.1371841155234657,0.0,Kevin S. Parker RECAP,0.8628158844765343
44018,44018,100,132,33,0,67,232,199,33,0,0.5689655172413793,0.14224137931034483,0.0,0.28879310344827586,0.8577586206896551,0.14224137931034483,0.0,Kevin S. Parker RECAP,0.8577586206896551
44019,44019,100,175,35,0,35,245,210,35,0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,Kevin S. Parker RECAP,0.8571428571428571
44020,44020,100,89,31,0,13,133,102,31,0,0.6691729323308271,0.23308270676691728,0.0,0.09774436090225563,0.7669172932330827,0.23308270676691728,0.0,Kevin S. Parker RECAP,0.7669172932330827
44034,44034,100,106,3,0,23,132,129,3,0,0.803030303030303,0.022727272727272728,0.0,0.17424242424242425,0.9772727272727273,0.022727272727272728,0.0,Kevin S. Parker RECAP,0.9772727272727273
44036,44036,100,233,18,3,75,329,308,18,3,0.7082066869300911,0.0547112462006079,0.00911854103343465,0.22796352583586627,0.9361702127659575,0.0547112462006079,0.00911854103343465,Kevin S. Parker RECAP,0.9361702127659575
44037,44037,100,74,12,0,16,102,90,12,0,0.7254901960784313,0.11764705882352941,0.0,0.1568627450980392,0.8823529411764706,0.11764705882352941,0.0,Kevin S. Parker RECAP,0.8823529411764706
44040,44040,100,26,0,0,1,27,27,0,0,0.9629629629629629,0.0,0.0,0.037037037037037035,1.0,0.0,0.0,Kevin S. Parker RECAP,1.0
44046,44046,100,77,4,0,26,107,103,4,0,0.719626168224299,0.037383177570093455,0.0,0.24299065420560748,0.9626168224299065,0.037383177570093455,0.0,Kevin S. Parker RECAP,0.9626168224299065
44047,44047,100,22,8,0,5,35,27,8,0,0.6285714285714286,0.22857142857142856,0.0,0.14285714285714285,0.7714285714285715,0.22857142857142856,0.0,Kevin S. Parker RECAP,0.7714285714285715
44048,44048,100,115,17,0,32,164,147,17,0,0.7012195121951219,0.10365853658536585,0.0,0.1951219512195122,0.8963414634146342,0.10365853658536585,0.0,Kevin S. Parker RECAP,0.8963414634146342
44049,44049,100,222,26,0,76,324,298,26,0,0.6851851851851852,0.08024691358024691,0.0,0.2345679012345679,0.9197530864197531,0.08024691358024691,0.0,Kevin S. Parker RECAP,0.9197530864197531
44050,44050,100,166,10,1,95,272,261,10,1,0.6102941176470589,0.03676470588235294,0.003676470588235294,0.3492647058823529,0.9595588235294118,0.03676470588235294,0.003676470588235294,Kevin S. Parker RECAP,0.9595588235294118
44051,44051,100,157,23,2,80,262,237,23,2,0.5992366412213741,0.08778625954198473,0.007633587786259542,0.3053435114503817,0.9045801526717557,0.08778625954198473,0.007633587786259542,Kevin S. Parker RECAP,0.9045801526717557
44052,44052,100,207,39,3,114,363,321,39,3,0.5702479338842975,0.10743801652892562,0.008264462809917356,0.3140495867768595,0.8842975206611571,0.10743801652892562,0.008264462809917356,Kevin S. Parker RECAP,0.8842975206611571
44053,44053,100,150,54,1,93,298,243,54,1,0.5033557046979866,0.18120805369127516,0.003355704697986577,0.31208053691275167,0.8154362416107382,0.18120805369127516,0.003355704697986577,Kevin S. Parker RECAP,0.8154362416107382
44054,44054,100,224,37,0,155,416,379,37,0,0.5384615384615384,0.0889423076923077,0.0,0.37259615384615385,0.9110576923076923,0.0889423076923077,0.0,Kevin S. Parker RECAP,0.9110576923076923
44055,44055,100,209,49,0,135,393,344,49,0,0.5318066157760815,0.12468193384223919,0.0,0.3435114503816794,0.8753180661577609,0.12468193384223919,0.0,Kevin S. Parker RECAP,0.8753180661577609
44056,44056,100,118,21,2,72,213,190,21,2,0.5539906103286385,0.09859154929577464,0.009389671361502348,0.3380281690140845,0.892018779342723,0.09859154929577464,0.009389671361502348,Kevin S. Parker RECAP,0.892018779342723
44057,44057,100,224,47,2,138,411,362,47,2,0.5450121654501217,0.11435523114355231,0.004866180048661801,0.3357664233576642,0.8807785888077859,0.11435523114355231,0.004866180048661801,Kevin S. Parker RECAP,0.8807785888077859
44058,44058,100,164,61,1,117,343,281,61,1,0.478134110787172,0.17784256559766765,0.0029154518950437317,0.34110787172011664,0.8192419825072886,0.17784256559766765,0.0029154518950437317,Kevin S. Parker RECAP,0.8192419825072886
44059,44059,100,156,42,1,90,289,246,42,1,0.5397923875432526,0.1453287197231834,0.0034602076124567475,0.31141868512110726,0.8512110726643599,0.1453287197231834,0.0034602076124567475,Kevin S. Parker RECAP,0.8512110726643599
44060,44060,100,185,24,1,57,267,242,24,1,0.6928838951310862,0.0898876404494382,0.003745318352059925,0.21348314606741572,0.9063670411985019,0.0898876404494382,0.003745318352059925,Kevin S. Parker RECAP,0.9063670411985019
44061,44061,100,96,8,0,52,156,148,8,0,0.6153846153846154,0.05128205128205128,0.0,0.3333333333333333,0.9487179487179487,0.05128205128205128,0.0,Kevin S. Parker RECAP,0.9487179487179487
44062,44062,100,101,19,0,68,188,169,19,0,0.5372340425531915,0.10106382978723404,0.0,0.3617021276595745,0.898936170212766,0.10106382978723404,0.0,Kevin S. Parker RECAP,0.898936170212766
44063,44063,100,119,10,0,63,192,182,10,0,0.6197916666666666,0.052083333333333336,0.0,0.328125,0.9479166666666666,0.052083333333333336,0.0,Kevin S. Parker RECAP,0.9479166666666666
44064,44064,100,38,7,0,34,79,72,7,0,0.4810126582278481,0.08860759493670886,0.0,0.43037974683544306,0.9113924050632911,0.08860759493670886,0.0,Kevin S. Parker RECAP,0.9113924050632911
44065,44065,100,172,15,0,93,280,265,15,0,0.6142857142857143,0.05357142857142857,0.0,0.33214285714285713,0.9464285714285714,0.05357142857142857,0.0,Kevin S. Parker RECAP,0.9464285714285714
44066,44066,100,96,13,0,46,155,142,13,0,0.6193548387096774,0.08387096774193549,0.0,0.2967741935483871,0.9161290322580645,0.08387096774193549,0.0,Kevin S. Parker RECAP,0.9161290322580645
44068,44068,100,118,8,0,57,183,175,8,0,0.644808743169399,0.04371584699453552,0.0,0.3114754098360656,0.9562841530054644,0.04371584699453552,0.0,Kevin S. Parker RECAP,0.9562841530054644
44069,44069,100,184,28,0,146,358,330,28,0,0.5139664804469274,0.0782122905027933,0.0,0.40782122905027934,0.9217877094972067,0.0782122905027933,0.0,Kevin S. Parker RECAP,0.9217877094972067
44070,44070,100,121,25,1,80,227,201,25,1,0.5330396475770925,0.11013215859030837,0.004405286343612335,0.3524229074889868,0.8854625550660793,0.11013215859030837,0.004405286343612335,Kevin S. Parker RECAP,0.8854625550660793
44071,44071,100,180,33,1,126,340,306,33,1,0.5294117647058824,0.09705882352941177,0.0029411764705882353,0.37058823529411766,0.9,0.09705882352941177,0.0029411764705882353,Kevin S. Parker RECAP,0.9
44072,44072,100,164,17,0,102,283,266,17,0,0.5795053003533569,0.06007067137809187,0.0,0.36042402826855124,0.9399293286219081,0.06007067137809187,0.0,Kevin S. Parker RECAP,0.9399293286219081
44073,44073,100,170,31,0,97,298,267,31,0,0.5704697986577181,0.1040268456375839,0.0,0.32550335570469796,0.8959731543624161,0.1040268456375839,0.0,Kevin S. Parker RECAP,0.8959731543624161
44074,44074,100,190,23,0,136,349,326,23,0,0.5444126074498568,0.0659025787965616,0.0,0.38968481375358166,0.9340974212034384,0.0659025787965616,0.0,Kevin S. Parker RECAP,0.9340974212034384
44075,44075,100,169,28,0,118,315,287,28,0,0.5365079365079365,0.08888888888888889,0.0,0.3746031746031746,0.9111111111111111,0.08888888888888889,0.0,Kevin S. Parker RECAP,0.9111111111111111
44076,44076,100,184,15,0,82,281,266,15,0,0.6548042704626335,0.05338078291814947,0.0,0.2918149466192171,0.9466192170818505,0.05338078291814947,0.0,Kevin S. Parker RECAP,0.9466192170818505
44077,44077,100,169,20,0,98,287,267,20,0,0.5888501742160279,0.06968641114982578,0.0,0.34146341463414637,0.9303135888501742,0.06968641114982578,0.0,Kevin S. Parker RECAP,0.9303135888501742
