ED,Reported As,Reporting,Scattered,Walter T. Mosley III (Democratic),Total Votes,Scattered RECAP,Walter T. Mosley III RECAP,p_Scattered,p_Walter T. Mosley III (Democratic),p_Scattered RECAP,p_Walter T. Mosley III RECAP,winner,winner_p
57053,57053,100,1,279,280,1,279,0.0035714285714285713,0.9964285714285714,0.0035714285714285713,0.9964285714285714,Walter T. Mosley III RECAP,0.9964285714285714
57054,57054,100,0,153,153,0,153,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57055,57055,100,3,290,293,3,290,0.010238907849829351,0.9897610921501706,0.010238907849829351,0.9897610921501706,Walter T. Mosley III RECAP,0.9897610921501706
57056,57056,100,2,259,261,2,259,0.007662835249042145,0.9923371647509579,0.007662835249042145,0.9923371647509579,Walter T. Mosley III RECAP,0.9923371647509579
57057,57057,100,1,212,213,1,212,0.004694835680751174,0.9953051643192489,0.004694835680751174,0.9953051643192489,Walter T. Mosley III RECAP,0.9953051643192489
57058,57058,100,0,161,161,0,161,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57059,57059,100,0,128,128,0,128,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57060,57060,100,1,180,181,1,180,0.0055248618784530384,0.994475138121547,0.0055248618784530384,0.994475138121547,Walter T. Mosley III RECAP,0.994475138121547
57061,57061,100,2,134,136,2,134,0.014705882352941176,0.9852941176470589,0.014705882352941176,0.9852941176470589,Walter T. Mosley III RECAP,0.9852941176470589
57062,57062,100,0,12,12,0,12,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57063,57063,100,2,262,264,2,262,0.007575757575757576,0.9924242424242424,0.007575757575757576,0.9924242424242424,Walter T. Mosley III RECAP,0.9924242424242424
57064,57064,100,3,227,230,3,227,0.013043478260869565,0.9869565217391304,0.013043478260869565,0.9869565217391304,Walter T. Mosley III RECAP,0.9869565217391304
57065,57065,100,2,366,368,2,366,0.005434782608695652,0.9945652173913043,0.005434782608695652,0.9945652173913043,Walter T. Mosley III RECAP,0.9945652173913043
57066,57066,100,3,234,237,3,234,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.9873417721518988,Walter T. Mosley III RECAP,0.9873417721518988
57067,57067,100,1,199,200,1,199,0.005,0.995,0.005,0.995,Walter T. Mosley III RECAP,0.995
57068,57068,100,2,291,293,2,291,0.006825938566552901,0.9931740614334471,0.006825938566552901,0.9931740614334471,Walter T. Mosley III RECAP,0.9931740614334471
57069,57069,100,3,261,264,3,261,0.011363636363636364,0.9886363636363636,0.011363636363636364,0.9886363636363636,Walter T. Mosley III RECAP,0.9886363636363636
57070,57070,100,2,263,265,2,263,0.007547169811320755,0.9924528301886792,0.007547169811320755,0.9924528301886792,Walter T. Mosley III RECAP,0.9924528301886792
57071,57071,100,2,177,179,2,177,0.0111731843575419,0.9888268156424581,0.0111731843575419,0.9888268156424581,Walter T. Mosley III RECAP,0.9888268156424581
57072,57072,100,2,297,299,2,297,0.006688963210702341,0.9933110367892977,0.006688963210702341,0.9933110367892977,Walter T. Mosley III RECAP,0.9933110367892977
57073,57073,100,0,136,136,0,136,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57074,57074,100,1,248,249,1,248,0.004016064257028112,0.9959839357429718,0.004016064257028112,0.9959839357429718,Walter T. Mosley III RECAP,0.9959839357429718
57075,57075,100,1,286,287,1,286,0.003484320557491289,0.9965156794425087,0.003484320557491289,0.9965156794425087,Walter T. Mosley III RECAP,0.9965156794425087
57076,57076,100,0,303,303,0,303,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57077,57077,100,0,117,117,0,117,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57078,57078,100,1,292,293,1,292,0.0034129692832764505,0.9965870307167235,0.0034129692832764505,0.9965870307167235,Walter T. Mosley III RECAP,0.9965870307167235
57079,57079,100,2,262,264,2,262,0.007575757575757576,0.9924242424242424,0.007575757575757576,0.9924242424242424,Walter T. Mosley III RECAP,0.9924242424242424
57080,57080,100,0,285,285,0,285,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57081,57081,100,0,224,224,0,224,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57082,57082,100,0,99,99,0,99,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57083,57083,100,0,183,183,0,183,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57084,57084,100,1,118,119,1,118,0.008403361344537815,0.9915966386554622,0.008403361344537815,0.9915966386554622,Walter T. Mosley III RECAP,0.9915966386554622
57085,57085,100,0,244,244,0,244,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57086,57086,100,2,326,328,2,326,0.006097560975609756,0.9939024390243902,0.006097560975609756,0.9939024390243902,Walter T. Mosley III RECAP,0.9939024390243902
57087,57087,100,1,54,55,1,54,0.01818181818181818,0.9818181818181818,0.01818181818181818,0.9818181818181818,Walter T. Mosley III RECAP,0.9818181818181818
57088,57088,100,0,216,216,0,216,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57089,57089,100,0,231,231,0,231,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57090,57090,100,0,312,312,0,312,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57091,57091,100,0,270,270,0,270,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57092,57092,100,0,159,159,0,159,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57093,57093,100,0,157,157,0,157,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57094,57094,100,0,204,204,0,204,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57095,57095,100,1,145,146,1,145,0.00684931506849315,0.9931506849315068,0.00684931506849315,0.9931506849315068,Walter T. Mosley III RECAP,0.9931506849315068
57096,57096,100,0,0,0,0,0,0,0,0,0,n/a,0
