ED,Reported As,Reporting,Michele R. Titus (Working Families),Scattered,Michele R. Titus (Democratic),Total Votes,Michele R. Titus RECAP,Scattered RECAP,p_Michele R. Titus (Working Families),p_Scattered,p_Michele R. Titus (Democratic),p_Michele R. Titus RECAP,p_Scattered RECAP,winner,winner_p
31040,31040,100,6,0,249,255,255,0,0.023529411764705882,0.0,0.9764705882352941,1.0,0.0,Michele R. Titus RECAP,1.0
31041,31041,100,3,0,192,195,195,0,0.015384615384615385,0.0,0.9846153846153847,1.0,0.0,Michele R. Titus RECAP,1.0
31042,31042,100,6,0,246,252,252,0,0.023809523809523808,0.0,0.9761904761904762,1.0,0.0,Michele R. Titus RECAP,1.0
31043,31043,100,3,1,295,299,298,1,0.010033444816053512,0.0033444816053511705,0.9866220735785953,0.9966555183946488,0.0033444816053511705,Michele R. Titus RECAP,0.9966555183946488
31044,31044,100,10,0,271,281,281,0,0.03558718861209965,0.0,0.9644128113879004,1.0,0.0,Michele R. Titus RECAP,1.0
31045,31045,100,6,3,88,97,94,3,0.061855670103092786,0.030927835051546393,0.9072164948453608,0.9690721649484536,0.030927835051546393,Michele R. Titus RECAP,0.9690721649484536
31046,31046,100,7,1,166,174,173,1,0.040229885057471264,0.005747126436781609,0.9540229885057471,0.9942528735632183,0.005747126436781609,Michele R. Titus RECAP,0.9942528735632183
31047,31047,100,2,0,201,203,203,0,0.009852216748768473,0.0,0.9901477832512315,1.0,0.0,Michele R. Titus RECAP,1.0
31048,31048,100,7,1,180,188,187,1,0.03723404255319149,0.005319148936170213,0.9574468085106383,0.9946808510638298,0.005319148936170213,Michele R. Titus RECAP,0.9946808510638298
31049,31049,100,8,3,193,204,201,3,0.0392156862745098,0.014705882352941176,0.946078431372549,0.9852941176470589,0.014705882352941176,Michele R. Titus RECAP,0.9852941176470589
31050,31050,100,6,0,191,197,197,0,0.030456852791878174,0.0,0.9695431472081218,1.0,0.0,Michele R. Titus RECAP,1.0
31051,31051,100,4,1,242,247,246,1,0.016194331983805668,0.004048582995951417,0.979757085020243,0.9959514170040485,0.004048582995951417,Michele R. Titus RECAP,0.9959514170040485
31052,31052,100,5,3,249,257,254,3,0.019455252918287938,0.011673151750972763,0.9688715953307393,0.9883268482490273,0.011673151750972763,Michele R. Titus RECAP,0.9883268482490273
31053,31053,100,8,0,254,262,262,0,0.030534351145038167,0.0,0.9694656488549618,1.0,0.0,Michele R. Titus RECAP,1.0
31054,31054,100,14,2,208,224,222,2,0.0625,0.008928571428571428,0.9285714285714286,0.9910714285714286,0.008928571428571428,Michele R. Titus RECAP,0.9910714285714286
31055,31055,100,2,0,129,131,131,0,0.015267175572519083,0.0,0.9847328244274809,1.0,0.0,Michele R. Titus RECAP,1.0
31056,31056,100,4,0,91,95,95,0,0.042105263157894736,0.0,0.9578947368421052,1.0,0.0,Michele R. Titus RECAP,1.0
31057,31057,100,4,0,167,171,171,0,0.023391812865497075,0.0,0.9766081871345029,1.0,0.0,Michele R. Titus RECAP,1.0
31058,31058,100,7,1,164,172,171,1,0.040697674418604654,0.005813953488372093,0.9534883720930233,0.9941860465116279,0.005813953488372093,Michele R. Titus RECAP,0.9941860465116279
31059,31059,100,18,1,180,199,198,1,0.09045226130653267,0.005025125628140704,0.9045226130653267,0.9949748743718593,0.005025125628140704,Michele R. Titus RECAP,0.9949748743718593
31060,31060,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31061,31061,100,10,0,173,183,183,0,0.0546448087431694,0.0,0.9453551912568307,1.0,0.0,Michele R. Titus RECAP,1.0
31062,31062,100,3,0,152,155,155,0,0.01935483870967742,0.0,0.9806451612903225,1.0,0.0,Michele R. Titus RECAP,1.0
31063,31063,100,6,1,253,260,259,1,0.023076923076923078,0.0038461538461538464,0.9730769230769231,0.9961538461538462,0.0038461538461538464,Michele R. Titus RECAP,0.9961538461538462
31064,31064,100,8,3,219,230,227,3,0.034782608695652174,0.013043478260869565,0.9521739130434783,0.9869565217391304,0.013043478260869565,Michele R. Titus RECAP,0.9869565217391304
31065,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31066,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31067,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31068,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31069,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31070,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31071,31071,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31072,31072,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31073,31073,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31074,31074,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31075,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31076,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31077,31077,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
